##NAME|SUBNAME|PN|NEWADDR|FEAT
커핀그루나루|올림픽공원역점|02-420-9997|서울특별시 송파구 올림픽로 424 (3,4번 출구 만남의광장 맞은편)|주차가능;충전가능;와이파이
커핀그루나루|북천안DT점|041-552-8205|충청남도 천안시 서북구 신당새터2길 20 (신당동)|주차가능;충전가능;와이파이
커핀그루나루|마천사거리점|02-404-1477|서울특별시 송파구 거마로 61 (마천동)|주차가능
커핀그루나루|신방이역점|02-2202-0790|서울특별시 송파구 양재대로71길 1-14 (방이동)|주차가능;와이파이
커핀그루나루|퍼플멤버스/광명사거리역/라운지|02-2682-9505|경기도 광명시 오리로 963 (광명동)|
커핀그루나루|퍼플멤버스/신도림/라운지|02-2068-0048|서울특별시 구로구 경인로 661 (신도림동)|주차가능;충전가능;와이파이
커핀그루나루|노량진역점|02-822-0760|서울시 동작구 노량진로 150|
커핀그루나루|하남풍산점|031-792-3316|경기도 하남시 덕풍동로 111-10 트윈렉스1상가 120.121.207호|주차가능
커핀그루나루|서초플래티넘점|02-2202-0797|서울시 서초구 서초대로 398 1층|주차가능;와이파이
커핀그루나루|외대후문점|02-957-5300|서울특별시 동대문구 천장산로7길 8 (이문동)|충전가능;와이파이
커핀그루나루|성북구청점|02-925-5011|서울시 성북구 동소문로 52 1층~4층|
커핀그루나루|평창동점|02-396-8496|서울시 종로구 평창문화로 130|주차가능;비즈니스룸;와이파이
커핀그루나루|홍대UCC점|02-336-9057|서울시 마포구 와우산로 73|비즈니스룸;충전가능;와이파이
커핀그루나루|신천점|02-416-2085|서울시 송파구 올림픽로12길 8|충전가능;와이파이
커핀그루나루|대학로점|02-2202-0712|서울시 종로구 대학로 125|비즈니스룸;와이파이
커핀그루나루|장안홈타운점|02-3394-5565|서울시 동대문구 답십리로72길 22|주차가능
커핀그루나루|코엑스1호점|02-508-7050|서울시 강남구 봉은사로 524 오크우드호텔컨벤션별관 지하2층15호|주차가능;비즈니스룸;와이파이
커핀그루나루|굽은다리점|02-486-2468|서울시 강동구 양재대로 1581 1층|주차가능
커핀그루나루|도곡점|02-574-7896|서울시 강남구 도곡동423-2|주차가능;비즈니스룸;와이파이;발렛파킹
커핀그루나루|서초구청점|02-2202-0767|서울시 서초구 서운로 7|주차가능;와이파이
커핀그루나루|길동점|02-484-8253|서울시 강동구 성안로 149 2층|
커핀그루나루|성동문화원점|02-2294-7002|서울시 성동구 왕십리로 275-1(행당동)|주차가능
커핀그루나루|공덕오거리점|02-717-2070|서울시 마포구 독막로 291 한청빌딩 1층|주차가능;비즈니스룸;와이파이
커핀그루나루|청와대정문점|02-2202-0772|서울시 종로구  자하문로 86-1|
커핀그루나루|안양만안구청점|031-447-8251|경기도 안양시 만안구 안양로 119 계양빌딩지상1층|주차가능;비즈니스룸;충전가능;와이파이
커핀그루나루|길동사거리점|02-484-8808|서울시 강동구 양재대로 1450|주차가능;발렛파킹
커핀그루나루|신봉동점|031-265-2188|경기도 용인시 수지구 신봉2로 94-27 지하1층|
커핀그루나루|의정부역점|031-876-7006|경기도 의정부시 신흥로 232번길 5-31|주차가능
커핀그루나루|천호공원점|02-477-6009|서울시 강동구 올림픽로 698 1층|
커핀그루나루|통영무전점|055-644-1515|경남 통영시 중앙로 311, 1층 (무전동)|주차가능;비즈니스룸;충전가능;와이파이
커핀그루나루|부산해운대CGV점|051-746-9559|부산광역시 해운대구 해운대로 620(우동)|충전가능;와이파이
커핀그루나루|상암GS점|02-302-2996|서울시 마포구 월드컵북로 496, 1층 (상암동)|주차가능;충전가능;와이파이
커핀그루나루|제주협재해변점|064-745-5161|제주특별자치도 제주시 한림읍 한림로 361|주차가능
커핀그루나루|부산롯데마트광복점|051-678-4104|부산광역시 중구 중앙대로 2 롯데마트 광복점 5층 영풍문고 내|주차가능;충전가능;와이파이
커핀그루나루|둔촌점|02-470-5890|서울시 강동구 양재대로 1414|주차가능
커핀그루나루|포항효자강변점|054-282-1339|포항시 남구 형산강북로 75|비즈니스룸;와이파이
커핀그루나루|이대점|02-701-1104|서울시 마포구 신촌로 176|주차가능
