##NAME|SUBNAME|ID|TELNUM|ADDR|OT|XCOORD|YCOORD@@설빙
설빙|강원/양구점|489|033-482-7001|양구읍 양록길 84,2층||127.98872514915901|38.10643954350084
설빙|강원원주단구점|432|033-764-7001|392, 2층 206호||127.94846279469101|37.331034903967655
설빙|강원/속초점|343|033-636-3300|강원도 속초시 교동 1019-13||128.581371|38.197500
설빙|강원/단계점|245|070-8843-2002|강원 원주시 단계동 881-4|am 11:00 ~ pm 11:00 (주문마감 pm 10:00)|127.9299383|37.343975
설빙|강릉/대학로점|176|033-646-3799|강원도 강릉시 금성로 36(금학동 대학로)|am 10:30 ~ pm 10:30|128.8964892|37.7531133
설빙|강원/춘천점|122|033-252-7906|강원 춘천시 죽림동 189번지 브라운상가 2층|am 10:30 ~ pm 10:30|127.7277202|37.8780629
설빙|경기파주문산점|518|031-571-5936|문산읍 문향로 72-1 문산터미널타워 203호||126.78575861195858|37.85808158827417
설빙|경기남양주진접점|517|031-571-5936|진접읍 77,213호(장현프라자)||127.21955636105899|37.70797316560404
설빙|경기/김포/장기점|509|031-987-4741|김포한강1로 55, 이솔프라자 2층 202호(장기동)||126.66813994569081|37.643457016179745
설빙|경기/고양/스타필드점|506|-|덕양구 고양대로 1955, 3(일부)층 (동산동, 스타필드 고양)||126.89647749270337|37.64769449354769
설빙|경기/화성/수원대점|496|031-221-5233|봉담읍 와우안길 35, 101,102호||126.9770270115724|37.21517104685153
설빙|경기/남양주/평내호평점|491|031-559-0065|천마산로 14,천마프라자 2층||127.2482818207292|37.6631524765818
설빙|경기/화성/향남신도시점|490|031-353-1188|향남읍 발안양강로 205, 2층 204호||126.91275269390863|37.11580304318433
설빙|배곧점|470|031-319-0035|서울대학로278번길 61, 2층 223~226호||37.368187139116806|126.73067180888944
설빙|경기/광주태전점|467|031-766-0559|태전동로 21, 202호||127.23393502623432|37.386902130937344
설빙|경기/양주덕정점|465|031-859-8599|고암길 306-53. 1층 112,113호 (덕정동)||127.06801335232291|37.836711052287924
설빙|부천/신중동점|446|032-321-1359|중동로254번길 104, 호정프라자 2층 202호||126.77464214473326|37.50153645977572
설빙|경기/구리갈매점|444|031-575-0278|경춘북로 252 상가 A동 211,212호||127.11798132971448|37.63436447932023
설빙|경기/분당정자역점|441|031-713-2014|정자동 156-1,젤존타워3 202호||127.10770089593358|37.365329705928524
설빙|경기/여주대점|439|031-882-5945|1층 102호||127.63764563922338|37.273120935660216
설빙|용인구성점|438|031-275-9996|구성로 107, 203호(언남동,로얄프라자)||127.12122475672221|37.29359613884506
설빙|경기/화성/동탄카림애비뉴점|437|031-375-0124|134 카림에비뉴상가 1층 1031,1032호|12:00pm ~ 10:00pm(동계) / 11:00pm ~ 10:00pm(하계)|127.11341656225738|37.198481059803974
설빙|경기광명소하점|435|070-8704-1677|소하동 1335 2층 202호(소하동, 메이저리치안)||126.88403699081981|37.44845736069124
설빙|경기고양원흥역점|434|031-966-3123|668, C동 220호 (2층)||126.87390064296905|37.64945463555983
설빙|경기/하남/미사호수공원점|430|031-794-9214|미사강변중앙로 217, 206호||127.18874493594248|37.56575185774248
설빙|경기/이천갈산점|426|031-637-3517|갈산동 601 2층||127.455068|37.284561
설빙|의정부/회룡역점|425|031-826-4927|외미로 99, 2층||127.046593|37.724684
설빙|김포/구래점|424|031-981-7767|6882-6 센타프라자 208호|11:00am ~ 11:00pm|126.625550|37.645295
설빙|경기/고양/화정점|420|031-973-0077|덕양구 화신로260번길 31 (화정동, 백양빌딩 2층)|am10:30 ~ pm10:30|126.8324613|37.6321404
설빙|경기/연천전곡점|417|031-832-6040|전곡읍 전곡로145, 2층|am 10:00 ~ pm 10:30|127.068614|38.025194
설빙|경기/성남/위례신도시점|416|031-751-1117|창곡동 547-2 으뜸프라자 2층|am 10:30 ~ pm 10:30|127.1407526|37.4668305
설빙|경기/남양주/별내점|414|031-571-5665|순화궁로 357, 205,206호|pm.12:00~ pm.10:30 (주문마감 pm.09:50)|127.124904|37.658552
설빙|경기/의정부/민락지구점|412|031-851-2122|민락동 민락2지구 204-3 거택프라자 202호|am 11:00~ pm 10:30|127.096891|37.744809
설빙|경기/포천/송우점|411|-----|소홀읍 송우리 180-2|am 11:00 ~ pm 11:00|127.146854|37.828124
설빙|수원/정자점|405|031-268-2202|정자동 876-8번지|am 10:00~pm 23:00|126.993713|37.296300
설빙|동두천시/중앙로점|404|031-862-4287|생연동 669-17번지|am10:30~pm11:00|127.053650|37.903600
설빙|수원/호매실점|403|031-293-0086|금곡로 102번길 15|am.10:30~pm.10:30|126.952376|37.260407
설빙|경기/평택/비젼점|402|031-658-5679|비전동 831-1|am.10:30~pm.10:30|127.1117757|36.9956751
설빙|경기/평택/안중점|397|031-683-9772|안중읍 안현로서8길 57 붐붐프라자1층|am9:00  ~ pm10:30|126.9191096|36.9787079
설빙|경기/일산/대화역점|386|031-921-1330|대화동 2203|am 10:00 ~ pm 11:00|126.7479337|37.6763898
설빙|경기/파주/운정점|381|031-957-2228|경기 파주 와동동 가람로 59|am 11:00 ~ pm 10:30|126.7566093|37.7345995
설빙|경기/동두천/지행역점|375|031-858-4705|경기 동두천시 지행동 721-2|am 10:00 ~ pm 11:00|127.054628|37.8920778
설빙|경기/용인동백점|374|031-275-2818|경기 용인시 기흥구 중동 832-6|am 11:00 ~ pm 10:30|127.152071|37.2768612
설빙|경기/성남신흥역점|369|031-735-3147|경기 성남시 수정구 신흥동 4193|am 11:00 ~ pm 11:00|127.1453996|37.4406462
설빙|경기/용인/광교신대역점|368|031-211-5334|경기 용인시 수지구 상현동 1117-3 우리상가 2층|am 11:00 ~ pm 11:00|127.068861|37.2978485
설빙|경기/남양주마석점|366|031-597-5788|경기 남양주시 화도읍 마석우리 383-5 203,204호|am 10:30 ~ pm 10:30|127.3029007|37.6573883
설빙|경기/구리토평점|355|031-566-1150|경기 구리시 수택동 873-4 대림빌딩2층|am 10:00 ~ pm 11:00 (주문마감 pm 10:30)|127.138463|37.5868113
설빙|경기/시흥대야점|353|031-315-2212|경기도 시흥시 비둘기공원7길 33 성원디아망타운 2층|am 11:00 ~ pm 11:00|126.7927631|37.4430372
설빙|경기/김포시청점|350|031-998-4212|경기 김포시 사우동 927 그린월드프라자 2층|am 11:00 ~ pm 11:00|126.719146|37.6191246
설빙|경기/파주교하점|348|031-945-7137|경기도 파주시 동패동 1696-3 이지타운 204호|am 10:30 ~ pm 11:00|126.7181959|37.7249819
설빙|경기/용인흥덕점|347|031-211-9432|경기도 용인시 기흥구 영덕동 975-7번지 흥덕노블레스|am 10:30 ~ pm 10:30|127.0737079|37.2765003
설빙|경기/안양평촌학원가점|345|070-8899-8998|경기도 안양시 동안구 호계동 1058-7 아카데미센터 203호|am 11:00 ~ pm 10:30|126.9592484|37.3836921
설빙|경기/부천송내역점|341|032-322-3302|경기 부천시 원미구 상동 404-3 장미상가 2층|am 10:30 ~ am 12:00 (주문마감 pm 11:30)|126.7529169|37.4904844
설빙|경기/화성동탄반송점|339|031-8003-3717|경기도 화성시 반송동 93-1 풍성 위버폴리스 201호,202호|am 11:00 ~ pm 10:00 (주문 마감: 9:15pm까지)|127.0720516|37.2045978
설빙|경기고양/식사점|321|031-965-3590|경기도 고양시 일산동구 식사동 662-9 2층|am 11:00 ~ pm 11:00|126.8078562|37.6767792
설빙|경기분당/서현점|319|031-702-1114|경기도 성남시 분당구 서현동 251-1 야베스벨리 206호|(평일)am 11:00 ~ pm 11:00 (주말)am 11:00 ~ am 12:00|127.1244113|37.387768
설빙|경기/용인/기흥구청점|317|031-274-4399|경기도 용인시 기흥구 구갈동 352-3 2층|am 12:00 ~ pm 11:00|127.1118077|37.2798557
설빙|경기/부천/신중동역점|314|032-327-8802|경기 부천시 원미구 중동 1137, 정석프라자1층|am 11:00 ~ pm 11:00|126.775558|37.5016768
설빙|경기/광명/하안점|312|02-899-0503|경기 광명시 하안동 34-3 2층|pm 12:00 ~ pm 10:30|126.8791403|37.4629766
설빙|경기/의정부/금오점|311|031-852-3155|경기도 의정부시 금오동 473-2 201호|am 11:00 ~ pm 11:00|127.069692|37.7519106
설빙|경기/오산/운암점|309|031-375-5379|경기도 오산시 오산동 924-1 거성프라자 205호(그린사우나 2층)|am 10:00 ~ am 12:00|127.0754207|37.1496988
설빙|경기/수원/성균관대점|305|031-296-5729|경기도 수원시 장안구 서부로 2107 (율전동, 2층)|am 10:30 ~ pm 11:00|126.9701268|37.2968572
설빙|경기/고양백석점|303|031-904-3833|경기도 고양시 일산동구 백석동 남정씨티프라자3차 203호|am 10:30 ~ pm 11:00|126.7878742|37.6423324
설빙|경기/수원/장안구청점|300|031-241-0188|경기도 수원시 장안구 경수대로 940 일호골든타워 201호|am 10:00 ~ pm 11:00|127.008056|37.3031495
설빙|경기/용인/성복점|297|031-261-0499|경기도 용인시 수지구 성복동 76번지 1층|am 10:30 ~ pm 10:30|127.0793466|37.3144105
설빙|경기/오산역점|293|031-375-6003|경기 오산시 원동 762-16번지 명동빌딩 2층|am 10:00 ~ pm 11:00|127.0694266|37.1459057
설빙|경기/평택/서정점|292|031-666-7128|경기 평택시 서정동 847 2층|am 10:30 ~ pm 10:30|127.0617661|37.0665959
설빙|경기/부천역곡점|288|032 343 3232|경기도 부천시 소사구 괴안동 127-1번지 창성빌딩 2층|am 11:00 ~ pm 11:00|126.812935|37.48445
설빙|경기/안산/상록수점|279|031-438-7577|경기도 안산시 상록구 본오동 874-2번지|am 10:30 ~ pm 11:00|126.8643782|37.3022433
설빙|경기/수원/영통점|275|031-204-3777|경기도 수원시 영통구 영통동 998-6 아셈프라자 2층|am 10:30 ~ pm 10:30|127.0744533|37.2520842
설빙|경기/일산/웨스턴돔점|263|031-901-3160|경기도 일산 동구 장항동862번지 J3빌딩 2층|am 11:00 ~ pm 11:00|126.7711725|37.6569292
설빙|경기/양주고읍점|258|031-848-1767|경기도 양주시 고읍남로 24, 202호 (광사동, 레드프라자)|am 10:30 ~pm11:00 (22:30 주문마감)|127.078086|37.794382
설빙|양주/옥정점|256|031-866-1003|경기도 양주시 옥정동 963-10 한길프라자 204호|am 10:00 ~ pm 11:00|127.092141|37.819802
설빙|경기/부천/중동점|253|032-324-1150|경기도 부천시 원미구 중동 1163-12 2층|am 10:00 ~ pm 11:00|126.7617858|37.5035348
설빙|경기/성남분당/야탑점|249|031-705-3733|경기 성남시 분당구 야탑동 353-5 2층|am 10:30 ~ pm 11:00|127.127619|37.4116106
설빙|안산/선부점|246|031-410-0245|경기 안산시 선부동 1081 선부산호상가 102호,201호|am 10:30 ~ pm 10:30|126.813413|37.3366679
설빙|경기/화성/병점|241|031-223-1127|경기도 화성시 진안동 876-4번지 2층|am 10:30 ~ pm 10:30|127.0417879|37.2135978
설빙|안산/고잔점|222|031-403-4914|경기 안산시 단원구 고잔동 768번지 2층|am 10:30 ~ pm 10:30|126.8312446|37.3115874
설빙|경기/의왕/계원예대점|221|031-424-2300|경기 의왕시 내손동 748 대림프라자 203호|am 10:00 ~ pm 10:00|126.9724497|37.3795288
설빙|경기/용인수지점|217|031-261-3003|경기 용인시 수지구 풍덕천동 713-4|am 10:00 ~ am 12:00|127.0960825|37.32359
설빙|경기/과천중앙점|214|070-4153-2753|경기도 과천시 중앙동 40-10 2층|am 10:30 ~ pm 11:00|126.9909172|37.428318
설빙|경기/하남시청점|200|031-793-0628|경기도 하남시 대청로 15, 201호 (신장동, 오피스텔트레벨)|am 10:30 ~ pm 11:00|127.2139219|37.5405788
설빙|경기/광주경안점|196|031-769-0077|경기 광주시 경안동 24-20 2층|am 10:00 ~ pm 11:00|127.2594386|37.4098142
설빙|수원/인계점|195|031-239-3330|경기 수원시 팔달구 인계동 1119번지 2층|am 10:30 ~ am 12:00|127.0334164|37.264596
설빙|경기/안성중앙점|192|031-674-9498|경기 안성시 중앙로 406-1번지|am 10:30 ~ pm 10:30|127.2718867|37.0069062
설빙|수원/수원역점|191|070-7797-9813|경기 수원시 팔달구 매산로 7-1 2층|am 10:30 ~ pm 10:30|127.0023082|37.2673204
설빙|경기/파주/금촌점|188|031-945-7289|경기도 파주시 금촌동 988-1 부평프라자 204호|am 11:30 ~ pm 11:30|126.7668905|37.7519465
설빙|용인/기흥/죽전점|178|031-263-1007|경기도 용인시 기흥구 보정동 1261-4 장은메디칼프라자 203호,204호|am 10:30 ~ pm 10:30|127.1098247|37.3202306
설빙|경기/성남/모란점|173|031-755-0071|경기도 성남시 중원구 성남동 3219-1|am 10:30 ~ pm 11:30|127.1297847|37.4328438
설빙|용인/김량장동점|156|031-336-5758|경기도 용인시 처인구 김량장동 254-326 2층|am 10:30 ~ pm 10:30|127.2035064|37.2351671
