##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|OT|PARKING|ID|XCOORD|YCOORD@@도미노피자
도미노피자|명동점|02-2264-3081|서울 중구 초동 18-5|서울특별시 중구 마른내로 47 (초동)|11:30~22:00|매장주차불가|86365|126.993168|37.564732
도미노피자|신당점|02-2233-3082|서울 중구 신당4동 340-77번지|서울특별시 중구 다산로 156 (신당동)|11:00~22:00|주차불가|86371|127.012465|37.557594
도미노피자|대학로점|02-3675-3082|서울 종로구 이화동 122-1번지|서울특별시 종로구 율곡로 223 (이화동)|11:00~22:00|점포 건물 옆 이화 주차장(30분 1,000천원)|86385|127.003656|37.576264
도미노피자|성균관대/인사캠(서울점)|02-6743-3082|서울 종로구 명륜동3가 53-28|서울특별시 종로구 성균관로 25-2 지하 1층 600주년 기념관|10:00~20:00||86730|126.994327|37.587371
도미노피자|세종로점|02-723-3082|서울 종로구 누하동 64번지 태평타운 1층|서울특별시 종로구 필운대로 43 (누하동)|11:30~22:00||86394|126.968488|37.579846
도미노피자|서대문점|02-365-3082|서울 서대문구 냉천동 232번지|서울특별시 서대문구 통일로 149-1 (냉천동)|11:30~22:00|감리신학대학교 주차장 (도보4분거리)&lt;br&gt;최초30분 천오백원, 10분에 오백원 추가|86358|126.964609|37.567489
도미노피자|연희점|02-326-3083|서울 서대문구 연희동 188-3 1층|서울특별시 서대문구 연희로 95 (연희동)|11:30~22:00|매장주차가능:매장뒷편&lt;br&gt;인근주차장 없음.|86510|126.9304|37.566598
도미노피자|홍제점|02-739-3082|서울 서대문구 홍제동 274-22|서울특별시 서대문구 세검정로 72 (홍제동)|11:00~22:00||86348|126.948252|37.593942
도미노피자|마포점|02-717-3082|서울 마포구 염리동 155-1번지|서울특별시 마포구 백범로 123 (염리동, 신양빌딩)|11:30~22:00|매장주차가능 : 매장 건물 주차장 이용가능&lt;br&gt;  인근주차장 : 매장 인근 하이카건물 주차장 이용가(30분당 3천원)|86335|126.944943|37.546759
도미노피자|망원점|02-335-2060|서울 마포구 서교동 476-18번지|서울특별시 마포구 월드컵로10길 5 (서교동)|11:30~22:00|건물 뒤 주차가능|86354|126.912008|37.554536
도미노피자|상암점|02-302-3051|서울 마포구 상암동 34-46|서울특별시 마포구 월드컵북로 336 (상암동)|11:30~22:00|매장주차불가,인근주차장 없음.|86590|126.894633|37.575988
도미노피자|신촌점|02-714-7555|서울 마포구 구수동 2-37외4필지 서강빌딩 1층 104,105호|서울특별시 마포구 창전로 60, 1층 104~105호 (구수동, 서강빌딩)|11:30~22:00|매장주차가능:건물내 지하 주차장 이용&lt;br&gt;인근주차장 없음.|86304|126.9329|37.547757
도미노피자|가좌점|02-305-3082|서울 은평구 증산동 249번지 태광아파트 상가 1층 104호|서울특별시 은평구 증산로 303, 상가 104~106호 (증산동, 태광아파트)|11:00~22:00||86369|126.909524|37.584091
도미노피자|구파발점|02-384-3082|서울 은평구 진관동 은평뉴타운상림마을 801-830 820동 상가 101호|서울특별시 은평구 진관4로 17, 820동 상가 101호 (진관동, 은평뉴타운상림마을)|11:00~22:00|주차가능 / 매장후면 (롯데캐슬apt 주차가능)|86644|126.921774|37.643678
도미노피자|연신내점|02-351-3082|서울 은평구 대조동 188-7호|서울특별시 은평구 통일로 797 (대조동)|11:00~22:00|주차가능 / 매장후면 LG 전자건물  주차이용 (30분 가량)|86393|126.924933|37.615304
도미노피자|은평점|02-359-3082|서울 은평구 역촌동 83-1번지|서울특별시 은평구 연서로 35 (역촌동)|11:00~22:00|주차가능 / 매장정면 잠깐 주차가능|86362|126.915591|37.602211
도미노피자|응암점|02-353-3082|서울 은평구 응암1동 171|서울특별시 은평구 백련산로 160 (응암동, 녹번역센트레빌)|11:00~22:00||86694|126.925938|37.5986170
도미노피자|고대점|02-966-3082|서울 동대문구 제기동 1152-4|서울특별시 동대문구 안암로 82 (제기동)|11:00~22:00||86366|127.030284|37.583161
도미노피자|이문점|02-959-3127|서울 동대문구 이문동 257-346번지|서울특별시 동대문구 이문로 163-1 (이문동)|11:30~22:00|매장주차불가,인근주차장없음.|86487|127.061876|37.60114
도미노피자|장안점|02-2249-5461|서울 동대문구 답십리동 801번지|서울특별시 동대문구 한천로 95 (답십리동)|11:00~22:00|점포 주차장 주차 가능|86321|127.064293|37.570038
도미노피자|전농점|02-6463-3082|서울 동대문구 전농동 687 전농동신성미소지움아파트 102동 106호|서울시 동대문구 서울시립대로 75 102동 106호(전농동, 전농동신성미소지움아파트)|11:00~22:00|주차불가|86740|127.048418|37.578545
도미노피자|홍릉점|02-963-3082|서울 동대문구 제기동 1142-5|서울특별시 동대문구 회기로 30, 1층 (제기동)|11:00~22:00|점포 앞 이면도로 주차 가능|86636|127.039804|37.591041
도미노피자|면목점|02-435-3098|서울 중랑구 면목동 1527 신성미소지움제상가 104호|서울특별시 중랑구 용마산로86길 9-27, 상가 104호 (면목동, 신성미소지움아파트)|11:30~22:00|매장주차불가,인근주차장없음.|86382|127.096016|37.587417
도미노피자|중랑점|02-436-3082|서울 중랑구 상봉동 74-46|서울특별시 중랑구 망우로 377 (상봉동, 성환빌딩)|11:00~22:00|점포 지하 주차장 이용 가능|86334|127.094017|37.598701
도미노피자|도봉점|02-3491-5252|서울 도봉구 도봉1동 603-32|서울특별시 도봉구 도봉로 775 (도봉동)|11:00~22:00|매장주차불가,인근주차장없음.|86427|127.043989|37.673705
도미노피자|쌍문점|02-991-5815|서울 도봉구 창동 715-3번지|서울특별시 도봉구 해등로 139 (창동, 미소애아파트)|11:30~22:00|매장주차불가,인근주차장없음.|86312|127.040211|37.655855
도미노피자|성수2호점|02-462-3081|서울 성동구 성수동1가 656-365, 1층|서울특별시 성동구 성수일로 1, 1층 (성수동1가)|11:00~22:00||86683|127.047883|37.5409100
도미노피자|옥수점|02-2294-0273|서울 성동구 옥수동 1242-3 1층|서울특별시 성동구 독서당로 212, 1층 (옥수동)|11:30~22:00|매장앞 5분이내 주차가능|86353|127.015394|37.543852
도미노피자|왕십리점|02-2297-3082|서울 성동구 하왕십리동 1059|서울특별시 성동구 난계로 81 (하왕십리동)|11:00~22:00|매장 옆 주차 가능|86659|127.023556|37.559161
도미노피자|행당점|02-2291-3082|서울 성동구 마장동 518-14번지|서울특별시 성동구 고산자로 308 (마장동)|11:00~22:00|점포 측면 주차장 이용 가능|86361|127.037004|37.566981
도미노피자|강일점|02-3426-3083|서울 강동구 고덕동 201-3|서울특별시 강동구 상일로 127 (고덕동)|11:00~22:00|매장정면 잠깐 주차가능|86637|127.170881|37.558482
도미노피자|길동점|02-3426-0454|서울 강동구 길동 349-1|서울특별시 강동구 천중로 200 (길동, 다성이즈빌)|11:00~22:00||86301|127.142437|37.5406040
도미노피자|둔촌점|02-478-0337|서울 강동구 성내3동 420-21호|서울특별시 강동구 풍성로 186, 1층 (성내동)|11:00~22:00|매장주차 가능 : 매장측면위치|86313|127.132351|37.529753
도미노피자|천호암사점|02-475-3082|서울 강동구 천호동 315-1 번지|서울특별시 강동구 올림픽로 738 (천호동)|11:30~22:00|매장주차가능:매장뒷편|86467|127.126681|37.547027
