##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|FEAT@@VIPS
빕스|합정역점|02-336-4997|서울 마포구 합정동 472 딜라이트스퀘어 A동 지하2층 교보문고 앞|서울특별시 마포구 월드컵로1길 14 (합정동,마포한강푸르지오) 지하 2층|돌잔치;세미나시설;놀이방;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|대구/죽전점|053-566-1997|대구 달서구 죽전동 273-6 골든뷰 메디타워 A동 3층|대구광역시 달서구 달구벌대로 1545, 골든뷰메디타워 A동 3층|세미나시설;WIFI;수유실;라이브 키친 누들;라이브 키친 피자
빕스/월드푸드마켓|중동소풍점|032-328-1997|경기 부천시 원미구 상동 539-1 부천터미널 소풍 6층|경기도 부천시 송내대로 239, 부천터미널 소풍|돌잔치;세미나시설;놀이방;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|공덕해링턴점|02-2197-1997|서울 마포구 도화동 25-13번지 헤링턴 스퀘어 B동 2층|서울시 마포구 마포대로 92 B동 2층|돌잔치;하우스웨딩;세미나시설;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|올림픽공원점|02-415-1997|서울 송파구 방이동 88-2번지 올림픽공원 만남의광장 A-2 동2문|서울특별시 송파구 올림픽로 424 올림픽공원|이벤트룸;WIFI;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|마산롯데마트점|055-251-1997|경남 창원시 마산회원구 84-14  롯데마트 마산양덕점 2층|경남 창원시 마산회원구 삼호로 80 롯데마트 마산양덕점 2층|돌잔치;어린이체험교실;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|금천홈플러스점|02-896-1997|서울 금천구 독산1동 291-7 금천 홈플러스 3층|서울특별시 금천구 시흥대로 391 홈플러스 금천점|돌잔치;세미나시설;이벤트룸;WIFI;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/월드푸드마켓|센텀시티홈플러스점|051-746-8997|부산 해운대구 우2동 1499 센텀시티 홈플러스 2층|부산광역시 해운대구 센텀동로 6 1499 홈플러스 센텀시티점|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;WIFI;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
빕스/익스프레스|인천공항입국점|032-743-2997|인천 중구 운서동 2851 인천공항 여객터미널 1층|인천광역시 중구 공항로 운서동, 여객터미널 1층 FB-P3-08|놀이방;WIFI;수유실
빕스/월드푸드마켓|광교점|031-216-6306|경기 수원시 영통구 1332번지 아브뉴프랑 빕스 지하 1층|경기도 수원시 영통구 센트럴타운로 85 지하1층|돌잔치;세미나시설;놀이방;어린이체험교실;이벤트룸;수유실;라이브 키친 누들;라이브 키친 파스타;라이브 키친 피자
