##NAME|SUBNAME|ID|TELNUM|ADDR|NEWADDR|ETCADDR|OT|FEAT|XCOORD|YCOORD@@KFC
KFC|상암DMC점|1410857|02-302-8291|서울 마포구 상암동 1605|서울 마포구 월드컵북로 396 (상암동)|1층|매장 10:00~23:00 / 딜리버리  11:00~23:00|치맥;딜리버리;단체주문;지하철인근;징거벨오더|126.890322492|37.5794413686
KFC|구리돌다리점|1410856|031-551-3694|경기 구리시 인창동 280-8|경기 구리시 경춘로 221 (인창동)||매장 10시~23시 / 딜리버리  11시00분~23시00분|치맥;딜리버리;단체주문;지하철인근;징거벨오더|127.139853813|37.6007737887
KFC|한국외대점|1410855|02-957-5858|서울 동대문구 이문동 288-10|서울 동대문구 이문로 114 (이문동)||매장 10시~23시 / 딜리버리  10시30분~23시00분|치맥;딜리버리;단체주문;지하철인근;징거벨오더|127.060680832|37.596736136
KFC|롯데월드점|1410854|02-2143-1296|서울 송파구 잠실동 40-1|서울 송파구 올림픽로 240 (잠실동)|롯데월드 매직아일랜드|일~목 : (09:30 ~ 21:00) / 금,토 : (09:30 ~ 22:00)|단체주문;지하철인근|127.098140395|37.5113107836
KFC|연신내역점|1410853|02-352-0328|서울 은평구 대조동 185-24|서울 은평구 연서로 226-1 (대조동)||매장 10:00~24:00 / 딜리버리  10:30~23:30|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|126.920526119|37.6184280116
KFC|성남태평점|1420852|031-751-0315|경기 성남시 수정구 태평동 7288-17|경기 성남시 수정구 수정로 185 (태평동)|1층|매장 10:00~24:00 / 딜리버리  10:30~23:30|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|127.14047417|37.4437860655
KFC|불광역점|1410851|02-351-3297|서울 은평구 불광동 267-1|서울 은평구 통일로 750 (불광동)||매장 10:00~24:00 / 딜리버리  10:30~23:30|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|126.928664634|37.6123353233
KFC|노량진역점|1410849|02-811-1681|서울 동작구 노량진동 67-2|서울 동작구 노량진로 151 (노량진동)|맞이방 광장1층|매장 10:00~23:30 / 딜리버리  10:30~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|126.943068774|37.5144336838
KFC|이수역점|1410850|02-532-2622|서울 서초구 방배동 3160|서울 서초구 동작대로 114 (방배동)|(재)원불교 유문빌딩 1층|매장 10시~23시 / 딜리버리  10시 30분 ~23시|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|126.982677727|37.4867636247
KFC|경성대부경대점|1410848|051-611-3281|부산 남구 대연동 54-5|부산 남구 수영로 324 (대연동)|리마크빌대연 주상복합 1층|매장 10:00~23:00 / 딜리버리  10:30~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|129.10155224|35.1374995598
KFC|신촌역점|1410847|02-323-2332|서울 서대문구 창천동 72-2|서울 서대문구 신촌로 79 (창천동)||매장 10시~23시 / 딜리버리  10시30분~23시|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|126.935187404|37.5560017893
KFC|검단역점|1410846|032-561-2332|인천 서구 마전동 910-1|인천 서구 완정로 172 (마전동)||매장 10:00~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|126.65742609|37.6026011264
KFC|강남역점|1410845|02-532-4211|서울 서초구 서초동 1317-5|서울 서초구 서초대로77길 15 (서초동)|6|매장 10:00~23:30 / 딜리버리 10:30~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|127.026073573|37.4989364267
KFC|낙성대점|1410844|02-871-7388|서울 관악구 봉천동 1685-15|서울 관악구 남부순환로 1909 (봉천동)||매장 10:00~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|126.961605969|37.4781125761
KFC|양산물금점|1420843|055-362-7108|경남 양산시 물금읍 범어리 2711-8|경남 양산시 물금읍 범어로 72|1층|매장 11:00~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|129.015050512|35.328105005
KFC|인천공항교통센터점|1410842|032-743-2547|인천 중구 운서동 2851|인천 중구 공항로 271 (운서동)|지하 1F T2-02|매장 07:00~22:00 / 딜리버리 운영안함|Wi-Fi 매장;주차가능;단체주문;지하철인근|126.45234776|37.4476103404
KFC|당산역점|1410841|02-2068-8938|서울 영등포구 당산동6가 331-6|서울 영등포구 양평로 46 (당산동6가)||매장 10:00~01:00 / 딜리버리 10:30~00:30|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|126.901643717|37.5344663627
KFC|용인수지점|1420840|031-261-3683|경기 용인시 수지구 풍덕천동 1080-8|경기 용인시 수지구 풍덕천로 118 (풍덕천동)|초석프라자 1F|매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|127.095132381|37.3224633713
KFC|잠실야구장점|1410521|02-423-0862|서울 송파구 잠실동 10|서울 송파구 올림픽로 25 (잠실동)|종합운동장 잠실야구장 내|경기에 따라 유동적|Wi-Fi 매장;주차가능;단체주문;지하철인근|127.075940251|37.5161997711
KFC|대치동점|1410697|02-501-0391|서울 강남구 대치동 987-20|서울 강남구 도곡로 517 (대치동)|서연빌딩 1층|매장: 10:00~23:00 / 딜리버리: 10:00~23:00|딜리버리;주차가능;단체주문;지하철인근;징거벨오더|127.062918451|37.4998956354
KFC|울산명덕점|1410839|052-209-2172|울산 동구 서부동 113-49|울산 동구 방어진순환도로 909 (서부동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|129.432444477|35.5223394462
KFC|독산동점|1410838|02-802-6232|서울 금천구 독산동 1043-1|서울 금천구 독산로 195 (독산동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|126.90270325|37.4643329428
KFC|대구용산DT점|1410805|053-581-9231|대구 달서구 용산동 410-9|대구 달서구 달구벌대로 1393 (용산동)||매장 10:30 ~ 23:00 / 딜리버리 11:00 ~ 23:00|딜리버리|128.520212663|35.8508022268
KFC|대구시지점|1410747|053-791-9228|대구 수성구 매호동 841|대구 수성구 달구벌대로 3197 (매호동)||매장 10:30~23:00 / 딜리버리 10:30~23:00|딜리버리;지하철인근;징거벨오더|128.706529747|35.8408530504
KFC|내당동점|1410450|053-559-3193|대구 서구 내당동 463-63|대구 서구 달구벌대로 1689 (내당동)||매장 10:30~01:00 / 딜리버리 11:00~00:30(월~토), 단 일요일만 24:00 마감|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|128.550176748|35.855498204
KFC|황금동점|1410366|053-768-1838|대구 수성구 황금동 782|대구 수성구 동대구로 155 (황금동)||매장 24시간 / 딜리버리 11:00~01:00|치맥;딜리버리;24시간매장;Wi-Fi 매장;주차가능;단체주문;징거벨오더|128.623784149|35.8442131102
KFC|화정점|1410584|031-970-3620|경기 고양시 덕양구 화정동 970-5|경기 고양시 덕양구 화신로272번길 57 (화정동)||매장 10:00~24:00 / 딜리버리 10:00~23:30|치맥;딜리버리;Wi-Fi 매장;지하철인근;징거벨오더|126.831449215|37.6335430409
KFC|화성병점|1410764|031-221-7030|경기 화성시 병점동 844-1|경기 화성시 효행로 1052 (병점동)|씨네샤르망 A동 1층|매장 10:30~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;단체주문;징거벨오더|127.042468787|37.213947329
KFC|홍익대점|1410501|02-323-7554|서울 마포구 동교동 165-8|서울 마포구 양화로 156 (동교동)|LG팰리스빌딩|매장 24시간 / 딜리버리 월~토10:00~02:00 (일요일 10:00~01:50)|딜리버리;24시간매장;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|126.923448864|37.5561136939
KFC|한남순천향점|1410775|02-793-3354|서울 용산구 한남동 638-5|서울 용산구 대사관로 62 (한남동)||매장 10:00~24:00 / 딜리버리 10:30~23:30|딜리버리;징거벨오더|127.004978149|37.5332097747
KFC|학동역점|1410703|02-514-7333|서울 강남구 논현동 208-7|서울 강남구 학동로 218 (논현동)||매장 24시간 / 딜리버리 10:00~26:00|치맥;딜리버리;24시간매장;주차가능;단체주문;지하철인근;징거벨오더|127.032992299|37.5143599039
KFC|하안동점|1410524|02-803-1551|경기 광명시 하안동 51|경기 광명시 하안로 289 (하안동)||매장 10:00 ~ 01:00 / 딜리버리 11:00~01:00|치맥;딜리버리;주차가능;단체주문|126.880190733|37.4616885179
KFC|하남HP점|1410695|031-791-5835|경기 하남시 신장동 570|경기 하남시 하남대로 747 (신장동)|하남홈플러스지하2층 (신장동)|매장: 10:30~22:00 / 딜리버리: 10:30~22:00|Wi-Fi 매장;주차가능;단체주문;대형마트&백화점내|127.2126302|37.5379955804
KFC|포항양덕DT점|1410827|054-231-7274|경북 포항시 북구 장성동 1433-5|경북 포항시 북구 새천년대로 1365 (장성동)|KFC포항양덕DT|매장 10:00~23:00 / 딜리버리 10:00~23:00|치맥;딜리버리;징거벨오더|129.39631931|36.0766381549
KFC|포항점|1410681|054-276-8910|경북 포항시 남구 상도동 582|경북 포항시 남구 중흥로 77 (상도동)|그랜드에비뉴 1층|매장 10:00~00:30 / 딜리버리 10:30~00:00|딜리버리;Wi-Fi 매장;주차가능;단체주문;징거벨오더|129.348923519|36.012741527
KFC|평택점|1410414|031-657-1900|경기 평택시 평택동 65-7|경기 평택시 평택1로 13 (평택동)||매장 10:00~23:00 / 딜리버리 10:30~23:00|딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|127.086861851|36.9932771778
KFC|코엑스MALL점|1410776|02-501-7295|서울 강남구 삼성동 159|서울 강남구 영동대로 513 (삼성동)|B1층 H102호|10:00~22:00|치맥;지하철인근|127.059159722|37.5118232811
KFC|칠곡HP점|1410685|053-311-6725|대구 북구 동천동 968|대구 북구 동암로12길 8 (동천동)|칠곡홈플러스1층푸드코트|매장 10:30 ~ 22:30 / 딜리버리 11:00 ~ 22:30|Wi-Fi 매장;주차가능;단체주문;대형마트&백화점내|128.555967538|35.9448492727
KFC|춘천이마트점|1410714|033-252-3369|강원 춘천시 온의동 511|강원 춘천시 경춘로 2341 (온의동)|이마트 춘천점 1층 푸드코트 內|10:30~22:00 / 딜리버리  10:30 ~ 22:00|딜리버리;주차가능;단체주문;대형마트&백화점내;징거벨오더|127.718713735|37.8630763067
KFC|춘천석사점|1410800|033-912-3311|강원 춘천시 석사동 885-1|강원 춘천시 영서로 2027 (석사동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;단체주문;징거벨오더|127.745354725|37.8526220236
KFC|청주오창점|1410767|043-214-9515|충북 청주시 청원구 오창읍 양청리 793-5|충북 청주시 청원구 오창읍 중심상업2로 9-23||매장 10:30~22:30 / 딜리버리 11:00~22:30|치맥;딜리버리;단체주문;징거벨오더|127.43002197|36.7139215259
