##NAME|SUBNAME|TELNUM|ORG_SUBNAME|FEAT@@롯데리아
롯데리아|평택고덕삼성점|031-668-1620|평택고덕삼성|와이파이
롯데리아|화정역점|031-971-0637|화정역|홈서비스;리아오더
롯데리아|고양삼송점|02-6989-7979|고양삼송|홈서비스;리아오더
롯데리아|서귀포혁신점|064-738-8386|서귀포혁신|리아오더
롯데리아|울산매곡점|052-294-7452|울산매곡|홈서비스;리아오더
롯데리아|양산증산점|055-367-7875|양산증산|홈서비스;리아오더
롯데리아|능평삼거리점|031-797-1468|능평삼거리|홈서비스;리아오더
롯데리아|하나로마트춘천퇴계점|033-255-5258|하나로마트춘천퇴계|홈서비스;리아오더
롯데리아|롯데마트부평점|032-362-1568|롯데마트부평|리아오더
롯데리아|가평휴게소(상)점||가평휴게소(상)|리아오더
롯데리아|아산장재점|041-544-1546|아산장재|홈서비스;리아오더
롯데리아|수원파장점|031-268-7087|수원파장|홈서비스;리아오더
롯데리아|롯데더몰여수점||롯데더몰여수|리아오더
롯데리아|김포마산점|031-987-9412|김포마산|와이파이;홈서비스;단체주문;리아오더
롯데리아|신정네거리역점|02-2608-1712|신정네거리역|24시간;와이파이;홈서비스;리아오더
롯데리아|대구성당D/T점|053-656-9801|대구성당D/T|24시간;와이파이;D/T;홈서비스;리아오더
롯데리아|진주혁신점|055-752-5999|진주혁신|와이파이;홈서비스;리아오더
롯데리아|영암대불점|061-463-1119|영암대불|홈서비스;리아오더
롯데리아|안산사동점|031-408-5856|안산사동|홈서비스;리아오더
롯데리아|의정부고산점|031-847-7100|의정부고산|홈서비스;리아오더
롯데리아|용인휴게소(하)점||용인휴게소(하)|
롯데리아|진영휴게소(하)점|055-334-8700|진영휴게소(하)|
롯데리아|포항에비뉴점|054-275-9993|포항에비뉴|홈서비스;리아오더
롯데리아|송도달빛공원점|032-858-9028|송도달빛공원|와이파이;홈서비스;리아오더
롯데리아|광명역사점|02-899-3031|광명역사|홈서비스;리아오더
롯데리아|문경시청점|054-556-1231|문경시청|홈서비스;리아오더
롯데리아|청계산입구역점|02-2058-1911|청계산입구역|홈서비스;리아오더
롯데리아|대전목원대점|042-484-3398|대전목원대|홈서비스;리아오더
롯데리아|원주봉산점|033-733-2444|원주봉산|홈서비스;리아오더
롯데리아|무안점|061-453-5555|무안|홈서비스;리아오더
롯데리아|안산그랑시티자이점|031-406-0959|안산그랑시티자이|와이파이;홈서비스;리아오더
롯데리아|시화거북섬점|031-499-5200|시화거북섬|리아오더
롯데리아|인천왕길역점|032-568-0122|인천왕길역|와이파이;홈서비스;리아오더
롯데리아|홈플러스강동점|02-489-4781|홈플러스강동|홈서비스;단체주문;리아오더
롯데리아|서천장항점|041-957-0773|서천장항|홈서비스;리아오더
롯데리아|경기북부청사점|031-851-8577|경기북부청사|와이파이;홈서비스;리아오더
롯데리아|송도랜드마크시티점|032-851-1400|송도랜드마크시티|홈서비스;리아오더
롯데리아|청주동남점|043-295-5686|청주동남|홈서비스;리아오더
롯데리아|남양주덕소점|031-577-5366|남양주덕소|홈서비스;리아오더
롯데리아|동탄산척점|031-374-0435|동탄산척|홈서비스;리아오더
롯데리아|감일점|02-488-5006|감일|와이파이;홈서비스;단체주문;리아오더
롯데리아|대구연경점|053-314-2000|대구연경|와이파이;홈서비스;리아오더
롯데리아|홈플러스월드컵점|02-303-9556|홈플러스월드컵|리아오더
롯데리아|DMC향동점|02-3159-9992|DMC향동|홈서비스;리아오더
롯데리아|김포풍무점|031-996-1550|김포풍무|와이파이;홈서비스;리아오더
롯데리아|논산내동점|041-733-0020|논산내동|홈서비스;리아오더
롯데리아|세종반곡점|044-555-3265|세종반곡|홈서비스;리아오더
롯데리아|남양주화도D/T점|031-595-7731|남양주화도D/T|D/T;홈서비스;리아오더
롯데리아|천안나사렛점|041-577-0630|천안나사렛|홈서비스;리아오더
롯데리아|대구불로봉무점|053-766-8386|대구불로봉무|홈서비스;리아오더
롯데리아|대구장기점|053-635-6060|대구장기|와이파이;홈서비스;리아오더
롯데리아|광주주월점|062-653-3357|광주주월|홈서비스;리아오더
롯데리아|부산동아대점|051-326-4632|부산동아대|홈서비스;리아오더
롯데리아|구미선산점|054-482-2586|구미선산|홈서비스;리아오더
롯데리아|대구침산점|053-351-9166|대구침산|홈서비스;리아오더
롯데리아|시흥은계점|031-311-5318|시흥은계|와이파이;홈서비스;리아오더
롯데리아|원주단관점|033-762-1188|원주단관|홈서비스;리아오더
롯데리아|충주호암점|043-848-7999|충주호암|홈서비스;리아오더
롯데리아|천안역사점|041-566-3367|천안역사|홈서비스;리아오더
롯데리아|안양석수점|031-472-8965|안양석수|와이파이;홈서비스;리아오더
롯데리아|경기광주역점|031-766-3344|경기광주역|홈서비스;리아오더
