##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|FEAT|OT@@맥도날드
맥도날드|대전유성DT점|070-7209-0045|대전광역시 유성구 봉명동 446-5 맥도날드|대전광역시 유성구 계룡로87번길 3 (봉명동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간
맥도날드|대전유천DT점|070-7209-0925|대전광역시 중구 유천동 327-4|대전광역시 중구 계백로 1549  (유천동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간
맥도날드|대전가수원DT점|070-7209-0040|대전광역시 서구 가수원동 655-4|대전광역시 서구 계백로 1124  (가수원동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~03:00
맥도날드|대전가장DT점|070-7017-6437,070-7017-7437|대전 서구 가장동 54-1,23,25,26|대전광역시 서구 도산로 324 (가장동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간
맥도날드|대전센트럴SKDT점|070-7017-2430,070-7017-1430|대전광역시 중구 대흥동 522-1|대전광역시 중구 중앙로 64 (대흥동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:08:00~24:00
맥도날드|대전신탄진DT점|070-7204-4997,070-7204-4957|대전광역시 대덕구 상서동 834-4|대전광역시 대덕구 신탄진로 605 (상서동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간
맥도날드|대전카이스트점|070-7017-6860,070-7204-4430|대전광역시 유성구 가정동 2-23|대전광역시 유성구 대덕대로 535 (가정동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간
맥도날드|대전타임월드점|070-7017-0672|대전광역시 서구 둔산동 1011|대전광역시 서구 둔산로31번길 16 (둔산동)|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:07:00~24:00
맥도날드|대전터미널점|070-7017-6431,070-7017-0431|대전광역시 동구 용전동 63-3|대전광역시 동구 동서대로 1689 (용전동)|맥모닝;맥올데이;Signature Burger|24시간;맥딜리버리:07:00~00:00
맥도날드|대전한남대DT점|070-7209-1474|대전광역시 대덕구 중리동 230-15|대전광역시 대덕구 한밭대로 1102 (중리동)|맥모닝;맥올데이;Signature Burger;맥드라이브|24시간;맥딜리버리:24시간
맥도날드|목원대점|070-7017-6954,070-7204-3297|대전광역시 유성구 용계동 664-8|대전광역시 유성구 도안북로 81 (용계동)|맥모닝;맥올데이;Signature Burger|07:30~24:00;맥딜리버리:07:30~24:00
맥도날드|세이브존대전점|070-7017-0390,070-7017-0317|대전광역시 서구 둔산3동 1809 한신코아백화점 (Savezone)|대전광역시 서구 둔산로 201 (둔산동)|맥모닝;맥올데이;Signature Burger|07:00~02:00;맥딜리버리:09:00~02:00
