서울,은평구,은평문화의집,서울특별시 은평구 백련산로179(응암1동96-3),02)351-5238,http://ep.go.kr,1997. 12. 22,직영,응암1동사무소,"22,900 ",1,토; 일; 공휴일,09:00~18:00,-,-,-,357,"12,640,000 ",
,은평구,갈현1동문화의집,서울특별시 은평구 갈현로301,02)351-5092,http://center.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000002299,2005. 5,직영,은평구청,"6,435 ",2,토; 일; 공휴일,09:00~18:00,-,-,-,#REF!,"67,684,000 ",
,강서구,화곡문화의집,서울특별시 강서구 화곡로215(우장산동 111-90),02)2692-4266,kcc2000.or.kr,1999. 12. 28,위탁,강서문화원,"127,277 ",10,일; 공휴일,10:00~20:00,10:00~17:00,-,-,497.2,"603,527,740 ",
,노원구,노원문화의집,서울특별시 노원구 동일로 지하 1530(1층문화의집),02)2116-4288,,2001. 4. 9,직영 ,노원구청,"50,324 ",4,공휴일,10:00~20:00,10:00~18:00,10:00~18:00,-,540,"86,250,000 ",
,양천구,목2동문화의집,서울특별시 양천구 목동중앙본로 120,02)2620-3972,,1999.12,직영,목2동                      주민자치위원회,"2,000 ",2,일; 공휴일,09:00~22:00,10:00~14:00,-,-,831.6,"116,910,000 ",
서울 총계,,5,,,,,,,,,,,,,,,,
인천,연수구,연수구문화의집,인천광역시 연수구 앵고개로 345-42 (동춘동 926-8),032) 749-7305,culture.yeonsu.go.kr,2014. 3. 7,직영,연수구청,"19,544 ",4,일; 공휴일,09:00~18:00,09:00~18:00,-,-,"2,137","169,871,000",
인천 총계,,1,,,,,,,,,,,,,,,,
광주,북구,일곡문화의집,광주광역시 북구 일곡로 55,062)410-6894,http://ilgoklib.bukgu.gwangju.kr,2000. 9. 16,직영,광주북구청,"21,950 ",2,1·3주 월; 공휴일,09:00~18:00,09:00~17:00,09:00~17:00,-,829.3,"13,528,000 ",
,북구,북구문화의집,광주광역시 북구 대천로 86(문흥동),062)269-1420,www.munhwahouse.or.kr,1997. 10. 24,위탁,"광주문화
자치회의","16,758 ",5,월; 공휴일,"하절기
09:00~19:00
동절기
09:00~18:00","하절기
09:00~18:00
동절기
09:00~17:00",09:00~18:00,-,470.62,"284,000,000 ",
,북구,각화문화의집,광주광역시 북구 동문대로 238-8,062)265-9337,http://www.bgable.kr/munhwa.php,2005. 1,위탁,광주북구                         장애인복지회,"30,768 ",2,일; 공휴일,09:00~19:00,09:00~19:00,-,-,532,"133,000,000 ",
,서구,농성문화의집,광주광역시 서구 화정로 314 (농성동) 2;3층,062)362-2072,www.nsmunhwa.or.kr,2004. 3. 11,위탁,(사)흥사단광주지부,"65,000 ",5,월; 공휴일,10:00~20:00,10:00~18:00,10:00~18:00,-,446.16,"157,287,000",
광주 총계,,4,,,,,,,,,,,,,,,,
대전,대덕구,신탄진문화의집,대전광역시 대덕구 신탄진로 830,042)608-5797,,2001. 2. 7,직영,신탄진동                           행정복지센터,"20,000 ",3,토;일; 공휴일,09:00~18:00,-,-,-,654.4,"19,095,000 ",
,대덕구,회덕문화의집,대전광역시 대덕구 대전로 1348(읍내동) 평생학습센터,042)608-6494,www.lll.daedeok.go.kr,2002. 7,직영,대덕구 평생학습원,"29,800 ",12,토;일; 공휴일,09;00~18:00,-,-,-,1048.362,"8,000,000 ",
,대덕구,송촌문화의집,대전광역시 대덕구 동춘당로94번길 11,042)608-5705,,2003. 2. 1,직영,송촌동주민센터,"19,200 ",1,토;일; 공휴일,09:00~18:00,-,-,-,80.08,"9,103,000 ",
대전 총계,,3,,,,,,,,,,,,,,,,
울산,중구,울산중구문화의집,울산광역시 중구 도서관길 60(북정동; 중부도서관),052)210-6554~5,www.usjl.or.kr,2000. 3. 21,위탁,울산중부도서관,"39,025 ",1,월,09:00-18:00,09:00-18:00,09:00-18:00,-,473,"53,000,000 ",
,북구,농소3동문화의집,울산광역시 북구 신답로 77,052)241-8398,www.bukgu.ulsan.kr/dong/nongso3,2003. 2. 4,직영,농소3동사무소,"21,000 ",2,토;일; 공휴일,09:00~18:00,-,-,-,547,"48,000,000 ",
,남구,신정2동문화의집,울산광역시 남구 봉월로 20번길9(설날동 1210-9),052)226-2792,,2003. 10. 17,직영,신정2동주민센터,"39,858 ",4,토;일; 공휴일,06:00~20:00,-,-,-,982.7,"110,365,474 ",
,울주군,울주문화의집,울산광역시 울주군 온산읍 덕신로 303,052)229-9340,http://culture.uljusiseol.co.kr/,2002. 4. 2,직영,울주군                         시설관리공단,"44,301 ",2,월; 공휴일,09:00~20:00,09:00~18:00,09:00~18:00,-,796,-,
울산 총계,,4,,,,,,,,,,,,,,,,
경기,성남시,성남문화의집,경기도 성남시 수정구 산성대로 217번길 7,031)751-0645,http://sm.seongnam.go.kr,2002. 4. 27,위탁,성남문화원,"30,000 ",5,일; 공휴일,"평일 09:00~18:00
(화;목)09:00~19:30",09:00~18:00,-,-,1711.19,"295,720,000 ",
,성남시,서현문화의집,경기도 성남시 분당구 중앙공원로39번길 29(서현동 89-3번지),031)709-4248,http://sm.seongnam.go.kr,2002. 7. 29,위탁,(사)성남민예총,"43,000 ",4,일; 공휴일,"(월;수)09:00~18:00
(화;목;금)09:00~20:30",09:00~17:00,-,-,777,"428,627,440 ",
,남양주시,진접문화의집,경기도 남양주시 진접읍 금강로 1509-23(3층),031)527-8911,jjculture.or.kr,2000. 9. 8,위탁,생활문화예술협동조합 나와유,"40,000 ",3,월; 공휴일,"10:00~20:00
(동절기19:00)",10:00~18:00       (동절17:00),"10:00~18:00
(동절17:00)",-,157,"250,676,000 ",
,광명시,광명문화의집,경기도 광명시 너부대로32번길 15-3,02)2687-0556,www.gmculture.net,1999. 2. 12,위탁,광명문화재단,"16,000 ",2,일; 공휴일,09:00~18:00,10:00~17:00,-,-,543.56,"138,288,000 ",
,광명시,하안문화의집,경기도 광명시 철망산로42 2층,02)898-1500,www.ha-an.com,2005. 9. 8,위탁,광명문화재단,"8,000 ",2,일; 공휴일,09:00~18:00,10:00~17:00,-,-,312.3,"53,242,500 ",
,화성시,향남문화의집,경기도 화성시 향남읍 발안로 89,031)369-2596,,2001. 6. 1,위탁,화성시 문화예술과,"20,000 ",4,일; 공휴일,09:00~20:00,09:00~12:00,-,-,#REF!,"137,574,000 ",
,화성시,봉담문화의집,경기도 화성시 봉담읍 샘마을1길 7,031)227-4822,cafe.daum.net/self-gover,2001. 9. 1,위탁,봉담읍                              주민자치위원회,"4,000 ",2,일; 공휴일,09;00~21:00,10:00~18:00,-,-,342.6,"169,944,850 ",
,의왕시,의왕문화의집,경기도 의왕시 백운로 23,031)458-8041,,1999. 7. 14,위탁,의왕문화원,"20,000 ",2,월; 공휴일,10:00~20:00,10:00~18:00,10:00~18:00,-,532,"136,220,000 ",
,고양시,고양문화의집,경기도 고양시 일산서구 산현로 99,031)911-2500(11),culture.gys.or.kr,2008. 4. 1,위탁,고양도시관리공사,"378,855 ",95,일; 공휴일,09;00~21:00,09:00~18:00,-,-,1819.4,"911,767,000 ",
경기 총계,,9,,,,,,,,,,,,,,,,
강원,강릉시,강릉문화의집,강원도 강릉시 율곡로 2923-12 행복한모루1층,033)647-4284,www.cnaf.or.kr,1997. 8. 6,직영,강릉시청,"54,000 ",2,월; 공휴일,09:00~22:00,09:00~18:00,09:00~18:00,-,327,"59,800,000 ",
,강릉시,주문진문화의집,강원도 강릉시 교항리 398-4번지,033)662-7981,,2004. 4. 10,직영 ,주문진읍사무소,"6,306 ",1,월; 공휴일,09:00~18:00,09:00~17:00,09:00~17:00,-,692.5,-,
,원주시,원주문화의집,강원도 원주시 일산로 72,033)764-3794,www.wjmunwha.or.kr,2000. 10. 10,위탁,원주문화원,"9,800 ",3,공휴일,09:00~18:00,09:00~18:00,09:00~18:00,-,587,"77,915,000 ",
,원주시,판부문화의집,강원도 원주시 치악로 1503 판부면사무소 2층,033)761-8854,panbu.kr,2005. 10,위탁,판부                              주민자치위원회,"1,200 ",3,월; 공휴일,10:00~20:00,10:00~16:00,10:00~16:00, - ,514.8,"155,000,000 ",
,태백시,태백문화의집,강원도 태백시 장성동 205,033)550-2835,,2000. 11. 22,직영,태백시청,"1,440 ",3,토; 일; 공휴일,08:00~17:00,-,-,-,393.4,"51,000,000 ",
,고성군,고성문화의집,강원도 고성군 간성읍 간성로 71-7,033)680-3695,,2002. 3. 3,직영,고성군청,"30,313 ",2,월; 공휴일,09:00~20:00,09:00~18:00,09:00~18:00,-,1457.6,"47,931,000 ",
강원 총계,,6,,,,,,,,,,,,,,,,
충북,청주시,청주문화의집,충청북도 청주시 상당구 대성로 6번길 18,043)223-0686,http://cjculturehouse.or.kr,2001. 7. 5,위탁,청주예총,"40,000 ",3,월; 공휴일,10:00~21:00,10:00~18:00,10:00~18:00,-,709.9,"116,600,000 ",
,청주시,흥덕문화의집,충청북도 청주시 서원구 예체로 118,043)274-7500,www.hdmunhwa.org,2003. 7. 3,위탁,청주민예총,"30,000 ",5,월; 공휴일,10:00~20:00,10:00~18:00,-,-,630.4,"252,000,000 ",
,제천시,제천문화의집,충청북도 제천시 의림대로 125,043)642-3646,jecheoncc.or.kr,1998. 8. 12,위탁,제천문화원,100 ,4,별도일,09:00~18:00,필요시 10:00~18:00,필요시 10:00~18:00,필요시 10:00~18:00,370.6,-,
,영동군,영동문화의집,충청북도 영동군 영동읍 영동천2길29,043)745-2215,,2000. 9. 5　,위탁,영동문화원,"16,534 ",3,월; 공휴일,10:00~20:00,10:00~18:00,10:00~18:00,-,725;76,"65,000,000 ",
,증평군,증평문화의집,충청북도 증평군 증평읍 문화로 75 2층 문화의집,043)835-3980,http://jpcc.pr.kr,2000,위탁,증평문화의집,"5,000 ",1,토;일; 공휴일,09:00,-,-,-,228,"58,000,000 ",
,진천군,진천문화의집,충청북도 진천군 진천읍 읍내리 431-23번지,043)532-2004,cafe.daum.net/munzip2004,2003. 4. 1,위탁,진천문화원,"5,040 ",1,월; 공휴일,10:00~19:00,10:00~17:00,10:00~17:00,-,472.6,"42,200,000",
,단양군,단양문화의집,충청북도 단양군 단양읍 수변로81,043)420-3132,www.dyyouth.co.kr,2001,직영,단양군청,"60,219 ",4,월,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,368.3,"113,621,000 ",
충북 총계,,7,,,,,,,,,,,,,,,,
