##NAME|SUBNAME|ETCNAME|TELNUM|NEWADDR|SINCE|WEBSITE|SOURCE2@@대형예술센터
강남씨어터||강남문화재단|02-6712-0543|서울시 강남구 삼성로628(삼성동66) 강남문화재단 4층|2008.10.30|http://www.gfac.kr/|한국문화예술회관연합회
강동문화재단|||02-440-0500|서울특별시 강동구 동남로 870 (상일동)|2011년 9월|http://www.gangdongarts.or.kr|한국문화예술회관연합회
관악아트홀||관악문화재단|02-878-5700|서울시 관악구 신림로3길 35(신림동)|2002.10.11|https://www.gfac.or.kr/index.html|한국문화예술회관연합회
나루아트센터||광진문화재단|02-2049-4700|서울특별시 광진구 능동로 76|2005.5.2|http://www.naruart.or.kr|한국문화예술회관연합회
구로아트밸리예술극장||구로문화재단|02-2029-1700|서울특별시 구로구 가마산로25길 9-24|2008년  7월  20일|http://www.guroartsvalley.or.kr|한국문화예술회관연합회
금나래아트홀||금천문화재단|02-2627-2981|서울특별시 금천구 시흥대로73길 금천구청 내|2008.10.17|http://www.gnrart.or.kr|한국문화예술회관연합회
노원문화예술회관||노원문화재단|02-2289-3400|서울특별시 노원구 중계로 181|2019년 7월 1일|http://www.nowonart.kr/|한국문화예술회관연합회
두산아트센터||두산연강재단|02-708-5001|서울특별시 종로구 종로33길 15 두산아트센터|2007년 10월 1일|http://www.doosanartcenter.com/|한국문화예술회관연합회
마포아트센터||마포문화재단|02-3274-8620|서울특별시 마포구 대흥로20길 28|2002년 4월 25일|http://www.mapoartcenter.or.kr|한국문화예술회관연합회
남산예술센터||서울문화재단|02-3290-7000|서울특별시 중구 소파로 138 (예장동 8-19)|2009년 6월 8일|http://www.nsac.or.kr|한국문화예술회관연합회
반포심산아트홀||서초문화재단|02-3477-2461|서울시 서초구 사평대로 55(반포동) 심산기념문화센터 1층|2011.3.29|http://www.seochocf.or.kr|한국문화예술회관연합회
성동문화회관||성동문화재단|02-2204-6401|서울특별시 성동구 왕십리로 281|성동문화회관 : 1989.11성수아트홀 : 2012.9.14|http://www.sdfac.or.kr|한국문화예술회관연합회
미아리고개예술극장||성북문화재단|02-2038-4901|서울특별시 성북구 아리랑로 12길 4 성북문화재단 3층|1989년 6월 30일|http://www.sbculture.or.kr|한국문화예술회관연합회
세종문화회관|||02-399-1000|서울특별시 종로구 세종대로 175|1978년 4월 14일|http://www.sejongpac.or.kr|한국문화예술회관연합회
영등포아트홀||영등포문화재단|02-2670-4020|서울특별시 영등포구 국회대로 596|2009.2.11|http://www.ydpcf.or.kr|한국문화예술회관연합회
은평문화예술회관||은평문화재단|02-351-3736|서울특별시 은평구 녹번로 16(녹번동)|1996년 11월 15일|http://www.efac.or.kr|한국문화예술회관연합회
정동극장|||02-751-1500|서울특별시 중구 정동길 43 (정동 8-11)|1995년 6월 17일|http://www.jeongdong.or.kr|한국문화예술회관연합회
아이들극장||종로문화재단|02-2088-4290|서울시 종로구 성균관로 91 올림픽기념생활관 신관|2016.4.30|https://jct.jfac.or.kr|한국문화예술회관연합회
충무아트센터||중구문화재단|02-2230-6601|서울특별시 중구 퇴계로 387|2005년 3월 25일|http://www.caci.or.kr|한국문화예술회관연합회
국립국악원|||02-580-3300|서울특별시 서초구 남부순환로 2364|1951년 04월 10일|http://www.gugak.go.kr|한국문화예술회관연합회
국립중앙극장|||02-2280-4114|서울특별시 중구 장충단로 59 (장충동2가 산 14-67)|1973년 10월 17일|http://www.ntok.go.kr|한국문화예술회관연합회
서대문문화회관|||02-360-8560|서울특별시 서대문구 백련사길 39|1993년 10월 15일|http://www.sscmc.or.kr|한국문화예술회관연합회
예술의전당|||02-580-1300|서울특별시 서초구 남부순환로 2406(서초동)|-음악당,서예관(1988년 2월 15일)  - 미술관,예술자료관(1990년 10월 17일)  -오페라하우스(1993년 2월 15일)|http://www.sac.or.kr|한국문화예술회관연합회
우리금융아트홀|||02-410-1883|서울특별시 송파구 올림픽로 424 (방이동 88-2) 역도경기장 2층 공연사업팀|2009년 11월|http://www.olympicpark.co.kr/jsp/homepage/contents/culture/venue_30.jsp|한국문화예술회관연합회
아르코예술극장||한국문화예술위원회|02-3668-0007|서울특별시 종로구 대학로8길 7|2010년 1월 28일|http://theater.arko.or.kr|한국문화예술회관연합회
강북문화예술회관|||02-944-3068|서울특별시 강북구 삼각산로 85|2001.11.01|http://www.gangbukcmc.seoul.kr|한국문화예술회관연합회
용산아트홀|||02-2199-7260|서울특별시 용산구 녹사평대로 150(이태원동)|2010.07.01|http://art.yongsan.go.kr|한국문화예술회관연합회
종로체육문화센터|||02-2014-4066|서울특별시 종로구 인왕산로1길 21|2007.04.01|http://www.ijongno.co.kr/front/main/41|한국문화예술회관연합회
부평아트센터||부평구문화재단|032-500-2000|인천광역시 부평구 아트센터로 166(십정동)|2010년 4월 2일|http://www.bpcf.or.kr/artcenter/introduce.asp|한국문화예술회관연합회
트라이보울||인천문화재단|032-760-1096|인천광역시 연수구 인천타워대로 250(송도동24-6)|2012.11.23|http://www.tribowl.kr|한국문화예술회관연합회
인천서구문화회관||인천서구문화재단|032-567-1160|인천광역시 서구 서달로 190(가정동)|1995년 2월 10일|http://www.iscf.kr|한국문화예술회관연합회
계양문화회관|||032-551-6602|인천광역시 계양 계양산로 35번길 11|1997.11.27|http://www.gysiseol.or.kr/culturebuilding/main/index.php|한국문화예술회관연합회
