##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@박물관
(재)중남미문화원병설박물관|사립||031-962-9291,-7171|경기 고양시 덕양구 대양로 285번길 33-15|하절기(4월~10월) 10:00~18:00 / 동절기(11월~3월) 10:00~17:00|매주 월요일, 설, 추석 당일|일반 : 6,500원 / 청소년 : 5,500원 / 어린이 : 4,500원 / 경로, 장애인, 국가유공자 : 20%할인 / ※단체 20명 이상|아트샵; 레스토랑; 카페|http://www.latina.or.kr|한국박물관협회|126.8956283|37.7037465
(재)한국기독교역사박물관|사립||031-632-1391|경기 이천시 대월면 대평로 214번길 10-13|01:00~17:00|매주 일, 월요일, 설, 추석, 어린이날|무료|야외정원|http://www.kchmuseum.org|한국박물관협회|127.4992405|37.2228856
(재)한국등잔박물관|사립||031-334-0797|경기 용인시 처인구 모현읍 능곡로56번길 8|하절기 10:00~17:30 / 동절기 10:00~17:00|매주 월, 화요일(단, 공휴일인 경우 제외) / 신정 / 설날(당일) / 추석(당일)|미취학 무료 / 학생 3,000원 / 성인 5,000원 / 어르신 3,000원 / 복지 2,000원||http://deungjan.org|한국박물관협회|127.1778086|37.3365998
(재)한원미술관|사립||02-588-5642|서울 서초구 남부순환로 2423 한원빌딩 B1|10:00~18:00|매주 월요일, 공휴일(일요일 제외)|무료||http://www.hanwon.org|한국박물관협회|127.0153202|37.4817557
(주)소인국테마파크|사립||064-793-5400|제주 서귀포시 인덕면 중산간서로 1878|하절기 08:30~19:30 / 동절기 08:30~17:30(일몰 1시간 전까지 입장)|연중무휴|성인 : 9,000원(단체 : 7,000원) / 청소년, 군인, 경로, 장애인, 유공자 : 7,000원(단체 : 3,500원) / 어린이 : 5,000원(단체 : 3,000원) / ※단체 20명 이상|카페; 한식당 뷔페식|http://www.soingook.com|한국박물관협회|126.3223334|33.2907466
63아트|사립||02-780-6382|서울 영등포구 여의도동 60|월 – 일요일 10:00 ~ 22:00 (매표 마감 21:30)|연중무휴|《개인》 어른(만 19세 이상) 13000원, 청소년(만 13세~18세) 12000원어린이(36개월 이상~만 12세) 및 경로 11000원《단체》(20명이상)어른 10000원, 어린이 8000원|아쿠아플라넷63; 63스퀘어|http://63.co.kr|한국박물관협회||
CICA미술관|사립||031-988-6363|경기 김포시 양촌읍 삼도로 196-30|10:30~17:30|월, 화요일|일반 : 5,000원 / 김포 시민 : 4,000원 / 어린이(초등학생, 유치원생) : 3,000원|미디어관; CICA 가든; CICA 아트 앤 북 까페|http://cicamuseum.com|한국박물관협회|126.5977374|37.6081526
C아트뮤지엄|사립|숲속의 미술공원|031-775-6945|경기 양평군 양동면 다락근이길 57-13|하절기 : 5월~10월 09:00~18:00 (오후 5시까지 입장)동절기 : 11월~4월 10:00~17:00 (오후 4시까지 입장)|무휴|성인 : 7,000원 / 어린이(5세~12세) : 5,000원||http://www.cartmuseum.com/|한국박물관협회||
LIUSEUM/세계민족악기전시관|사립||031-580-8015|강원 춘천시 남산면 남이섬길 1|09:30~18:00|연중무휴|무료|아트샵; 카페; 다목적 공연장; 수유실|http://www.songisland.co.kr|한국박물관협회||
SN박물관|사립||064-784-0930|제주 제주시 구좌읍 금백조로 930|매일 09:00 - 18:00 - 10월~3월매일 09:00 - 19:00 - 4월~9월|-|성인 : 18,000원 (단체 : 15,000원) - 19세 이상청소년 : 15,000원 (단체 : 13,000원) - 14세 ~ 18세어린이 : 12,000원 (단체 : 11,000원) - 36개월 ~ 13세제주도민, 경로 65세 이상 : 30% 할인 (신분증 소지자에 한해 적용)장애인 / 국가유공자 : 50% 할인 (신분증 소지자에 한해 적용)|카페; 아트샵 등|http://snoopygarden.com|한국박물관협회||
