##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@박물관
감귤박물관|공립||064-760-6400|제주 서귀포시 효돈순환로 441|09:00~18:00 (7월~9월 09:00~19:00)|1월 1일, 설·추석 당일|성인 : 1,500원(단체 : 1,000원) / 중,고등학생 : 1,000원(단체 : 700원) / 초등학생 : 800원(단체 : 500원) / ※단체 10명 이상|뮤지엄샵;  족욕체험장; 과즐체험장; 감귤특화카페 꿈나다|http://www.citrus.seogwipo.go.kr|한국박물관협회|126.6073620|33.2716170
강릉/오죽헌/시립박물관|공립||033-660-3301|강원 강릉시 율곡로 3139번길 24|09:00~18:00|1월 1일, 설날, 추석|어른 3,000원, 청소년,군인 2,000원, 어린이 1,000원, 만 65세 이상 무료, 강릉시민(본인) 무료(신분증지참)||http://gn.go.kr/museum|한국박물관협회||
강원도DMZ박물관|공립||033-681-0625|강원 고성군 현내면 통일전망대로 369|하절기 09:00~18:00 / 동절기 09:00~17:00|매주 월요일, 1월 1일|어른 : 2,000원(단체 : 1,400원) / 청소년, 군인 : 1,000원(단체 : 700원) / 어린이 : 1,400원(단체 : 1,000원) / ※단체 20명 이상, 강원도민 50% 할인|아트샵; 카페|http://www.dmzmuseum.com|한국박물관협회|128.3827003|38.5763188
강진군고려청자박물관|공립||061-430-3755|전남 강진군 대구면 청자촌길 33|09:00~18:00|연중무휴|어린이 : 1,000원(단체 : 500원) / 청소년, 군인 : 1,500원(단체 : 1,000원) / 어른 : 2,000원(단체 : 1,500원) / ※단체 30명 이상|아트샵|http://www.celadon.go.kr|한국박물관협회|126.8008900|34.5086912
강진군다산박물관|공립||061-430-3911|전남 강진군 도암면 다산로 766-20|입장시간 : 09:00~17:30 / 관람시간 : 09:00~18:00|매주 월요일(다만, 월요일이 「관공서의 공휴일에 관한 규정 그 밖에 군수가 정하는 날)|어른 : 2,000원(단체 : 1,000원) / 청소년, 군인 : 1,000원(단체 : 500원) / 어린이 : 500원(단체 : 300원)※단체 20명 이상, 강진군민 50% 할인|체험장|http://dasan.gangjin.go.kr|한국박물관협회||
강화역사박물관|공립||032-930-4608|인천 강화군 하점면 강화대로 994-19|09:00~18:00|매주 월요일, 설·추석 당일|어린이, 청소년, 군인 : 1,000원(단체 : 800원) / 일반 : 1,500원(단체 : 1,200원) / ※단체 30명 이상|뮤지엄샵(매점)|http://museum.ganghwa.go.kr|한국박물관협회|126.4357742|37.7736098
강화자연사박물관|공립||032-933-9500|인천 강화군 하점면 강화대로 994-33|09:00~17:30|1월1일, 신정, 추석, 매주월요일|어른 : 3,000원(단체:2,500원) / 어린이,청소년,군인 : 2,000원(단체:1,500원) / 유아 및 노인, 강화군민, 국가유공자 무료||http://museum.ganghwa.go.kr|한국박물관협회|126.4345175|37.7747214
강화전쟁박물관|공립||032-934-4290|인천 강화군 강화읍 해안동로 1366번길 18|09:00~18:00|연중무휴|어른: 900원(개인), 700원(단체 30인 이상) / 어린이, 청소년, 군인: 600원(개인), 500원(단체 30인 이상) / *무료관람 보호자를 동반한 6세 이하의 어린이, 65세 이상의 노인, 국가유공자 및 그 배우자, 참전유공자로 참전유공자증을 소지한 자, 장애인으로서 장애인 수첩을 소지한 자, 강화군에 주민등록을 두고 증명서를 제시한 군민, 기타 군수가 필요하다고 인정하는 자 / ※주민등록증이나 기타 증명서를 제시하는 자에 한함.||http://museum.ganghwa.go.kr|한국박물관협회|126.5160548|37.7335693
거제어촌민속전시관|공립||055-639-8270|경남 거제시 일운면 지세포해안로 41|09:00 ~ 18:00 (17:00까지 입장)|1월 1일, 설날 및 추석 당일, 매주 월요일(단, 월요일이 공휴일인 경우 개관하고 다음 평일에 휴관)|성인 : 3,000원, 중.고등학생 / 군인 : 2,000원, 초등학생 : 1,000원|4D영상탐험관|http://www.geojemarine.or.kr|한국박물관협회||
거창박물관|공립||055-940-8740|경남 거창군 거창읍 수남로 2181|하절기 09:00~18:00 / 동절기 09:00~17:00|매주 월요일, 1월 1일, 설, 추석|무료||http://museum.geochang.go.kr|한국박물관협회|127.9106107|35.6741634
검단선사박물관|공립||032-440-6790|인천 서구 원당동 고산후로 121번길 7|09:00~18:00|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 공휴일 다음날, 1월 1일|무료||http://sunsa.incheon.go.kr|한국박물관협회|126.6986875|37.5944154
경기도박물관|공립||031-288-5400|경기 용인시 기흥구 상갈로 6|10:00~18:00|매월 1, 3째 주 월요일|무료|아트샵; 매점|http://musenet.ggcf.kr|한국박물관협회|127.1086791|37.2682803
경기도어린이박물관|공립||031-270-8601|경기 용인시 기흥구 상갈로 6|10:00~18:00 / 7월∼8월 10:00~19:00|매월 2, 4째주 월요일|12개월 이상 : 4,000원(단체 : 2,000원) / ※단체 20명 이상|아트샵; 레스토랑; 카페; 수유실; 보건실|http://www.gcmuseum.or.kr|한국박물관협회|127.1096894|37.2674108
경기도자박물관|공립||031-799-1500|경기 광주시 곤지암읍 경충대로 727|09:00 ~ 18:00 (관람 종료 30분 전까지 입장할 수 있습니다.)|연중 상시운영(단, 매년 1월 1일, 매주 월요일, 명절 당일 휴관)|일반3,000원- 만19세 ~ 64세(대학생 이상)|공원|http://ggcm.or.kr|한국박물관협회||
경기북부어린이박물관|공립||031-860-2860|경기 동두천시 평화로 2910번길 46|10:00~18:00  1일 5회,  회당 90분 운영 / 운영회차 1회차 : 10:00~11:30, 2회차 : 11:35~13:05, 3회차 : 13:10~14:40, 4회차 : 14:45~16:15, 5회차 : 16:20~17:50|매주 월요일(공휴일인 경우 익일), 1월 1일, 설날, 추석 당일|36개월 이상 4,000원|뮤지엄샾; 런치룸; 강당; 의무실; 수유실; 야외 놀이터|http://childmus.ddc.go.kr|한국박물관협회||
경산시립박물관|공립||053-804-7323~4|경북 경산시 박물관로 46|09:00~18:00|매주 월요일, 1월 1일, 설·추석 당일|무료||http://museum.gbgs.go.kr|한국박물관협회|128.7630380|35.8139080
계양산성박물관|공립||032-450-8317~8|인천 계양구 계양산로 101|09:00 ~ 18:00 (입장마감 : 관람종료 30분 전)|매주 월요일, 1월 1일, 설날·추석 당일|어린이 · 청소년 · 65세 이상 - 개인 : 무료 / 단체(20인 이상) : 무료성인(19세 이상, 64세 이하) - 개인 : 1,000원 / 단체(20인 이상) : 800원군경 - 개인 : 500원, 단체(20인 이상) : 500원 * 국민기초생활보장법에 따른 수급자, 국가유공자 및 유가족, 독립유공자, 장애인(보호자 1명까지), 한부모가족, 박물관 자료 기증자, 유족 또는 가족(배우자, 자녀, 부모 한정), 공익상 필요하다고 인정할 경우 : 무료관람|카페테리아; 전망대|https://museum.gyeyang.go.kr/|한국박물관협회||
고구려대장간마을|공립||031-550-8353|경기 구리시 우미내길 41|하절기 09:00~18:00(토·일·공휴일 19:00까지) / 동절기(11월~2월) 09:00~17:00(토·일·공휴일 18:00까지)|연중무휴|일반(20~65세) : 3,000원(단체 : 2,000원) / 청소년(14~19세) : 2,000원(단체 : 1,500원) / 아동(8~13세) : 1,500원(단체 : 1,000원)||http://guri.go.kr/main/gbv|한국박물관협회|127.1108638|37.5606007
