##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@기념관
강진군시문학파기념관|공립||061-430-3186|전남 강진군 강진읍 영랑생가길 14|09:00~18:00|1월 1일, 설, 추석|무료|카페|http://www.gangjin.go.kr/simunhak/|한국박물관협회|126.7659920|34.6422420
고촌이종근기념관|사립||070-7094-4510|서울 서대문구 충정로8, 종근당빌딩 2층|10:00~17:00|국경일, 공휴일|무료||http://www.kochonhall.or.kr|한국박물관협회||
김대중노벨평화상기념관|공립||061-245-5660|전남 목포시 삼학로 92번길 68|09:00~18:00|매주 월요일|어른 : 4,000원(단체 : 3,000원) / 청소년 : 3,000원(단체 : 2,000원) / 초등학생 : 1,500원(단체 : 1,000원) / 유치원생 : 700원(단체 : 500원) / ※단체 20명 이상||http://kdjnpmemorial.or.kr|한국박물관협회|126.3928892|34.7830110
김만덕기념관|공립||064-759-6090|제주 제주시 산지로 7|오전 9시 ~ 오후 6시 (관람시간 30분전 입장마감)|매주 월요일, 1월1일, 설날, 추석|무료||http://mandukmuseum.or.kr|한국박물관협회||
농민문학기념관|사립||043-743-5186|충북 영동군 매곡면 노천2길 5-1|10:00∼17:00|매주 월요일|무료|카페|http://www.nongminmk.com|한국박물관협회|127.9299674|36.1888348
도산안창호기념관|사립||02-541-1800|서울 강남구 도산대로 45길 20 도산공원 내|월~일 10:00~17:00|신년 1월 1일, 설.추석연휴|무료|아트샵|http://www.ahnchangho.or.kr|한국박물관협회|127.0356302|37.5239978
독립기념관|사립||041-560-0114|충남 천안시 동남구 목천읍 독립기념관로 1|하절기 09:00~18:00 / 동절기 09:00~17:00|매주 월요일|무료|아트샵; 레스토랑; 카페; 야영장; 운동장(솔숲쉼터)|http://www.i815.or.kr|한국박물관협회||
동학농민혁명기념관|공립||063-536-1894|전북 정읍시 덕천면 동학로 742|하절기(3월~10월) 09:00-19:00 / 입장시간 09:00-18:00동절기(11월~2월) 09:00-18:00 / 입장시간 09:00-17:00|매주 월요일, 1월 1일은 휴관|무료||http://1894.or.kr|한국박물관협회||
만해기념관|사립||031-744-3100|경기 광주시 중부면 남한산성로 792번길 24-7|하절기(3월~10월) 09:00~18:00/ 동절기(11월~2월) 10:00~17:00|매주 월요일, 1월 1일|초·중·고등학생 : 1,000원(단체 : 800원) / 일반 : 2,000원(단체 : 1,600원) / 장애인, 군인 : 1,000원 / 국가유공자, 중부면 주민, 6세 이하 : 무료 / ※단체 20명 이상|아트샵|http://www.manhae.or.kr|한국박물관협회|127.1807469|37.4772659
명성황후기념관|공립||031-881-9674|경기 여주시 명성로 71|||||http://empressmyeongseong.kr|한국박물관협회||
몽양여운형생가·기념관|공립||031-770-2309|경기 양평군 양서면 몽양길 66|하절기 09:30~18:00 / 동절기 09:30~17:00|매주 월요일, 1월 1일, 설·추석 당일|일반 : 1,000원(단체 : 800원) / 중·고등학생, 군인 : 800원(단체 : 500원) / 초등학생 : 500원(단체 : 400원) / ※단체 20명 이상|매점|http://yp21.go.kr/museumhub|한국박물관협회|127.3734399|37.5303488
백범김구기념관|사립||02-799-3400|서울 용산구 임정로 26|하절기 10:00~18:00 / 동절기 10:00~17:00|매주 월요일, 1월 1일, 설, 추석|무료|아트샵|http://www.kimkoomuseum.org|한국박물관협회|126.9592347|37.5442812
부천펄벅기념관|공립||032-668-7565|경기 부천시 소사구 성주로 214번길 61|09:00~18:00|매주 월요일, 공휴일 다음날, 1월 1일, 설·추석 연휴|무료|야외 공원|http://www.bcmuseum.or.kr|한국박물관협회|126.7816012|37.4754732
서울올림픽기념관|사립||02-410-1354|서울 송파구 올림픽로 448|10:00~18:00|매주 월요일, 설ㆍ추석 당일|무료|아트샵; 카페|http://88olympic.kspo.or.kr|한국박물관협회|127.1159236|37.5202976
성호기념관|공립||031-481-2574~5|경기 안산시 상록구 성호로 131|09:00~18:00|매주 월요일, 1월 1일, 설ㆍ추석연휴|일반 : 500원(단체 : 300원) / 청소년, 군인 : 300원(단체 : 200원) / 어린이 : 200원(단체 : 100원) / ※단체 30명 이상||http://seongho.iansan.net|한국박물관협회||
손기정기념관|공립||02-364-1936|서울 중구 손기정로 101 손기정체육공원 내|10:00~18:00|매주 월요일, 1월 1일, 설, 추석|무료|휴게실; 멀티자판기 2대|http://www.sonkeechung.com|한국박물관협회|126.9646785|37.5558165
안중근의사기념관|사립||02-3789-1026|서울 중구 소월로 91|하절기 10:00~17:00 / 동절기 10:00~18:00|매주 월요일, 명절 당일|무료|아트샵|http://www.ahnjunggeun.or.kr|한국박물관협회|126.9803691|37.5534654
유관순열사기념관|공립||041--564-1223|천안시 동남구 병천면 유관순길 38|하절기 09:00~18:00 / 동절기 09:00~17:00 ※ 현재 상설전시 개편 공사로 휴관중(2020. 11월 중 재개관)|없음|무료|유관순열사 추모각; 순국자 추모각; 봉화대; 초혼묘; 생가 등|http://www.cheonan.go.kr/yugwansun.do|한국박물관협회||
유엔평화기념관|사립||051-901-1450|부산 남구 홍곡로 320번길 106|10:00~18:00|1월 1일 / 매주 월요일(월요일이 정부에서 지정하는 공휴일인 경우 다음날) / 기타 기념관장이 필요하다고 인정하여 정하는 날|무료|UN평화센터; 컨벤션홀; 기념품샵; 수유실; 전망대; 4D 영상관|http://www.unpm.or.kr|한국박물관협회|129.0930426|35.1245229
이한열기념관|사립||02-325-7216|서울 마포구 신촌로 12나길 26|월~금 오전 10시 ~ 오후 5시(주말·공휴일은 예약)|||교육실|http://www.leememorial.or.kr|한국박물관협회|126.9338788|37.5550384
전쟁기념관|사립||02-709-3139|서울 용산구 이태원로 29|09:30 ~ 18:00 / 매월 마지막 토요일 09:30 ~ 20:00)|매주 월요일(월요일이 공휴일인 경우 익일 휴관)|무료|기념품샵; 카페; 수유실|http://www.warmemo.or.kr|한국박물관협회|126.9768849|37.5368975
제8대/유엔사무총장/반기문/평화기념관|공립||043-871-3123|충북 음성군 원남면 행치길 15-5|화요일~일요일 오전 9시~오후 6시 (입장마감 오후 5시)|매주 월요일(단, 월요일이 공휴일인 경우에는 그 다음의 첫 번째 평일), 1월 1일, 설날, 추석|무료||https://www.eumseong.go.kr/www/index.do|한국박물관협회||
청마기념관|공립||055-635-8340|경남 거제시 둔덕면 방하2길 6|09:00 ~ 18:00|매주 월요일, 1월 1일, 설날 및 추석 당일|무료|청마생가; 시비동산; 청마묘소; 시비공원; 청령정(정자); 파고라 공원; 장애인 화장실; 외부주차장 등|http://cheongma.or.kr/|한국박물관협회||
최용신기념관|공립||031-481-3040|경기 안산시 상록구 샘골서길 64(본오동)|09:00~18:00|매주 월요일, 설·추석 연휴|무료||https://choiyongshin.ansan.go.kr/|한국박물관협회|126.8627152|37.2996409
칠곡호국평화기념관|공립||054-979-5512|경북 칠곡군 석적읍 강변대로 1580|하절기(3~10월) : 09:00~18:00 / 동절기(11~2월) : 09:00~17:00|매주 월요일,1월 1일,설날 및 추석 당일|성인 3,000원(단체 2,000원) / 중고생 및 군인 2,000원(단체 1,500원) / 초등생 1,000원(단체 500원) / 미취학아동, 경로, 장애인, 기초생활수급자, 국가유공자 등 무료 *단체: 20명 이상, 칠곡군민 50%|컨벤션홀;세미나실;체험실;북카페;매점;식당|http://chppm.chilgok.go.kr|한국박물관협회||
혜곡최순우기념관|사립||02-3675-3401~2|서울 성북구 성북로 15길 9|10:00~16:00|매주 일, 월요일, 추석, 12월~3월|무료||http://choisunu.com|한국박물관협회|127.0003701|37.5929433
