##NAME|AREA|SUBNAME|TELNUM|NEWADDR|FATHER|SINCE@@성당
천주교|청주교구|가경동성당|043-237-2284|충북 청주시 흥덕구 경산로43번길 21|주임신부 김광현 이냐시오 신부|2005.1.20.
천주교|수원교구|가남성당|031-882-1103|경기도 여주시 가남읍 태평4길 11-6|주임 이승남 세바스티아노 신부|1993.02.18
천주교|서울대교구|가락2동성당|02-2043-0084~5|서울특별시 송파구  중대로20길 20-1|주임신부 송재영 야고보 신부|2009.02.05
천주교|서울대교구|가락동성당|02-425-2206~7|서울특별시 송파구  송파대로36길 34 (송파동)|주임신부 양권식 시메온 신부|1983.08.16
천주교|서울대교구|가락시장(준)성당|02-409-3411|서울특별시 송파구  양재대로 932 (가락동) 가락동농수산물시장 청과동 3층 39-2|주임신부 홍상표 바오로 신부|1991.08.23
천주교|춘천교구|가산성당|031-543-1267|경기도 포천시 가산면 가산로309번길 19|주임신부 김선류 타대오 신부|2005.9.10.
천주교|대전교구|가수원성당|042-542-0663|대전광역시 서구  가수원로65번길 38|주임신부 최교선 토마스 신부|1979.9.19.
천주교|대구대교구|가실성당|054-976-1102|경북 칠곡군 왜관읍 가실1길 1|주임신부 서강일 아우구스티노 신부|1895.10.1.
천주교|부산교구|가야성당|051-891-5655|부산광역시 부산진구  가야공원로 7|주임신부 윤명기 요한 칸시오 신부|1973.7.5.
천주교|대전교구|가양동성당|042-636-0251|대전광역시 동구  흥룡로 55|주임신부 안재현 사도 요한 신부|1989.8.19.
천주교|서울대교구|가양동성당|02-2659-3272|서울특별시 강서구  허준로 69 (가양동)|주임신부 오은환 베드로 신부|1992.09.24
천주교|대전교구|가오동성당|042-285-9517|대전광역시 동구  은어송로52번길 20|주임신부 이원화 요셉 신부|2011.01.12
천주교|안동교구|가은성당||경상북도 문경시 가은읍 대야로 2491-4|주임신부 김도겸 아론 신부|
천주교|마산교구|가음동성당|055-282-3667|경상남도 창원시 성산구  가음정로 107-24|주임신부 유해욱 요아킴 신부|1977.07.05
천주교|서울대교구|가재울성당|02-308-8871|서울특별시 서대문구  모래내로15길 25 (남가좌동)|주임신부 정구현 요셉 신부|1971.09.17
천주교|인천교구|가정3동성당|032-584-6736|인천광역시 서구  서달로 235(가정동)|주임신부 박병석 요셉 신부|1992.9.14.
천주교|인천교구|가정동성당|032-584-3385|인천시 서구 봉수대로 535(원창동)|주임신부 백순기 힐라리오 신부|1986.11.1.
천주교|인천교구|가좌동성당|032-583-6460|인천광역시 서구  장고개로275번길 16(가좌동)|주임신부 이덕진 가브리엘 신부|1984.8.15.
천주교|마산교구|가좌동성당|055-763-5131|경상남도 진주시  개양로6번길 17|주임신부 김형렬 요셉 신부|2010.08.29
천주교|의정부교구|가좌동성당|031-923-2693~4|경기도 고양시 일산서구  송포로391번길 34|주임 김승범 사도요한 신부|2005.5.26.
천주교|대구대교구|가창성당|053-768-8942|대구시 달성군 가창면 가창로 1118|주임신부 장효원 요셉 신부|1998.9.3.
천주교|대구대교구|가천성당|054-932-4026|경북 성주군 가천면 창천2길 16|주임신부 노건우 루카 신부|1960.3.19.
천주교|춘천교구|가평성당|031-582-2065|경기도 가평군 가평읍 석봉로191번길 9|주임신부 박재현 시메온 신부|1957.9.
천주교|서울대교구|가회동성당|02-763-1570|서울특별시 종로구  북촌로 57 (가회동)|주임신부 이승태 바오로 신부|1949.09.17
천주교|안동교구|가흥동성당||경북 영주시 가흥로 285|주임신부 정성호 세례자요한 신부|2018.01.16
천주교|대구대교구|각산성당|||주임신부 김성복 데이콜라 신부|2016.01.29
천주교|인천교구|간석2동성당|032-433-7301|인천광역시 남동구  남동대로 880, 올리브백화점 A동 지하 170호(간석동)|주임신부 김성휘 요셉 신부|1974.11.1.
천주교|인천교구|간석4동성당|032-435-8511|인천광역시 남동구  석산로9번길 87(간석동)|주임신부 신대근 마르코 신부|1978.5.31.
천주교|춘천교구|간성성당|033-682-9004|강원도 고성군 간성읍 간성로 71-6|주임신부 이창섭 안토니오 신부|1958.8.14.
천주교|의정부교구|갈곡리성당|031-959-1208|경기도 파주시 법원읍 화합로466번길 25|주임신부 김민철 안드레아 신부|2018.08.24
천주교|수원교구|갈곶동성당|031-377-0011|경기도 오산시  경기대로 52-14|주임 박현창 베드로 신부|2000.1.25.
천주교|대전교구|갈마동성당|042-537-4500|대전광역시 서구  신갈마로195번길 13|주임신부 임상교 대건 안드레아 신부|1991.8.13.
천주교|춘천교구|갈말성당|033-452-7708|강원도 철원군 갈말읍 명성로 139 35|주임신부 이현선 데니스 신부|1991.8.16.
천주교|의정부교구|갈매동성당|031-527-1784|경기도 구리시 갈매중앙로55번길 56-9 301호|주임신부 이영재 요셉 신부|2018.08.24
천주교|대전교구|갈매못성지성당|041-932-1311|충청남도 보령시 오천면 오천해안로 610|주임신부 이득규 바오로 신부|2003.2.17.
천주교|대구대교구|갈밭성당|||주임신부 김해인 파트리치오 신부|2019.01.25
천주교|인천교구|갈산동성당|032-513-4601|인천광역시 부평구  장제로 372(삼산동)|주임신부 김용기 대건 안드레아 신부|1976.10.04
천주교|안동교구|갈전성당||경북 안동시 풍천면 검무로 20|주임신부 최숭근 비오 신부|2016.08.16
천주교|서울대교구|갈현동성당|02-358-8571~2|서울특별시 은평구  통일로83길 24-9 (갈현동)|주임신부 김재영 야고보 신부|1994.02.22
천주교|청주교구|감곡성당|043-881-2809|충북 음성군 감곡면 성당길 10|주임신부 이범현 토마스 신부|1896.10.7.
천주교|수원교구|감골성당|031-418-8300|경기도 안산시 상록구  장화2길 44|주임 최변재 토마스 신부|2004.10.01
천주교|대구대교구|감삼성당|053-525-7100|대구시 달서구 달구벌대로 304길 42 (감삼동)|보좌신부 류요한  신부|2005.1.28.
천주교|대전교구|강경성당|041-745-1298|충청남도 논산시 강경읍 옥녀봉로27번길 13-3|주임신부 여준구 안토니오 신부|1946.08.15
천주교|안동교구|강구성당||경상북도 영덕군 강구면 강산로 17|주임신부 이성길 프란치스코 신부|2002.7.3.
천주교|청주교구|강서동성당|043-237-6050|충북 청주시 흥덕구 가로수로1154번길 33-9|주임신부 이철우 발렌티노 신부|1993.5.1.
천주교|서울대교구|강일동성당|02-442-1244|서울특별시 강동구  고덕로 476 (강일동)|주임신부 박근태 베네딕토 신부|2010.02.11
천주교|광주대교구|강진성당|061-432-8884|전라남도 강진군 강진읍 평동2길 21|주임신부 정경수 요한 크리소스토모 신부|1961.1.20.
천주교|군종교구|강철성당|053-320-6165|대구시 북구  호국로 780 사서함 1호|주임신부 박원재 프란치스코 신부|1996.08.25
천주교|춘천교구|강촌성당|033-261-1004|강원도 춘천시 남산면 한치로 28|주임신부 최일호 라우렌시오 신부|1997.9.1.
천주교|인천교구|강화성당|032-933-2282|인천광역시 강화군 강화읍 북문길 41|주임신부 한재희 스테파노 신부|1958.1.29.
천주교|부산교구|개금성당||부산광역시 부산진구  개금본동로 86 (개금동)|주임신부 신진수 골롬바노 신부|2012.01.06
천주교|서울대교구|개봉동(지)성당|02-2615-8811|서울특별시 구로구  개봉로18길 11 (개봉동)|주임신부(겸 제16구로지구장) 이용희 사도요한 신부|1978.08.18
천주교|청주교구|개신동성당|043-233-8922|충북 청주시 서원구 성봉로 165|주임신부 이동식 발타사르 신부|2003.1.24.
천주교|안동교구|개운동성당||경상북도 상주시  낙양1길 21-13|주임신부 황재모 안셀모 신부|2007.7.5.
천주교|서울대교구|개포동성당|02-574-4744,-574-7345|서울특별시 강남구  선릉로4길 25 (개포동)|주임신부 오승원 이냐시오 신부|1985.08.16
천주교|춘천교구|거두리성당|033-264-9101|강원도 춘천시 동내면 외솔길 49-3|주임신부 이일환 바오로 신부|2006.9.27.
천주교|서울대교구|거여동성당|02-409-5901|서울특별시 송파구  양산로 9 (거여동)|주임신부 김영춘 베드로 신부|2001.10.05
천주교|마산교구|거제성당|055-633-4040|경상남도 거제시 거제면 동상2길 11|주임신부 이강현 베드로 신부|1935.06.15
천주교|부산교구|거제동성당|051-853-0133|부산광역시 연제구  거제시장로22번길 22|주임 신부 송제호 야고보 신부|1973.11.19
천주교|춘천교구|거진성당|033-682-5484|강원도 고성군 거진읍 거탄진로 129 15|주임신부 방기태 루이스 신부|1976.9.1.
천주교|마산교구|거창성당|055-944-0781|경상남도 거창군 거창읍 창남1길 58|주임신부 구성진 율리아노 신부|1940.6.29.
천주교|대구대교구|건천성당|054-751-1013|경북 경주시 건천읍 내서로 1149|주임신부 박원빈 가롤로 신부|2005.8.26.
천주교|인천교구|검단동성당|032-568-3333|인천광역시 서구  완정로202번길 32(마전동)|주임신부 김상인 필립보 신부|2000.7.18.
천주교|인천교구|검암동성당|032-568-8339|인천광역시 서구  도요지로227번길 17(검암동)|주임신부 장준혁 바르톨로메오 신부|1987.2.1.
천주교|군종교구|결전성당|031-771-7852|경기도 양평군 양평읍 샘뜰길 1|주임신부 송제원 안드레아 신부|1968.10.01
천주교|광주대교구|경동성당|061-244-0601|전라남도 목포시  해안로165번길 33 (경동2가)|주임신부 이현민 가밀로 신부|1952.4.9.
천주교|대구대교구|경산성당|053-813-0516|경북 경산시 중앙로 14 (사정동)|주임신부 박강수 로무알도 신부|1952.08.10
천주교|마산교구|경화동성당|055-547-3552|경상남도 창원시 진해구  충장로 319|주임신부 정흥식 마르코 신부|1965.12.27
천주교|대전교구|계룡성당|042-841-7114|충청남도 계룡시 엄사면 번영3길 73-6|주임신부 이봉효 프란치스코 신부|1999.1.26.
천주교|안동교구|계림동성당||경상북도 상주시  복룡냉림길 57|주임신부 전장호 프란치스코 신부|1990.7.15.
천주교|광주대교구|계림동성당|062-223-8866|광주광역시 동구  계림로 51-27 (계림동)|주임신부 이건 가브리엘 신부|1964.08.01
천주교|청주교구|계명성당|043-843-4300|충북 충주시 연수동 연수동산로4길 9|주임신부 장병철 바오로 신부|2009.8.18.
천주교|대구대교구|계산/주교좌성당|053-254-2300~1|대구시 중구 서성로 10 (계산동2가)|주임신부 김흥수 실바노 신부|1886.06.06
천주교|인천교구|계산동성당|032-546-0321|인천광역시 계양구  계수로 20 (계산동)|주임신부 김승욱 베드로 신부|1981.2.25.
