##NAME|SUBNAME|TELNUM|NEWADDR|IDX|FATHER|WEBSITE|ORGNAME|SOURCE2@@교회
벧엘군인교회||033-244-9182|강원도 춘천시 사북면 영서로 4590|10642|||벧엘군인|대한예수교장로회총회
군인반석교회||070-7697-1919|강원도 원주시 남원로 589-42 2층 하얀집|10641|은희 담임목사||군인반석|대한예수교장로회총회
영복교회||031-562-8835|경기도 남양주시 미금로42번길 4-3|10640|노은찬 담임목사||영복|대한예수교장로회총회
향기나는교회||031-323-2681|경기도 용인시 처인구 모현면 파담로 96 401호|10639|최시천 담임목사||향기나는|대한예수교장로회총회
산정현교회||051-293-6281|부산광역시 사하구 낙동대로 160  (괴정동)|10638|남병식 담임목사|http://sanjunghyun.kr|산정현|대한예수교장로회총회
남대문교회||02-753-6434|서울특별시 중구 퇴계로 6 남대문로5가 544 (남대문로5가)|10637|손윤탁 담임목사|http://ndmc.or.kr|남대문|대한예수교장로회총회
새문안교회||02-733-8140|서울특별시 종로구 세종대로23길 47  (당주동)|10636|이영화 부목사|http://www.saemoonan.org|새문안|대한예수교장로회총회
부산진교회||051-647-2452|부산광역시 동구 정공단로17번길 16  (좌천동)|10635|신충우 담임목사|http://www.busanjin.or.kr|부산진|대한예수교장로회총회
순천엘림교회||061-722-4580|전라남도 순천시 해룡면 상삼길 10|10634|안정순 담임목사    신은수 부목사||순천엘림|대한예수교장로회총회
소농교회||063-263-4745|전라북도 완주군 고산면 서봉소농길 99|10633|지득수 담임목사||소농|대한예수교장로회총회
승동교회||02-738-1554|서울특별시 종로구 사직로9가길 28  (필운동)|10632|정경철 담임목사||승동|대한예수교장로회총회
대구제일교회||053-253-2615|대구광역시 중구 국채보상로102길 50  (동산동)|10631|박창운 담임목사    이재걸 전도목사|http://www.firstch.org|대구제일|대한예수교장로회총회
김포중앙교회||031-984-1004|경기도 김포시 북변중로25번길 11-9  (북변동)|10630||http://www.kpja.or.kr|김포중앙|대한예수교장로회총회
