##NAME|TYPE|SUBNAME|TELNUM|ADDR|FATHER|SOURCE2@@교회
천곡중앙교회|예장통합||033-531-3019|강원도 동해시 샘실3길84-5|전건형 목사|한국컴퓨터선교회
순복음조은교회|기하성||033-263-4321|강원도 춘천시 옛경춘로 826|오의석 목사|한국컴퓨터선교회
남원주그리스도의교회|그리스도의교회||033-763-0691|강원도 원주시 단구초교길 6-28|김동원 목사|한국컴퓨터선교회
부곡장로교회|예장합동||033-342-7308|강원도 횡성군 강림면 태종로 733|이대성 목사|한국컴퓨터선교회
우리들교회|대한예수교장로회(백석)||010-8555-3578|강원도 동해시 월평로49 규수방아파트 상가|김대경 목사|한국컴퓨터선교회
원주만남의교회|개혁||033-761-0474|강원도 원주시 명륜2동 846-1 대영빌딩3층|김성종 목사|한국컴퓨터선교회
원주만남의교회|개혁||033-761-0474|강원도 원주시 남원로 441-6 대영빌딩3층|김성종 목사|한국컴퓨터선교회
강릉중앙그리스도의교회|그리스도의교회협의회||033-651-9413-|강원도 강릉시 성덕포남로 174번길 18|김요셉 목사|한국컴퓨터선교회
시은좌순복음교회|기하성||033-762-6891|강원도 원주시 서원대로 308-20|박용순 목사|한국컴퓨터선교회
미시령기도원|기침||033-636-2422|강원도속초시학사평길 1-11|김재호 목사|한국컴퓨터선교회
순향교회|대신||070-7802-8573|강원도 춘천시 효제길 34|김용호 목사|한국컴퓨터선교회
수련원/설악산/대우파크리죠트|핮동||02-965-2220|강원도 속초시 설악동 c지구 254(청봉로 5길 29)|이종록 목사 목사|한국컴퓨터선교회
마차교회|기감||033-372-3041|강원도 영월군 북면 마차2리1352-3|고성균 목사|한국컴퓨터선교회
아펜젤러교회|기독교대한감리회||033-764-5991|강원도원주시송림길34-33(개운동445-3)|차용희 목사|한국컴퓨터선교회
안디옥성결교회|예성||033-482-9191,2004|강원도 양구군 양구읍 청춘로 8|이수희 목사|한국컴퓨터선교회
상남교회|그리스도의교회||033-461-6728|강원도 인제군 상남면 상남로38번길 16|민석기 목사|한국컴퓨터선교회
내대교회|감리교||033-452-2152|강원도 철원군 갈말읍 내대1리 6반 690-6|박경훈 목사|한국컴퓨터선교회
햇빛감리교회|감리교||033-252-2202|강원 춘천시 신동 394-4번지|임인택 목사|한국컴퓨터선교회
남원주감리교회|기감||033-766-1013|강원도 원주시 무실동 1494-1|김성연 목사|한국컴퓨터선교회
홍천온누리교회|예장대신||033-435-1190|강원도 홍천군 홍천읍 검율리 217-2|이인용 목사|한국컴퓨터선교회
동해명성교회|예장한영||070-4046-6455|강원도 동해시 천곡동1051-2|이영택 목사|한국컴퓨터선교회
약속교회|장로 합동||0336420253|강원도 강릉시 옥천동317-4 재임빌딩4층|김성배 목사|한국컴퓨터선교회
백양교회|백석||033-734-0191|강원도 원주시 일산동 352-8|안덕상 목사|한국컴퓨터선교회
주문진교회|기성||033-661-0288|강원도 강릉시 주문진읍 주문3리 2반 주문진교회|송재형 목사|한국컴퓨터선교회
순복음사랑의교회|기독교대한 하나님의 성회(순복&||033-374-0377|강원도 영월군 영월읍 덕포리 486-64|민선기 목사|한국컴퓨터선교회
에덴의동산교회|합동개혁||070-7555-9101|강원 강릉시 노암동 한라1차아파트 상가 390번지|김학규 목사|한국컴퓨터선교회
동해제일장로교회|예장통합||033,535-7450-1|강원도 동해시 용정동 262-72|이규동 목사|한국컴퓨터선교회
신매교회|기감||033-244-8300|강원도 춘천시 서면 신매리 829|엄재윤 목사|한국컴퓨터선교회
사랑의교회|통합||033-766-9161|강원 원주시 관설동 1677-1|최종규 목사|한국컴퓨터선교회
대명교회|대신||010-9684-4353|강원도 춘천시 사북면 오탄리 927|이철용 목사|한국컴퓨터선교회
속초중앙교회|통합||033-633-0441~3|강원도 속초시 청학동 638-4|김성환 목사|한국컴퓨터선교회
한영교회|합동정통||033-56-8537|강원도 춘천시 퇴계동 830-3|박윤영 목사|한국컴퓨터선교회
참복음교회|백석||033-765-5125|강원 원주시 일산동 234-25|김상순 목사|한국컴퓨터선교회
마차중앙교회|예장합동||033-372-3141|강원도 영월군 북면 마차1리 1183-16|엄승주 목사|한국컴퓨터선교회
우리교회|백석||033-333-3331|강원도 평창군 방림면 운교리 1135-10|천병창 목사|한국컴퓨터선교회
면류관교회|기독교한국침례회||033-434-5645|강원도 홍천군 홍천읍 진리 31-2|허태범 목사|한국컴퓨터선교회
비두리교회|합동예선||033-732-9108|강원도 원주시 문막읍 비두리 841-4|조옥순 목사|한국컴퓨터선교회
정동진제일교회|개혁||033-644-3588|강원도 강릉시 강동면 산성우리 219-1|정칠화 목사|한국컴퓨터선교회
예수님길교회|서울대신||033-252-6091-1577-9540|강원 춘천시 운교동 174-1|황관중 목사|한국컴퓨터선교회
하나로교회|합동||033-263-8291|강원 춘천시 동내면 사암리 71-3|송성우 목사|한국컴퓨터선교회
태백목양교회|기감||033-552-2741|강원도 태백시 황지동 263-34|김대환 목사|한국컴퓨터선교회
춘천장로교회|예장 순장측||033-257-2113|강원도 춘천시 후평1동 378-29|지태성 목사|한국컴퓨터선교회
횡성감리교회|기감|||강원도 횡성군 횡성읍 읍상1리 364|양명환 목사|한국컴퓨터선교회
원주태장성결교회|기성||033-742-6762|강원도 원주시 태장2동 1372-3|김동오 목사|한국컴퓨터선교회
한사랑교회|개혁교회||033-432-6061|강원도 홍천군 내면 창촌2리|차종규 목사|한국컴퓨터선교회
참아름다운교회|개혁교회||033-436-0691|강원도 홍천군 서석면 생곡리 835번지|김성산 목사|한국컴퓨터선교회
원주성문교회|백석||010-3349-9359|강원 원주시 흥업면 대안리 승안동길 163번지 (대안리 428-4)|최영구 목사|한국컴퓨터선교회
춘천우리교회|예장합동||033-253-2161|강원 춘천시 퇴계동 887번지|김원중 목사|한국컴퓨터선교회
사랑의교회|합동||033-252-2329|강원도 춘천시 석사동 석사@상가|심승남 목사|한국컴퓨터선교회
오직주교회|기성||746-0691|강원 원주 우산 127-55|허태성 목사|한국컴퓨터선교회
