##NAME|SUBNAME|ID|TELNUM|NEWADDR|TYPE|ETC|FEAT|XCOORD|YCOORD|SOURCE2@@화장시설
서울추모공원||4000000056|02-3498-2581|서울특별시 서초구 양재대로12길 74 (원지동)|화장시설||None|127.0393164|37.4582363|보건복지부장사정보시스템
서울시립승화원||4000000017|031-960-0236|경기도 고양시 덕양구 통일로 504 (대자동)|화장시설||None|126.8896133|37.6757022|보건복지부장사정보시스템
영생관리사업소||4000000033|031-754-2268|경기 성남시 중원구 순암로 787(갈현동112)|화장시설||None|127.1722005|37.4220606|보건복지부장사정보시스템
인천가족공원/화장시설||4000000042|032-510-1900|인천광역시 부평구 평온로 61 (부평동)|화장시설||None|126.720593|37.4743377|보건복지부장사정보시스템
승화원||4000000030|031-218-6500|경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)|화장시설|수원시 연화장|None|127.0846006|37.2904662|보건복지부장사정보시스템
용인/평온의/숲||4000000059|031-329-5900|경기도 용인시 처인구 이동면 평온의숲로 77 (어비리, 용인평온의숲)|화장시설|나래원|None|127.228641|37.1180863|보건복지부장사정보시스템
춘천안식원||4000000025|033-261-7314|강원도 춘천시 동산면 종자리로 331-21 (군자리)|화장시설||None|127.7533791|37.8402287|보건복지부장사정보시스템
하늘나래원||4000000039|033-742-3584|강원도 원주시 흥업면 복술길 33(사제리)|화장시설||None|127.9635531|37.3639607|보건복지부장사정보시스템
천안추모공원||4000000051|041-566-0404|충청남도 천안시 동남구 광덕면 밤나무골길 38 (구 원덕리 542)|화장시설||None|127.118107|36.6619482|보건복지부장사정보시스템
홍성추모공원화장장||4000000050|041-633-7780|충청남도 홍성군 금마면 금마로516번길 85 (봉서리, 화장장)|화장시설||None|126.7650889|36.60908|보건복지부장사정보시스템
충주시시설관리공단||4000000049|043-870-7867|충청북도 충주시 목벌길 256 (목벌동)|화장시설||None|127.9961257|36.9628954|보건복지부장사정보시스템
인제종합장묘센터||4000000020|033-462-6989|강원 인제군 남면 원남로 444-62|화장시설||None|128.1796989|37.9880907|보건복지부장사정보시스템
청주시목련공원||4000000011|043-270-8578~|충청북도 청주시 상당구 목련로 731 (월오동)|화장시설||None|127.5455784|36.6432923|보건복지부장사정보시스템
제천시영원한쉼터||4000000046|043-644-6613|충청북도 제천시 송학면 송학주천로9길 122(포전리)|화장시설||None|128.2282397|37.1922395|보건복지부장사정보시스템
은하수공원/해님의집||4000000040|044-850-1330|세종특별자치시   연기면 정안세종로 1527 (산울리)|화장시설|화장장|None|127.24544|36.53304|보건복지부장사정보시스템
공주나래원||4000000061|041-840-8980|충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)|화장시설||None|127.0448625|36.3994367|보건복지부장사정보시스템
대전시정수원||4000000044|042-610-2300|대전광역시 서구 계백로1249번길 174-82(정림동)|화장시설||None|127.3601238|36.3152299|보건복지부장사정보시스템
문경예송원||4000000013|054-550-6507|경상북도 문경시 유곡불정로 239-39 (불정동)|화장시설||None|128.1454954|36.6249166|보건복지부장사정보시스템
속초시승화원||4000000018|033-635-7023|강원도 속초시 이목로 194 (노학동)|화장시설||None|128.5481598|38.2026736|보건복지부장사정보시스템
솔향하늘길/화장장||4000000064|033-660-3858|강원도 강릉시 사천면 청솔공원길 292-55 (석교리)|화장시설||None|128.8159437|37.8304425|보건복지부장사정보시스템
영주시화장장||4000000035|054-633-9473|경북 영주시 고현동 산15-1 |화장시설||None|128.624797|36.8451535|보건복지부장사정보시스템
정선하늘터||4000000043|033-560-3460|강원 정선군 사북읍 사북리 사북리 247|화장시설||None|128.839634|37.2302302|보건복지부장사정보시스템
상주시승천원||4000000016|054-537-6393|경상북도 상주시 병성천2길 560 (병성동)|화장시설||None|128.2352652|36.4333691|보건복지부장사정보시스템
