##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|OT|XCOORD|YCOORD@@유치원
(재)천주교수원교구유지재단데레사유치원||사립(법인)|1ecec08c-f652-b044-e053-0a32095ab044|031-418-8311|경기도 안산시 상록구 장화2길 44|10 : 00 ~ 19 : 00|126.852318810658|37.2832299534216
21세기유치원||사립(사인)|1ecec08d-0f45-b044-e053-0a32095ab044|051-343-5200|부산광역시 북구 금곡대로330번길 20|09 : 00 ~ 19 : 00|129.015079597986|35.2377227705893
AK유치원||사립(사인)|1ecec08d-0655-b044-e053-0a32095ab044|043-647-0260|충청북도 제천시 용두천로32길 7|09 : 00 ~ 20 : 00|128.220524075214|37.1504812091774
BK꿈사랑유치원||사립(사인)|1ecec08c-f812-b044-e053-0a32095ab044|042-542-2537|대전광역시 유성구 유성대로155번길 46-2|09 : 00 ~ 17 : 00|127.314850705515|36.3109965781768
BK유치원                                                              (폐원)||사립(사인)|1ecec08c-f63e-b044-e053-0a32095ab044|043-269-2056|충청북도 청주시 서원구 성봉로220번길 98|08 : 00 ~ 15 : 30|127.453147191353|36.6222556653681
J 프랜드유치원||사립(사인)|1ecec08d-0b7e-b044-e053-0a32095ab044|063-833-9399|전라북도 익산시 하나로4길 10|09 : 30 ~ 16 : 30|126.98265657505|35.9593306474391
LG메트로시티유치원||사립(사인)|1ecec08c-f65d-b044-e053-0a32095ab044|051-612-7111|부산광역시 남구 분포로 111|09 : 00 ~ 18 : 00|129.109626054274|35.1268949923919
SK뜰에유치원||사립(법인)|1ecec08c-f85a-b044-e053-0a32095ab044|051-532-6767|부산광역시 동래구 충렬대로 487|09 : 00 ~ 18 : 30|129.110877496923|35.1949445911926
The큰빛유치원||사립(사인)|1ecec08d-0a2f-b044-e053-0a32095ab044|032-361-0233|인천광역시 부평구 장제로195번길 42|09 : 30 ~ 18 : 30|126.728432554346|37.5033009523479
YMCA유치원                                                              (폐원)||사립(사인)|1ecec08d-0f01-b044-e053-0a32095ab044|055-223-2100|경상남도 창원시 마산합포구 성호북2길 15|09 : 00 ~ 17 : 30|128.570136055269|35.2112212879885
YMCA유치원||사립(법인)|1ecec08c-f3d9-b044-e053-0a32095ab044|053-253-6740|대구광역시 중구 중앙대로 375|08 : 30 ~ 19 : 00|128.593162106144|35.866646501375
e-튼유치원||사립(사인)|1ecec08c-edea-b044-e053-0a32095ab044|061-375-1231|전라남도 화순군 중앙로 101|09 : 00 ~ 18 : 00|126.992959230918|35.0606152666397
가거도초등학교병설유치원||공립(병설)|1ecec08d-077b-b044-e053-0a32095ab044|061-246-4413|전라남도 신안군 가거도길 18-31|09 : 00 ~ 17 : 00|125.130242401856|34.0525296732265
가경유치원||사립(사인)|1ecec08d-0bfb-b044-e053-0a32095ab044|043-232-8874|충청북도 청주시 흥덕구 가경로 160-13|08 : 30 ~ 16 : 00|127.437494515943|36.6293586104567
