NAME|BRANCH|ADDR|TELL|XCODR|YCORD
블랙야크|서울양재점|서울 서초구 바우뫼로 201 (양재동) 블랙야크|02 -2286-9911|127.040919|37.48021
블랙야크|2001아울렛중계|서울 노원구 동일로204가길 46 (중계동) 2001아울렛 중계점|02 -3399-8530|127.067905|37.641222
블랙야크|롯데강남|서울 강남구 대치동  937 롯데백화점 강남점 7층 블랙야크|02-531-2765|127.053669|37.496904
블랙야크|롯데건대|서울 광진구 자양동  227-342 롯데백화점 건대스타시티점|02-2218-3733|127.071435|37.538917
블랙야크|롯데관악|서울 관악구 봉천로 209 (봉천동) 롯데백화점 관악점 5층 블랙야크|02 -3289-8585|126.924981|37.4905361
블랙야크|롯데김포|서울 강서구 방화동  886 롯데김포스카이점 4층 블랙야크|02-6116-3446|126.803543|37.563574
블랙야크|롯데노원|서울 노원구 상계2동 롯데백화점 6층 블랙야크|02-950-2646|127.061253|37.655042
블랙야크|롯데미아|서울 강북구 미아동  롯데백화점 미아점 5층 블랙야크|02-944-1991|127.030499|37.614638
블랙야크|롯데본점|서울 중구 소공동  롯데백화점 본점 6층 블랙야크|02-772-3646|126.981862|37.565294
블랙야크|롯데아울렛서울역|서울 중구 봉래동2가  롯데아울렛서울역점 4층 블랙야크|02-6965-2806|126.970703|37.555773
블랙야크|롯데영등포|서울 영등포구 영등포동  618-496 롯데백화점 영등포점 7층 블랙야크|02-2630-6808|126.907306|37.515594
블랙야크|롯데잠실|서울 송파구 잠실동 40-1 롯데백화점 잠실점 6층 블랙야크|02-2143-7668|127.098371|37.511209
블랙야크|롯데청량리|서울 동대문구 전농동  591-531 롯데백화점 청량리점 5층 블랙야크|02-3707-1570|127.048002|37.580939
블랙야크|롯데팩토리가산|서울 금천구 벚꽃로 278 (가산동) 롯데팩토리가산점 블랙야크|02 -2623-2229|126.884634|37.4794931
블랙야크|마리오구로|서울 금천구 가산동  60-22 마리오아울렛2관 1층 블랙야크|02-2067-3928|126.886743|37.478725
블랙야크|서울강남논현점|서울 서초구 강남대로 531 (반포동) 0|02-556-1811|127.021764|37.509328
블랙야크|서울도봉점|서울 도봉구 도봉산길 65-17 (도봉동) 블랙야크|02-955-1811|127.037428|37.686201
블랙야크|서울마천점|서울 송파구 마천로 387-1 (마천동) 0|02-402-0456|127.156886|37.490835
블랙야크|서울불광점|서울 은평구 통일로 716 (불광동) 0|02-3157-1811|126.93168|37.609146
블랙야크|서울시흥점|서울 금천구 시흥대로 268 (시흥동) B동 |02-896-8020|126.901956|37.452186
블랙야크|서울신림점|서울 관악구 신림로 375-1 (신림동) 블랙야크|02 -3285-3979|126.928434|37.4877992
블랙야크|서울아우트로(가산점)|서울 금천구 디지털로9길 99 (가산동) 1층 아우트로 블랙야크|02 -2027-0811|126.884983|37.481523
블랙야크|서울우이점|서울 강북구 삼양로173길 52 (우이동) 블랙야크|02 -908 -1812|127.009701|37.6624224
블랙야크|서울장안점|서울 동대문구 답십리로 259 (장안동) 0|02-2246-1812|127.069105|37.572718
블랙야크|서울정릉점|서울 성북구 보국문로 209 (정릉동) 0|02-919-2302|126.998389|37.617911
블랙야크|서울종로점|서울 종로구 종로36길 22 (종로5가) 블랙야크|02 -2272-1818|127.003812|37.5699669
블랙야크|서울청계산점|서울 서초구 원터2길 3 (원지동) 블랙야크|02-571-1811|127.056558|37.443956
블랙야크|신세계강남|서울 서초구 반포동  19-3 신세계백화점 강남점 5층 블랙야크|02-3479-1945|127.004623|37.50454
블랙야크|신세계본점|서울 중구 충무로1가  52-5 신세계백화점 본점 8층 블랙야크|02-310-1914|126.980882|37.560371
블랙야크|신세계타임스퀘어|서울 영등포구 영중로 15 (영등포동4가) 신세계백화점스퀘어점 블랙야크|02 -2639-1990|126.903981|37.517213
블랙야크|현대목동|서울 양천구 목동  916 현대백화점 목동점 유플렉스1층 블랙야크|02-2163-3555|126.875291|37.526632
블랙야크|현대무역센터|서울 강남구 삼성동  159-7 현대백화점무역센터 8층 블랙야크|02-3467-8877|127.059956|37.508545
블랙야크|현대미아|서울 성북구 길음동  201-1 현대백화점 미아점 5층 블랙야크|02-2117-1530|127.028636|37.608322
블랙야크|현대신촌|서울 서대문구 창천동  30-33 현대백화점 신촌점 7층 블랙야크|02-3145-2777|126.93582|37.556014
블랙야크|현대아울렛가든파이브|서울 송파구 충민로 66 (문정동) 현대아울렛 가든파이브 아울렛관 3층 블랙야크|02 -2673-2352|127.124831|37.477702
블랙야크|현대아울렛가산|서울 금천구 디지털로10길 9 (가산동) 현대아울렛가산 블랙야크|02 -2136-9906|126.889199|37.4776197
블랙야크|현대아울렛동대문|서울 중구 장충단로13길 20 (을지로6가) 블랙야크|02 -2283-2719|127.007742|37.568758
블랙야크|현대천호|서울 강동구 천호대로 1005 (천호동) 현대백화점천호점 블랙야크|02 -2225-7755|127.12444|37.538975
블랙야크|NC불광|서울 은평구 대조동  240 NC백화점 불광점|02-350-7363|126.929107|37.609759
블랙야크|W몰구로|서울 금천구 디지털로 188 (가산동) W몰구로 블랙야크|02 -2081-0520|126.887677|37.4773265
블랙야크|갤러리아광교|경기 수원시 영통구 광교호수공원로 320 (하동) 갤러리아광교점 블랙야크|031-5174-7528|127.057483|37.2847383
블랙야크|경기곤지암점|경기 광주시 초월읍 경충대로 1037 0|031-766-7913|127.301624|37.371224
블랙야크|경기광명점|경기 광명시 오리로 945 (광명동) 1층|02 -2060-0415|126.85791|37.4781811
블랙야크|경기광주점|경기 광주시 광주대로 59 (경안동) 102호,103호|031-767 -5868|127.260067|37.4119505
블랙야크|경기금정역점|경기 군포시 산본천로 206-1 (산본동) 1층|031-391 -4357|126.940625|37.3706066
블랙야크|경기김포점|경기 김포시 김포대로 1466-30 (운양동) 0|031-998-1850|126.670359|37.655445
블랙야크|경기남양주모다점|경기 구리시 갈매동 268-3 2층|031-514 -8246|127.040919|37.48021
블랙야크|경기덕소점|경기 남양주시 경강로 358 (삼패동) 블랙야크|031-576 -3377|127.197353|37.5937756
블랙야크|경기마석점|경기 남양주시 화도읍 경춘로 1898 블랙야크|031-592 -1010|127.299168|37.652135
블랙야크|경기벽제점|경기 고양시 덕양구 호국로 1708 (벽제동) 0|031-968-9399|126.905233|37.703638
블랙야크|경기봉담점|경기 화성시 봉담읍 왕림리 산 54 트레보D동 201호 .|031-297-4222|126.940784|37.200377
블랙야크|경기부천남부점|경기 부천시 경인로 198 (심곡본동) 블랙야크|032-613 -5080|126.777896|37.483317
블랙야크|경기부천시청점|경기 부천시 길주로 227 (중동) 0|032-328 -6284|126.7626|37.5046
블랙야크|경기북수원점|경기 수원시 장안구 경수대로 979 (송죽동) 0|031-243 -1181|127.003775|37.304486
블랙야크|경기서수원점|경기 수원시 권선구 수인로331번길 12 (구운동) 0|031-267 -0506|126.967648|37.28542
블랙야크|경기성남남한산성점|경기 성남시 중원구 산성대로 590 (은행동) 0|031-744-1667|127.169041|37.461991
블랙야크|경기성남점|경기 성남시 중원구 성남대로 1143 (성남동) 블랙야크 경기성남점|031-753 -8833|127.128714|37.4318503
블랙야크|경기수원영통점|경기 용인시 기흥구 중부대로56번길 13 (영덕동) 블랙야크|031-205-6661|127.075697|37.266116
블랙야크|경기아우트로(장암점)|경기 의정부시 동일로 117 (장암동) 블랙야크|031-872_-0811|127.054065|37.6996965
블랙야크|경기아우트로(진접점)|경기 남양주시 진접읍 금강로 943 블랙야크|031-577_-4488|127.160454|37.6849534
블랙야크|경기아우트로(화성남양점)|경기 화성시 남양읍 화성로 1450-1 블랙야크|031-356 -5811|126.840743|37.2216725
블랙야크|경기안산한대역점|경기 안산시 상록구 삼리로 36 (사동) 블랙야크|031-419 -2580|126.844038|37.3045511
블랙야크|경기안성점|경기 안성시 공도읍 서동대로 4391 가동 103호|031-692 -1113|127.1898|37.0072
블랙야크|경기안양인덕원점[직영상설점]|경기 안양시 동안구 흥안대로 467 (평촌동) 0|031-423 -8942|126.9756|37.396
블랙야크|경기안중점|경기 평택시 안중읍 서동대로 1906 블랙야크|031-681-2077|126.957998|37.000222
블랙야크|경기여주375점|경기 여주시 명품로 316-3 (상거동) 0|031-884-8668|127.616422|37.241799
블랙야크|경기오산점|경기 오산시 경기대로 234 (원동) 블랙야크|031-376 -0820|127.073897|37.1457292
블랙야크|경기용인블루키점|경기 용인시 기흥구 동백죽전대로 444 (중동) 블랙야크|031-679 -0996|127.151585|37.2779798
블랙야크|경기용인처인점|경기 용인시 처인구 백옥대로 1130 (김량장동) 블랙야크|031-337 -0373|127.209008|37.2364588
블랙야크|경기의정부점|경기 의정부시 평화로 408 (호원동) 블랙야크|031-840-5880|127.047811|37.726598
블랙야크|경기이천부발점|경기 이천시 부발읍 중부대로 1536 0|031-634-6990|127.47858|37.284079
블랙야크|경기일산덕이점|경기 고양시 일산서구 탄중로 93 (덕이동) 블랙야크|031-919-6955|126.755327|37.692163
블랙야크|경기죽전점|경기 용인시 수지구 용구대로 2729 (죽전동) C동 1층 104호|031-264 -9186|127.108514|37.3293429
블랙야크|경기평택장당점|경기 평택시 경기대로 989 (장당동) 평택 프리미엄 아울렛 C동 블랙야크|031-612 -9145|127.068946|37.0378347
블랙야크|경기평택점|경기 평택시 만세로 1615 (청룡동) B동 1층 블랙야크|031-656 -5100|127.119673|37.0197512
블랙야크|경기포천점|경기 포천시 소흘읍 호국로287번길 6 블랙야크|031-544-4429|127.134177|37.810436
블랙야크|경기하남검단산점|경기 하남시 검단산로218번길 10 (창우동) .|031-794-3650|127.227917|37.533878
블랙야크|경기LF양주점|경기 양주시 평화로 1593 (회정동) 3층|031-894 -2712|127.052293|37.8313932
블랙야크|덕평휴게소|경기도 이천시 덕이로154번길 287-76 덕평휴게소|031-631 -2131|127.389941|37.241231
블랙야크|롯데구리|경기 구리시 인창동  677 롯데백화점 구리점 5층 블랙야크|031-550-7513|127.144188|37.602728
블랙야크|롯데분당|경기 성남시 분당구 수내동  롯데백화점 분당점 4층 블랙야크|031-738-2529|127.114544|37.37841
블랙야크|롯데수원|경기 수원시 권선구 세화로 134 (서둔동) 롯데수원점 블랙야크|031-8066-0559|126.997695|37.264868
블랙야크|롯데아울렛고양|경기 고양시 덕양구 권율대로 420 (도내동) 롯데아울렛고양(원흥) 블랙야크|031-8035-2859|126.8635|37.6296
블랙야크|롯데아울렛고양터미널|경기도 고양시 일산동구 중앙로 1036 롯데아울렛고양점 3층 블랙야크|031-936 -3705|126.789614|37.643209
블랙야크|롯데아울렛광교|경기도 수원시 영통구 도청로17번길 23 롯데아울렛광교점 2층 블랙야크|031-8064-2217|127.05582|37.28609
블랙야크|롯데아울렛광명|경기도 광명시 일직로 17 롯데아울렛광명점 4층 블랙야크|02 -6226-2413|126.884499|37.42378
블랙야크|롯데아울렛구리|경기도 구리시 동구릉로136번길 47 롯데아울렛 구리점 4층 블랙야크|031-8034-2430|127.140674|37.611811
