INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
푸르덴셜생명|34581216|푸르덴셜생명 세원지점|서울특별시 송파구 신천동 7-11|서울특별시 송파구 올림픽로35길 137 한국광고문화회관 8층|02-2051-8139|['보험', '생명보험']|127.0995475|37.5159257||[{'rep': True, 'x': 127.0999438, 'y': 37.5158398}]|[{'rep': True, 'x': 127.0997565, 'y': 37.516161}]|None|None
푸르덴셜생명|1766064361|푸르덴셜생명 대륜지점|서울특별시 송파구 신천동 7-11 한국광고문화회관 13층|서울특별시 송파구 올림픽로35길 137 한국광고문화회관 13층|02-416-4321|['보험', '생명보험']|127.0996480|37.5159178||[{'rep': True, 'x': 127.0999438, 'y': 37.5158398}]|[{'rep': True, 'x': 127.0997565, 'y': 37.516161}]|None|None
푸르덴셜생명|1954219123|푸르덴셜생명 가인지점|서울특별시 송파구 신천동 7-11 한국광고문화회관 15층|서울특별시 송파구 올림픽로35길 137 한국광고문화회관 15층|02-571-2293|['보험', '생명보험']|127.0996480|37.5159178||[{'rep': True, 'x': 127.0999438, 'y': 37.5158398}]|[{'rep': True, 'x': 127.0997565, 'y': 37.516161}]|None|None
푸르덴셜생명|1009224997|푸르덴셜생명 대경지점|서울특별시 송파구 신천동 7-11 한국광고문화회관 12층|서울특별시 송파구 올림픽로35길 137 한국광고문화회관 12층|02-508-6250|['보험', '생명보험']|127.0996480|37.5159178||[{'rep': True, 'x': 127.0999438, 'y': 37.5158398}]|[{'rep': True, 'x': 127.0997565, 'y': 37.516161}]|None|None
푸르덴셜생명|1792614325|푸르덴셜생명 빅뱅지점|서울특별시 강남구 대치동 890-16 메이플타워 5층|서울특별시 강남구 테헤란로 420 메이플타워 5층|02-568-2040|['보험', '생명보험']|127.0525509|37.5051891||[{'rep': True, 'x': 127.0526064, 'y': 37.5050377}]|[{'rep': True, 'x': 127.0524892, 'y': 37.5053337}]|None|None
푸르덴셜생명|1396525528|푸르덴셜생명 거성지점|서울특별시 강남구 삼성동 142-35 성담빌딩 15층|서울특별시 강남구 테헤란로 411 성담빌딩 15층|02-597-9787|['보험', '생명보험']|127.0508807|37.5055012||[{'rep': True, 'x': 127.050666, 'y': 37.505541}]|[{'rep': True, 'x': 127.050888, 'y': 37.505347}]|None|None
푸르덴셜생명|1080526796|푸르덴셜생명 청담지점|서울특별시 강남구 대치동 890-16 메이플타워 5층|서울특별시 강남구 테헤란로 420 메이플타워 5층|02-568-3070|['보험', '생명보험']|127.0525509|37.5051891||[{'rep': True, 'x': 127.0526064, 'y': 37.5050377}]|[{'rep': True, 'x': 127.0524892, 'y': 37.5053337}]|None|None
푸르덴셜생명|13036796|푸르덴셜생명|서울특별시 강남구 역삼1동 838 푸르덴셜타워|서울특별시 강남구 강남대로 298 푸르덴셜타워|02-2144-2000|['보험', '생명보험']|127.0321548|37.4900696|http://www.prudential.co.kr/|[{'rep': True, 'x': 127.0319118, 'y': 37.4902023}]|[{'rep': True, 'x': 127.0318827, 'y': 37.4897976}]|None|None
푸르덴셜생명|34490342|푸르덴셜생명 강남지점|서울특별시 서초구 서초동 1340-6 남강빌딩 7층|서울특별시 서초구 강남대로 291 남강빌딩 7층|02-2226-0100|['보험', '생명보험']|127.0314079|37.4891300|http://www.prudential.co.kr|[{'rep': True, 'x': 127.031477, 'y': 37.488925}]|[{'rep': True, 'x': 127.031515, 'y': 37.489156}]|None|None
푸르덴셜생명|1749566507|푸르덴셜생명 다올지점|서울특별시 강남구 삼성동 142-35|서울특별시 강남구 테헤란로 411 성담빌딩 15층|02-3288-3775|['금융,보험', '생명보험']|127.0508807|37.5055012|http://www.prudential.co.kr|[{'rep': True, 'x': 127.050666, 'y': 37.505541}]|[{'rep': True, 'x': 127.050888, 'y': 37.505347}]|None|None
