NAME|BRANCH|CAT|ADDR|TELL|TIME|XCORD|YCORD
삼성생명|강남플라자|고객플라자|서울 강남구 테헤란로 412 11층 (대치동)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|127.05126|37.504765
삼성생명|거제통영창구|고객플라자|경남 거제시 수양로 481 1층 (양정동,태화빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>※ 점심시간 11:50~13:00|128.63898|34.891315
삼성생명|경북북부창구|고객플라자|경북 안동시 영가로 14 1층 (운흥동,경북북부창구)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>※ 점심시간 11:50~13:00|128.73332|36.56439
삼성생명|노원플라자|고객플라자|서울 노원구 동일로 1395 1층 (상계6.7동,상계빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|127.060455|37.65317
삼성생명|달서플라자|고객플라자|대구 달서구 월곡로 266 3층 대구은행3층입니다 (상인1동,월곡빌)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|128.53915|35.818104
삼성생명|대구플라자|고객플라자|대구 중구 달구벌대로 2095 17층 (덕산동,삼성생명빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|128.59277|35.866238
삼성생명|대전플라자|고객플라자|대전 서구 한밭대로 755 6층 대전플라자 (둔산동)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|127.38246|36.358257
삼성생명|관동플라자|고객플라자|강원 강릉시 율곡로 2831 1층 (옥천동,삼성생명빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|128.89793|37.75687
삼성생명|광명플라자|고객플라자|경기 광명시 철산로 1 1층 고객플라자 (철산동,삼성빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|126.866295|37.47605
삼성생명|광주플라자|고객플라자|광주 동구 금남로 148 2층 (금남로5가,삼성생명빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|126.909996|35.153244
삼성생명|구리플라자|고객플라자|경기 구리시 경춘로 189 3층 구리고객플라자 (인창동,구리빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|127.13658|37.600887
삼성생명|구포플라자|고객플라자|부산 북구 낙동대로 1791 7층 (덕천2동,한진빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|129.00482|35.21039
삼성생명|김포창구|고객플라자|경기 김포시 김포대로 827 4층 삼성생명 김포고객창구 (사우동,DS)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>※ 점심시간 11:50~13:00|126.72148|37.61878
삼성생명|목포플라자|고객플라자|전남 목포시 교육로 59 2층 삼성생명목포플라자 (상동,새마을빌딩)|1588-3114|09:00~16:00(오전방문시 빠른응대 가능)<br/>*플라자  현금성 업무는 15:00까지 가능|126.42009|34.802193
