INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
동부화재|20622872|DB손해보험강동TC센터|서울특별시 강동구 길동 458-5|서울특별시 강동구 양재대로 1443||['보험', '손해,화재보험']|127.1385060|37.5348155||[{'rep': True, 'x': 127.138666, 'y': 37.535112}]|[{'rep': True, 'x': 127.138666, 'y': 37.535112}]|None|None
동부화재|12106808|DB손해보험|서울특별시 강남구 대치동 891-10 DB금융센터|서울특별시 강남구 테헤란로 432 DB금융센터|1588-0100|['보험', '손해,화재보험']|127.0544632|37.5057911|https://www.idbins.com/|[{'rep': True, 'x': 127.055253, 'y': 37.50582}]|[{'rep': True, 'x': 127.054538, 'y': 37.505945}, {'rep': False, 'x': 127.055153, 'y': 37.506021}]|None|None
동부화재|18869802|DB손해보험 한국천하대리점|서울특별시 중랑구 면목동 379-39|서울특별시 중랑구 면목로 243|02-435-3443|['보험', '손해,화재보험']|127.0850549|37.5747860||[{'rep': True, 'x': 127.08508, 'y': 37.57471}]|[{'rep': True, 'x': 127.08508, 'y': 37.57471}]|None|None
동부화재|1390365896|DB손해보험신흥지점|경기도 성남시 수정구 수진동 4004|경기도 성남시 수정구 성남대로 1182|031-720-2504|['보험', '손해,화재보험']|127.1290853|37.4354731||[{'rep': True, 'x': 127.1287856, 'y': 37.4357277}, {'rep': False, 'x': 127.1291664, 'y': 37.4352111}]|[{'rep': True, 'x': 127.1287856, 'y': 37.4357277}, {'rep': False, 'x': 127.1291664, 'y': 37.4352111}, {'rep': False, 'x': 127.128911, 'y': 37.4353818}]|None|None
동부화재|135038104|DB손해보험중원지점|경기도 성남시 수정구 수진동 4004|경기도 성남시 수정구 성남대로 1182||['보험', '손해,화재보험']|127.1290940|37.4354423||[{'rep': True, 'x': 127.1287856, 'y': 37.4357277}, {'rep': False, 'x': 127.1291664, 'y': 37.4352111}]|[{'rep': True, 'x': 127.1287856, 'y': 37.4357277}, {'rep': False, 'x': 127.1291664, 'y': 37.4352111}, {'rep': False, 'x': 127.128911, 'y': 37.4353818}]|None|None
동부화재|12064139|DB손해보험 가락지점|서울특별시 송파구 가락동 98-3 대한소방공제회관 9층|서울특별시 송파구 송파대로 274 대한소방공제회관 9층|02-1588-0100|['보험', '손해,화재보험']|127.1181214|37.4938834|http://www.idongbu.com/|[{'rep': True, 'x': 127.118309, 'y': 37.494078}]|[{'rep': True, 'x': 127.11785, 'y': 37.49409}]|None|매일 10:00~18:00 공휴일 휴무.
동부화재|1914479258|DB손해보험 대리점|경기도 광주시 중대동 131-9|경기도 광주시 순암로 256-9||['보험', '손해,화재보험']|127.2246182|37.4006002||[{'rep': True, 'x': 127.224581, 'y': 37.400502}]|[{'rep': True, 'x': 127.224581, 'y': 37.400502}]|None|None
동부화재|33176903|DB손해보험 서부사업단|서울특별시 마포구 동교동 165-5|서울특별시 마포구 양화로 162 좋은사람들빌딩 11층|02-320-6500|['보험', '손해,화재보험']|126.9238454|37.5565494||[{'rep': True, 'x': 126.9240938, 'y': 37.5562813}]|[{'rep': True, 'x': 126.9237433, 'y': 37.5565931}]|None|None
동부화재|18171075|DB손해보험남양주지점|경기도 남양주시 평내동 578-1 다모아프라자 5층|경기도 남양주시 경춘로1256번길 6 다모아프라자 5층|031-560-5760|['보험', '손해,화재보험']|127.2344084|37.6459091||[{'rep': True, 'x': 127.2341464, 'y': 37.6458536}]|[{'rep': True, 'x': 127.2346818, 'y': 37.6460746}]|None|None
동부화재|21627736|DB손해보험 안양사업단|경기도 안양시 만안구 안양동 548-1 계양빌딩5층|경기도 안양시 만안구 안양로 119 계양빌딩5층|031-463-6110|['보험', '손해,화재보험']|126.9323224|37.3852393||[{'rep': True, 'x': 126.9319806, 'y': 37.3851271}]|[{'rep': True, 'x': 126.932347, 'y': 37.3853836}, {'rep': False, 'x': 126.9319157, 'y': 37.3855167}]|None|None
동부화재|18183250|DB손해보험장현대리점|경기도 남양주시 진접읍 장현리 381-7|경기도 남양주시 진접읍 장현로 92-1||['보험', '손해,화재보험']|127.1825312|37.7184154||[{'rep': True, 'x': 127.182485, 'y': 37.718433}]|[{'rep': True, 'x': 127.182485, 'y': 37.718433}]|None|None
동부화재|19292442|DB손해보험현진대리점|경기도 용인시 기흥구 신갈동 388-247|경기도 용인시 기흥구 신갈로 131||['보험', '손해,화재보험']|127.1056033|37.2784498||[{'rep': True, 'x': 127.105695, 'y': 37.278461}]|[{'rep': True, 'x': 127.105695, 'y': 37.278461}]|None|None
동부화재|87981297|DB손해보험 진접지점|경기도 남양주시 진접읍 장현리 239-3 세현빌딩 3층|경기도 남양주시 진접읍 해밀예당3로 171 세현빌딩 3층|031-560-5751|['보험', '손해,화재보험']|127.1915185|37.7231785||[{'rep': True, 'x': 127.191748, 'y': 37.723167}]|[{'rep': True, 'x': 127.191574, 'y': 37.723269}]|None|None
동부화재|21628933|DB손해보험호원지점|경기도 의정부시 의정부동 490-6|경기도 의정부시 둔야로17번길 34||['보험', '손해,화재보험']|127.0376879|37.7375741||[{'rep': True, 'x': 127.037858, 'y': 37.7375}]|[{'rep': True, 'x': 127.037538, 'y': 37.737661}]|None|None
동부화재|38692910|DB손해보험 의정부사업단|경기도 의정부시 의정부동 490-7|경기도 의정부시 둔야로17번길 34 신도빌딩|031-870-4700|['보험', '손해,화재보험']|127.0376878|37.7375956||[{'rep': True, 'x': 127.037858, 'y': 37.7375}]|[{'rep': True, 'x': 127.037538, 'y': 37.737661}]|None|None
동부화재|21628891|DB손해보험의정부TC센터|경기도 의정부시 의정부동 490-6|경기도 의정부시 둔야로17번길 34||['보험', '손해,화재보험']|127.0376867|37.7376171||[{'rep': True, 'x': 127.037858, 'y': 37.7375}]|[{'rep': True, 'x': 127.037538, 'y': 37.737661}]|None|None
동부화재|21628929|DB손해보험경의지점|경기도 의정부시 의정부동 490-6|경기도 의정부시 둔야로17번길 34||['보험', '손해,화재보험']|127.0376679|37.7376832||[{'rep': True, 'x': 127.037858, 'y': 37.7375}]|[{'rep': True, 'x': 127.037538, 'y': 37.737661}]|None|None
동부화재|13495255|DB손해보험 부천사업단|경기도 부천시 중동 1132-3|경기도 부천시 신흥로 179|032-222-5700|['보험', '손해,화재보험']|126.7765316|37.4995814||[{'rep': True, 'x': 126.7763376, 'y': 37.4998458}]|[{'rep': True, 'x': 126.7768565, 'y': 37.4996972}, {'rep': False, 'x': 126.7763875, 'y': 37.4995513}]|None|None
동부화재|19011460|DB손해보험 안산사업단|경기도 안산시 단원구 고잔동 523-1|경기도 안산시 단원구 광덕대로 267 3층|031-8092-6800|['보험', '손해,화재보험']|126.8300177|37.3205208|http://www.idongbu.com/|[{'rep': True, 'x': 126.8296027, 'y': 37.3206205}]|None|None|평일 09:00~16:00
동부화재|16561410|DB손해보험 동양대리점|인천광역시 부평구 일신동 100-4|인천광역시 부평구 일신로14번길 3|032-503-3706|['보험', '손해,화재보험']|126.7453132|37.4836812||[{'rep': True, 'x': 126.745276, 'y': 37.483744}]|[{'rep': True, 'x': 126.745276, 'y': 37.483744}]|None|None
동부화재|18302880|DB손해보험 하얀돌대리점|경기도 양주시 백석읍 오산리 529-5|경기도 양주시 백석읍 중앙로223번길 30||['보험', '손해,화재보험']|126.9863364|37.7951501||[{'rep': True, 'x': 126.986281, 'y': 37.795098}]|[{'rep': True, 'x': 126.986281, 'y': 37.795098}]|None|None
