INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
24게스트하우스|38448405|24게스트하우스 잠실점|서울특별시 송파구 삼전동 47|서울특별시 송파구 백제고분로22길 5|02-6949-1000|['숙박', '게스트하우스']|127.0893961|37.5033282|https://www.seouljamsil.com/|[{'rep': True, 'x': 127.089523, 'y': 37.503369}]|[{'rep': True, 'x': 127.089294, 'y': 37.503287}]|None|None
24게스트하우스|32990898|24게스트하우스 서울역점|서울특별시 용산구 동자동 35-125|서울특별시 용산구 후암로57길 41 알프스장여관|02-754-8124|['숙박', '게스트하우스']|126.9741037|37.5516940|http://seoulstation.24guesthouse.co.kr/|[{'rep': True, 'x': 126.974059, 'y': 37.551659}]|[{'rep': True, 'x': 126.974059, 'y': 37.551659}]|None|None
24게스트하우스|33979056|24게스트하우스 인사동|서울특별시 종로구 관철동 7-5|서울특별시 종로구 삼일대로17길 8 4-5층|02-734-0024|['숙박', '게스트하우스']|126.9872489|37.5692612|http://www.24guesthouseinsadong.com/|[{'rep': True, 'x': 126.9875068, 'y': 37.5692996}]|[{'rep': True, 'x': 126.9869578, 'y': 37.56922}]|None|None
24게스트하우스|32990894|24게스트하우스 동대문점|서울특별시 중구 을지로7가 58-1|서울특별시 중구 을지로 280-2 kika|02-6956-3659|['숙박', '게스트하우스']|127.0090514|37.5654509|http://www.24guesthousedongdaemun.com/|[{'rep': True, 'x': 127.009054, 'y': 37.565509}]|[{'rep': True, 'x': 127.009054, 'y': 37.565509}]|None|None
24게스트하우스|34698975|24게스트하우스 명동시티점|서울특별시 중구 수표동 56-14|서울특별시 중구 을지로9길 26|02-2274-0024|['숙박', '게스트하우스']|126.9887156|37.5671165|http://cheonggye-stream.24guesthouse.co.kr/|[{'rep': True, 'x': 126.988655, 'y': 37.567155}]|[{'rep': True, 'x': 126.988655, 'y': 37.567155}]|None|None
24게스트하우스|34699153|24게스트하우스 동대문마켓|서울특별시 종로구 창신동 444-9 4,5층|서울특별시 종로구 종로46길 22 임진빌딩|02-742-6200|['숙박', '게스트하우스']|127.0102169|37.5706621|http://dongdaemunmarket.24guesthouse.co.kr/|[{'rep': True, 'x': 127.010351, 'y': 37.570626}]|[{'rep': True, 'x': 127.010351, 'y': 37.570626}]|None|None
24게스트하우스|1153590016|24게스트하우스 경희대점|서울특별시 동대문구 휘경동 183-154|서울특별시 동대문구 회기로29길 18|070-8286-4008|['숙박', '게스트하우스']|127.0581926|37.5909113|https://24guesthousechcongri.modoo.at|[{'rep': True, 'x': 127.05809, 'y': 37.590905}]|[{'rep': True, 'x': 127.05809, 'y': 37.590905}]|싱글룸 30,000 | 더블룸 40,000 | 트윈룸 50,000 | 트리플룸 60,000|None
24게스트하우스|1164782125|24게스트하우스 원룸텔 신촌에비뉴엘점|서울특별시 서대문구 창천동 31-92|서울특별시 서대문구 명물길 19 8,9,10층|02-312-1820|['생활,편의', '고시원,고시텔']|126.9376348|37.5580243|http://24guesthouse.ainhouse.kr|[{'rep': True, 'x': 126.9375649, 'y': 37.5579989}]|[{'rep': True, 'x': 126.9376921, 'y': 37.5579191}]|None|매일 00:00~24:00
24게스트하우스|37383585|24게스트하우스 서울시청점|서울특별시 중구 태평로2가 366-1 오천빌딩 3층|서울특별시 중구 덕수궁길 7 펠리스빌딩 3층|070-7779-3327|['숙박', '기타숙박업']|126.9763528|37.5647358|http://www.24guesthouseseoul.com/|[{'rep': True, 'x': 126.9761848, 'y': 37.5646661}]|[{'rep': True, 'x': 126.9761848, 'y': 37.5646661}]|숙박 여성전용 4인 도미토리 21,000|매일 00:00~24:00
24게스트하우스|37005547|24게스트하우스 명동타운|서울특별시 중구 남창동 9-15 금오빌딩 10F|서울특별시 중구 퇴계로 61 금오빌딩|02-776-0588|['숙박', '게스트하우스']|126.9788246|37.5593069|http://www.24mdtown.com/|[{'rep': True, 'x': 126.978865, 'y': 37.55927}]|[{'rep': True, 'x': 126.978865, 'y': 37.55927}]|None|매일 08:00~23:00
