NAME|BRANCH|ADDR|TELL
가르텐|서산 코아루점|충남 서산시 고운로 275-14 코아루 상가 206호|041-681-9122
가르텐|포천 송우점|경기도 포천시 소흘읍 송우로 53,  303호 (우덕프라자)|031-541-5805
가르텐|평택 합정점|경기도 평택시 합정동 913-4 외 1필지 (913-15)|031-652-0014
가르텐|평택 평택대점|경기도 안성시 공도읍 진사길 8|031-654-4289
가르텐|평택 장당점|경기도 평택시 이충동 613-2번지|031-666-8934
가르텐|평택 소사벌점|경기도 평택시 세교상가1길 88, (세교동)|031-655-5591
가르텐|평택 세교점|경기도 평택시 세교상가1길 88, (세교동)|031-655-5591
가르텐|평택 비전점|경기도 평택시 평택5로 98, 1층 (비전동)|031-655-7920
가르텐|파주 교하점|경기도 파주시 청석로 268, 2층(동패동, 미소시티)|031-946-7704
가르텐|파주 LCD점|경기도 파주시 월릉면 덕은리 1284 3F|031-957-6362
가르텐|충남 홍성점|충청남도 홍성군 홍성읍 월산1길 40|041-635-0950
가르텐|춘천 퇴계점|강원도 춘천시 행촌로 39 (퇴계동,1층)|033-251-4284
가르텐|춘천 장학점|춘천시 동면 장학리 997-3번지|033-242-5243
가르텐|춘천 신사우점|강원도 춘천시 충열로16번길 5-10, 1층|033-243-0070
가르텐|천안 쌍용점|충남 천안시 쌍용1동 1155번지 / 충남 천안시 서북구 미라2길 40 (쌍용동, 1F)|041-573-1010
가르텐|천안 신부점|충남 천안시 신부동 454-6 2층 202호|041-568-6430
가르텐|종로 서울극장점|서울시 종로구 종로3가 132번지|02-2271-1300
가르텐|제천 청전점|충청북도 제천시 청전동 667번지 1층|043-642-1414
가르텐|제주 서홍점|제주특별자치도 서귀포시 서홍동 305-2번지|064-762-6655
가르텐|제주 동홍점|제주특별자치도 서귀포시 동홍동 117-1번지|064-763-2226
가르텐|제주 노형점|제주특별자치도 제주시 노형동 1054-3번지|064-744-3800
가르텐|인천 청천점|인천광역시 부평구 세월천로 34,  2층 211호 (청천동, 대우프라자)|032-506-4115
가르텐|인천 원당점|인천시 서구 고산후로95번안길 21 (당하동, 원당지구멀티프라자 201호))|032-561-3320
가르텐|인천 옥련점|인천광역시 연수구 청량로185번길 31,  1층 (옥련동, SM프라자)|032-833-4932
가르텐|인천 아시아드점|인천시 남동구 선수촌공원로 23번길 6-21 301호 (구월동, B&S빌딩)|032-468-3355
가르텐|인천 신현점|인천 서구 신현동 302-1 신현 이편한세상 상가 3층|032-583-8229
가르텐|인천 서구청점|인천광역시 서구 서곶로301번길 7,  2층 (심곡동, 층 세진프라자)|032-545-8544
가르텐|인천 동춘점|인천광역시 부평구 열우물로 43-1, 2층 (십정동)|032-421-4685
가르텐|인천 동암점|인천광역시 부평구 열우물로 43-1, 2층 (십정동)|032-421-4685
가르텐|인천 당하점|인천시 서구 당하동 범성빌딩 203호|032-569-8259
가르텐|원주 봉산점|강원도 원주시 봉산동 1194-6 2층|033-735-3451
가르텐|원주 문막점|강원도 원주시 문막읍 왕건로 46|033-734-8666
가르텐|원주 무실점|강원도 원주시 만대로 170-1 (무실동,1층)|033-743-9669
가르텐|원주 구곡점|강원도 원주시 남원로 442번길7, 1층(단구동)|033-762-0559
가르텐|울산 굴화점|울산광역시 울주군 범서읍 굴화2길 7|052-223-8081
가르텐|여주 중앙점|경기도 여주군 여주읍 세종로 42|031-886-3989
가르텐|안양 명학점|경기도 안양시 만안구 안양로 112, 2층 (안양동)|031-448-3868
가르텐|안산 성포점|경기도 안산시 상록구 화랑로 495,  2층 (성포동, 예술프라자)|031-486-7733
가르텐|수원 인계점|경기도 수원시 팔달구 효원로291번길 53, 102호 (인계동)|031-233-2889
가르텐|속초 교동점|강원도 속초시 먹거리4길 23, 1층 (교동)|033-632-3537
가르텐|서산 예천점|충청남도 서산시 예천동 호수공원로 14로 36, 정연빌딩 1층|041-669-0028
가르텐|부평 삼산점|인천시 부평구 삼산동 460-2|032-526-3795
가르텐|부천 역곡점|경기도 부천시 원미구 역곡로 8,  8층 (역곡동, 오킴스타워)|032-342-1800
가르텐|목동역점|서울특별시 양천구 신정중앙로 92, 2층 (신정동)|02-2065-7772
가르텐|대전 청사점|대전광역시 서구 둔산중로134번길 29,  1층 104,105호 (둔산동, 청사프라자)|042-472-1357
가르텐|대전 중리점|대전광역시 대덕구 중리남로 54, (중리동)|042-623-6732
가르텐|대전 신탄진점|대전광역시 대덕구 신탄진동로7번길 61, 1층 (신탄진동)|042-932-6866
가르텐|대전 송강점|대전광역시 유성구 구즉로58번길 22, (송강동)|042-933-8259
가르텐|대전 법원점|대전광역시 서구 둔산로137번길 21, 1층) (둔산동, 104호)|042-488-8497
가르텐|대전 만년점|대전광역시 서구 만년로67번길 18-13, (만년동)|042-471-1357
가르텐|당진 송악점|충남 당진군 송악면 복운리 1633-12|041-358-8603
가르텐|당진 대덕점|충남 당진시 대덕동 1517번지|041-354-9966
가르텐|구의 광장점|서울특별시 광진구 아차산로 473, 2층 (구의동)|02-453-6007
가르텐|광명 하안점|경기도 광명시 하안로287번길 11, (하안동)|02-897-2552
가르텐|광명 철산점|경기도 광명시 오리로856번길 14, 4층 (철산동)|031-761-2599
가르텐|곤지암점|경기도 광주시 곤지암읍 평촌길 35-10|031-761-2599
가르텐|계룡점|충청남도 계룡시 엄사면 전원1길 1|042-841-0416
가르텐|경남 함양점|경상남도 함양군 함양읍 용평중앙길 43, 2층|055-964-4477
가르텐|경기 송탄점|경기도 평택시 특구로 28,  3층 (서정동, 원영빌딩)|031-611-8530
가르텐|경기 금정점|경기도 군포시 군포로735번길 15-10, 1층 (산본동)|031-391-4408
가르텐|강원 화천점|강원도 화천군 화천읍 중앙로 2길 17|033-442-2766
가르텐|강원 횡성점|강원도 횡성군 횡성읍 읍하로25번길 22, 1층|033-343-3662
가르텐|강원 양구점|강원도 양구군 양구음 상리 214-1|033-482-0880
