INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
나뚜루|1515895535|나뚜루 잠실롯데타워31층|서울특별시 송파구 신천동 29|서울특별시 송파구 올림픽로 300 롯데타워 31층|02-3213-9978|['카페,디저트', '아이스크림']|127.1043005|37.5136378|http://www.natuur.co.kr|[{'rep': True, 'x': 127.1053249, 'y': 37.5143561}, {'rep': False, 'x': 127.1034397, 'y': 37.5120837}]|[{'rep': True, 'x': 127.1046925, 'y': 37.5145667}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|매일 11:00~21:00
나뚜루|35831875|나뚜루 잠실롯데월드몰1층점|서울특별시 송파구 신천동 29|서울특별시 송파구 올림픽로 300 캐쥬얼동1층|02-3213-4192|['카페,디저트', '아이스크림']|127.1042717|37.5137391|http://www.natuur.co.kr|[{'rep': True, 'x': 127.1053249, 'y': 37.5143561}, {'rep': False, 'x': 127.1034397, 'y': 37.5120837}]|[{'rep': True, 'x': 127.1046925, 'y': 37.5145667}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|매일 10:30~22:00
나뚜루|1085821888|나뚜루 송파DV점|서울특별시 송파구 방이동 62-8|서울특별시 송파구 오금로13길 9|02-417-9876|['카페,디저트', '아이스크림']|127.1086773|37.5134071||[{'rep': True, 'x': 127.1086475, 'y': 37.5133262}]|[{'rep': True, 'x': 127.1086475, 'y': 37.5133262}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1150921607|나뚜루 송파방이점|서울특별시 송파구 방이동 180-7|서울특별시 송파구 위례성대로 34||['카페,디저트', '아이스크림']|127.1161016|37.5158768||[{'rep': True, 'x': 127.115881, 'y': 37.515821}]|[{'rep': True, 'x': 127.115881, 'y': 37.515821}, {'rep': False, 'x': 127.11621, 'y': 37.515949}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1960827162|나뚜루 건대스타시티점|서울특별시 광진구 자양동 227-7|서울특별시 광진구 아차산로 272 더샵스타시티|02-2024-1451|['카페,디저트', '아이스크림']|127.0732472|37.5384401|http://www.natuur.co.kr|[{'rep': True, 'x': 127.071793, 'y': 37.5388685}, {'rep': True, 'x': 127.073128, 'y': 37.5382655}, {'rep': False, 'x': 127.0711969, 'y': 37.5378797}]|[{'rep': True, 'x': 127.0705887, 'y': 37.5390462}, {'rep': False, 'x': 127.0728359, 'y': 37.538356}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|매일 10:00~22:00
나뚜루|30824519|나뚜루 신림중앙점|서울특별시 관악구 신림동 118-6|서울특별시 관악구 신림로12길 1|02-873-1286|['카페,디저트', '아이스크림']|126.9380034|37.4711728|http://www.natuur-pop.com|[{'rep': True, 'x': 126.937961, 'y': 37.471189}]|[{'rep': True, 'x': 126.937961, 'y': 37.471189}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|매일 11:00~23:00
나뚜루|1061689989|나뚜루 플래그십 스토어 신촌|서울특별시 서대문구 창천동 30-14|서울특별시 서대문구 신촌로 87|02-3141-6855|['카페,디저트', '아이스크림']|126.9361674|37.5556114|http://www.natuur.co.kr|[{'rep': True, 'x': 126.936147, 'y': 37.555559}]|[{'rep': True, 'x': 126.936147, 'y': 37.555559}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|평일 09:00~01:00 월요일~목요일 | 금요일 09:00~02:00 | 토요일 09:00~02:00 | 일요일 09:00~01:00
나뚜루|1045871210|나뚜루 구로디저털역|서울특별시 관악구 신림동 1643|서울특별시 관악구 시흥대로 578-2|02-857-7698|['카페,디저트', '아이스크림']|126.9030456|37.4842575||[{'rep': True, 'x': 126.9035305, 'y': 37.4842137}]|[{'rep': True, 'x': 126.9030888, 'y': 37.4844296}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|20972784|나뚜루 가산디지털점|서울특별시 금천구 가산동 459-11 제이플라츠 A동 103호|서울특별시 금천구 가산디지털1로 186 JEI PLATZ|02-2028-6126|['카페,디저트', '아이스크림']|126.8816520|37.4820060|http://www.natuur.co.kr/|None|[{'rep': True, 'x': 126.881041, 'y': 37.4819785}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|평일 07:30~22:30 | 공휴일 11:30~18:00 | 토요일 10:30~19:00 | 일요일 11:30~18:00
나뚜루|18959145|나뚜루 구일점|서울특별시 구로구 구로동 685-215 종합상가 116호|서울특별시 구로구 구일로4길 33 종합상가|070-8843-9177|['카페,디저트', '아이스크림']|126.8758800|37.4919410|http://www.natuur.co.kr/|[{'rep': True, 'x': 126.875527, 'y': 37.4922}]|[{'rep': True, 'x': 126.875976, 'y': 37.492012}, {'rep': False, 'x': 126.875776, 'y': 37.492194}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
나뚜루|1226366927|나뚜루 수지DV점|경기도 용인시 수지구 풍덕천동 1183|경기도 용인시 수지구 수지로 166 상가동 105호|010-5833-3181|['카페,디저트', '아이스크림']|127.0837723|37.3159915||[{'rep': True, 'x': 127.083953, 'y': 37.316095}]|[{'rep': True, 'x': 127.083953, 'y': 37.316095}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|평일 17:00~23:30 | 주말 10:00~23:30
나뚜루|11803235|나뚜루 개화점|서울특별시 강서구 방화동 562-26|서울특별시 강서구 양천로 60|02-2662-6855|['카페,디저트', '아이스크림']|126.8104490|37.5730689|http://www.natuur.co.kr/|[{'rep': True, 'x': 126.81032, 'y': 37.573067}]|[{'rep': True, 'x': 126.810547, 'y': 37.573151}]|싱글컵/콘 3,200 | 싱글퀸컵 4,200 | 더블컵 5,300 | 트리플컵 8,200 | 멀티플컵 12,000 | 쿼트컵 15,000 | 파티컵 20,000 | 프랜즈컵 23,000|None
