NAME|BRANCH|ADDR|TELL
카페베네|세종문화회관 예술동점|서울특별시 종로구 세종대로 175 세종문화회관 예술동 (세종문화회관 뒤쪽 작은 광장 & 중앙계단 위치)|1688-4666
카페베네|세종문화회관 대극장점|서울특별시 종로구 세종대로 175 세종문화회관 대극장 로비|1688-4666
카페베네|전주팔복점|전라북도 전주시 덕진구 팔복1길 21|063-717-0872
카페베네|수진역점|경기도 성남시 중원구 산성대로 208, 1층 115호 (성남동, 신한타워)|031-759-7733
카페베네|소래포구점|인천광역시 남동구 소래역로 22, 1층|032-421-7666
카페베네|의정부민락점|경기도 의정부시 오목로 225번길 6-18 1층|031-879-6565
카페베네|경북예천점|경북 예천군 예천읍 충효로 284|054-654-0088
카페베네|대전태평점|대전 중구 계백로 1565번길 20|042-536-8100
카페베네|안양엔터식스점|안양시 만안로 232 엔터식스 3층|
카페베네|제주 유탑유블레스호텔점|제주특별자치도 제주시 조천읍 조함해안로 502 1층 |
카페베네|양산터미널점|경남 양산시 양산역1길 7 양산시외버스터미널 107B호|055-384-3888
카페베네|75사단철마부대회관점|경기도 남양주시 진접읍 팔야리 760-6|
카페베네|DDP점 (휴점)|서울시 중구 을지로 281 디자인 장터 B2|02-2153-0788
카페베네|강동드림산부인과점|서울 강동구 상일로12길 97|
카페베네|강릉안목항점|강원도 강릉시 견소동 3-1|070-8825-6232
카페베네|강원대학교병원점|강원도 춘천시 백령로 156(효자동)|033-242-1012
카페베네|강원양구점|강원도 양구군 양구읍 양록길 73|033-481-8383
카페베네|강원화천점|강원도 화천군 화천읍 중앙로 9 |033-442-7773
카페베네|거여역점|서울특별시 송파구 오금로 513 101 (거여동 위례빌딩)|02-449-6232
카페베네|거제수양점|경상남도 거제시 수양로 498(양정동  1층 / 937-6번지)|055-632-1717
카페베네|거제아주점|경상남도 거제시 아주동 아주도시개발사업지구 21블럭 9로트 1층 |055-682-6232
카페베네|거제옥포점|경상남도 거제시 옥포로 206 (옥포동  1층)|055-687-6232
카페베네|거제축협점|경상남도 거제시 거제중앙로 1726 1층(거제축산농협)|055-633-7509
카페베네|건대2호점|서울특별시 광진구 아차산로 207(화양동 1층)|02-462-6282
카페베네|건대스타시티점|서울특별시 광진구 자양동 227-7 스타시티 122 123호|02-2024-8890
카페베네|경남거창점|경상남도 거창군 거창읍 공수들4길 41|055-945-7080
카페베네|경남사천점|경상남도 사천시 사천읍 읍내 1길 46|070-8988-6232
카페베네|경북군위점|경상북도 군위군 군위읍 군청로 87-37 |054-383-3358
카페베네|경북대병원 간이휴게소동점|대구광역시 중구 동덕로 130 (삼덕동 2가, 경북대병원 간이휴게소동 지상)|
카페베네|경산감못점|경상북도 경산시 압량면 신대리 130-1 |053-801-9123
카페베네|경산성암점|경상북도 경산시 삼성현로 168 (사정동)|053-811-2552
카페베네|경주노동아카데미점|경상북도 경주시 노동동 73-2  1층|054-745-1915
카페베네|경주동국대점|경상북도 경주시 한빛길 6번길 43|054-746-0073
카페베네|경주월드공원점|경상북도 경주시 보문로 544|
카페베네|경주주상절리점|경상북도 경주시 양남면 동해안로 486|054-743-3780
카페베네|고덕역점|서울특별시 강동구 동남로 73길 31(명일동 1층)|02-3426-6241
카페베네|고려대중앙광장점|서울특별시 성북구 안암로 145 고려대학교 중앙광장 지하1층 101호|02-925-6232
카페베네|고신의대점|부산광역시 서구 감천로 262(암남동  고신대학교 의과대학)|051-256-6173
카페베네|고창병원점|전라북도 고창군 고창읍 화신1길 9 고창병원 1층|
카페베네|공주중동점|충청남도 공주시 중동 67-3번지 1 2F|041-857-6232
카페베네|공주휴게소(당진방향)점|충청남도 공주시 의당면 당진영덕고속도로 71 공주(당진방향)휴게소|
카페베네|광양이순신대교점|전라남도 광양시 중동 102-20 |061-795-4882
카페베네|광주구호전장례식장점|광주광역시 북구 독립로 409 |062-518-6234
카페베네|광주만평장례식장점|광주광역시 광산구 우산동 621-2|062-944-6232
카페베네|광주상무지구점|광주광역시 서구 상무연하로 50|
카페베네|광주수완1호점|광주광역시 광산구 임방울대로 327  1 2층(수완동)|062-952-6232
카페베네|광주쌍촌점|광주광역시 서구 쌍촌동 964-8 1층|062-385-6232
카페베네|광주오일팔공원점|광주광역시 서구 쌍촌동 1271-1 1층 2층|062-381-6233
카페베네|광주유스퀘어점|광주광역시 서구 무진대로 904(광천동 유스퀘어내1층)|062-352-6232
카페베네|광주진월점|광주광역시 남구 진월동 259 2동 1층 2층|062-651-6232
카페베네|광주현대웰빙랜드점|광주광역시 북구 운암동 118-14 1층|062-511-6232
카페베네|구리돌다리점|경기도 구리시 경춘로 244번길 B (수택동  1층)|031-564-6232
카페베네|구미문성못점 (휴점)|경상북도 구미시 고아읍 들성로 177 1동 1층|054-453-8012
카페베네|구미형곡점|경상북도 구미시 형곡동 854|054-444-2682
카페베네|군산(상)휴게소점|전라북도 군산시 나포면 서해안고속도로 148|063-453-2818
카페베네|군산(하)휴게소점|전라북도 군산시 성산면 서해안고속도로 141|063-453-0402
카페베네|군산산북점|전라북도 군산시 부원로 129 (산북동)|063-462-6232
카페베네|군산시청점|전라북도 군산시 조촌로 44(조촌동)|063-451-0288
카페베네|군산은파호수점|전라북도 군산시 동지곡길 177-4(지곡동)|070-8899-6232
카페베네|군산중앙점 (휴점)|전라북도 군산시 중앙로2가동 12-4|070-4412-6232
카페베네|금촌로터리점|경기도 파주시 번영로 11 (금촌동  1층)|031-949-0533
카페베네|김제검산점|전라북도 김제시 검산동 844 1층|063-544-6232
카페베네|김천구미KTX점|경상북도 김천시 남면 혁신1로 51 |
카페베네|김포사우점|경기도 김포시 사우동 942|031-998-6234
카페베네|김해공항1층점|부산광역시 강서구 공항진입로 108 (대저2동  국내선1층)|051-941-8626
카페베네|김해어방점|경상남도 김해시 어방동 1088-7번지 1층|055-325-9777
카페베네|김해휴앤락점|경상남도 김해시 내외중앙로 137(내동 휴앤락몰)|070-8882-5422
카페베네|낙산사점|강원도 양양군 강현면 낙산사로 42|033-671-6232
