NAME|BRANCH|ADDR|TELL|TIME
요거프레소|나주빛가람종합병원점|전남 나주시 빛가람동 892-13 , 빛가람병원 1층|-|좌석 20 │ 평일 : 08:00 – 19:00 & 주말 : 09:00 - 19:00
요거프레소|수원호매실점|경기 수원시 권선구 금곡로197번길 73-3 (금곡동) |010-2178-7973|좌석 24석 │ 평일/주말 10:00 – 21:00  (매주 화요일 휴무)
요거프레소|여수쌍봉점|전남 여수시 쌍봉로 51 (학동) |061-684-3200|좌석 33석 │ 평일&주말 11:00 ~ 20:00
요거프레소|시흥은계호수점|경기도 시흥시 은계호수로 25 , 106호|031-321-0486|좌석 18석 │ 평일&주말 09:00 ~ 21:00
요거프레소|중랑점|서울특별시 중랑구 봉우재로2길 3 , 1층|02-433-8049|좌석 15석 │ 평일&주말 11:30 ~ 21:30
요거프레소|기흥효성점|경기도 용인시 기흥구 덕영대로2077번길 33 , 2층|031-287-0203|좌석 21석 │ 평일 10:00 ~ 21:00 (주문마감 20:00) 주말 11:00 ~ 21:00 (주문마감 20:00)
요거프레소|완주봉동점|전라북도 완주군 봉동읍 봉동동서로 122-2 , 1층|00-000-0000|좌석 26석 │ 평일&주말 10:00 ~ 21:00
요거프레소|용인메디컬센터점|경기도 용인시 기흥구 영덕동 986-6 , 1층|00-000-0000|좌석 15석 │ 평일&주말 09:00 ~ 19:00
요거프레소|시흥동원로얄듀크점|경기도 시흥시 시흥대로 404 , 시흥시청역동원로얄듀크 상가 105호|031-318-8244|좌석 15석 │ 평일&주말 10:00 ~ 22:00
요거프레소|평창점|강원도 평창군 평창읍 노성로 150 , 1층|033-332-5147|좌석 24석 │ 평일&주말 10:00 ~ 21:00
요거프레소|고덕센트럴아이파크점|서울특별시 강동구 고덕로80길 123 , 고덕센트럴아이파크아파트상가 1층 112호|02-6489-7555|좌석 15석 │ 평일 10:00 ~ 21:00 토요일 11:00 ~ 19:00 (일요일 휴무)
요거프레소|백마대점|경기도 광주시 오포읍 양벌리 915번지 , 백마대레스텔 2층|031-766-8219|좌석 28석 │ 평일&주말 10:00 ~ 20:00
요거프레소|김포파인스타메디컬점|경기도 김포시 걸포2로 21 , 107호(걸포동, 파인스타S3)|031-982-4191|좌석 20석 │ 평일&토요일 09:00 ~ 22:00 일요일 11:00 ~ 18:00
요거프레소|광교SK뷰레이크점|경기도 수원시 영통구 법조로25 , 229호 (하동, 광교 SK VIEW Lake)|031-212-8869|좌석 18석 │ 평일 09:00 ~ 21:00 주말&공휴일 12:00 ~ 21:00
요거프레소|중화역점|서울특별시 중랑구 봉화산로 39-1 , 1층|02-433-8609|좌석 14석 │ 평일&토요일 10:00 ~ 21:00 (일요일 휴무)
요거프레소|삼송농협대점|경기도 고양시 덕양구 서삼릉길 356 , 1층|031-966-2369|좌석 54석 │ 평일 10:30 ~ 19:00 주말 11:00 ~ 21:00
요거프레소|울산수암점|울산광역시 남구 수암로 128번길 7 , 나동1층|052-256-6688|좌석 38석 │ 평일&주말 09:00 ~ 24:00
요거프레소|문경가은점|경상북도 문경시 가은읍 대야로 2486 , 1층|054-572-2486|좌석 12석 │ 평일&주말 10:00 ~ 20:00
요거프레소|안산그랑시티자이점|경기도 안산시 상록구 해양1로 199 , 그랑시티자이 포트에비뉴 142호(사동)|031-408-4394|좌석 18석 │ 평일&주말 10:00 ~ 22:00
요거프레소|대구수성점|대구광역시 수성구 달구벌대로 2362 , 1층(수성동3가, 범어영타워)|053-280-9012|좌석 30석 │ 평일 08:30 ~ 24:00 주말 10:00 ~ 22:00
요거프레소|해운대엘시티점|부산광역시 해운대구 달맞이길 62번길 19 , 1층|051-939-4545|좌석 33석 │ 평일 09:00 ~ 22:00 주말 08:00 ~ 22:00
요거프레소|평택동삭센트럴파크점|경기 평택시 동삭1로22번길 19-6 (동삭동) , 더원주차타워 내 근린상가 1층 105호|031-8054-8588|좌석 20석 │ 평일/주말 10:00 ~ 22:00
요거프레소|울산이화점|울산광역시 북구 이화1길 5 , 1층(중산동)|052-298-4403|좌석 38석 │ 평일&주말 10:00 ~ 22:00
요거프레소|경주외동미소지움시티점|경상북도 경주시 외동읍 순금1길 7 , 101동 104호|054-741-0889|좌석 26석 │ 평일&주말 10:00 ~ 22:00
요거프레소|원주시네마점|강원도 원주시 서원대로 410 , 1층 108호(단구동, 한솔프라자)|000-000-0000|좌석 39석 │ 평일&주말 10:00 ~ 22:00
요거프레소|거제망치몽돌점(휴점)|경상남도 거제시 일운면 망치3길 4 , 1층|055-681-9603|좌석 18석 │ 평일&주말 10:00 ~ 21:00
요거프레소|대구동천점|대구광역시 북구 동천로 135-7 , 1층|053-323-0220|좌석 55석 │ 평일&주말 10:00 ~ 22:00
