NAME|BRANCH|ADDR|TELL
감탄떡볶이|감탄의정부 을지병원점|경기 의정부시 금오동 439-41 |
감탄떡볶이|감탄아주대학교점|경기도 수원시 영통구 월드컵로 206 아주대학교 제1학생회관 내 푸드코트|
감탄떡볶이|감탄시흥 장현지구점|경기 시흥시 장현서3길 14, 102호|
감탄떡볶이|감탄송도랜드마크점|인천 연수구 랜드마크로 68 오피스텔 제1층 제47호|
감탄떡볶이|감탄인천 청라점|인천 서구 비지니스로 166 상가동 104호|
감탄떡볶이|감탄부천 신중동점|부천시 중동 1146-2 센트럴프라움 101동 111호|032-326-5889
감탄떡볶이|감탄인천 도화점|인천 미추홀구 도화동 71-1 도화프라자|032-872-9959
감탄떡볶이|감탄진주 충무공동점|경남 진주시 충무공동 131-3|055-759-5889
감탄떡볶이|감탄전주 효천점|전북 전주시 완산구 홍산로 6, 101호(이마빌딩)|063-223-7753
감탄떡볶이|감탄동탄하나로유통센터점|경기 화성시 동탄순환대로27길 30|
감탄떡볶이|감탄전주 하가지구점|전북 전주시 덕진구 경동로 36 경동빌 101호|063-717-7770
감탄떡볶이|감탄전주 중화산점|전주시 완산구 중화산동2가 화산천변로 29, 101호|063-229-3515
감탄떡볶이|감탄수락산점|서울시 노원구 상계1동 1265, 미주동방 벽운상가|02-933-5889
감탄떡볶이|감탄이마트명일점|서울특별시 강동구 고덕로 276 신세계이마트명일점 |
감탄떡볶이|감탄미사스마트밸리점|경기도 하남시 미사강변서로 16, 하우스디스마트밸리 103호|031-5175-7055
감탄떡볶이|감탄롯데마트광교점|경기도 수원시 영통구 센트럴타운로 85 |
감탄떡볶이|감탄동탄호수공원점|경기도 화성시 동탄대로4길 39, 107호|031-376-8030
감탄떡볶이|감탄이마트월계점|서울특별시 노원구 마들로3길 15 이마트월계점 |
감탄떡볶이|감탄파주야당점|경기도 파주시 야당동 1066-2 109호|031-942-8432
감탄떡볶이|감탄항동점|서울시 구로구 항동 119-6 110호|02-2683-6650
감탄떡볶이|감탄이마트 금정점|부산광역시 금정구 중앙대로1841번길 24 E마트금정점 |
감탄떡볶이|감탄다대점|부산광역시 사하구 다대로 483|051 - 262 - 6899
감탄떡볶이|감탄전주만성점|전북 전주시 만성동 1373-5|063-214-2200
감탄떡볶이|감탄홈플러스 간석점|인천광역시 남동구 경원대로 971 홈플러스간석점|
감탄떡볶이|감탄은계점|경기 시흥시 은계번영길 28, 102호(은행동 은계디스퀘어)|031-404-1080
감탄떡볶이|감탄전주에코시티점|전북 전주시 덕진구 송천동2가 1343 에코시티 데시앙7BL 상가 109호|063-276-9995
감탄떡볶이|감탄구일점|서울 구로구 구일로 10길 27 B동 109호|02-852-5954
감탄떡볶이|감탄청도휴게소상행선점|경상북도 청도군 청도읍 하지길 59-50|
감탄떡볶이|감탄세종 도담점|세종 보듬4로 9(카림에비뉴 1층)|044-867-8838
감탄떡볶이|감탄광주봉선점|광주광역시 남구 봉선동 114-3 107호|062-651-5114
감탄떡볶이|감탄용인상현점|경기도 용인시 수지구 상현동 66-9번지 상현종합상가 105호|031-264-6410
감탄떡볶이|감탄홈플러스부천소사점|경기도 부천시 괴안동129-1 홈플러스 부천소사점|
감탄떡볶이|감탄홈플러스_신내점|서울특별시 중랑구 신내로 201 홈플러스 신내점 내 1층|
감탄떡볶이|감탄신곡점|경기도 의정부시 신곡동 719-2 백상플라자 107호|031-837-7778
감탄떡볶이|감탄롯데마트고양점|경기 고양시 덕양구 충장로 150 롯데마트|
감탄떡볶이|감탄롯데마트 이천점|경기도 이천시 안흥동 274-19 롯데마트 지하1층|
감탄떡볶이|감탄홈플러스_울산남구|울산광역시 남구 수암로 148 홈플러스 울산남구점  1층 푸드코트 내|
감탄떡볶이|감탄홈플러스 유성점|대전광역시 유성구 한밭대로 502 홈플러스 유성점|
감탄떡볶이|감탄부천 옥길점|경기도 부천시 옥길동 726-3번지|032-346-0834
감탄떡볶이|감탄발안만세시장점|경기도 화성시 향남읍 평3길 12|031-353-7578
감탄떡볶이|감탄롯데마트금천점|서울특별시 금천구 시흥대로 315  롯데마트 지하1층|
감탄떡볶이|감탄화성휴게소하행선점|경기도 화성시 팔탄면 서해안고속도로 301 화성휴게소 하행선 내|
감탄떡볶이|감탄롯데마트강변점|서울특별시 광진구 광나루로56길 85 테크노마트 |
감탄떡볶이|감탄홈플러스북수원점|경기 수원시 장안구 조원동 898-1|031-259-8000
감탄떡볶이|감탄홈플러스_김포점|경기 김포시 중봉로 14 (감정동) 홈플러스 지상 2층 푸드코트|
감탄떡볶이|감탄홈플러스_분당오리점|경기도 성남시 분당구 탄천상로151번길 20, B1|
감탄떡볶이|감탄향남2지구점|경기도 화성시 향남읍 상신하길로298번길 11  [103-1호]|031-354-5202
감탄떡볶이|감탄서산휴게소하행선점|충남 서산시 해미면 서해안고속도로 241 (삼송리)|
감탄떡볶이|감탄롯데마트 경기양평점|경기 양평군 양평읍 남북로 76 |010-8824-8576
감탄떡볶이|감탄군산휴게소상행선점|전라북도 군산시 나포면 서해안고속도로 3182 (군산휴게소 상행선)|
감탄떡볶이|감탄안양상떼빌점|경기 안양시 만안구 장내로 72 (안양동, 수리산성원상떼빌1차 상가동)|031-444-3512
감탄떡볶이|감탄양평휴게소상행선점|경기 양평군 양동면 여양3로 384-27 |
감탄떡볶이|감탄광교웰빙점|경기 수원시 영통구 이의동 1202 (101호)|031-211-0648
감탄떡볶이|감탄롯데마트김포한강점|경기 김포시 김포한강4로 8 (장기동)|
감탄떡볶이|감탄송산점|경기도 화성시 송산면 삼일공원로 122|031-366-8717
감탄떡볶이|감탄간석점|인천 남동구 간석동 616-78|070-8117-4779
감탄떡볶이|감탄오창2산단점|충북 청주시 청원구 오창읍 주성리 328번지 104호|043-218-2456
감탄떡볶이|감탄롯데마트 청량리점|서울시 동대문구 왕산로 214|
감탄떡볶이|감탄상동프라자점|경남 거제시 상동동 931-19 상동프라자 제1층 제108호|055-635-5354
감탄떡볶이|감탄롯데마트시흥배곧점|경기 시흥시 서울대학로278번길 67|
감탄떡볶이|감탄화성시청점|경기도 화성시 남양읍 역골로49번길 13-1|031-355-3236
감탄떡볶이|감탄평촌점|경기도 안양시 동안구 호계동 1065 중앙상가 제1층 102호|031-384-4088 
감탄떡볶이|감탄롯데마트구미점|경북 구미시 구미대로 22길 11|
감탄떡볶이|감탄롯데마트포항점[우수가맹점]|경상북도 포항시 남구 지곡로 247 (지곡동 481)|
감탄떡볶이|감탄롯데마트원주점|강원도 원주시 봉화로 1|
감탄떡볶이|감탄롯데마트양덕점|경남 창원시 마산회원구 양덕동 222-3|
감탄떡볶이|감탄롯데마트정읍점|전북 정읍시 벚꽃로 85|
감탄떡볶이|감탄롯데마트노은점|대전시 유성구 북유성대로 206|
감탄떡볶이|감탄롯데마트송도점|인천광역시 연수구 컨벤시아대로 177 (송도동 6-11,롯데마트)|
감탄떡볶이|감탄롯데마트연수점|인천시 연수구 청능대로 87|
감탄떡볶이|감탄롯데마트통영점|경남 통영시 무전대로 65 (무전동 1069,롯데마트)|
감탄떡볶이|감탄롯데마트진장점|울산광역시 북구 진장유통로 64 (진장동 283-1,롯데마트)|
감탄떡볶이|감탄롯데마트서산점|충청남도 서산시 충의로 27 (예천동 508-10)|
감탄떡볶이|감탄롯데마트마산점|경남 창원시 마산합포구 창포동 3가 8-1|
감탄떡볶이|감탄롯데마트장유점|경남 김해시 번화1로56번길 15 (대청동 300,롯데마트)|
감탄떡볶이|감탄롯데마트부산점[우수가맹점]|부산시 부산진구 부암동 257|
