NAME|BRANCH|ADDR|TELL
원할머니보쌈|본점|서울 중구 난계로 201 |02-2232-3232
원할머니보쌈|국수보쌈제2롯데월드점|서울 송파구 올림픽로 300 |02-3213-4545
원할머니보쌈|국수보쌈논현점|서울 강남구 강남대로120길 9 |02-3445-1975
원할머니보쌈|가락점|서울 송파구 송파대로28길 6 뉴훼미리오피스텔 105 |02-401-5354
원할머니보쌈|가재울배달점|서울 서대문구 가재울 미래로 2 205동 105-2호|02-304-5356
원할머니보쌈|가평점|경기 가평군 가평읍 가화로 76 |031-582-6117
원할머니보쌈|강남구청배달점|서울 강남구 선릉로 712 |02-544-3601
원할머니보쌈|강북미아배달점|서울 강북구 삼양로27길 95 |02-982-1008
원할머니보쌈|강원동해점|강원 동해시 효자남길28-1 |033-522-5352
원할머니보쌈|강원랜드점|강원 정선군 사북읍 사북중앙로 77  1F |033-592-5355
원할머니보쌈|강원삼척점|강원 삼척시 청석로 27-112 1층 |033-575-5354
원할머니보쌈|강원용평리조트점|강원 평창군 대관령면 올림픽로 715  2층 |033-335-5385
원할머니보쌈|개봉점|서울 구로구 개봉로 14 |02-2060-7988
원할머니보쌈|개포점|서울 강남구 선릉로 4길 13 |02-529-5382
원할머니보쌈|거여역점|서울 송파구 오금로 483 |02-443-5353
원할머니보쌈|거제문동점|경남 거제시 경상남도 거제시 문동4길 21 |055-635-2979
원할머니보쌈|경기광주신현배달점|경기 광주시 오포읍 새말길 95 1층 6호|031-714-1121
원할머니보쌈|경기광주점|경기 광주시 파발로 85 1층 104호|031-797-0885
원할머니보쌈|경기광주태전배달점|경기 광주시 고불로 87 (태전 효성해링턴 플레이스) 후문 상가 102호|031-763-0530
원할머니보쌈|경산압량점|경북 경산시 압량면 압독2로2길 29 |053-812-6333
원할머니보쌈|경산진량점|경북 경산시 공단로 460 |053-854-6333
원할머니보쌈|경산하양점|경북 경산시 대학로295길 14 |053-851-6333
원할머니보쌈|경주황성점|경북 경주시 현곡면 용담로 171 상림센트럴파크 111호 |054-777-5382
원할머니보쌈|계산점|인천 계양구 계양문화로 55 도쿄프라자 101호 |032-553-4647
원할머니보쌈|고덕배달점|서울 강동구 상일로 147 |02-481-4448
원할머니보쌈|고양배달점|경기 고양시 덕양구 혜음로 8 (삼라마이다스프라자) 1층 106호|031-968-6041
원할머니보쌈|고양삼송배달점|경기 고양시 삼송로 178 |02-3159-7772
