NAME|BRANCH|OLDADDR|NEWADDR|TELL|XOCRD|YCORD|WEEKTIME|SATTIME|SUNTIME
LG전자베스트샵|롯데강남점|서울특별시 강남구 대치동 937|서울특별시 강남구 도곡로 401|02-531-2809|127.053162|37.496993|10:30-20:00|10:30-20:30|10:30-20:30
LG전자베스트샵|논현역점|서울특별시 강남구 논현동 50-3 스카이저축은행|서울특별시 강남구 학동로 103(논현동)|02-517-7447|127.02182060306917|37.51152253100276|09:30~21:00|09:30~21:00|09:30~21:00
LG전자베스트샵|현대무역점|서울특별시 강남구 삼성동 159-7 현대백화점|서울특별시 강남구 테헤란로 517(삼성동)|02-3453-0705|127.059859|37.508579|10:30-20:00|10:30-20:30|10:30-20:30
LG전자베스트샵|강남본점|서울특별시 강남구 신사동 588-16 현대썬앤빌|서울특별시 강남구 도산대로 225(신사동, 현대썬앤빌)|02-3448-5191|127.0314202|37.5211127|10:30~20:30|10:30~20:30|11:00~20:30
LG전자베스트샵|대치본점|서울특별시 강남구 대치동 50-8|서울특별시 강남구 영동대로 202(대치동)|02-569-8001|127.0704095|37.4971582|10:30~20:30|10:30~20:30|11:00~20:30
LG전자베스트샵|서초본점|서울특별시 서초구 서초동 1460-21 성진개발빌딩|서울특별시 서초구 반포대로 33(서초동)|02-584-6868|127.0113608|37.4834216|10:30~20:30|10:30~20:30|11:00~20:30
LG전자베스트샵|신세계강남점|서울특별시 서초구 반포동 19-3 센트럴시티|서울특별시 서초구 신반포로 176(반포동)|02-3479-6271|127.004237|37.5049608|10:30-20:00|10:30-20:30|10:30-20:30
LG전자베스트샵|반포점|서울특별시 서초구 잠원동  75-13 반포쇼핑타운|서울특별시 서초구 신반포로 165(잠원동)|02-592-4343|127.0023219|37.5056944|10:30~20:30|10:30~20:30|11:00~20:30
LG전자베스트샵|현대본점|서울특별시 강남구 압구정동 429|서울특별시 강남구 압구정로 165|02-3444-9057|127.027561|37.527342|10:30-20:00|10:30-20:30|10:30-20:30
LG전자베스트샵|갤러리아명품관WEST점|서울특별시 강남구 압구정동 494|서울특별시 강남구 압구정로 343|02-541-5842|127.039922|37.528492|10:30-20:00|10:30-20:30|10:30-20:30
LG전자베스트샵|서초R&D센터점|서울특별시 서초구 양재동 221 LG전자 서초 R&D 캠퍼스|서울특별시 서초구 양재대로11길 19(양재동)|02-6912-6095|127.0346917|37.4610142|09:00~19:30|휴무|휴무
LG전자베스트샵|잠실점|서울특별시 송파구 삼전동 28-4 Digital LG|서울특별시 송파구 삼전로 58(삼전동)|02-417-8989|127.0880365|37.5039321|09:30~21:00|09:30~21:00|09:30~21:00
LG전자베스트샵|사당점|서울특별시 동작구 사당동 147-53 골든시네마타워|서울특별시 동작구 동작대로 89(사당동)|02-598-9999|126.9816691|37.4846429|10:30~20:30|10:30~20:30|11:00~20:30
LG전자베스트샵|롯데스타점|서울특별시 광진구 자양동 227-7|서울특별시 광진구 능동로 92|02-2218-3950|127.073198|37.538446|10:30-20:00|10:30-20:30|10:30-20:30
