NAME|BRANCH|ADDR|TELL|XOCRD|YCORD
|서울아산병원 장례식장|서울특별시 송파구 올림픽로43길 88 (풍납동, 서울아산병원)|02-3010-2000|127.1084185|37.5254548
|고려대구로병원장례식장|서울특별시 구로구 구로동로 148 (구로동, 고려대부속구로병원)|02-857-0444|126.885373|37.492751
|국립중앙의료원|서울특별시 중구 을지로 245 (을지로6가, 국립중앙의료원)|02-2262-4800|127.0059029|37.5674232
|고려대학교안암병원장례식장|서울특별시 성북구 안암동5가  126-1 고대안암병원장례식장|02-923-4442|127.0318586|37.5900117
|이대목동병원장례식장|서울특별시 양천구 안양천로 1071 (목동, 이화여대목동병원)|02-2650-5121|126.8864324|37.5363794
|강동경희대학교병원장례식장|서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)|02-440-8800|127.1571983|37.5528301
|원자력병원장례식장|서울특별시 노원구 노원로 75 (공릉동, 한국원자력의학원)|02-970-1288|127.0826468|37.6294332
|경찰병원장례식장|서울특별시 송파구 송이로 123 (가락동, 국립경찰병원)|02-431-4400|127.1233624|37.4964365
|고려대안산병원장례식장|경기도 안산시 단원구 적금로 123 (고잔동, 고려대학병원)|031-411-4441|126.8252651|37.3191333
|성남시의료원장례식장|경기도 성남시 수정구 수정로171번길 10 (태평동, 성남시의료원)|031-738-7450|127.0142436|37.5723125
|이대서울병원장례식장|서울특별시 강서구 공항대로 260 (마곡동, 이화의대부속서울병원)|02-6986-4440|126.836319|37.557953
|샘안양병원장례식장|경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)|031-467-9114|126.9245371|37.3934995
|삼성서울병원장례식장|서울특별시 강남구 일원로 81 (일원동, 삼성의료원)|02-3410-3151|127.0876424|37.4889432
|경희의료원장례식장|서울특별시 동대문구 경희대로 23,경희의료원장례식장 (회기동, 경희의료원)|02-958-9721|127.0527612|37.5953632
|연세대학교 세브란스병원 연세장례식장|서울특별시 서대문구 연세로 50-1 (신촌동, 연세의료원)|02-2227-7500|126.9389809|37.564089
|삼성창원병원장례식장|경상남도 창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)|055-233-5131|128.5920191|35.2429513
|오포장례식장|경기도 광주시 오포읍 오포로 225-7 (능평리)|031-797-0444|127.1665665|37.3510874
|가톨릭대학교 은평성모장례식장|서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)|02-2030-4444|127.0434762|37.579203
|(재)하늘가장례식장|경기도 화성시 향남읍 발안로 322 (관리)|031-366-4444|126.9420045|37.1327958
|홍성의료원장례식장|충청남도 홍성군 홍성읍 조양로 224 (고암리)|041-630-6244|126.6743322|36.5988023
|강원효장례식장/문화원|강원도 춘천시 동내면 순환대로 877 (거두리)|033-261-4441|127.7757357|37.8581281
|삼육서울병원 추모관(구위생병원)|서울특별시 동대문구 망우로 82 (휘경동)|02-2215-4444|127.0645418|37.5892778
|청주성모병원 장례식장|충청북도 청주시 청원구 주성로 173-19 (주중동)|043-210-5444|127.4861933|36.6740208
|서울성모장례식장|서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)|02-2258-5940|127.0051811|37.500612
|충주병원장례식장(주)|충청북도 충주시 중심1길 12 (문화동)|043-845-5100|127.9258547|36.9737638
|단국대학교병원 천안장례식장|충청남도 천안시 동남구 망향로 201 (안서동)|041-550-7474|127.1749976|36.8418782
|연세대학교 원주장례사업소|강원도 원주시 일산로 20,내 (일산동, 연세대학교원주세브란스기독병원)|033-744-3969|127.9448265|37.3480183
|서산의료원상례원|충청남도 서산시 중앙로 149 (석림동)|041-689-7444|126.4653268|36.7754103
|한국보훈복지의료공단중앙보훈병원|서울특별시 강동구 진황도로61길 53 (둔촌동, 중앙보훈병원)|02-2225-1004|127.147848|37.527957
|창원경상대학교병원장례식장|경상남도 창원시 성산구 삼정자로 9 (성주동)|055-214-1900|128.7029174|35.1910651
|해운대백병원장례식장|부산광역시 해운대구 해운대로 875 (좌동, 인제대학교해운대백병원)|051-893-4444|129.1822042|35.1733441
|울산시티병원장례식장|울산광역시 북구 산업로 1001,지하1층 (연암동)|052-280-8400|129.3483867|35.6334994
|국민장례식장|서울특별시 영등포구 양평동1가  131-1|02-2676-4444|127.0142436|37.5723125
|삼신전문장례식장|부산광역시 사상구 대동로 261 (감전동)|051-323-0044|128.985406|35.1508737
|부산전문장례식장|부산광역시 사상구 낙동대로 1056 (감전동, 부산전문장례예식장)|051-312-4444|128.9737538|35.1544536
|대구의료원 국화원 장례식장|대구광역시 서구 평리로 157 (중리동, 대구의료원)|053-560-9552|128.5405922|35.8596025
|고아농협 장례문화원|경상북도 구미시 고아읍 오로4길 112 |054-482-7411|127.0142436|37.5723125
|정읍아산병원장례식장|전라북도 정읍시 충정로 606-22 (용계동)|063-530-6644|126.8239387|35.5889362
|동국대학교일산병원장례식장|경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)|031-961-9400|126.8067038|37.6763007
|양산장례식장|경상남도 양산시 동면 남양산길 73 (석산리)|055-366-4440|129.0276038|35.3257222
|부천성모병원장례식장|경기도 부천시 원미구 소사로 327 (소사동, 가톨릭대학교부천성모병원)|032-340-7300|126.7925731|37.4869907
|경북대학교병원장례식장|대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)|053-200-6464|128.6051356|35.865942
|고신대병원 장례식장|부산광역시 서구 감천로 262 (암남동, 고신대학교복음병원)|051-990-6444|129.014492|35.080753
|(주)시민장례식장|부산광역시 부산진구 자유평화로 31 (범천동)|051-636-4444|129.0632007|35.1416249
|(주)코스모스제일장례식장|경기도 안산시 상록구 수인로 1222 (일동)|031-406-2000|126.8754287|37.3032457
|서울특별시 서울의료원 장례식장|서울특별시 중랑구 신내로 156 (신내동, 서울의료원)|02-2276-7671|127.0984134|37.613036
|계명대학교동산병원백합원|대구광역시 달서구 달구벌대로 1035 (호산동)|053-258-4444|128.479815|35.853462
|왜관병원장례식장|경상북도 칠곡군 왜관읍 군청2길 10 (왜관리, 왜관병원)|054-976-4446|128.4015608|35.9961354
|여의도성모장례식장|서울특별시 영등포구 63로 10 (여의도동, 여의도성모병원)|02-3779-1526|126.936089|37.5179713
|신화장례식장|서울특별시 영등포구 영중로 100(영등포동7가, 신화요양병원)|02-2679-1122|126.9059758|37.525046
|강동성심병원장례식장|서울특별시 강동구 성안로 150 (길동, 강동성심병원)|02-470-1692|127.1353505|37.5361
|건국대학교병원장례식장|서울특별시 광진구 능동로 120-1 (화양동)|02-2030-7900 |127.0722209|37.5408245
|태안군보건의료원 상례원|충청남도 태안군 태안읍 서해로 1952-16 (평천리, 태안군보건의료원)|041-671-5303|126.3229392|36.7519439
|당진중앙장례식장|충청남도 당진시 송악읍 조비실길 47 (광명리)|041-358-3000|126.7200683|36.896927
|합천추모공원장례식장|경상남도 합천군 합천읍 합천호수로 1613 (합천리)|055-934-4444|128.1450685|35.565687
|화성장례식장|경기도 화성시 마도면 쌍송북로 111 (두곡리)|031-355-8000|126.788063|37.201729
|구미푸른요양병원장례식장|경상북도 구미시 장천면 산호대로 1391 (하장리)|054-474-4443|128.4800816|36.1365413
|구미천사요양병원장례식장|경상북도 구미시 고아읍 이례로 46 (이례리)|054-481-4441|128.3205239|36.205677
|부산성모병원장례식장|부산광역시 남구 용호로232번길 25-14 (용호동)|051-933-7480|129.1092|35.110167
|프라임장례원|부산광역시 동래구 미남로146번길 11 (온천동, 광혜병원장례식장)|051-506-1022|129.0744464|35.2098296
|일산백장례서비스(주)|경기도 고양시 일산서구 주화로 170,지하2층 (대화동, 인제대학교일산백병원)|031-910-7444|126.750367|37.6742288
|중앙U병원장례식장|부산광역시 사하구 감천로 59 (감천동)|051-201-0468|128.9991419|35.0904694
|경주전문장례식장|경상북도 경주시 유림로97번길 45 (황성동)|054-744-4000|129.2224867|35.8721264
|삼봉장례식장|전라북도 완주군 삼례읍 과학로 466 (신탁리)|063-261-4445|127.0142436|37.5723125
|소망장례식장|경기도 성남시 수정구 성남대로 1219 (수진동, 새소망병원)|031-751-3344|127.127406|37.43857
|호반병원장례식장|강원도 춘천시 옛경춘로 663 (삼천동)|033-252-0046|127.7075078|37.8565629
|괴정병원장례식장|부산광역시 사하구 낙동대로249번길 11 (괴정동)|051-293-4382|128.9903704|35.0988856
|진도군산림조합직영추모관장례식장|전라남도 진도군 진도읍 진도대로 7143-10 (쌍정리)|061-543-4040|126.2659666|34.4783883
|자연병원장례식장|부산광역시 사하구 장평로 1다대자연병원 (장림동) |051-262-1023|128.9770399|35.0688048
|의정부을지대학교병원 장례식장|경기도 의정부시 동일로 712의정부을지대학교병원장례식장 (평온관) |031-951-7444|127.050864|37.751424
|예천농협장례식장|경상북도 예천군 예천읍 양궁로 154 (청복리)|054-655-0990|128.4654773|36.6399043
|대구시민전문장례식장|대구광역시 북구 동호동  457|053-324-4444|128.5574618|35.9601839
|휴요양병원장례식장|경상남도 창원시 진해구 남의로 150 (두동, 용원병원)|055-542-4300|128.795816|35.115818
|대동병원장례식장|부산광역시 동래구 충렬대로181번길 22 (명륜동)|051-550-9991|127.0142436|37.5723125
|충주의료원장례식장|충청북도 충주시 안림로 239-50 (안림동)|043-871-0444|127.9707484|36.9798103
|오산장례식장|경기도 오산시 경기동로 125 (부산동)|031-375-1100|127.0856601|37.1593778
|서울좋은병원장례식장|서울특별시 강북구 도봉로 114 (미아동)|02-984-5000|127.0293815|37.6192633
|메리놀병원장례식장|부산광역시 중구 중구로 121 (대청동4가)|051-465-1024|129.0323992|35.1073029
|연세대학교 강남장례식장|서울특별시 강남구 언주로 211 (도곡동, 강남세브란스병원)|02-2019-4000|127.0462661|37.492736
|정선병원장례식장|강원도 정선군 정선읍 봉양1길 145 (봉양리)|033-562-4444|128.6587563|37.3830173
|만평장례식장|광주광역시 광산구 임방울대로 24 (우산동)|062-611-0000|126.8194148|35.1633393
|홍천군장례식장|강원도 홍천군 홍천읍 느리울길 70 (하오안리)|033-436-1919|127.8531747|37.6786357
|순천향천안장례식장|충청남도 천안시 동남구 순천향6길 30 (봉명동, 순천향대학교천안병원)|041-570-2444|127.0142436|37.5723125
|동의의료원장례식장|부산광역시 부산진구 양정로 62,1층 (양정동,동의의료원) |051-866-3757|129.0767511|35.1690471
|갑을구미병원장례식장|경상북도 구미시 3공단1로 280-3 (임수동)|054-1661-0444|128.4026355|36.1072924
|학교법인영산학원 산본장례식장|경기도 군포시 산본로 321 (산본동,원광대산본병원)|031-395-4438|126.9335943|37.3593764
|영등포장례식장|서울특별시 영등포구 당산로31길 6 (당산동3가, 영등포병원)|02-2679-4444|126.8959163|37.5268013
|조선대학교병원장례식장|광주광역시 동구 필문대로 365 (서석동)|062-220-3352|126.9262664|35.1389928
|안동의료원 장례식장 국화원|경상북도 안동시 태사2길 55 (북문동)|054-850-6440|128.7318687|36.5681036
|고성제일요양병원장례식장|경상남도 고성군 고성읍 남해안대로 2514 (율대리)|055-804-8400|128.3357309|34.9678482
|목포시의료원장례식장|전라남도 목포시 이로로 18 (용해동, 목포의료원)|061-260-6444|126.4051886|34.8038158
|청주의료원장례식장|충청북도 청주시 서원구 흥덕로 48 (사직동)|043-279-0144|127.4734522|36.6404215
|백악관장례식장|충청북도 진천군 진천읍 문화로 265 (장관리, 백안관장례예식장)|043-532-8300|127.4404327|36.8629485
|뉴타운장례식장|서울특별시 성북구 종암로 199 (하월곡동)|02-909-4444|127.0303943|37.6075681
|한중프라임장례식장|부산광역시 북구 낙동대로 1596 (구포동)|051-305-4000|128.9904997|35.1986789
|한도병원장례식장|경기도 안산시 단원구 선부광장로 103 (선부동)|031-485-4422|126.8076137|37.334018
|성가롤로병원장례식장|전라남도 순천시 순광로 221 (조례동, 성가롤로병원)|061-900-4444|127.5428763|34.9642662
|부산보훈병원장례식장|부산광역시 사상구 백양대로 420 (주례동, 부산보훈병원)|051-601-6785|129.0069771|35.1533627
|BHS한서병원장례식장|부산광역시 수영구 수영로 615 (광안동)|051-751-1860|129.1131305|35.1608916
|강원대학교병원장례식장|강원도 춘천시 백령로 156 (효자동)|033-254-5611|127.7450198|37.8753509
|송산장례문화원|경기도 화성시 송산면 화성로 284(육일리)|031-357-9800|126.7255044|37.2027282
|군자장례식장|경기도 안산시 단원구 원곡공원로 11-9 (원곡동)|031-495-4000|126.7927213|37.3341841
|대송장례식장|전라북도 전주시 덕진구 동부대로 1015 (송천동2가)|063-274-4300|127.1361018|35.8689025
|인제대학교상계백병원장례식장|서울특별시 노원구 동일로 1342 (상계동, 상계백병원)|02-938-5320|127.0630785|37.6486101
|건국대학교충주병원장례식장|충청북도 충주시 국원대로 82 (교현동)|043-840-8444|127.9288846|36.9789554
|강북휴요양병원장례식장|서울특별시 강북구 도봉로 161 (미아동, 다우빌딩)|02-982-4444|127.0142436|37.5723125
|아산유리요양병원 장례식장|충청남도 아산시 도고면 도고면로 179,아산유리요양병원 (기곡리)|041-549-1044|126.882538|36.763149
|한성병원장례식장|경상남도 창녕군 창녕읍 교리1길 2 (교리)|055-532-1532|128.4933873|35.5421395
|울산병원장례식장|울산광역시 남구 월평로171번길 19 (신정동)|052-227-1024|129.3230201|35.5466856
|김해시민장례식장|경상남도 김해시 금관대로910번길 4 (풍유동)|055-900-4000|128.8450712|35.2087049
|창원시립상복공원장례식장|경상남도 창원시 성산구 공단로474번길 160 (상복동)|055-712-0930|128.6616071|35.1972041
|구미가톨릭요양병원장례식장|경상북도 구미시 야은로 483 (도량동)|054-442-2323|128.335575|36.1348639
|함안하늘공원장례식장|경상남도 함안군 가야읍 함마대로 1145 (사내리, 함안하늘공원)|055-585-7180|128.367719|35.27703
|대한장례식장|전라북도 전주시 완산구 구이로 2050 (평화동3가)|063-227-4444|127.1307088|35.7809413
|충효경주장례식장|경상북도 경주시 태종로 572 (충효동)|054-744-0444|129.191156|35.8385272
