NAME|BRANCH|ADDR|TELL
푸조|강남전시장|서울특별시 강남구 도산대로 541 (청담동) 세신빌딩 1층123|080-508-3008
푸조|강동전시장|서울특별시 강동구 천호대로 1200 (둔촌동) 1층|02-476-3008
푸조|강북전시장|서울특별시 성동구 천호대로 388 (용답동) 푸조강북전시장|02-2245-2008
푸조|강서전시장|서울특별시 양천구 화곡로 58 (신월동) 푸조강서전시장|02-2602-3008
푸조|대구전시장|대구광역시 동구 동대구로 449 (신천동) 푸조대구전시장|053-742-7700
푸조|대전전시장|대전광역시 대덕구 동서대로1761번길 1 (송촌동) 푸조대전전시장|042-633-3008
푸조|분당전시장|경기도 성남시 분당구 대왕판교로 324 (궁내동) 푸조분당전시장|031-701-3008
푸조|부산전시장|부산광역시 수영구 수영로 638 (광안동) 푸조전시장|051-751-8200
푸조|수원전시장|경기도 수원시 권선구 경수대로 337  푸조수원전시장|031-224-1300
푸조|인천전시장|인천광역시 미추홀구 인주대로 454 (주안동) 푸조인천전시장|032-667-2008
푸조|일산전시장|경기도 고양시 일산동구 백마로 480 (풍동) 푸조전시장|031-902-3008
푸조|전주전시장|전라북도 전주시 완산구 백제대로 365 (서신동) 푸조전주전시장|063-254-5008
푸조|제주전시장|제주특별자치도 제주시 오일장중길 100 (도두일동) (제주시 오일장內)|064-743-5001
푸조|중문전시장|제주특별자치도 서귀포시 일주서로 532 (대포동) 1층 푸조전시장|064-738-5753
푸조|창원전시장|경상남도 창원시 마산회원구 봉양로 141 (봉암동) 푸조창원전시장|055-293-0508
푸조|천안전시장|충청남도 천안시 동남구 천안대로 583 (원성동) 푸조빌딩1층|041-621-9200
푸조|청주전시장|충청북도 청주시 청원구 충청대로 233 (주중동) 푸조청주전시장|043-214-0308
푸조|인증중고사업부|서울특별시 성동구 자동차시장1길 96 (용답동) 9층 푸조인증중고사업부|02-572-2008
