NAME|BRANCH|ADDR|TELL
롯데호텔|시그니엘서울|서울특별시 송파구 올림픽로 300 롯데월드타워 76-101층|02-3213-1000
롯데호텔|롯데호텔서울|서울특별시 중구 을지로 30, 롯데호텔 서울|02-771-1000
롯데호텔|롯데호텔월드|서울특별시 송파구 올림픽로 240, 롯데호텔 월드|02-419-7000
롯데호텔|L7명동|서울특별시 중구 퇴계로 137 (충무로 2가 62-12)|02-6310-1000
롯데호텔|L7강남|서울특별시 강남구 테헤란로 415 (삼성동 142-41)|02-2011-1000
롯데호텔|L7홍대|서울특별시 마포구 양화로 141 (동교동 160-5)|02-2289-1000
롯데호텔|롯데시티호텔마포|서울특별시 마포구 마포대로 109, 롯데시티호텔 마포|02-6009-1000
롯데호텔|롯데시티호텔김포공항|서울특별시 강서구 하늘길 38, 롯데시티호텔 김포공항|02-6116-1000
롯데호텔|롯데시티호텔구로|서울특별시 구로구 디지털로 300, 롯데시티호텔 구로|02-6210-1000
롯데호텔|롯데시티호텔명동|서울특별시 중구 삼일대로 362, 롯데시티호텔 명동|02-6112-1000
롯데호텔|시그니엘부산|부산광역시 해운대구 중동 달맞이길 30 시그니엘 부산|051-922-1000
롯데호텔|롯데호텔부산|부산광역시 부산진구 가야대로 772, 롯데호텔 부산|051-810-1000
롯데호텔|롯데호텔제주|제주특별자치도 서귀포시 중문관광로 72번길 35, 롯데호텔 제주|064-731-1000
롯데호텔|롯데시티호텔제주|제주도 제주시 도령로 83, 롯데시티호텔 제주|064-730-1000
롯데호텔|롯데리조트제주아트빌라스|제주특별자치도 서귀포시 색달중앙로252번길 124(색달동) 롯데리조트제주 아트빌라스|
롯데호텔|롯데호텔울산|울산광역시 남구 삼산로 282, 롯데호텔 울산|052-960-1000
롯데호텔|롯데시티호텔울산|울산광역시 남구 삼산로 204, 롯데시티호텔 울산|052-990-1000
롯데호텔|롯데시티호텔대전|대전광역시 유성구 엑스포로 123번길 33, 롯데시티호텔 대전|042-333-1000
롯데호텔|롯데리조트속초|강원도 속초시 대포항길 186|
롯데호텔|롯데리조트부여|충청남도 부여군 규암면 백제문로 400(합정로 578)|
롯데호텔|롯데뉴욕팰리스|455 MADISON AVENUE AT 50TH STREET NEW YORK, NY 10022|(800)804-7035
롯데호텔|롯데호텔시애틀|809 5th Avenue, Seattle, WA 98104, USA|+1-206-800-8110
롯데호텔|롯데호텔괌|185 Gun Beach Road Barrigada, Guam 96913, USA LOTTE HOTEL GUAM|+1-671-646-6811
롯데호텔|롯데호텔모스크바|2 Bld., 8 Novinskiy Blvd., Moscow, Russia, 121099, LOTTE HOTEL MOSCOW|+74957451000
롯데호텔|롯데호텔상트페테르부르크|2, Antonenko lane, Saint-Petersburg, Russia LOTTE HOTEL ST. PETERSBURG|+78123361000
롯데호텔|롯데호텔블라디보스토크|29 Semyonovskaya st., Vladivostok, 690091, Russia|+74232402233
롯데호텔|롯데호텔사마라|110, Samarskaya street, Samara, Russia LOTTE HOTEL SAMARA|+78469201000
롯데호텔|롯데아라이리조트|일본 니가타현 묘코시 료젠지 1966, 롯데아라이리조트|+81-255-75-1100
롯데호텔|롯데시티호텔긴시초|일본 도쿄도 스미다구 긴시초4-6-1|+81-120-610-555
롯데호텔|롯데호텔사이공|2A-4A Ton Duc Thang Street District 1, Ho Chi Minh, Vietnam, LOTTE HOTEL SAIGON|+84-28-3823-3333
롯데호텔|롯데호텔하노이|No. 54, Lieu Giai St. Cong Vi Ward. Ba Dinh, Hanoi, Vietnam, LOTTE HOTEL HANOI|+84-24-3333-1000
롯데호텔|롯데호텔양곤|No. 82, Sin Phyu Shin Avenue, Pyay Road, 6½ Mile, Ward 11, Hlaing Township, Yangon, Myanmar|+95-1-9351000
롯데호텔|롯데시티호텔타슈켄트팰리스|56, Buyuk Turon Street, Tashkent, 100029, Uzbekistan, LOTTE City Hotel Tashkent Palace|+998-78-120-58-00
