NAME|BRANCH|ADDR|TELL|XCORD|YCORD
닭익는마을|가평마루산점|경기도 가평군 가평읍 잎너비길 17-80 (마루산펜션) |031-582-1123|127.121911|37.494839
닭익는마을|남양주부영점|경기 남양주시 지금동 390-17|031-556-1220|127.121911|37.494839
닭익는마을|용인쥬네브점|경기 용인시 기흥읍 중동 용인동백2101  썬월드 901호|031-679-0092|127.121911|37.494839
닭익는마을|우쿠야&닭익는마을|충청남도 태안군 태안읍 후곡로 62 |041-675-1992|127.121911|37.494839
닭익는마을|울산화정점|울산광역시 동구 학문로 47 (화정동) 1층 (화정동)|0522351117|127.121911|37.494839
닭익는마을|유성온천점|대전 유성구 봉명동 계룡로 113번길 57|042-824-5595|127.121911|37.494839
닭익는마을|충남서산점|충남 서산시 동문동 302-5 |041-668-8892|127.121911|37.494839
닭익는마을|거여점(닭)|서울 송파구 거여동 25-2|02-3012-8292|127.14453|37.494141
닭익는마을|성남시청행복점|경기도 성남시 중원구 성남대로997번길 25-11 (여수동) 1층 103호||127.126419|37.418169
닭익는마을|창동점|서울특별시 도봉구 노해로69길 15-15 (창동,점보빌딩) 2층 206,207호|0000000000|127.049977|37.652824
닭익는마을|천마산곰탕점(닭익는마을)|경기도 남양주시 마치로 17 (호평동, 천마산곰탕) |031-591-3657|127.25526|37.654946
닭익는마을|닭익는마을 목동점(직영)|서울특별시 양천구 목동동로 293 (목동, 현대41타워) 2층 209호|02-336-1260|126.875757|37.528184
닭익는마을|스퀘어가든점(곤지암리조트2호점)|인천광역시 연수구 청능대로23번길 11 (청학동, LF스퀘어) 3층|032-717-0555|126.668994|37.418659
닭익는마을|충주충의점|충청북도 충주시 충인6길 10 |043-844-5533|127.929975|36.974057
닭익는마을|충남대천점|충남 보령시 대천동 345-44  예지빌딩 1층|041-931-8822|126.591394|36.350928
닭익는마을|창원NC파크점(레몬)|경상남도 창원시 마산회원구 삼호로 63 창원NC파크마산구장내 상가 지상3층 (양덕동)|055-713-9292|128.583002|35.222461
닭익는마을|양산어곡점|경남 양산시 어곡동 9-3 삼성로얄파트빌상가 B 105|055-385-4949|129.027508|35.380808
닭익는마을|전남여천점|전남 여수시 선원동 150-30|061-691-8844|127.655404|34.765469
닭익는마을|통영행복점|경남 통영시 무전동 1032-1 2층|055-646-8592|128.426312|34.858873
