NAME|BRANCH|NEWADDR|OLDADDR|TELL|TIME
위니아에이드|가수원점|대전광역시 서구 도안동로31번길 11-9 | 대전광역시 서구 가수원동 950 |042-543-5060|영업시간 : 10:00~20:00
위니아에이드|가야점|부산광역시 부산진구 가야대로 574 (가야동) 영진빌딩 1층| 부산광역시 부산진구 가야동 300-15 영진빌딩 1층|051-895-3677|영업시간 : 10:30~20:30
위니아에이드|간석오거리점|인천광역시 남동구 간석동 117-3 | 인천광역시 남동구 백범로 344 |032-865-4989|영업시간 : 10:00~20:00
위니아에이드|강동구청역점|서울특별시 송파구 올림픽로 577 (풍납동) | 서울특별시 송파구 풍납동 497 |02-474-0056|영업시간 : 09:00~21:00
위니아에이드|강동점|서울특별시 강동구 양재대로 1505 (길동, 스타빌딩) | 서울특별시 강동구 길동 368-6 스타빌딩|02-448-5001|영업시간 : 09:00~21:00
위니아에이드|강릉교동점|강원도 강릉시 하슬라로 14 | 강원도 강릉시 홍제동 233-9 |033-643-7008|영업시간 : 10:00~20:00
위니아에이드|강변TM 본점_봉화|서울특별시 광진구 광나루로56길 85 (구의동,  테크노마트) 2층 B-92호 | 서울특별시 광진구 구의동 546-4 |02-3424-2170|영업시간 : 10:00~19:00
위니아에이드|강변TM 본점_통일|서울특별시 광진구 광나루로56길 85 (구의동,  테크노마트) 2층 C-25호 | 서울특별시 광진구 구의동 546-4 |02-3424-3262|영업시간 : 10:00~19:00
위니아에이드|강변TM 분점_봉화|서울특별시 광진구 광나루로56길 85 (구의동,  테크노마트) 2층 B-55호 | 서울특별시 광진구 구의동 546-4 |02-3424-2172|영업시간 : 10:00~19:00
위니아에이드|강변TM 분점_통일|서울특별시 광진구 광나루로56길 85 (구의동,  테크노마트) 2층 C-26호 | 서울특별시 광진구 구의동 546-4 |02-3424-3265|영업시간 : 10:00~19:00
위니아에이드|강변TM점_동락|서울특별시 광진구 광나루로56길 85 (구의동,  테크노마트) 2층 C-59호 | 서울특별시 광진구 구의동 546-4 |02-3424-3454|영업시간 : 10:00~19:00
위니아에이드|개봉점|서울특별시 구로구 개봉로 124 1층| 서울특별시 구로구 개봉동 353-4 1층|02-831-3805|영업시간 : 10:00~20:00
위니아에이드|거창점|경상남도 거창군 거창읍 거열로 158 (거창가구주방) | 경상남도 거창군 거창읍 중앙리 344-29 |055-942-7186|영업시간 : 10:00 ~ 20:00
위니아에이드|경기광주탄벌점|경기도 광주시 탄벌길 10 (탄벌동) | 경기도 광주시 탄벌동 180-5 계림상가 1층|031-798-7300|영업시간 : 09:30~20:30
위니아에이드|경산점|경상북도 경산시 대학로 30 | 경상북도 경산시 정평동 199-4 |053-813-8855|영업시간 : 10:00~20:00
위니아에이드|경주점|경상북도 경주시 원화로 502 (용강동) 세광상가 A-1| 경상북도 경주시 용강동 1310-8 세광상가 A-1|054-744-6600|영업시간 : 10:00~20:00
위니아에이드|계산점|인천광역시 계양구 장제로 797 | 인천광역시 계양구 계산동 1066-1 |032-583-4800|영업시간 : 10:00~20:30
위니아에이드|고성점|경상남도 고성군 고성읍 송학로135번길 5 (송학리) | 경상남도 고성군 고성읍 송학리 271-36 |055-673-5277|영업시간 : 10:30~20:30
위니아에이드|고잔점|경기도 안산시 단원구 광덕대로 206 골든빌오피스텔 1층 120호| 경기도 안산시 단원구 단원구 고잔동 724 골든빌 120 |031-403-2823|영업시간 : 10:00~20:30
위니아에이드|공주점|충청남도 공주시 번영1로 26 | 충청남도 공주시 신관동 600-13 |041-854-4477|영업시간 : 10:00~20:00
위니아에이드|관악봉천점|서울특별시 관악구 남부순환로 1690 (봉천동) | 서울특별시 관악구 봉천동 947-1 |02-871-0344|영업시간 : 09:00~21:00
위니아에이드|광산점|광주광역시 광산구 사암로 347 | 광주광역시 광산구 월곡동 489-20 |062-956-6655|영업시간 : 10:30~19:30
위니아에이드|광주광천점|광주광역시 서구 죽봉대로 39 (삼익상가) 1층 101호| 광주광역시 서구 화정동 176-2 1층 101호|062-369-9296|영업시간 : 10:30~19:30
위니아에이드|광진점|서울특별시 광진구 능동로 262 | 서울특별시 광진구 능동 283-30번지 |02-458-6601|영업시간 : 09:00~20:30
위니아에이드|구로구청점|서울특별시 구로구 구로중앙로 68 | 서울특별시 구로구 구로동 100-8 |02-839-5910|영업시간 : 09:30~21:00
위니아에이드|구리남양주점|경기도 구리시 경춘로 288 | 경기도 구리시 수택동 561번지 |031-567-6100|영업시간 : 09:00~21:00
위니아에이드|구미산동점|경상북도 구미시 산동면 강동로 1007 | 경상북도 구미시 산동면 적림리 67-6 |054-471-3210|영업시간 : 09:00~19:00
위니아에이드|구미점|경상북도 구미시 구미대로 272 (광평동) | 경상북도 구미시 광평동 55-12 |054-476-2333|영업시간 : 10:00~20:00
위니아에이드|군산수송점|전라북도 군산시 월명로 184 (현진빌딩) 1층| 전라북도 군산시 수송동 856-4 1층|063-461-5551|영업시간 : 10:30~19:30
위니아에이드|금남로점|광주광역시 동구 중앙로 199, 1층 | 광주광역시 동구 금남로4가 53 |062-224-9820|영업시간 : 10:30~19:30
위니아에이드|금천점|서울특별시 금천구 시흥대로 262 (시흥동) 1층 | 서울특별시 금천구 시흥동 870-29 |02-894-2200|영업시간 : 09:00~21:00
