NAME|BRANCH|NEWADDR|OLDADDR|TELL|TIME
위니아에이드|위니아에이드 강남서비스센터|서울특별시 강남구 봉은사로 119 (논현동, 성옥빌딩) 3층| 서울특별시 강남구 논현동 202-16 성옥빌딩 3층|1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 강릉서비스센터|강원도 강릉시 경강로 2399 (송정동) 전자랜드 강릉점 2층| 강원도 강릉시 송정동 821-14 전자랜드 강릉점 2층|1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00  / 일 휴무
위니아에이드|위니아에이드 거제서비스센터|경상남도 거제시 거제중앙로31길 4 (고현동) 1층| 경상남도 거제시 고현동 972-14 1층|1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00  / 일  휴무
위니아에이드|위니아에이드 구리서비스센터|경기도 구리시 벌말로 180 (토평동, 선화빌딩) 2층| 경기도 구리시 토평동 997-4 선화빌딩 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 구미서비스센터|경상북도 구미시 구미대로 308 (신평동) 3층| 경상북도 구미시 신평동 297-1 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 구포서비스센터|부산광역시 북구 백양대로 1200 (덕천동, 정수빌딩) 5층| 부산광역시 북구 덕천동 403-2 정수빌딩 5층|1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 남인천서비스센터|인천광역시 남동구 구월로 338 (만수동, 성호빌딩) 3층| 인천광역시 남동구 만수동 947 성호빌딩 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 노원서비스센터|서울특별시 노원구 덕릉로 744 (상계동, 금강빌딩) 7층| 서울특별시 노원구 상계동 95-180 금강빌딩 7층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 대구서비스센터|대구광역시 수성구 동대구로 98 (지산동) 평강빌딩 1층| 대구광역시 수성구 지산동 949-2 평강빌딩 1층|1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 동광주서비스센터|광주광역시 북구 설죽로 203 (용봉동) 3층| 광주광역시 북구 용봉동 1390-3 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 동부산서비스센터|부산광역시 연제구 과정로 190 (연산동, 국민은행) 2층| 부산광역시 연제구 연산동 419-4 국민은행 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 동수원서비스센터|경기도 수원시 영통구 영통로 103 (망포동, 뉴LG프라자) 502호| 경기도 수원시 영통구 망포동 570-5 뉴LG프라자 502호|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 마포서비스센터|서울특별시 마포구 월드컵로 96 (영훈빌딩) 3층| 서울특별시 마포구 서교동 440-9 영훈빌딩 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 목포서비스센터|전라남도 목포시 남악2로 3 (옥암동) 3층| 전라남도 목포시 옥암동 1365-2 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 부천서비스센터|경기도 부천시 경인로 47 부일빌딩1층| 경기도 부천시 송내동 344-7 부일빌딩1층|1588-1588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 북대전서비스센터|대전광역시 유성구 온천로 45 (봉명동, 유성 푸르지오 시티) 3층| 대전광역시 유성구 봉명동 536-8 유성 푸르지오 시티 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 북인천서비스센터|인천광역시 부평구 부평대로 90 (부평동, 여산빌딩) A동 601호| 인천광역시 부평구 부평동 440-5 여산빌딩 A동 601호|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 분당서비스센터|경기도 성남시 분당구 성남대로916번길 7 (야탑동, 서일빌딩) 201호| 경기도 성남시 분당구 야탑동 366-3 서일빌딩 201호|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 서광주서비스센터|광주광역시 광산구 하남대로 29 유안빌딩 2층| 광주광역시 광산구 하남동 975 유안빌딩 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 서대구서비스센터|대구광역시 서구 달구벌대로 1911 (내당동) 천일빌딩 1층| 대구광역시 서구 내당동 1105-3 천일빌딩 1층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 서대전서비스센터|대전광역시 중구 계룡로 782 (오류동) 2층| 대전광역시 중구 오류동 188-14 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 성동서비스센터|서울특별시 광진구 능동로 366 (비버리캐슬) 2층| 서울특별시 광진구 중곡동 41-35 비버리캐슬 2층|1588-9588|영업시간 : 평일 09:00~18:00 /  토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 성북서비스센터|서울특별시 성북구 고려대로 29 (SM빌딩) 1층| 서울특별시 성북구 안암동2가 121-3 SM빌딩 1층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 세종서비스센터|세종특별자치시  한누리대로 253 (에스빌딩) 106호~108호| 세종특별자치시  나성동 745 106호~108호|1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00  / 일 휴무
위니아에이드|위니아에이드 송파서비스센터|서울특별시 송파구 송이로 171 (가락동, 상아빌딩) 4층| 서울특별시 송파구 가락동 125-8 상아빌딩 4층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 수원서비스센터|경기도 수원시 권선구 권선로 667 (권선동) 3층| 경기도 수원시 권선구 권선동 1008-1 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 순천서비스센터|전라남도 순천시 충효로 32 (동원빌딩) 304호| 전라남도 순천시 연향동 1152 동원빌딩 304호|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 안동서비스센터|경상북도 안동시 광명로 178 (옥동, 옥동빌딩) 5층| 경상북도 안동시 옥동 791-2 옥동빌딩 5층|1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00  / 일휴무
위니아에이드|위니아에이드 안산서비스센터|경기도 안산시 단원구 고잔2길 41 (고잔동, 신양복합빌딩) 5층| 경기도 안산시 단원구 고잔동 535-1 신양복합빌딩 5층|1588-9588|영업시간 : 평일 09:00~19:00 / 토09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 안양서비스센터|경기도 안양시 만안구 안양로 122 (안양동) 만안빌딩 3층| 경기도 안양시 만안구 안양동 532 만안빌딩 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 양천서비스센터|서울특별시 강서구 마곡중앙1로 26 (마곡동, 마곡엠리체) 5층| 서울특별시 강서구 마곡동 798-12 마곡엠리체 5층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 영등포서비스센터|서울특별시 영등포구 도신로 176 (오크트리빌) 2층 201호 (대로변에서는 1층)| 서울특별시 영등포구 신길동 221-49 2층 201호|1588-1588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 울산서비스센터|울산광역시 남구 삼산로 26 (공업탑 하트랜드) 3층| 울산광역시 남구 신정동 726-3 공업탑 하트랜드 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 원주서비스센터|강원도 원주시 나비허리길 57-1 (단구동, 신성미소지움아파트) 2층| 강원도 원주시 단구동 1604-1 신성미소지움아파트 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 의정부서비스센터|경기도 의정부시 태평로 16 1층| 경기도 의정부시 의정부동 98-15 1층|1588-1588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 이천서비스센터|경기도 이천시 갈산로 15 (증포동) 하니빌딩 1층| 경기도 이천시 증포동 157-5 하니빌딩 1층|1588-9588|영업시간 : 평일  09:00~19:00 / 토 09:00~13:00  / 일 휴무
위니아에이드|위니아에이드 익산서비스센터|전라북도 익산시 무왕로 1036 (영등동) 다원빌딩 3층| 전라북도 익산시 영등동 747-4 다원빌딩 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 일산서비스센터|경기도 고양시 일산서구 중앙로 1391 (강선마을12단지아파트) 레이크쇼핑타운 2층| 경기도 고양시 일산서구 주엽동 83 레이크쇼핑타운 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 전주서비스센터|전라북도 전주시 덕진구 아중로 225 (우아동2가) 청목빌딩 3층| 전라북도 전주시 덕진구 우아동2가 933-9 청목빌딩 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 제주서비스센터|제주특별자치도 제주시 동광로 133 (일도이동) 고마로빌딩 2층| 제주특별자치도 제주시 일도이동 357-13 고마로빌딩 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 죽전서비스센터|경기도 용인시 수지구 용구대로2772번길 3-5 (현대오일뱅크신화주유소) 2층| 경기도 용인시 수지구 죽전동 877-2 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 중부산서비스센터|부산광역시 부산진구 중앙대로 867 (양정동) 오성빌딩 6층| 부산광역시 부산진구 양정동 519-16 오성빌딩 6층|1588-1588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 진주서비스센터|경상남도 진주시 촉석로132번길 15 (인사동) | 경상남도 진주시 인사동 4-5 |1588-9588|영업시간 : 평일 09:00~19:00 / 토 09:00~13:00  / 일 휴무
위니아에이드|위니아에이드 창원서비스센터|경상남도 창원시 의창구 의창대로 46-1 (팔용동) 현대자동차빌딩 2층| 경상남도 창원시 의창구 팔용동 149-2 현대자동차빌딩 2층|1588-1588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 천안서비스센터|충청남도 천안시 동남구 통정10로 17-14 (신방동) 1층| 충청남도 천안시 동남구 신방동 1518 1층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 청주서비스센터|충청북도 청주시 서원구 1순환로1132번길 3 2층| 충청북도 청주시 서원구 분평동 567 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 춘천서비스센터|강원도 춘천시 춘천로 8 (퇴계동) 전자랜드 3층| 강원도 춘천시 퇴계동 1188-5 전자랜드 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 충주서비스센터|충청북도 충주시 형설로 60-1 (용산동) | 충청북도 충주시 용산동 1963 |1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 평택서비스센터|경기도 평택시 경기대로 654 (세교동) 4층| 경기도 평택시 세교동 434-4 4층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 포항서비스센터|경상북도 포항시 북구 포스코대로 282 (죽도동) 2층| 경상북도 포항시 북구 죽도동 644-18 2층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 홍성서비스센터|충청남도 홍성군 홍성읍 의사로 66-1 | 충청남도 홍성군 홍성읍 대교리 624 |1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 화성서비스센터|경기도 화성시 봉담읍 삼천병마로 1267 위니아타워 3층| 경기도 화성시 봉담읍 상리 31-8 위니아타워 3층|1588-9588|영업시간 : 평일 09:00~18:00 / 토 09:00~13:00 / 일 휴무
위니아에이드|위니아에이드 Apple서비스  김포센터|경기도 김포시 사우중로 52 (김포아트프라자) 1층| 경기도 김포시 사우동 928 1층||영업시간 : 
위니아에이드|위니아에이드 Apple서비스 강남센터|서울특별시 강남구 봉은사로 119 (논현동, 성옥빌딩) 1층| 서울특별시 강남구 논현동 202-16 성옥빌딩 1층||영업시간 : 
위니아에이드|위니아에이드 Apple서비스 강서센터|서울특별시 강서구 공항대로 627 (대신빌딩) 6층| 서울특별시 강서구 염창동 282-23 대신빌딩 6층||영업시간 : 
