NAME|BRANCH|ADDR|TELL|TIME
홀리카홀리카|이마트월계점|서울 노원구 마들로3길 15 (월계동, 월계이마트) 1층|02-975-5207|10:00~23:00
홀리카홀리카|명동2호점|서울 중구 명동길 29 (명동1가)|02-318-3039|09:00~22:00
홀리카홀리카|명동센터점|서울 중구 명동8길 13 (명동2가)|02-6329-0707|09:00~23:00
홀리카홀리카|롯데마트서울역점|서울특별시 중구 청파로 426  (봉래동2가) 롯데마트 2층|02-3147-2855|10:00~00:00
홀리카홀리카|수유점|서울특별시 강북구 도봉로 336  1층|02-990-7767|10:00~22:00
홀리카홀리카|잠실지하점|서울특별시 송파구 올림픽로 265  (잠실동,잠실역2호선) F열 41-42호|02-422-3256|08:00~22:00
홀리카홀리카|이마트자양점|서울특별시 광진구 아차산로 272  이마트 자양점 홀리카홀리카|02-2201-7900|10:00~23:00
홀리카홀리카|롯데마트잠실점|서울특별시 송파구 올림픽로 240 롯데마트 잠실점|02-2143-1613|10:00~22:00
홀리카홀리카|롯데면세점소공점|서울특별시 중구 남대문로 81  (소공동,롯데백화점 본점) 9층 롯데면세점|02-759-6412|09:30~21:00
홀리카홀리카|천호역점|서울특별시 강동구 천호대로 997  (천호동,천호역) 지하1층,홀리카홀리카|02-6484-6104|10:00~22:00
홀리카홀리카|강남지하점|서울특별시 강남구 테헤란로 101 강남역지하상가 A27-27|02-562-8283|10:30~22:30
홀리카홀리카|신촌점|서울특별시 서대문구 연세로 14-1  (창천동)|02-313-8283|10:00~23:00
홀리카홀리카|홍대2호점|서울특별시 마포구 어울마당로 86  (서교동) 1층 102호|02-335-2017|10:00~22:00
홀리카홀리카|고속터미널점|서울특별시 서초구 신반포로 188  (반포동,강남고속터미널역) 엔터식스 지하 1층|02-6321-6108|10:00~22:00
홀리카홀리카|2001아울렛천호점|서울특별시 강동구 구천면로 189 2001아울렛 5층 2001아울렛 천호점 1층 화장품 매장내 엔프라니|02-6423-0100|00:00~00:00
홀리카홀리카|태평백화점|서울특별시 동작구 동작대로 115  (사당동,태평백화점)|02-6269-9900|10:00~20:30
홀리카홀리카|이마트은평점|서울 은평구 응암동 90-1 |02-380-1080|10:00~00:00
홀리카홀리카|홍대점|서울특별시 마포구 와우산로23길 40  (서교동)|070-7863-0259|10:00~23:00
홀리카홀리카|이마트성수점|서울 성동구 성수2가1동 333-16 이마트 2층 엔프라니&홀리카|02-468-2586|10:00~23:00
홀리카홀리카|NC백화점강서점|서울 강서구 등촌동 689번지 NC백화점 1층 화장품 매장 내 엔프라니&홀리카 |02-2667-9858|10:00~00:00
홀리카홀리카|홈플러스월드컵점|서울 마포구 성산동 515 홈플러스 1층 화장품 매장 내 엔프라니&홀리카|02-305-3351|10:00~00:00
홀리카홀리카|이마트목동점|서울시 양천구 목동 962 이마트 지하2층 화장품 매장 내 엔프라니&홀리카|02-2061-4606|10:00~00:00
홀리카홀리카|이마트상봉점|서울 중랑구 망우동 506-1 이마트 2층 화장품 매장 내 엔프라니&홀리카|02-495-3331|10:00~00:00
홀리카홀리카|이마트구로점|서울 구로구 구로동 188-26 이마트 1층 화장품 매장 내 엔프라니&홀리카|02-851-3356|10:00~00:00
홀리카홀리카|이마트왕십리점|서울 성동구 행당동 168-1 이마트 지상2층 화장품 매장 내 엔프라니&홀리카|02-2200-1236|10:00~00:00
홀리카홀리카|이마트가양점|서울 강서구 가양동 449-19 이마트 1층 화장품 매장 내 엔프라니&홀리카|02-3662-3351|10:00~00:00
홀리카홀리카|명동1번가점|서울 중구 명동2가 53-11|02-772-9989|09:00~23:00
홀리카홀리카|이대2호점|서울특별시 서대문구 이화여대길 87  (대현동)|02-365-3256|09:00~23:00
홀리카홀리카|명동중앙점|서울특별시 중구 명동8길 37|02-754-9888|09:00~00:00
홀리카홀리카|명동5호점|서울 중구 명동2가 25-30|02-776-7577|09:00~23:00
