NAME|BRANCH|ADDR|TELL|TIME
으뜸플러스안경|잠실새내역점(01월09일|서울 송파구 올림픽로||AM10:00~PM22:00
으뜸플러스안경|서울명일역점|서울특별시 강동구 양재대로 1633, 2층(명일동)|0234283400|AM10:00~PM21:00
으뜸플러스안경|수원망포점|경기 수원시 영통구 덕영대로1556번길 16, 124호 (영통동, 디지털엠파이어빌딩)|0312025581|AM10:00~PM22:00
으뜸플러스안경|대구만촌점(01월23일|대구 수성구 청호로 ||AM10:00~PM21:00
으뜸플러스안경|인천계산점(01월16일|인천 계양구 경명대로||AM10:00~PM22:00
으뜸플러스안경|서울응암점(01월30일|서울시 은평구 응암동||AM10:00~PM22:00
으뜸플러스안경|일산탄현점|경기 고양시 일산서구 일현로 97-11 일산 위브더제니스 지하1층(이마트 에브리데이 앞)|0319191878|AM10:00~PM21:00
으뜸플러스안경|서울창동점|서울 도봉구 노해로63길 79 (창동, 우림빌딩) 2층 206호|029037997|AM10:00~PM21:00
으뜸플러스안경|의정부중앙점|경기 의정부시 시민로121번길 28 (의정부동), 1층|0318210229|AM10:00~PM21:00
으뜸플러스안경|남양주별내점|경기도 남양주시 별내중앙로 64, 1동 205호(별내동, 오션일레븐4타워)|0315249910|AM10:00~PM22:00
으뜸플러스안경|강남역삼점|서울 강남구 역삼로 128, 1층(역삼동, 양원빌딩)|025689022|AM10:00~PM22:00
으뜸플러스안경|서울당산점|서울특별시 영등포구 양평로 67, 2층 201호(당산동5가, 당산역 한강포스빌)|0264060595|AM10:00~PM21:00
으뜸플러스안경|세종도담점|세종특별자치시 보듬3로 8-20, 2층 234|0448638220|AM10:00~PM21:00
으뜸플러스안경|대구시지점|대구 수성구 달구벌대로 3206, 2층|0537956090|AM10:00~PM21:00
으뜸플러스안경|수원호매실점|경기도 수원시 권선구 금호로 28(호매실동)|0312960127|AM10:00~PM21:00
으뜸플러스안경|화성병점점|경기도 화성시 효행로 1069 202호(진안동 메디피아)|0312329113|AM10:00~PM21:00
으뜸플러스안경|제주아라점|제주특별자치도 제주시 중앙로 564, 2층(아라일동)|0647512648|AM10:00~PM21:00
으뜸플러스안경|수원인계점|경기도 수원시 팔달구 인계로 166번길 48-21 1동 208-1호|0312321070|AM10:00~PM21:00
으뜸플러스안경|은평뉴타운점|서울특별시 은평구 진관2로 19, 1동 124호(진관동, 휴먼프라자)|07078184004|AM10:00~PM22:00
으뜸플러스안경|시흥은계점|경기도 시흥시 은계번영길 11, 307호|0314350822|AM10:00~PM22:00
으뜸플러스안경|부천원종점|경기 부천시경기도 부천시 소사로 758 2층 202호|0327215590|AM10:00~PM22:00
으뜸플러스안경|파주운정점|경기도 파주시 청암로17번길 53, 201호|0319418012|AM10:00~PM21:30
으뜸플러스안경|위례중앙점|경기도 성남시 수정구 위례광장로 300, 2층 (창곡동, 위례중앙역 중앙타워)|0317221202|AM10:00~PM21:00
으뜸플러스안경|서울한성대역점|서울특별시 성북구 동소문로6길 3 2층|0269492369|AM10:00~PM21:00
으뜸플러스안경|평택소사벌점|평택시 비전5로 10 센트럴돔 2층 2028호|0316302755|AM09:30~PM21:30
으뜸플러스안경|부산수영점|부산광역시 수영구 수영로 711, 2층202호(수영동)|0517560440|AM10:00~PM21:00
으뜸플러스안경|화성송산점|경기도 화성시 수노을중앙로 150, 2층 204호(새솔동, 더드림프라자)|0313561080|AM10:00~PM21:00
