NAME|BRANCH|ADDR|TELL
약손명가|강남구청역점|서울특별시 강남구 논현동 241-3 SK허브빌딩 206호|02-514-9333
약손명가|강남역점|서울시 강남구 강남대로 78길 22(역삼동 830) 호야빌딩 4층|02-538-3332
약손명가|개봉역점|서울특별시 구로구 경인로40길 23, 대성타워 6층(개봉동)|02-2686-6681
약손명가|거제고현점|경상남도 거제시 고현동 978-4호 (서문로 67) 3층|055-632-3177
약손명가|건대점|서울특별시 광진구 아차산로 229 한림타워 4층 405호|02-469-7007
약손명가|경복궁역점|서울특별시 종로구 내자동 5번지 목천빌딩 3층|02-744-4484
약손명가|공덕점|서울특별시 마포구 신공덕동 171 마포케이씨씨웰즈타워 2층 205호|02-713-1333
약손명가|과천점|경기도 과천시 중앙로 129(중앙동40-10, 고려빌딩 3층 301호)|02-504-3343
약손명가|광명점|경기도 광명시 광명로 899 2층|02-2066-1733
약손명가|광주봉선점|광주광역시 남구 봉선로 205(봉선동 138-2) 플러스존 2층 208호|062-653-3431
약손명가|광주서구점|광주광역시 서구 죽봉대로 68, 6층 604호|062-352-6660
약손명가|광주수완동점|광주광역시 광산구 장신로 133 삼광 빌딩 4층|062-961-3330
약손명가|광화문점|서울특별시 종로구 새문안로 89, 3층 301호 (신문로 1가, 정우빌딩)|02-738-3317
약손명가|교대점|서울특별시 서초구 서초대로 316, 202호(서초동,하림인터내셔날빌딩)|02-523-6333
약손명가|구미옥계점|경상북도 구미시 옥계북로 34, 원광빌딩 201호|054-471-7746
약손명가|구로디지털점|서울특별시 구로구 구로동 1125-2 일진빌딩 3층|02-867-8980
약손명가|구파발역점|서울특별시 은평구 진관2로 19, 2층 213호(진관동, 휴먼프라자)|02-356-7726
약손명가|구리점|경기도 구리시 인창동 264-4 쌍용플래티넘선스타워207호|031-554-3343
약손명가|군산수송동점|전라북도 군산시 수송동 827-11, 3층|063-461-0991
약손명가|김천율곡점|경상북도 김천시 율곡동 780번지 3층 310호, 311호|054-434-3358
약손명가|김해점|경상남도 김해시 분성로 212, 초이스타워 202호 (외동)|055-328-5133
약손명가|남양주호평점|경기도 남양주시 늘을2로14번길 3 에이스프라자 303호|031-594-4033
약손명가|노원점|서울특별시 노원구 상계동724-2 프린스빌딩 503|02-951-1333
약손명가|논현점|서울특별시 서초구 강남대로 537, 삼전빌딩, 지상 2층, W-201호|02-543-3383
약손명가|대구동성로점|대구광역시 중구 남일동 69-1번지 2층|053-253-3335
약손명가|대구범물점|대구광역시 수성구 범물동 1334-1번지 다인프라자 2층 (지범로 190번지)|053-783-3334
약손명가|대전도안점|대전광역시 서구 동서대로 688 2층|042-824-7719
약손명가|대전점|대전광역시 서구 둔산동 1417번지 더리치빌 3층 309호|042-486-1959
약손명가|대전타임월드점|대전광역시 서구 둔산로 20 (둔산동 1072번지) 대일빌딩 3층 301호|042-486-7666
약손명가|동대문점|서울특별시 중구 을지로 6가 18-95 6층|02-2272-7767
약손명가|동탄1동점|경기도 화성시 반송동 86-4 위너스타 405호|031-8015-5506
약손명가|동탄나루점|경기도 화성시 반송동 218-1 2층 약손명가|031-613-3138
약손명가|마곡발산점|서울특별시 강서구 공항대로 247, 318~320호(마곡동, 퀸즈파크나인)|02-6341-7797
약손명가|망원점|서울시 마포구 서교동 441-11|02-322-1416
약손명가|명동점|서울특별시 중구 명동2가 55-1 5,6층|02-755-0002
약손명가|목동점|서울특별시 양천구 목동서로 159-1 CBS 건물밖 상가 2층 (헤어샵안)|02-2654-7004
약손명가|목포무안점|전라남도 무안군 삼향읍 남악3로 55, 상가동 205호(남악펠리시티 3차)|061-281-6166
약손명가|문정역점|서울특별시 송파구 법원로8길 13, 문정헤리움써밋타워 3층|02-449-3331
약손명가|반포자이점|서울특별시 서초구 사평대로 45길 10-25번지(반포동 20-51번지) 반포자이베리타스타운 302호|02-533-3302
약손명가|본점|서울특별시 강남구 신사동 598-8 약손명가빌딩1층|02-518-6662
약손명가|부산광복점|부산광역시 중구 구덕로 4, 9층 901호(광복동1가, 서주빌딩)|051-253-3888
약손명가|부산센텀시티점|부산광역시 해운대구 센텀남대로 50, 804호 (센텀임페리얼타워 빌딩)|051-731-7770
약손명가|부산해운대점|부산광역시 해운대구 중동 1766-6번지 영풍리젠시 401호|051-747-6040
약손명가|부산서면점|부산광역시 진구 부전동 261-4 5층|051-807-0079
약손명가|부산화명동점|부산광역시 북구 화명동 2276-3 웰빙프라자 202호|051-364-5311
약손명가|부천점|경기도 부천시 원미구 상동 464-1 대명 씨티 프라자 4층|032-328-0055
약손명가|부평점|인천광역시 부평구 부평동 185-20번지(광장로 32) 2층|032-527-1977
약손명가|분당정자점|경기도 성남시 분당구 성남대로 345, 5층 507호(정자동, 정자역프라자)|031-717-3380
약손명가|분당서현점|경기도 성남시 분당구 서현동 269-4 산호트윈스2 302호|031-703-3433
약손명가|사당점|서울 서초구 동작대로36 대광빌딩 5층|02-3472-3311
약손명가|산본점|경기도 군포시 광정로 80 신원타워 11층|031-399-8010
약손명가|상암점|서울특별시 마포구 상암동 1653 이안오피스텔 2단지 2층 220호|02-307-7747
약손명가|서울수유점|서울특별시 강북구 번1동 446-13 가든 2층|02-999-5311
약손명가|서판교점|경기도 성남시 분당구 운중로 129(운중동 963) 마크시티옐로우 301호|031-8017-7756
약손명가|선릉점|서울특별시 강남구 역삼동 705-25 아펙스빌딩 1503|02-538-7742
약손명가|성신여대점|서울특별시 성북구 동소문로22길 4, 2층(동선동 1가)|02-925-3331
약손명가|송도점(약손명가&amp;여리한)|인천광역시 연수구 컨벤시아대로 81, 3층 307, 308호(송도동, 드림시티)|032-831-0122
약손명가|송파헬리오시티점|서울시 송파구 송파대로 345 헬리오시티 A상가 4층 14호|02-402-7776
약손명가|수원인계점|경기도 수원시 팔달구 인계동1113-11호 408호|031-238-3323
약손명가|수원역점|경기도 수원시 팔달구 매산로1가 11-9 세진브론즈빌 401호-403호|031-242-7779
약손명가|순천점|전라남도 순천시 연향중앙상가길 18(연향동 1339-1) 현대상가 205호|061-723-4333
약손명가|시청역점|서울특별시 중구 무교로 12(무교동 21-3번지) 정오빌딩 5층|02-318-5552
약손명가|신림점|서울특별시 관악구 신림동 1639-1 신일빌딩 3층|02-871-7732
약손명가|신촌역점|서울특별시 마포구 서강로 144번지 동인빌딩 4층-1(노고산동 107-1)|02-717-3343
약손명가|아산역점|충청남도 아산시 배방읍 광장로 210(장재리 1767) Y-씨티 202동 2층 D201|041-565-5777
약손명가|안산점|경기도 안산시 단원구 고잔동 539-20번지 봉산빌딩 6층 601호|031-403-8851
약손명가|안양범계점|경기도 안양시 동안구 동안로 120, 5층 508호(호계동 평촌스포츠센터)|031-381-6665
약손명가|약수점|서울시 중구 다산로 106 (신당동 368-90) 한두빌딩 3층|02-2232-8816
약손명가|양재점|서울시 서초구 양재동 11-17번지 한솔로이젠트 3층 301호|02-572-0208
약손명가|여의도점|서울시 영등포구 여의도동 43-3 홍우빌딩 5층 507호|02-785-3337
약손명가|역삼점|서울특별시 강남구 역삼1동 739-1 신홍빌딩 602호|02-501-7761
약손명가|연신내점|서울특별시 은평구 통일로 866-1, 2층 201호|02-383-6466
약손명가|왕십리점|서울특별시 성동구 행당동 212-5 3층|02-2298-6696
