NAME|BRANCH|ADDR|TELL
미각|명일점|서울시 강동구 동남로73길23|02-428-8858
미각|해남점|전남 해남군 교육청길79-1|061-533-8333
미각|대산점|충남 서산시 대산읍 정자2로 29-17|041-663-7792
미각|도화점|인천광역시 미추홀구 숙골로87번길2|010-2349-9999
미각|김포구래점|경기도 김포시 김포한강4로 531, 111호(구래동, 제이스프라자)|031-9888-111
미각|창신점|서울시 종로구 창신길 9, 1층(창신동)|02 765 8588
미각|성수역점|서울시 성동구 성수일로8길 39, 1층 103호(성수동2가)|02-461-5678
미각|서울건대점|서울시 광진구 동일로18길 10, 1층 101~160호(자양동)|02-462-7760
미각|경기의왕역점|경기도 의왕시 부곡중앙남3길 3, 1층(상동)|010-7171-4969
미각|경기시흥대야점|경기도 시흥시 비둘기공원5길 6, 1층 101호(대야동)|010-8288-1314
미각|인천부평역점|인천시 부평구 경원대로1377번길 4,1층(부평동)|010-8763-7842
미각|안양평촌점|안양시 동안구 관평로 182번길43 삼일프라자빌|031-382-8868
미각|성남판교점|성남시 분당구 판교역로 235 H스퀘어 S동 2층(삼평동681)|031-789-3679
미각|서울종로3호점|서울시 종로구 관철동 256|02-734-8858
미각|서울종로3가점|서울 종로구 돈의동 44-6|02-743-8858
미각|서울종로2호점|서울시 종로구 관철동 14-3|02-735-8868
미각|서울종로1호점|서울시 종로구 삼일대로 17길 16시사빌딩(관철동13-4)|02-737-8858
미각|시흥정왕점|시흥시 정왕동 서촌상가 2길10 두원프라자1|031-432-1314
미각|서울영등포점|서울시 영등포구 영중로 10길25|02-6396-6868
미각|수원아주대점|경기도 수원시 팔달구 우만동 43-7|070-8975-9459
미각|수원인계점|수원시 팔당구 인계동 1040-4|031-236-6678
미각|수원세류점|수원시 권선구 세류동 1005-14|031-221-8858
미각|인천송도점|인천 연수구 컨벤시아대로 69 송도밀레니엄(송도동3-1)|032-831-5580
미각|서울성수점|서울시 성동구 성수동2가 3동 289-4|02-3409-5679
미각|인천선학점|인천시 연수구 학4로 6번길 24(선학동412-3)|032-811-1616
미각|성남서현점|경기도 성남시 분당구 서현동 271-5 송암빌딩2층|031-704-0338
미각|성남서현미각짬뽕|성남시 분당구 황새울로 330번길18 송암빌딩1층(서현동271-5)|031-704-0330
미각|안양범계점|안양시 동안구 평촌대로 223번길31 2층 202호|02-476-8858
미각|서울노량진2호점|서울시 동작구 노량진동 119-156 1,2층|02-825-8806
미각|서울노량진1호점|서울시 동작구 만양로 18길15(노량진148-57)|02-3280-8806
미각|인천구월점|인천시 남동구 문화로 89번길 49|032-433-8858
미각|서울고대2호점|서울시 성북구 인촌로 24길44 청운빌딩1층(안암동5가 102-36)|02-927-8858
미각|서울고대1호점|서울시 성북구 인촌로 24길 15 청암빌딩2,3층(안암동102-52)|02-929-8858
미각|서울가산황제점|서울특별시 금천구 디지털로9길 32 107(가산동,갑을그레아트밸리)|02-2106-8530
미각|서울가산2호점|서울시 금천구 가산동 42-49|02-830-8686
미각|서울가산1호점|서울시 금천구 가산디지털1로 151 이노플랙스1층(가산동 371-47)|02-6679-0044
미각|경기평택점|경기도 평택시 비전5로 20-37,101,102호(비전동)|031-651-8858
미각|서울종로구청점|서울시 종로구 종로5길 40, 2층(청진동)|010-8318-9788
미각|경기부천옥길점|경기도 부천시 양지로176번길 B-3,1층 104,105호(옥길동 옥길주차타워)|010-4550-2263
미각|서울연신내점|서울시 은평구 연서로 222, 지하1층(대조동)|010-8298-5189
미각|서울여의도롯데캐슬점|서울시 영등포구 국제금융로 86, 1층 103,104호(여의도동, 롯데캐슬 아이비)|010-9550-8972
미각|경기양주덕정점|경기도 양주시 회정로 91,1층(덕정동)|010-9786-7788
미각|경기양주고읍점|경기도 양주시 고읍남로 6-17, 102호(광사동)|031-847-3355
미각|서울양재역점|서울시 강남구 남부순환로355길 9(도곡동)|02-573-8859
미각|경기안양역점|경기도 안양시 만안구 만안로 209,2층(안양동)|010-4361-1982
미각|서울신사역점|서울시 강남구 압구정로2길 46, 지상1층 제1호(신사동)|02-3434-8858
미각|서울수유점|서울시 강북구 한천로 140길 20(수유동174-37)|02-996-8858
미각|수원망포점|경기도 수원시 영통구 영통로214번길 41, 1층 제108호(영통동)|031-206-6558
미각|경기백석점|경기도 양주시 백석읍 양주산성로 564, 비동 1층|010-8963-8697
미각|서울발산점|서울시 강서구 마곡동로4길 15, 2층 206호(마곡동, 엠팰리체)|02-3665-6768
미각|경기덕소점|경기도 남양주시 와부읍 덕소로116번길 20, 1층 2-108호|010-4081-6899
미각|충남당진CGV점|충남 당진시 북문로1길37-14(읍내동 1522)|041-352-8058
미각|미각당산점|서울시 영등포구 당산로 47길8, 1층 2호(당산동6가, 당일빌딩)|010-3018-6851
