NAME|BRANCH|ADDR|TELL|TIME|CORDX|CORDY
애니카랜드|더베스트파트너|전남 나주시 빛가람동 66-3|061-334-6601|08:00 ~ 23:00|126.79662227131|35.029290751607
애니카랜드|분당정자점|경기 성남시 분당구 정자동 143-8   1층|031-712-9266|09:00 ~ 19:00|127.11136968799413|37.360997457694594
애니카랜드|수완점|광주 광산구 수완동 450-9|062-962-9317|09:00 ~ 18:00|126.83111726190559|35.200166278740554
애니카랜드|가나그린|인천 서구 원당동 831-11, 누리하우스 2동 201호|032-564-4746|08:00 ~ 19:00|126.69967666102136|37.60049517646801
애니카랜드|가곡점|전남 순천시 가곡동 994-5 (안신기2길 4)|061-908-7114|09:00 ~ 18:00|127.48194494291|34.973791276265
애니카랜드|가락점|서울 송파구 가락2동 137-2|02-403-5566|09:00 ~ 19:00|127.12832087355247|37.492799740183834
애니카랜드|가산점|경기 포천시 가산면 금현리 281-8|031-544-4800|08:00 ~ 19:00|127.20066521557997|37.837870704626596
애니카랜드|가야점|부산 부산진구 가야동 445-10|051-896-1660|09:00 ~ 18:00|129.03318539052375|35.15084664432781
애니카랜드|가장점|대전 서구 가장동 47-21|042-528-5114|08:00 ~ 19:00|127.39446442663669|36.339430377155985
애니카랜드|가좌점|인천 서구 가좌동 287-2|032-575-1079|09:00 ~ 18:00|126.68029054930215|37.486364020512816
애니카랜드|가평점|경기 가평군 가평읍 대곡리 42-2 (자라섬로 31)|031-581-3001|09:00 ~ 19:00|127.51465376642333|37.81940347867433
애니카랜드|간석점|인천 남동구 간석동 549-1 （문화로 245번길 33）|010-5348-4879|08:00 ~ 20:00|126.69929285749|37.460863116378
애니카랜드|갈마점|대전 서구 갈마동 1481|042-523-0003|09:00 ~ 19:00|127.36872670557189|36.34553256656122
애니카랜드|강원랜드점|강원 정선군 고한읍 고한리 91-39 （고한로 117）|033-592-8245|09:00 ~ 18:00|128.85146335209|37.203458423853
애니카랜드|개봉점|서울 구로구 개봉동 303-35|02-2687-6633|09:00 ~ 20:00|126.85437815168475|37.49177495857864
애니카랜드|개운점|강원 원주시 개운동 440-4|033-764-1472|09:00 ~ 19:00|127.95264258433587|37.332494336056584
애니카랜드|거제점|부산 연제구 거제2동 1090-29|051-506-5552|09:00 ~ 18:00|129.06836092944684|35.19084964893929
애니카랜드|거창점|경남 거창군 거창읍 김천리 323-4 （거함대로 3185）|055-944-0426|09:00 ~ 19:00|127.91050490529771|35.680348162743286
애니카랜드|건천점|경북 경주시 건천읍 천포리 314-11|054-751-3553|08:00 ~ 19:00|129.1025399661857|35.8498194940949
애니카랜드|검배점|경기 구리시 수택동 283-4|031-552-2784|09:00 ~ 19:00|127.15011213101618|37.59516247168792
애니카랜드|경남고성점|경남 고성군 고성읍 동외리 345-42|055-674-5634|08:00 ~ 22:00|128.32679763362333|34.97276962137281
애니카랜드|경산점|경북 경산시 정평동 250-46|053-812-1831|09:00 ~ 19:00|128.7309124598758|35.829364763799944
애니카랜드|계룡점|충남 계룡시 금암동 65-1|042-841-0307|09:00 ~ 18:00|127.2491812839|36.2749554548
애니카랜드|계산점|인천 계양구 계산동 57-58|032-553-8223|09:00 ~ 19:00|126.72998436682|37.538037374527
애니카랜드|고령점|경북 고령군 대가야읍 지산리 31-3|054-955-4558|09:00 ~ 18:00|128.26340736196|35.727571044304
애니카랜드|고서점|전남 담양군 고서면 동운리 1308-5 （가사문학로 295）|061-383-8542|09:00 ~ 19:00|126.9720909978|35.225373657399
애니카랜드|고성점（강원）|강원 고성군 거진읍 대대리 245|033-681-5601|09:00 ~ 18:00|128.46102125138037|38.38960852790181
애니카랜드|고양점|경기 고양시 덕양구 벽제동 196-5 (호국로 1744)|031-964-7040||126.90548312815|37.707035674641
애니카랜드|고창점|전북 고창군 고창읍 읍내리 681-15|063-563-4352|09:00 ~ 18:00|126.69758058792936|35.43758767926005
애니카랜드|고촌점|경기 김포시 고촌읍 신곡리 538-8 (장차로 13번길 17)|031-988-2188|09:00 ~ 18:00|126.76969414671|37.604014141599
애니카랜드|고현점(거제)|경남 거제시 고현동 1017|055-634-5114|09:00 ~ 19:00|128.62685872248153|34.89286690944116
애니카랜드|고현점（오산）|경기 오산시 고현동 55-2|031-668-6530|09:00 ~ 20:00|127.08415932275|37.134146950903
애니카랜드|곡성점|전남 곡성군 입면 창정리 57-1|061-363-1441|09:00 ~ 08:00|127.1931228941124|35.30629236960776
애니카랜드|곤지암점|경기 광주시 곤지암읍 곤지암리 395|031-763-6267|09:00 ~ 18:00|127.34493539483192|37.35290452500118
애니카랜드|공단점|경북 구미시 광평동 523-4|054-463-4142|09:00 ~ 18:00|128.36330414552|36.104950469589
애니카랜드|공도점|경기 안성시 공도읍 용두리 134|031-652-1573|09:00 ~ 20:00|127.17032046628236|37.00441023374304
애니카랜드|공주점|충남 공주시 금성동 185|041-855-5114|09:00 ~ 19:00|127.1222021888|36.4650017925
애니카랜드|공항점|서울 강서구 방화동 580-130|02-2661-7094|09:00 ~ 18:00|126.81181170953071|37.57141001622414
애니카랜드|과천점|경기 과천시 갈현동 13-49|02-503-6556|09:00 ~ 19:00|126.9843418672|37.4163629323
애니카랜드|관저점|대전 서구 관저동 1073|042-542-6767|09:00 ~ 19:00|127.3366801780376|36.301160410156285
애니카랜드|광명점|경기 광명시 광명동 233-3 105호,106호|02-2060-3850|08:00 ~ 20:00|126.8462213451415|37.476056822310625
애니카랜드|광안점|부산 수영구 광안동 157-12|051-753-9281|08:00 ~ 19:00|129.11969376099|35.157434713101
애니카랜드|광양점|전남 광양시 광양읍 구산리 801-9|061-761-1616|09:00 ~ 19:00|127.57908115942805|34.977932261177955
애니카랜드|광주점|경기 광주시 송정동 139-17|031-768-2114|08:00 ~ 20:00|127.25969292411469|37.40769690318109
애니카랜드|광천점|충남 홍성군 광천읍 광천리 384-25|041-641-8390|08:00 ~ 18:00|126.62295190777836|36.49928217562695
애니카랜드|괴정점|부산 사하구 괴정동 483-32|010-3589-7772|08:00 ~ 19:00|128.99354280923143|35.09498366361844
애니카랜드|교동점|강원 속초시 노학동 1085-1|033-635-6173|09:00 ~ 18:00|128.5712322331944|38.19636081373
애니카랜드|교동한미|강원 강릉시 교동 713-5|033-645-9939|08:00 ~ 20:00|128.8883|37.7693
애니카랜드|교하운정점|경기 파주시 상지석동 974-10 (운정역길 293)|031-946-8300|09:00 ~ 18:00|126.76936097604292|37.729140097344214
애니카랜드|교하점|경기 파주시 문발동 44-9 (교하로 901번길 10)|031-957-2266|09:00 ~ 19:00|126.7044179574501|37.72766181094102
애니카랜드|구례점|전남 구례군 구례읍 봉남리 7-1|061-782-5445|09:00 ~ 19:00|127.46287085782471|35.2057029850789
애니카랜드|구서점|부산 금정구 구서동 444-1|051-514-8020|09:00 ~ 18:00|129.0902809929375|35.24360640145222
애니카랜드|구암점|대전 유성구 구암동 425-49|042-822-2051|09:00 ~ 19:00|127.31780178357668|36.35908399060037
애니카랜드|구월점|인천 남동구 구월2동 69-2|032-464-9144|09:00 ~ 19:00|126.71459013396766|37.459687503238364
애니카랜드|구의점|서울 광진구 구의동 79-34|02-454-1718|08:00 ~ 20:00|127.08428685633278|37.54262690001539
애니카랜드|군포점|경기 군포시 당동 969-3|031-392-7007|09:00 ~ 18:00|126.93753228811539|37.34371099917478
애니카랜드|권선점|경기 수원시 권선구 권선동 1039-1 (권광로 104)|031-235-3526|09:00 ~ 18:00|127.0303782138|37.257440635884
애니카랜드|금광점|경기 성남시 중원구 금광2동 4475-6|031-741-5030|09:00 ~ 20:00|127.15876995643593|37.44827260433923
애니카랜드|금노점|경북 영천시 금노동 498-4|054-334-3455|09:00 ~ 18:00|128.9326091650213|35.96130862482986
애니카랜드|금산점(충남)|충남 금산군 금산읍 상리 36-31 (비범로 37)|041-751-2800|09:00 ~ 18:00|127.49185281886|36.106244981542
애니카랜드|금천점(청주)|충북 청주시 상당구 탑동 47-2|043-222-8272|08:00 ~ 17:00|127.50151831074487|36.631570161961655
애니카랜드|금촌점|경기 파주시 금촌동 420-1|031-943-1171|09:00 ~ 18:00|126.770828|37.771349
애니카랜드|금호점|서울 성동구 금호동1가 476 유미빌딩 1층|02-2296-6161|09:00 ~ 20:00|127.02376400236791|37.55525116126253
애니카랜드|기장점|부산 기장군 기장읍 대라리 127-9|051-722-7899|06:00 ~ 16:00|129.21314231145|35.240698049311
애니카랜드|김천점|경북 김천시 신음동 494-6번지|054-432-9876|09:00 ~ 19:00|128.1176848512096|36.14058587356609
애니카랜드|김해중앙점|경남 김해시 구산동 249-14|055-335-2999|09:00 ~ 18:00|128.87299239681647|35.245120060433486
애니카랜드|나안점|강원 동해시 나안동 175-1|033-522-3060|09:00 ~ 18:00|129.11068319262|37.484414882268
애니카랜드|나주점|전남 나주시 송월동 845-1|061-334-4861|09:00 ~ 18:00|126.71448119928074|35.02200292603845
애니카랜드|낙양점|경북 상주시 낙양동 213-1|054-535-4357|08:00 ~ 19:00|128.15050792346005|36.40769316919067
애니카랜드|남양점|경기 화성시 남양읍 북양리 452-2|031-357-6006|08:00 ~ 19:00|126.84183983813|37.21750450082
애니카랜드|남원점(전북)|전북 남원시 도통동 406-1|063-626-1999|08:00 ~ 20:00|127.3925133329102|35.41347219765159
애니카랜드|남원점(제주)|제주 서귀포시 남원읍 남원리 1272-3|064-764-0244|09:00 ~ 18:00|126.720299|33.280112
애니카랜드|남해점|경남 남해군 남해읍 남변리 504-1|010-6587-2621|09:00 ~ 19:00|127.89822346649471|34.834419435854905
애니카랜드|내서점|경남 창원시 마산회원구 내서읍 원계리 395|055-231-1008|08:00 ~ 19:00|128.5086542276|35.238517060094
애니카랜드|노암점|강원 강릉시 내곡동 364-5|033-648-5293|09:00 ~ 18:00|128.8945849380846|37.74240308491435
애니카랜드|노원점|서울 노원구 공릉동 596-10 (동일로 1008)|02-952-6500|09:00 ~ 20:00|127.07512230933159|37.620284184504285
애니카랜드|논산점|충남 논산시 취암동 1065-7|041-733-5109|09:00 ~ 18:00|127.09246185491595|36.200819773570345
애니카랜드|논현고잔점|인천 남동구 고잔동 223-2|010-3084-8786|09:00 ~ 18:00|126.71327529367431|37.39456813172023
애니카랜드|농성점|광주 서구 농성동 660-8|010-6587-8043|09:00 ~ 18:00|126.88634363292127|35.15052875313015
애니카랜드|능동점|경기 화성시 능동 1139-1|031-8015-1944|09:00 ~ 20:00|127.05193945206532|37.20492200795148
애니카랜드|다대점|부산 사하구 다대2동 47|051-266-6166|08:00 ~ 20:00|128.9797832490067|35.06466388722176
