NAME|BRANCH|ADDR|TELL|XCORD|YCORD
국수나무|전남강진점|전남 강진군 강진읍 중앙로 105-1 (남성리)|061-434-0101|126.7683736|34.6394475|
국수나무|창원도계점|경남 창원시 의창구 원이대로69번길 20-22 (도계동, 신도상가)|055-273-1020|128.6379211|35.2567052|
국수나무|구미도개휴게소점|경북 구미시 도개면 낙동대로 3878 (용산리) 도개 미쉐린 휴게소|1599-2115|||
국수나무|광주신안점|광주 북구 서암대로 95 (신안동, 신안동 고운하이플러스) 상가 115호|062-531-0331|126.8997494|35.1678705|
국수나무|구로항동점|서울 구로구 서해안로 2102 (항동, 솔보프라자) 107호|02-6342-2718|126.8234693|37.4800626|
국수나무|안산본오점|경기 안산시 상록구 본오공원길 3 (본오동) 101호|031-501-2711|126.8671619|37.2979722|
국수나무|전주평화점|전북 전주시 완산구 모악로 4655 (평화동2가, 신성빌딩) 1층|063-222-2887|127.1289884|35.785338|
국수나무|남양주금곡점|경기 남양주시 금곡로 40 (금곡동) 103호. 1층 근린생활시설|031-511-1788|||
국수나무|전남무안점|전남 무안군 무안읍 불무로 38-2 (성남리) 1층|061-454-4548|||
국수나무|김천하나로마트점|경북 김천시 자산로 147 (평화동) 김천 하나로 마트 3층||||
국수나무|이천로데오점|경기 이천시 중리천로 75 (창전동) 102호|031-631-9931|||
국수나무|망우점|서울 중랑구 망우로60길 37 (망우동, 효성 써너스빌 에코) 107동 1층|02-6013-7070|127.0943411|37.5970898|
국수나무|평택지산점|경기 평택시 지산로 56 (지산동) 1층|031-667-1225|127.0612034|37.0794295|
국수나무|전남장성점|전남 장성군 장성읍 영천로 175-2 (영천리) 1층|061-395-3933|126.7829208|35.3010222|
국수나무|그린청계산역점|서울 서초구 청계산로 189 (신원동) 104호|02-529-9990|127.055849|37.4484207|
국수나무|부산구평점|부산 사하구 서포로30번길 3 (구평동) 1층 104호|051-264-5208|128.9843625|35.0822081|
국수나무|문경시청점|경북 문경시 시청1길 20-1 (모전동, 카페띠아모) 1층|054-552-7991|128.1889169|36.5868143|
국수나무|시흥은행점|경기 시흥시 은행로149번길 8 (은행동, 행림빌딩) 102호|031-315-8797|126.7985565|37.4442813|
국수나무|전주에코시티점|전북 전주시 덕진구 세병2길 31-7 (송천동2가) 107호|063-253-5777|127.1201996|35.8719799|
국수나무|가산에이스점|서울 금천구 가산디지털1로 233 (가산동, 에이스하이엔드타워9차)|02-864-9817|126.878475|37.4858614|
국수나무|이천마장점|경기 이천시 마장면 중앙로6번길 15 (오천리) 1층|031-632-5333|127.3556873|37.2510016|
국수나무|포항죽도점|경북 포항시 북구 중흥로 333 (죽도동) 1층|054-277-5522|129.3648342|36.0318441|
국수나무|세종고운동북측점|세종특별자치시 마음로 272-22 (고운동, 고운드림) 107호|044-868-7758|||
국수나무|방배점|서울 서초구 동광로 21 (방배동) 1층|02-537-9494|126.9853299|37.490966|
국수나무|평택용죽점|경기 평택시 용죽5길 29-26 (용이동) 101호|031-618-3933|127.1415692|37.0016335|
국수나무|제주노형|제주특별자치도 제주시 1100로 3308 (노형동, 에코트윈)|064-748-8778|126.4772312|33.483098|
국수나무|경북예천점|경북 예천군 예천읍 시장로 86 (남본리)|054-652-6020|128.4537128|36.6555216|
국수나무|국수나무전주효천점|전북 전주시 완산구 효천중앙로 51 (효자동2가) 효림빌딩 104호|063-221-2200|127.0993626|35.8033141|
국수나무|국수나무경북영덕점|경북 영덕군 영덕읍 화개길 11 (화개리)|054-732-9003|129.3667176|36.4156122|
국수나무|국수나무전북대점|전북 전주시 덕진구 명륜3길 19 (덕진동1가)|063-276-0924|||
국수나무|대구다사점|대구 달성군 다사읍 달구벌대로 861 (매곡리)|053-591-1220|128.4646064|35.859284|
국수나무|역곡점|경기 부천시 부일로 710 (역곡동) 1층|032-347-2011|126.8086859|37.4847205|
국수나무|포항초곡점|경북 포항시 북구 흥해읍 초곡지구로58번길 38-6 (초곡리)|054-615-8999|129.3206805|36.0946664|
국수나무|안산중앙점|경기 안산시 단원구 중앙대로 907 (고잔동, 안산종합상가) 3동 313호|031-402-7546|126.8374669|37.3172184|
국수나무|음성읍내점|충북 음성군 음성읍 설성로 83 (읍내리) 1층|043-872-1119|127.6915188|36.9304052|
국수나무|천안청당점|충남 천안시 동남구 청수11로 16 (청당동) 하나프라자 102호|041-417-0988|127.1428701|36.7713675|
국수나무|보성점|전남 보성군 보성읍 중앙로 96-1 (보성리)|061-853-2889|127.0808894|34.7701797|
국수나무|대구동구청점|대구 동구 아양로39길 6 (신암동) 1층 107호|053-716-9394|128.6347464|35.886559|
국수나무|군산디오션점|전북 군산시 궁포3로 13 (조촌동) 101호|063-445-4863|||
국수나무|등촌역점|서울 양천구 공항대로 564 (목동)|02-6448-2001|126.8678586|37.5490542|
국수나무|신림녹두거리점|서울 관악구 대학길 59 (신림동) A동 B1층|02-6953-6730|||
국수나무|창원상남점|경남 창원시 성산구 마디미로44번길 9 (상남동) 동광빌라 2층|055-274-3369|128.6821727|35.2210477|
국수나무|경주현곡점|경북 경주시 현곡면 용담로 548 (하구리, 경주센트럴푸르지오) 단지내 상가 2동 15호|054-776-4400|129.165932|35.8869044|
국수나무|서충주기업도시점|충북 충주시 중앙탑면 원앙길 15 (용전리) 104호|043-854-1777|127.8381959|37.015822|
국수나무|익산동산점|전북 익산시 서동로 116 (동산동, 식당소금창고)|063-853-9352|126.9643379|35.9344449|
국수나무|경주위덕대점|경북 경주시 강동면 동해대로 261 (유금리, 위덕대학교) 용맹관 1층||129.2830958|36.0130663|
국수나무|종로수송점|서울 종로구 종로5길 68 (수송동, 코리안리재보험) 푸드코트|02-733-3963|126.9804466|37.5733692|
국수나무|울산송정점|울산 북구 송정14길 7 (송정동) 103호|052-298-1511|129.3621892|35.6005298|
국수나무|원주연세대미래점|강원 원주시 흥업면 연세대길 1 (매지리, 연세대학교)|033-734-1845|||
국수나무|조치원점|세종특별자치시 조치원읍 이화로 22-1 (신흥리) 1층|044-864-5523|127.287436|36.5932821|
국수나무|시흥은계점|경기 시흥시 은계번영길 27 (은행동, 시티파크) 111호|031-365-422+6|126.7980184|37.4363807|
국수나무|용인기흥서천점|경기 용인시 기흥구 예현로 23 (서천동) 102호|031-206-7671|127.0687098|37.2445896|
국수나무|부산만덕점|부산 북구 덕천로276번길 16 (만덕동) 지하1층 국수나무|051-338-8381|129.0339579|35.2088771|
국수나무|충주중앙점|충북 충주시 예성로 151 (성서동) 1층 105호|043-852-5484|127.9329649|36.9704778|
국수나무|송도트리플스트리트점|인천 연수구 송도과학로16번길 33-2 (송도동, 송도 트리플스트리트) B동 지하3층 B309|032-310-9492|126.6603024|37.380555|
국수나무|세종새롬점|세종특별자치시 새롬중앙로 62-15 (새롬동, 해피라움W) 1층 124호|044-868-2048|||
