NAME|BRANCH|ADDR|TELL
김영희강남동태찜|부산 명지국제도시점 11월 예정|부산 강서구 명지국제8로 19 |02-412-3375
김영희강남동태찜|경남 고성2호점 11월 오픈예정|경남 고성군 고성읍 동외로156번길 16 |02-412-3375
김영희강남동태찜|경남 사천점 8월 Grand OPEN|경남 사천시 사천읍 옥산로 69 1층 김영희동태찜&amp;코다리냉면|055-854-3038
김영희강남동태찜|포천송우리점 9월 Grand OPEN|경기 포천시 소흘읍 봉솔로 62 다산빌딩2층1호|031-541-4362
김영희강남동태찜|화서점 7월 Grand OPEN|경기 수원시 팔달구 수성로157번길 5-18 |031-248-3287
김영희강남동태찜|담양점 9월 Grand OPEN|전남 담양군 담양읍 중앙로 91 1층 김영희동태찜&amp;코다리냉면|061-882-8080
김영희강남동태찜|천안두정점 8월 Grand OPEN|충남 천안시 서북구 1공단1길 52 센트하임프라자 1층|041-552-8030
김영희강남동태찜|안동음식의거리점 9월 OPEN|경북 안동시 음식의길 48 |054-857-7676
김영희강남동태찜|함안가야점 8월 Grand OPEN|경남 함안군 가야읍 함안대로 536 1층 김영희동태찜&amp;코다리냉면|055-584-3801
김영희강남동태찜|수원뉴코아점 7월 Grand OPEN|경기 수원시 팔달구 인계로 154 수원뉴코아아울렛 지1층 푸드코트|02-412-3375
김영희강남동태찜|철원와수리점 9월 Grand OPEN|강원 철원군 서면 와수로110번안길 43 1층 김영희동태찜&amp;코다리냉면|033-458-6685
김영희강남동태찜|금천구청점 7월 Grand OPEN|서울 금천구 시흥대로63길 64 2층|02-2226-3111
김영희강남동태찜|강남점|서울 강남구 테헤란로6길 45 |02-567-3838
김영희강남동태찜|경복궁점|서울 종로구 사직로 103-17 |02-737-3112
김영희강남동태찜|난곡점|서울 관악구 난곡로 83 |02-868-8687
김영희강남동태찜|신당산점|서울 영등포구 당산로47길 13 신영빌딩2층|02-2068-1244
김영희강남동태찜|교대점|서울 서초구 서초대로48길 33 104호|02-3434-1133
김영희강남동태찜|수락점|서울 노원구 동일로242길 63-4 |02-933-0753
김영희강남동태찜|상암점|서울 마포구 성암로13길 33 |02-307-0066
김영희강남동태찜|사당점|서울 서초구 방배천로2길 21 |02-522-9982
김영희강남동태찜|용두동점|서울 동대문구 천호대로16길 56 |02-921-0840
김영희강남동태찜|가산역점|서울 금천구 가산디지털1로 186 A동 B130호|02-6344-5080
김영희강남동태찜|응암점|서울 은평구 응암로9길 3 |02-303-0240
김영희강남동태찜|망우점|서울 중랑구 용마산로 538 |02-2207-2212
김영희강남동태찜|이수점|서울 서초구 서초대로 3-4 디오슈페리움 1차 B1|02-533-0890
김영희강남동태찜|일원점|서울 강남구 개포로140길 16 |02-445-7770
김영희강남동태찜|문정점|서울 송파구 법원로11길 7 C동 B201호|02-2008-1240
김영희강남동태찜|자곡동점|서울 강남구 자곡로 201 포스코샾 1층|02-445-5227
김영희강남동태찜|대치직영점|서울 강남구 선릉로62길 13 |02-561-5007
김영희강남동태찜|잠실직영본점|서울 송파구 삼전로 87 |02-422-5008
김영희강남동태찜|전농점|서울 동대문구 서울시립대로 46 |02-2247-6358
김영희강남동태찜|정릉점|서울 성북구 정릉로 263 |02-914-5075
김영희강남동태찜|평창점|서울 종로구 평창길 349 |02-396-6999
김영희강남동태찜|구리점|경기 구리시 벌말로 124 |031-558-1108
김영희강남동태찜|동탄영천점|경기 화성시 동탄치동천로4길 6-56 |031-373-3350
김영희강남동태찜|동탄역점|경기 화성시 동탄역로 128 107호 중앙파크뷰|031-372-5533
김영희강남동태찜|삼막점|경기 안양시 만안구 삼막로39번길 24 |031-471-1146
김영희강남동태찜|성남점|경기 성남시 수정구 수정남로 75 하이코랜드빌 1층 101호|031-757-4020
김영희강남동태찜|송정점|경기 광주시 광주대로129번길 4 |031-761-6070
김영희강남동태찜|수내점|경기 성남시 분당구 수내로 42 두산위브 202호|031-711-1178
김영희강남동태찜|시흥배곧점|경기 시흥시 서울대학로264번길 26-32 1층 132.133호|031-433-7780
