NAME|BRANCH|ADDR|TELL
꼬지사께|구미호반점|경북 구미시 산동면 해마루공원로 115-1 (신당리, 구미호반베르디움엘리트시티) 129동 1층 108호|054-474-7197
꼬지사께|창원대점|경남 창원시 의창구 용지로293번길 28 (사림동, 우영프라자) 우영프라자 207|055-263-0092
꼬지사께|경북울진점|경북 울진군 울진읍 울진중앙로 164-1 (읍내리, 제이스킨&바디) 1층|054-782-0222
꼬지사께|용인역북점|경기 용인시 처인구 명지로40번길 15-9 (역북동, 유니버스트윈1)|031-332-0912
꼬지사께|정선북실점|강원 정선군 정선읍 정선로 1245-11 (북실리, 현대아파트)|033-562-5622
꼬지사께|수원금곡점|경기 수원시 권선구 금호로 77-17 (금곡동)|031-292-6364
꼬지사께|안성삼정그린코아점|경기 안성시 고수2로 70 (당왕동, 삼정그린코아) 단지내상가 302동 106호|033-675-5011
꼬지사께|김해진영점|경남 김해시 진영읍 진산대로 63-31 (진영리) 106호|055-345-8867
꼬지사께|양산가촌점|경남 양산시 물금읍 청운로 181 (가촌리, 조양타워2) 1층 110호|055-383-1412
꼬지사께|울산혁신도시점|울산 중구 동천1길 40 (서동, 세영이노세븐 지식산업센터) 124호|052-294-1030
꼬지사께|의정부호원점|경기 의정부시 회룡로 137 (호원동, 거원프라자)|031-877-0244
꼬지사께|밀양내이점|경남 밀양시 시청로1길 14-1 (내이동)|055-351-0070
꼬지사께|하남미사역점|경기 하남시 미사강변중앙로 189 (망월동, 에코브리지2) 1층 120호|031-793-7848
꼬지사께|광주태전점|경기 광주시 태전중앙로 16 (태전동) 서원프라자 2동 203호|031-763-7844
꼬지사께|오산원동점|경기 오산시 원동로 30-7 (원동) 유탑유블레스 오피스텔 상가 118호|031-377-9868
꼬지사께|강원고성점|강원 고성군 간성읍 간성로 39-2 (신안리) 2층|033-682-0524
꼬지사께|화성병점점|경기 화성시 경기대로 990 (병점동, 화성 병점 에스케이 뷰) SK뷰 104동 117호|031-221-2226
꼬지사께|포항양덕점|경북 포항시 북구 장성로 92 (장성동)|054-255-7784
꼬지사께|속초조양부영점|강원 속초시 동해대로 4161 (조양동)|033-633-3232
꼬지사께|서울전농점|서울 동대문구 전농로 102 (답십리동, 목련빌딩) 1층 103호|02-3394-8866
꼬지사께|파주문산CGV점|경기 파주시 문산읍 방촌로 1719-10 (당동리) 1층|031-952-6787
