NAME|BRANCH|ADDR
메가MGC커피|홍대점|서울특별시 마포구 잔다리로6길 39(서교동)
메가MGC커피|안양1번가점|경기도 안양시 만안구 안양로304번길 13(안양동)
메가MGC커피|성복역점|경기도 용인시 수지구 수지로 125(성복동)
메가MGC커피|대구동성로점|대구광역시 중구 중앙대로 395(동성로3가)
메가MGC커피|면목역점|서울특별시 중랑구 겸재로 198(면목동, 건원 베스트원)
메가MGC커피|강남역점|서울특별시 강남구 테헤란로 101  강남역 지하쇼핑센터 E-35호(역삼동)
메가MGC커피|부평역점|인천광역시 부평구 광장로 16, 29-30호(부평동)
메가MGC커피|화천사창리점|강원도 화천군 사내면 사내로 40-4
메가MGC커피|군산수송점|전라북도 군산시 문화로 119(수송동)
메가MGC커피|신도림역점|서울특별시 구로구 경인로 661, 133호(신도림동)
메가MGC커피|광복동점|부산광역시 중구 광복로 55(창선동1가)
메가MGC커피|서면점|부산광역시 부산진구 중앙대로692번길 26(부전동)
메가MGC커피|전북대점|전라북도 전주시 덕진구 기린대로 472, 1층(덕진동1가)
메가MGC커피|부천위브점|경기도 부천시 신흥로 190(중동)
메가MGC커피|통영죽림점|경상남도 통영시 광도면 죽림2로 55-69 피아빌딩
메가MGC커피|경남사천점|경상남도 사천시 사남면 조동길 38, 101호
메가MGC커피|시흥은행점|경기도 시흥시 수인로3287번길 25-2(은행동)
메가MGC커피|연천전곡점|경기도 연천군 전곡읍 전곡로 158
메가MGC커피|통영무전점|경상남도 통영시 무전8길 22-16(무전동, 진우하이빌2차)
메가MGC커피|운정신도시1호점|경기도 파주시 청암로17번길 53, 114호 (목동동)
메가MGC커피|광복2호점|부산광역시 중구 광복중앙로 33, 1층(신창동1가)
메가MGC커피|부천춘의점|경기도 부천시 부천로198번길 27, 111호(춘의동)
메가MGC커피|가산디지털단지점|서울특별시 금천구 디지털로9길 32(가산동)
메가MGC커피|반여점|부산광역시 해운대구 재반로 230-1, 1층(반여동)
메가MGC커피|파주금릉점|경기도 파주시 금빛로 24-10, 105호 (금촌동)
