NAME|BRANCH|ADDR|TELL
까사미아|서울고속터미널점|서울특별시 서초구 신반포로 194 본관2호|02-6259-0001
까사미아|롯데중동점|경기 부천시 원미구 길주로 300 |032-320-7537
까사미아|포천점|경기 포천시 소흘읍 솔모루로 15(송우리)|031-544-3001
까사미아|디지털프라자부산본점|부산광역시 부산진구 신천대로 222|051-925-0024
까사미아|갤러리아센터시티점|충청남도 천안시 서북구 공원로 227|041-412-9715~6
까사미아|진주점|경남 진주시 본성동6-11|055-754-6633
까사미아|신세계)의정부점|경기도 의정부시 평화로 525 8층|031-8082-1830
까사미아|운정점|경기도 파주시 송학2길 110-23|031-942-4545
까사미아|이마트월계점|서울시 노원구 마들로3길 15, 이마트월계점 2층|02-6436-0855
까사미아|구성점|경기 용인시 기흥구 용구대로 2328위치보기|031-281-2742
까사미아|여수점|전남 여수시 문수동 192-4|061-651-9150
까사미아|서교점|서울 마포구 양화로 107위치보기|02-323-7232
까사미아|아브뉴프랑광교점|경기 수원시 영통구 센트럴타운로 85 2층위치보기|031-306-0233
까사미아|서산점|충남 서산시 안견로 242 디퍼아울렛 1층 106호~109호|041-664-1410
까사미아|이마트haus의정부점|경기도 의정부시 민락로 210, 이마트의정부점 지하1층|031-827-2772
까사미아|세종새롬점|세종시 나성동 743 명동프라자 2F위치보기|044-998-1008
까사미아|길동사거리점|서울 강동구 양재대로 1428|02-6428-0022
까사미아|대전서부점|대전 서구 정림동9-4번지|042-587-5900
까사미아|계양점|인천 계양구 장제로 796위치보기|032-279-0013
까사미아|당진점| 충남 당진시 채운동364-5|041-355-4028
까사미아|신제주점|제주시 연동1400번지|064-752-0011
까사미아|분당점|경기 성남시 분당구 황새울로 354위치보기|031-707-5665
까사미아|창원점|경상남도 창원시 의창구 창원대로 342 (팔용동 18-2)|055-274-0011
까사미아|동해삼척점|강원도 동해시 단봉동 696-1위치보기|033-521-1777
까사미아|스타필드코엑스점|서울 강남구 봉은사로 524 지하1층|02-6207-0040
까사미아|잠실점|서울 송파구 오금로 113|02-423-5550
까사미아|오포점(아울렛)|경기도 광주시 오포읍 태재로 69위치보기|031-712-4231
까사미아|이마트하우스가양점|서울특별시 강서구 양천로 559 가양이마트 2F위치보기|02-6741-0011
까사미아|충주점|충청북도 충주시 안림동 1104-6번지위치보기|043-854-0180
까사미아|안양점|경기도 안양시 동안구 부림로 188(관양동)2층|031-422-8266
까사미아|울산점|울산광역시 남구 삼산동 1613-4번지|052-258-4147
까사미아|목포점|전남 목포시 상동 1030-1|061-281-3753
까사미아|경주강동점|경북 경주시 강동면 모서 안길 43|054-771-7949
까사미아|마석점| 경기도 남양주시 화도읍 녹촌리 496-83|031-595-4572
까사미아|사이먼시흥아울렛|경기도 시흥시 서해안로 699 1층위치보기|031-503-3524
까사미아|송도현대아울렛점|인천 연수구 송도국제대로 123, 3층|031-969-7711
까사미아|스타필드시티위례점|경기 하남시 위례대로 200 스타필드 시티위례점 B1F|031-8097-1072
까사미아|구미중앙점|경북구미시 산동면 봉산리 385번지|054-471-4157
까사미아|김포점|김포시 감정동 520-5번지|031-988-3070
까사미아|이마트haus울산점|울산시 남구 남중로 48, 이마트울산점 2층|052-948-0012
까사미아|사이먼파주아울렛|경기도 파주시 탄현면 필승로 200 사이먼프리미엄아울렛 3층|031-8071-7168
까사미아|평창동점|서울특별시 종로구 평창30길 24(평창동) 서울옥션2 22|02-6272-0191
까사미아|압구정점|서울 강남구 도산대로1길 83위치보기|02-516-9408
까사미아|신세계타임스퀘어점|서울 영등포구 영중로 9 B관 6층|02-2639-4197
까사미아|광주봉선점|광주광역시 남구 봉선로 25번길 4|062-716-2005
까사미아|DA인천점|인천시 서구 원창동 379-1 홈씨씨 인천점 2층위치보기|032-572-8611
까사미아|스타필드하남점|경기 하남시 미사대로 750 3층위치보기|031-8072-8678 
까사미아|군산점|전북 군산시 수송동 658-18|063-461-9008
까사미아|광주신세계점|광주광역시 서구 무진대로 932위치보기|062-360-1492
까사미아|신세계센텀시티몰점|부산 해운대구 센텀 4로 15|051-745-1561
까사미아|서청주점|충청북도 청주시 흥덕구 가로수로 1354|043-254-4567
까사미아|스타필드시티부천점|경기 부천시 옥길로 1 1층|02-6386-1158
까사미아|안성점|경기도 안성시 공도읍 마정리 512-2|031-618-1711
까사미아|리빙파워센터점|경기도 용인시 기흥구 신고메로59(고메동271) B112호|031-302-0133
까사미아|스타필드고양점|경기 고양시 덕양구 고양대로 1955 1층|02-6338-5355
까사미아|부천점|경기도 부천시 약대동 177-41위치보기|032-675-3200
까사미아|금정점|부산광역시 금정구 구서2동 248-25번지|051-515-4724
까사미아|아현점|서울시 마포구 아현동 손기정로 1길 4|02-313-6642
까사미아|원주점|강원도 원주시 무실동 1140-44 대성가구단지 (내)|033-743-0868
까사미아|고양점|경기도 고양시 일산동구 식사동 825번지 (무궁화로382)위치보기|031-969-7711
까사미아|송도점| 인천광역시 연수구 하모니로 136 2F위치보기|032-233-0102
까사미아|롯데몰수지점|경기 용인시 수지구 성복동 61-7 3F|031-5174-4300
까사미아|서래마을점|서울 서초구 사평대로 74위치보기|02-595-0843
까사미아|천안점|충청남도 천안시 서북구 쌍용동 384-14 일봉산사거리|041-571-6981
까사미아|대구점|대구광역시 중구 달구벌대로 2205|053-741-7575
까사미아|강남신세계점|서울 서초구 신반포로 176 9층|02-3479-6116
까사미아|제주점|제주특별자치도 제주시 동광로 6 (이도이동)|064-723-3005
까사미아|광주상무중앙점|광주 서구 상무중앙로 44위치보기|062-452-0090
까사미아|일산점|경기 고양시 일산구 중앙로 1197위치보기|031-907-6565
까사미아|이마트하우스명일점|서울 강동구 고덕로 276 명일이마트 4층|02-6473-9700
까사미아|서울대입구역점|서울특별시 관악구 남부순환로 1805위치보기|02-6337-5533
까사미아|양산점|경상남도 양산시 중부동 401-19|055-366-8259
까사미아|전주점|전라북도 전주시 완산구 효자동3가 (1646-17)| 063-254-1008
까사미아|동탄점|경기 화성시 효행로 1269|031-890-0474
까사미아|마산점|경남 창원시 마산합포구 추산동 7-6번지|055-242-3618
까사미아|속초점|속초시 중앙동 468-26|033-631-5366
까사미아|인천남동점|인천시 남동구 고잔동 175-1|032-435-7679
까사미아|대전중앙점|대전 중구 오류동 191-11번지|042-533-1008
까사미아|이마트하우스목동점|서울 양천구 오목로 299 이마트 목동점 지하 1층|02-6738-0033
까사미아|디지털프라자창원본점|경남 창원시 성산구 용지로 112 3층|055-601-0030
까사미아|포천점|경기도 포천시 소흘읍 솔모루로 15|031-544-3001
까사미아|신정점|서울시 양천구 신월 309위치보기|02-2606-7117
까사미아|신세계까사블랑경기점|경기도 용인시 수지구 포은대로 536 신세계백화점경기점 B2F위치보기|031-695-2006
까사미아|춘천점|강원도 춘천시 퇴계동 195-2|033-263-2900
까사미아|포항점|경북 포항시 북구 양덕동 1285 천마로37|054-241-3964
까사미아|이마트하우스천안서북점|충남 천안시 서북구 삼성대로 20위치보기|041-900-0700 
