NAME|ID|BRANCH|NEW_ADDR|DEATAIL_ADDR|TELL|XCORD|YCORD
아리따움|11058063|방이시장점|서울시 송파구 백제고분로 48길| 21, 1층 (방이동)|024148988|127.115954|37.510696
아리따움|11007856|송파 석촌역점|서울 송파구 백제고분로 385|(송파동,임진각빌딩)|024172469|127.10826859999997|37.5062991
아리따움|11008974|잠실 지하상가점|서울 송파구 송파대로 567|잠실역 지하상가 c-1,2 호 (잠실동)|024147447|127.099519|37.513104
아리따움|11008409|송파점|서울 송파구 가락로 163|(송파동)|0234328288|127.1133148|37.5036197
아리따움|11009250|올림픽공원역점|서울 송파구 양재대로 1222|중심상가 1층 41호 (방이동,올림픽선수기자촌아파트)|024071995|127.132233|37.51573
아리따움|11008105|강동구청역점|서울 강동구 성내로 7|(성내동)|024725951|127.1217411|37.5306593
아리따움|11007782|송파 석촌점|서울 송파구 가락로 94|(석촌동)|024127680|127.1063333|37.500113
아리따움|11007274|둔촌역점|서울 강동구 양재대로 1371|105호 (성내동,둔촌빌딩)|024707125|127.1358221|37.5285645
아리따움|11008046|강동 성내점|서울 강동구 천호옛길 83|(성내동)|024772325|127.1251528|37.536218
아리따움|11008068|개롱역점|서울 송파구 오금로 400|(가락동)|024065752|127.1345933|37.497881
아리따움|11055665|송파 마천점|서울시 송파구 거마로|58 (마천동)|024488663|127.146853|37.499598
아리따움|11088038|NC야탑점|경기도 성남시 분당구 야탑로|81번길 11,1층 (야탑동)|0317011311|127.121207|37.485013
아리따움|11007401|길동시장점|서울 강동구 천중로52길 27|(길동)|024706383|127.1439414|37.5395454
아리따움|11007946|거여역점|서울 송파구 오금로 512|(거여동,거여역2차쌍용아파트)|024026680|127.1455091|37.492674
아리따움|11007787|암사시장점|서울 강동구 상암로11길 5|(암사동)|024691992|127.1284173|37.5498819
아리따움|11051319|송파 NC점(가든파이브)|서울 송파구 충민로 66|F동 1025호 (문정동,가든파이브라이프)|0221575400|127.1242853|37.4792063
아리따움|11007485|명일역점|서울특별시 강동구 양재대로 1626|112호 1층|024261990|127.144222|37.550856
아리따움|11008196|건대 로데오점|서울 광진구 아차산로30길 7|(건대역6번출구) (자양동)|024691262|127.0678353|37.5403365
