ID|NAME|BRANCH|ADDR|TELL|TIME|XCORD|YCORD
NC0260|한솥도시락|춘천강원대후문앞점|강원도 춘천시 효자3동 633-15호|0332564640|8:00~21:00|127.7459712|37.872534
NC0282|한솥도시락|춘천한림대앞점|강원도 춘천시 교동 158-1|0332424333|8:00~21:00|127.7383057|37.8833254
NC0286|한솥도시락|상지대점(원주)|강원도 원주시 우산동 110-30|0337469335|8:00~21:00|127.9357868|37.3700635
NC0380|한솥도시락|강릉여고앞점|강원도 강릉시 용지로 121|0336532018|7:00~21:00|128.9038132|37.7598282
NC0400|한솥도시락|영월점|강원도 영월군 영월읍 영흥3리 940-15|0333731230|8:00~21:00|128.4692457|37.1833353
NC0430|한솥도시락|강릉교동점|강원도 강릉시 교1동 1863-2|0336438600|8:00~21:00|128.8783753|37.7652435
NC0802|한솥도시락|동해시청점|강원도 동해시 천곡동 802-4 1층 |0335336655|8:00~21:00|129.1125716|37.5239063
NC0704|한솥도시락|강릉원주대점|강원도 강릉시 지변동 280-10|0336449998|8:00~21:00|128.8727515|37.7731658
NC0528|한솥도시락|원주연대점|강원도 원주시 흥업면 매지리 1925-7|0337661667|9:00~21:00|127.9104028|37.2792827
NC0756|한솥도시락|삼척강원대점|강원도 삼척시 교동 510-12|0335753393|8:00~21:00|129.1673418|37.4553741
NC0820|한솥도시락|강원도립대학점|강원도 강릉시 주문진읍 연주로 300 |0336621135|8:00~21:00|128.8271275|37.8792393
NC0870|한솥도시락|동해북평고점|강원도 동해시 동회동 175-5|0335215959|8:00~21:00|129.1084245|37.4913062
NC0990|한솥도시락|한림성심대점|강원도 춘천시 동면 장학길 29, 2층|0332425034|8:00~21:00|127.755447|37.895354
NC0926|한솥도시락|원주명륜남부점|강원도 원주시 남원로 659-2번지 원일빌딩 102호|0337662425|7:30~21:00|127.953879|37.341955
NC1060|한솥도시락||경기도 김포시 김포한강1로 227 126호|031-991-9516||126.68296447622674|37.65420331747994
NC1066|한솥도시락|속초여고옆점|강원도 속초시 동해대로 4335, 1층(교동)|033-631-1505||128.5684824|38.2019806
NC0104|한솥도시락|성남중원구청옆점|경기도 성남시 중원구 성남동 3126  금호어울림상가  3호|0317225549|8:00~20:00|127.1383942|37.4306598
NC0079|한솥도시락|부천중동위브앞점|경기도 부천시 원미구 중동 1131-2 미림프라자오피스텔 107호|0323210770|8:00~21:00|126.7768467|37.4987492
NC0145|한솥도시락|수원영통경희대점|경기도 용인시 기흥구 서천동 7-3 B동 1호|0312031133|7:00~21:00|127.0761187|37.2472182
NC0048|한솥도시락|협성대점|경기도 화성시 봉담읍 15-36|0312987926|10:00~21:00|126.951972|37.2164405
NC0049|한솥도시락|용인기흥구청점|경기도 용인시 기흥구 구갈동 354-4 금강프라자 110호|0312758506|9:00~21:00|127.1134853|37.2799256
NC0053|한솥도시락|안양성결대점|경기도 안양시 만안구 안양8동 601-3|0314419917|9:00~20:00|126.9302301|37.3820227
NC0120|한솥도시락|평촌범계역점|경기도 안양시 동안구 호계동 1047-6 성우 프라자 102호|0313881722~3|9:00~20:30|126.9548983|37.3909645
NC0050|한솥도시락|용인강남대앞점|경기도 용인시 기흥구 구갈 592-5 1층 103호|0312864114|9:00~21:00|127.1282754|37.2720442
NC0054|한솥도시락|산본역점|경기도 군포시 산본동 1144-1 유공B/D 108호|0313979948|8:00~21:00|126.9301766|37.3594566
NC0140|한솥도시락|성남을지대옆점|경기도 성남시 수정구 양지동  211번지|0317511772|8:00~20:00|127.1667815|37.461258
NC0102|한솥도시락|부천카톨릭대앞점|경기도 부천시 원미구 역곡동   35번지|0323411588|8:00~21:00|126.8050177|37.4858405
NC0118|한솥도시락|가천대점|경기도 성남시 수정구 태평1동 5113-3 101호|0317217748|9:00~21:00|127.127461|37.4482254
NC0194|한솥도시락|연성대학교점|경기도 안양시 만안구 안양3동 953-2|0314497766|7:00~20:00|126.9137528|37.3968216
NC0195|한솥도시락|안성금산점|경기도 안성시 연지동 136번지|0316710151|8:00~21:00|127.2700819|37.0103957
NC0152|한솥도시락|시흥은행동점|경기도 시흥시 은행동 529-6|0313129238|9:00~21:00|126.7995963|37.4447486
NC0084|한솥도시락|안산한양대점|경기도 안산시 상록구 사동 1569-2  한성빌딩 1층 109호|0315015556|8:00~21:00|126.8383811|37.3007105
NC0300|한솥도시락|오산역점|경기도 오산시 원동 813-6|0313741045|7:00~21:00|127.0751281|37.1465891
NC0303|한솥도시락|수원중부경찰서옆점|경기도 수원시 장안구 정자동 878-9  1층 102호|0312695513|7:00~21:00|126.9941676|37.2953511
NC0139|한솥도시락|동아방송대점|경기도 안성시 삼죽면 진촌리 633-12|0316716470|9:00~21:00|127.3626946|37.0568411
NC0223|한솥도시락|금정역점|경기도 군포시 산본동  98-1|0313962276|8:00~21:00|126.9423445|37.3728226
NC0162|한솥도시락|경복대학앞점|경기도 남양주시 진접읍 경복대로 424|0315727637|8:30~21:00|127.2120882|37.7336842
NC0097|한솥도시락|죽전단국대점|경기도 용인시 수지구 죽전동  1327-2번지 남전빌딩 103호|0318893353|9:00~21:00|127.1232405|37.3235911
NC0070|한솥도시락|분당중탑점|경기도 성남시 분당구 야탑동 274-1 대원상가 105호|0317040930|9:00~21:00|127.1379719|37.4113592
NC0148|한솥도시락|부천상동중앙사거리점|경기도 부천시 원미구 상동 544-11 새롬프라자 15차 113호|0322313000|8:00~22:00|126.7522882|37.5036823
NC0116|한솥도시락|평촌학원가점|경기도 안양시 동안구 호계동1065번지 중앙상가1층110호|0313884883|10:00~20:30|126.9594988|37.3832557
NC0285|한솥도시락|이천중앙로점|경기도 이천시 창전동164-2 동남B/D1층 113호|0316363030|7:00~21:00|127.4463323|37.2806571
NC0331|한솥도시락|안산시청점|경기도 안산시 단원구 고잔동 527-9 101호|0314864982|8:00~21:00|126.8323457|37.3195653
NC0235|한솥도시락|아주대점|경기도 수원시 팔달구 우만동 573-8|0312154600|6:00~20:00|127.0434806|37.2786144
NC0314|한솥도시락|여주홍문점|여주시 여흥로 109번길 1번지|03188530289|8:00~21:00|127.637088|37.298342
NC0340|한솥도시락|수원경기대점|경기도 수원시 장안구 연무동 4-20  1층상가|0312458249|9:00~21:00|127.0311819|37.3003239
NC0341|한솥도시락|안산1대학앞점|경기도 안산시 상록구 일동 609-9|0314384300|8:00~21:00|126.8730666|37.3094699
NC0355|한솥도시락|김포사우점|경기도 김포시 북변동  829번지 한빛프라자 108호|0319830929|8:00~21:00|126.7212966|37.6229722
NC0357|한솥도시락|부천고점|경기도 부천시 소사구 송내동 433-14|0326578648|8:00~21:00|126.7647369|37.4800433
NC0372|한솥도시락|서울신학대앞점|경기도 부천시 소사구 소사본동 94-19 1층|0323471800|8:00~20:00|126.7926426|37.4813537
NC0330|한솥도시락|시화중심상가점|경기도 시흥시 정왕동 1742-17 대원프라자 101호|0313191144|8:00~21:00|126.7360955|37.3439961
NC0241|한솥도시락|부천시청점|경기도 부천시 원미구 중동 1056 제일프라자 102호|0323279339|9:00~21:00|126.7695395|37.5044127
NC0350|한솥도시락|일산마두역점|경기도 고양시 일산동구 마두동 800 1층 12호|0319012055|8:00~20:00|126.7780898|37.6531989
NC0353|한솥도시락|수원법원사거리점|경기도 수원시 영통구 원천동 85-22 |0312123412|7:00~20:00|127.0484493|37.2738738
NC0368|한솥도시락|분당수내역점|경기도 성남시 분당구 수내동 33-2 궁전프라자 3-108호|0317117008|8:00~21:00|127.1157723|37.3774093
NC0274|한솥도시락|수원성대점|경기도 수원시 장안구 율전동 433-67|0312955113|7:00~20:00|126.9710131|37.2970701
NC0291|한솥도시락|수원역점|경기도 수원시 권선구 매산로2가77-5|0312580061|8:00~21:00|127.0038021|37.2673355
NC0293|한솥도시락|평택여중사거리점|경기도 평택시 합정동 762-2|0316577798|8:00~21:00|127.1004688|36.9920549
NC0395|한솥도시락|수원대점|경기도 화성군 봉담읍 와우리 45-6|0312254544|9:00~21:00|126.9782541|37.214735
NC0236|한솥도시락|성남복정동점(태평역)|경기도 성남시 수정구 복정동 677-5|0317537579|9:00~21:00|127.1265438|37.4602864
NC0463|한솥도시락|향남제일점|경기도 화성시 향남읍 행정리 435-2 성지프라자 110호|0313546312|8:00~21:00|126.91912630000002|37.1299481
NC0544|한솥도시락|하남아이테코점|경기도 하남시 덕풍동 762 아이테코 지하1층 108호|0317900650|7:30~20:00|127.194736|37.553543
NC0426|한솥도시락|곤지암점|경기도 광주시 실촌읍 곤지암리 445-13|010-5472-6173|9:00~21:00|127.338654|37.348281
NC0434|한솥도시락|양평점|경기도 양평군 양평읍 양근리 405-1|0317751112|8:00~21:00|127.4909982|37.4910628
NC0435|한솥도시락|행신점|경기도 고양시 덕양구 행신동 945-3|0319708825|7:00~21:00|126.8356623|37.6242469
NC0445|한솥도시락|의왕계원예대점|경기도 의왕시 내손동 748-3 제일프라자 107호|0314211211|9:00~20:00|126.9730583|37.3793374
NC0535|한솥도시락|수원태장고앞점|경기도 수원시 영통구 신동 341번지 스타빌딩1층|0312028128|08:00~21:00|127.0577299|37.2492967
NC0410|한솥도시락|수원탑동점|경기도 수원시 권선구 탑동 845-1|03180016693|10:00~21:00|126.9755088|37.2691504
