NAME|BRANCH|ADDR|TELL|XCORD|YCORD
라라코스트|[전북] 전주에코시티점|전북 전주시 덕진구 세병로 174-11 2층|063-253-3230| 127.133667166176|35.8795390425309
라라코스트|[경기] 김포구래점|경기 김포시 김포한강8로 382 2층|031-986-6886| 126.626612303822|37.6435558781269
라라코스트|[충북] 충주점|충북 충주시 갱고개로 147 (연수동) 2층|043-848-3230| 127.939185573352|36.9842425615229
라라코스트|[대구] 율하점|대구 동구 안심로22길 6 2층 라라코스트 율하점|053-964-3234| 128.696148922168|35.8667675288678
라라코스트|[경북] 경산점|경북 경산시 경안로65길 11-8 1층 라라코스트 경산점|053-811-3230| 128.732964461312|35.8349429891005
라라코스트|[서울] 목동점|서울 양천구 목동동로 309 행복한백화점 5층 라라코스트 목동점|02-2654-3230| 126.876008647904|37.5291435349019
라라코스트|[경기] 군포산본점|경기 군포시 산본천로 56 3층 라라코스트 군포산본점|031-399-3230| 126.929994984358|37.3604094996489
라라코스트|[경북] 문경시청점|경북 문경시 당교로 249 2층|054-552-3231| 128.190195314454|36.5864935904186
라라코스트|[경기] 시흥배곧점|경기 시흥시 서울대학로278번길 61 3층 |031-434-3230| 126.73067100839|37.3681855990292
라라코스트|[제주] 서귀포광장점|제주특별자치도 서귀포시 일주동로 8670 2층 라라코스트 서귀포점|064-733-3231| 126.561832909434|33.2536577124182
라라코스트|[충북] 제천중앙점|충북 제천시 의림대로 136 (중앙로2가) 2층 라라코스트 제천 중앙점|043-646-3230| 128.2116859|37.1396161
라라코스트|[경기] 용인기흥구청점|경기 용인시 기흥구 구갈로 55 2층 라라코스트 용인 기흥구청점|031-281-8382| 127.110890238204|37.2793530971528
라라코스트|[경기] 일산웨스턴돔점|경기 고양시 일산동구 정발산로 21 (장항동) 5층 라라코스트|031-902-3231| 126.7711656|37.6569075
라라코스트|[충남] 서산호수점|충남 서산시 호수공원2로 25 (읍내동) (읍내동 37-4) 2층|041-681-3230| 126.4474772|36.7840211
라라코스트|[인천] 청라점|인천 서구 청라라임로 71 (연희동) 진영메디피아 2층 |032-565-3231| 126.6528797|37.5339577
라라코스트|[대구] 시지점|대구 수성구 달구벌대로 3210 (신매동) 2층|053-794-3230| 128.7076890|35.8396582
라라코스트|[경북] 칠곡왜관점|경북 칠곡군 왜관읍 중앙로 172 2층 라라코스트 칠곡왜관점|054-975-3230| 128.3996370|35.9903221
라라코스트|[경북] 포항창포점|경북 포항시 북구 대곡로43번길 11-3 (두호동) 1층|054-256-3230| 129.3723149|36.0666983
라라코스트|[대구] 신서혁신점|대구 동구 이노밸리로 322 (신서동) 3층|053-963-3230| 128.7307423|35.8855687
라라코스트|[경기] 부천역점|경기 부천시 부천로 11 (심곡동) , 3층|032-662-3230| 126.7823171|37.4855438
