NAME|BRANCH|ADDR|TELL
가장맛있는족발|가락시장역점|서울특별시 송파구 가락동 97-8 104호|02-501-9192|
가장맛있는족발|가양역점|서울시 강서구 등촌동 63-12|02-2668-5849|
가장맛있는족발|가재울점|서울시 서대문구 북가좌동 478 DMC래미안 E편한세상 201동 13호|02-3152-5849|
가장맛있는족발|갈매지구점|경기도 구리시 갈매중앙로 55번길 96-1|031-573-5849|
가장맛있는족발|강남1호점|서울특별시 서초구 서초대로73길 42|02-595-5849|
가장맛있는족발|강동구청점|서울특별시 강동구 성내동 455-2|02-473-1203|
가장맛있는족발|강릉홍제점|강원도 강릉시 선수촌로 79-15|033-648-9555|
가장맛있는족발|강화길상점|인천광역시 강화군 길상면 온수리 551-2|032-937-5848|
가장맛있는족발|개봉역점|서울특별시 구로구 개봉동 179-24번지|02-2666-5849|
가장맛있는족발|거제아주동점|경상남도 거제시 아주동 19블록 12로트|055-681-8682|
가장맛있는족발|거제장승포점|경상남도 거제시 능포동 624-2|055-681-5853|
가장맛있는족발|건대역점|서울시 광진구 아차산로 211, 1층|02-461-9282|
가장맛있는족발|검단사거리점|인천광역시 서구 검단로 459번길 3-1 1층|032-561-0224|
가장맛있는족발|경남사천점|경상남도 사천시 사천읍 평화리 46-6|055-854-5445|
가장맛있는족발|경복궁역점|서울시 종로구 자하문로 4길 14-14|02-738-5849|
가장맛있는족발|경북김천점|경상북도 김천시 신음동 988-4|054-434-5849|
가장맛있는족발|경북상주점|경상북도 상주시 무양동 281-1|054-536-5849|
가장맛있는족발|경북영천점|경상북도 영천시 망정1길 200|054-333-5849|
가장맛있는족발|경북영양점|경북 영양군 영양읍 시장길14|054-682-3500|
가장맛있는족발|경산점|경상북도 경산시 옥산동 741-12|053-811-8892|
가장맛있는족발|경주안강점|경상북도 경주시 안강읍 안강중앙로 154|054-762-9997|
가장맛있는족발|경주외동점|경상북도 경주시 외동읍 입실로 107|054-777-4123|
가장맛있는족발|경주시청점|경상북도 경주시 동천동 769-3|054-777-5849|
가장맛있는족발|경희대점|서울특별시 동대문구 회기로 152|02-959-5849|
가장맛있는족발|계룡엄사점|충청남도 계룡시 엄사면 엄사리 번영로88|042-551-5849|
가장맛있는족발|고양삼송점|경기도 고양시 덕양구 신원동 625번지|02-371-1009|
가장맛있는족발|고양원당점|경기도 고양시 덕양구 주교동 613-3, 1층|031-965-2345|
가장맛있는족발|공릉역점|서울시 노원구 공릉동 392-2|02-978-5849|
가장맛있는족발|공주점|충청남도 공주시 신관동 655-9|041-852-8800|
가장맛있는족발|관악미성점|서울특별시 관악구 신림동 606-5 1층|02-866-2656|
가장맛있는족발|광교카페거리점|경기도 수원시 영통구 이의동 1317-1|031-212-5849|
가장맛있는족발|광명사거리역점|경기도 광명시 광명동 158-799|02-2612-3989|
가장맛있는족발|광양중마점|전라남도 광양시 중동 1643-4|061-791-3200|
가장맛있는족발|광장동점|서울특별시 광진구 광장동 320-15|02-456-3425|
