NAME|BRANCH|ADDR|TELL
바디프랜드|도곡바디프랜드본사|서울 강남구 양재천로 163 바디프랜드 |02-572-8981
바디프랜드|역삼직영점|서울 강남구 도곡로 139 바디프랜드 타워|02-565-1603
바디프랜드|대치전시장|서울 강남구 삼성로 342 세정빌딩 1층 바디프랜드 대치전시장|02-562-8980
바디프랜드|언주로직영점|서울 강남구 언주로 560 진영빌딩 1층바디프랜드|02-564-8981
바디프랜드|교대역직영점|서울 서초구 서초중앙로 142 |02-536-8981
바디프랜드|라운지S바디프랜드|서울 강남구 도산대로 318 SB타워 1층 |02-540-6230
바디프랜드|신사직영점|서울 강남구 논현로 819 1층|02-512-8981
바디프랜드|청담프랜드직영점|서울 강남구 도산대로 546 |02-514-8980
바디프랜드|압구정아울렛직영점|서울 강남구 언주로170길 12 호선빌딩 1층 바디프랜드|02-3448-4789
바디프랜드|반포(세빛섬)직영점|서울 서초구 올림픽대로 2085-14 채빛섬 1F|02-516-8980
바디프랜드|롯데백화점잠실점|서울 송파구 올림픽로 240 롯데백화점 잠실점 10F|02-2143-1970
바디프랜드|송파직영점|서울 송파구 송파대로 403 석촌빌딩 1-2층|02-417-8980
바디프랜드|강변테크노마트직영점|서울 광진구 광나루로56길 85 (구의동 546-4) 테크노마트 2층 D-010~015호 바디프랜드|02-455-8980
바디프랜드|위례직영점|경기 성남시 수정구 위례광장로 45 지엔지프라자 1층 바디프랜드|031-755-8980
바디프랜드|관악직영점|서울 관악구 남부순환로 1761 |02-882-8980
바디프랜드|천호직영점|서울 강동구 천호옛길 88 2층 203호 |02-473-8980
바디프랜드|현대백화점천호점|서울 강동구 천호대로 1005 현대백화점 천호점 10F 브랜드관|02-2225-7036
바디프랜드|왕십리직영점|서울 성동구 마장로 137 (상왕십리동,텐즈힐몰상가) 1층 221-238호|02-764-2006
바디프랜드|현대씨티아울렛동대문점|서울 중구 장충단로13길 20 현대시티아울렛 동대문점 2F|02-2283-2218
바디프랜드|롯데백화점관악점|서울 관악구 봉천로 209 6F 롯데백화점 관악점 바디프랜드|02-3289-8628
바디프랜드|롯데백화점본점|서울 중구 남대문로 81 8F|02 772 3910
바디프랜드|공덕직영점|서울 마포구 백범로 170 101동 1층 바디프랜드 |02-719-8980
바디프랜드|롯데백화점청량리점|서울 동대문구 왕산로 214 롯데백화점 청량리점 4F 바디프랜드|02-3707-1788
바디프랜드|분당판교직영점|경기 성남시 분당구 대왕판교로606번길 47 SG타워1층 101호 바디프랜드|031-715-8985
바디프랜드|광화문직영점|서울 종로구 새문안로 91 고려빌딩 1층 바디프랜드|02-722-8980
바디프랜드|평촌직영점|경기 안양시 동안구 시민대로 311 2층 |031-423-8981
바디프랜드|대림직영점|서울 영등포구 시흥대로 675 삼성 YJ그랜드빌딩 1층 103호 바디프랜드|02-849-8503
바디프랜드|롯데백화점영등포점|서울 영등포구 경인로 846 롯데백화점 영등포점 9F 바디프랜드|02-2630-6968
바디프랜드|현대백화점신촌점|서울 서대문구 신촌로 83 9F, |02-3145-2911 
