NAME|BRANCH|ADDR|TELL|XOCRD|YCORD
한샘|한샘 디자인파크 상봉점|서울특별시 중랑구 상봉로 131, 2, 3층 (상봉동, 상봉 듀오트리스)||127.092179341|37.5974077
한샘|한샘 디자인파크 전주점|전라북도 전주시 덕진구 가리내로 46 (금암동, 아크로웨딩컨벤션)||127.131171611|35.83437443
한샘|한샘 디자인파크 분당점|경기도 성남시 분당구 황새울로200번길 9-7 (수내동, 판테온)||127.111903615|37.378038557
한샘|리하우스 대형쇼룸 전주점|전라북도 전주시 덕진구 정여립로 1115, 3층 (만성동)||127.083572705|35.84860635
한샘|한샘 디자인파크 기흥점|경기도 용인시 기흥구 신고매로 59, 리빙파워센터 지하 1,2층 한샘 (고매동)||127.114248153|37.223415189
한샘|리하우스 대형쇼룸 광주점|광주광역시 서구 상무중앙로 24, 3층 (치평동)||126.848915487|35.148916341
한샘|리하우스 대형쇼룸 대전점|대전광역시 서구 대덕대로 229 (둔산동, 둔산빌딩)||127.378921849|36.353362252
한샘|리하우스 대형쇼룸 분당수내점|경기도 성남시 분당구 백현로 93, 1층 (수내동, 후너스빌딩)||127.111080288|37.377109476
한샘|리하우스 대형쇼룸 강북점|서울특별시 강북구 도봉로 394, 4,5층 (번동)||127.029989294|37.641627932
한샘|한샘 디자인파크 목동점|서울특별시 강서구 등촌로 11 (화곡동, 원종빌딩)||126.863552963|37.53101911
한샘|리하우스 대형쇼룸 안양점|경기도 안양시 동안구 경수대로 886, 3, 4층 (비산동 성원빌딩)||126.938324081|37.397043756
한샘|한샘 디자인파크 수원광교점|경기도 수원시 영통구 중부대로 390 (매탄동)||127.057960548|37.270973327
한샘|리하우스 대형쇼룸 부산 개금점|부산광역시 부산진구 가야대로 451, 4층 (개금동, 개금메디칼빌딩)||129.021674897|35.153623793
한샘|리하우스 대형쇼룸 부산 해운대점|부산광역시 해운대구 해운대로 587 (우동)||129.155519569|35.162068056
한샘|리하우스 대형쇼룸 창원점|경상남도 창원시 성산구 상남로 73, 한샘리하우스 창원점 (2층) (상남동 서울메디컬센터)||128.6796997|35.220730864
한샘|한샘 디자인파크 부산센텀점|부산광역시 해운대구 센텀1로 25 (우동, 센텀한샘빌딩)||129.132000799|35.166417022
한샘|한샘 디자인파크 안성스타필드점|경기도 안성시 서동대로 3930-39, 2층 (공도읍 스타필드 안성)||127.147249621|36.994633411
한샘|리하우스 대형쇼룸 일산점|경기도 고양시 일산서구 중앙로 1444, 2층 (주엽동)||126.760168047|37.671023016
한샘|한샘 디자인파크 용산아이파크몰점|서울특별시 용산구 한강대로23길 55, 리빙파크 5F (한강로3가, 용산역)||126.964154551|37.529557186
한샘|리하우스 대형쇼룸 부천점|경기도 부천시 길주로 177, 2층 (중동, 에스티마오피스텔)||126.76231855|37.505364024
