NAME|BRANCH|ADDR|TELL|XCORD|YCORD
MISSHA PLUS|지하철5호선화곡역미샤점1|서울특별시 강서구 화곡로 지하 168 (화곡동)|미정|126.84049639|37.54143365
MISSHA|NC백화점구로점|서울특별시 구로구 구로중앙로 152 (구로동)|미정|126.8827731|37.5011602
MISSHA|광주일곡미샤점1|광주광역시 북구 설죽로 498 (일곡동)|062-572-9089|126.8987153|35.2036982
nunc|nunc이수점|서울특별시 동작구 동작대로 121 (사당동)|02-3477-2275|126.9818694|37.4874684
MISSHA|대전은행미샤점|대전광역시 중구 중앙로164번길 9 (은행동)|미정|127.4281432|36.328922
nunc|nunc이마트목동점|서울특별시 양천구 오목로 299 (목동, 목동트라팰리스웨스턴에비뉴)|070-7721-2651|126.870814|37.525871
nunc|nunc이마트은평점|서울특별시 은평구 은평로 111 (응암동)|070-7721-2732|126.9200133|37.6003131
nunc|nunc상계점|서울특별시 노원구 한글비석로20길 23-7 (중계동)|070-7721-2451|127.0735318|37.6604137
MISSHA|역곡미샤점2|경기도 부천시 부일로 740 (역곡동)|032-349-9490|126.8119537|37.4858515
nunc|nunc이마트월계점|서울특별시 노원구 마들로3길 15 (월계동)|070-4496-3834|127.061334|37.6269007
MISSHA|(H)롯데마트잠실점|서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드)|02-2143-1351|127.096301|37.511518
MISSHA|부산서면지하3호점|부산광역시 부산진구 가야대로 777 (부전동, 가야로상 지하상가)|051-803-3372|129.042811|35.155837
MISSHA|양구점|강원도 양구군 중앙길 32 (상리)|033-482-5511|127.989124|38.10603
MISSHA PLUS|자양점|서울특별시 광진구 자양로15길 14 (자양동) |070-4168-2562|127.082696|37.53585
MISSHA|하나로마트삼송점|경기도 고양시 덕양구 동송로 20 (동산동, 삼송농산물종합유통센터)|02-371-3647|126.898581|37.648461
MISSHA|창원대동백화점미샤점2|경상남도 창원시 성산구 원이대로 730 (상남동, 대동백화점)|055-212-8785|128.69092|35.220163
MISSHA PLUS|동인천지하상가점|인천광역시 중구 우현로 69 (인현동, 중앙로지하도상가)|070-4467-5794|126.63444|37.474127
nunc|nunc뉴코아아울렛울산점|울산광역시 남구 삼산로 217 (달동)|070-4168-5590|129.330614|35.538538
nunc|(P)nunc라운지롯데면세점제주점|제주특별자치도 제주시 도령로 83 (연동, 제주연동롯데시티호텔)|064-793-3253|126.486427|33.490662
nunc|nunc동탄점|경기도 화성시 동탄대로시범길 134 (청계동, 시범 반도유보라 아이비파크4.0)|070-4452-9035|127.11309852|37.19851047
nunc|nunc홍제점|서울특별시 서대문구 통일로 438 (홍제동)|070-7721-2575|126.94533454|37.58816441
nunc|nunc디큐브시티신도림점|서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)|070-7721-2429|126.889424|37.50904
nunc|nunc미아사거리점|서울특별시 강북구 도봉로 45 (미아동, 숭인시장)|070-7721-2693|127.029269|37.613141
nunc|nuncNC백화점송파점|서울특별시 송파구 충민로 66 (문정동, 가든파이브라이프)|070-4207-9220|127.124943|37.477634
nunc|nunc뉴코아아울렛부천점|경기도 부천시 송내대로 239 (상동, 부천터미널소풍)|032-624-6660|126.757187|37.504566
nunc|nunc청량리점|서울특별시 동대문구 왕산로 225 (청량리동, 미주상가)|070-7721-2463|127.047391|37.582211
nunc|nunc쌍문점|서울특별시 도봉구 도봉로 476 (창동, 삼성쉐르빌퍼스티)|070-4168-2542|127.034656|37.647859
nunc|nunc창동점|서울특별시 도봉구 노해로63길 84 (창동)|070-4168-5589|127.046561|37.65273
nunc|nunc우장산점|서울특별시 강서구 강서로 267 (내발산동, 송화쇼핑센터)|070-4249-3778|126.835984|37.54909
nunc|nunc지하철신분당선양재역점|서울특별시 서초구 남부순환로 2585 (서초동, 양재역)|070-7721-2578|127.034369|37.484102
nunc|nunc안산중앙점|경기도 안산시 단원구 예술대학로 17 (고잔동, 안산중앙노블레스)|070-4296-1137|126.836491|37.318588
nunc|nunc이천점|경기도 이천시 서희로60번길 15 (창전동)|070-4171-1033|127.443824|37.280811
nunc|nunc모다아울렛부평점|인천광역시 부평구 부평문화로 35 (부평동, 롯데백화점)|032-452-2139|126.719596|37.493454
nunc|nunc봉천점|서울특별시 관악구 은천로 101 (봉천동)|070-4124-4212|126.939642|37.483544
nunc|nunc뉴코아아울렛모란점|경기도 성남시 중원구 성남대로 1136 (성남동, 니즈몰)|031-729-1474|127.129764|37.431304
nunc|nunc홈플러스김해점|경상남도 김해시 김해대로 2078 (내동, 삼성홈플러스)|055-322-9055|128.870401|35.242382
nunc|nunc노원점|서울특별시 노원구 상계로 64 (상계동, 화랑빌딩)|070-4245-3145|127.062292|37.655748
nunc|nunc신림역점|서울특별시 관악구 남부순환로 1596 (신림동)|070-4119-8470|126.929676|37.484269
nunc|nunc개봉역점|서울특별시 구로구 남부순환로97길 12 (개봉동, 진영빌딩)|070-7721-2401|126.858622|37.494097
nunc|nunc구리점|경기도 구리시 경춘로 220 (수택동, 명진빌딩)|070-4213-9271|127.14229|37.596995
MISSHA|NC백화점청주점|충청북도 청주시 흥덕구 2순환로 1233 (가경동, 드림플러스)|043-716-6227|127.431177|36.625961
nunc|nunc등촌점|서울특별시 양천구 목동중앙북로 25 (목동)|070-7721-2644|126.866338|37.548317
MISSHA PLUS|롯데마트수지몰점|경기도 용인시 수지구 성복2로 38 (성복동, 롯데몰성복)|031-5174-2658|127.081194|37.313137
MISSHA|동아백화점대구강북점|대구광역시 북구 칠곡중앙대로 416 (읍내동, 동아아울렛 강북점)|070-4167-2036|128.549016|35.93301
MISSHA|현대아울렛가산점|서울특별시 금천구 디지털로10길 9 (가산동, 현대아울렛금천점)|02-2136-9741|126.889144|37.477356
nunc|(P)nunc라운지갤러리아센터시티점|충청남도 천안시 서북구 공원로 227 (불당동, 갤러리아 센터시티)|041-412-9905|127.104872|36.800419
nunc|nunc스타필드시티부천점|경기도 부천시 옥길로 1 (옥길동, 스타필드시티부천)|02-6386-1177|126.813611|37.460526
MISSHA|김천미샤점|경상북도 김천시 김천로 96-1 (평화동)|054-432-7756|128.112673|36.124
nunc|nunc지하철2호선잠실역점|서울특별시 송파구 올림픽로 265 (잠실동, 잠실역2호선)|070-7721-2631|127.094848|37.515194
MISSHA|하나로마트수변경북도청점|경상북도 예천군 수변로 77 (산합리, 예천농협하나로마트수변점)|070-4168-0301|128.481599|36.574714
nunc|nunc석계점|서울특별시 노원구 화랑로 335 (월계동)|070-7721-2449|127.045002|37.632378
nunc|nunc이마트성남태평점|경기도 성남시 수정구 수정로 201 (태평동, 신세계쉐덴)|070-7719-1332|127.14161|37.44411
nunc|nunc이마트경산점|경상북도 경산시 옥산로 227 (중산동, 경산이마트)|070-7720-2068|128.720177|35.834986
nunc|(P)nunc라운지롯데백화점대구상인점|대구광역시 달서구 월배로 232 (상인동, 롯데백화점상인점)|053-258-3115|128.53887|35.81882
nunc|(P)nunc라운지롯데백화점광복아쿠아광장점|부산광역시 중구 중앙대로 2 (중앙동7가, 롯데백화점광복점)|051-678-4134|129.036766|35.098389
nunc|nunc세이브존화정점|경기도 고양시 덕양구 화정로 52 (화정동, 세이브존)|031-979-4943|126.831365|37.634315
nunc|nunc성신여대점|서울특별시 성북구 동소문로22길 23 (동선동1가)|070-7721-2587|127.017948|37.591997
nunc|nunc부천북부역점|경기도 부천시 부천로 10 (심곡동)|070-4257-9262|126.783518|37.48643
nunc|nunc목동점|서울특별시 양천구 목동서로 159-1 (목동)|070-7721-2650|126.874981|37.528232
MISSHA PLUS|관악중앙점|서울특별시 관악구 관악로 195 (봉천동, 관악위버폴리스) |070-4254-8387|126.95328|37.482795
MISSHA|뉴코아아울렛산본점|경기도 군포시 번영로 504 (산본동, 산본역)|070-4229-2860|126.933152|37.358061
MISSHA PLUS|이마트대전터미널점|대전광역시 동구 동서대로 1689 (용전동, 대전복합터미널(서관)) |042-635-2101|127.437222|36.35
MISSHA PLUS|이마트상주점|경상북도 상주시 경상대로 3141 (만산동) |070-4209-5209|128.151008|36.427752
MISSHA|대구지하철1호선동대구역점|대구광역시 동구 동대구로 530 (신천동, 동대구역지하철)|070-4168-2608|128.627487|35.877416
MISSHA|강릉미샤점1|강원도 강릉시 신대학길 17 (금학동)|033-643-9665|128.894808|37.753133
MISSHA PLUS|방화역점|서울특별시 강서구 금낭화로 135 (방화동, 금강프라자빌딩) |070-4167-5841|126.812541|37.577475
MISSHA|롯데마트남악점|전라남도 무안군 남악로162번길 80 (남악리)|070-4168-2606|126.465465|34.803437
MISSHA|부산명지점|부산광역시 강서구 명지오션시티4로 67 (명지동, 강서타워빌딩)|070-4168-8888|128.903938|35.083007
