NAME|BRANCH|ADDR|TELL
신전떡볶이|주례점|부산시 사상구 가야대로344번길 87|051-316-6339
신전떡볶이|영등포시장역점|서울 영등포구 국회대로54길 10|02-3667-1196
신전떡볶이|상일강일점|서울특별시 강동구 상일로5길 32, 1층 102호|02-6949-4810
신전떡볶이|내서호계점|경남 창원시 마산회원구 내서읍 호계본동로18|055-296-7004
신전떡볶이|영동점|충북 영동군 영동읍 영산로1길 22|043-743-3224
신전떡볶이|신음점|경북 김천시 부거리길 14|054-435-6322
신전떡볶이|중문점|제주 서귀포시 천제연로232번길 20|064-739-3330
신전떡볶이|하늘도시점|인천광역시 중구 하늘중앙로 195번길 14, 206-2호(중산동, 이은스퀘어)|032-752-1566
신전떡볶이|랜드마크시티점|인천광역시 연수구 랜드마크로 68 301동 1층 96호|032-834-1577
신전떡볶이|수궁동점|서울 구로구 부일로13길 45 1층 102호|02-6741-0101
신전떡볶이|연경점|대구광역시 북구 연경지묘로2 태왕아너스스퀘어 111호|053-957-7881
신전떡볶이|성산점|제주특별자치도 서귀포시 성산읍 동류암로 52-1|064-782-5300
신전떡볶이|무주점|전북 무주군 무주읍 주계로 118|063-324-1101
신전떡볶이|동탄서연점|경기 화성시 동탄대로4길 53|070-4647-3606
신전떡볶이|영암점|전남 영암군 영암읍 중앙로 30,5|061-471-8844
신전떡볶이|숙대점|서울 용산구 청파로47길 25|02-702-0107
신전떡볶이|거제수월점|경남 거제시 양정동966-9|055-634-3101
신전떡볶이|당진신평점|충남 당진시 신평면 거산3거리길 43|041-362-5550
신전떡볶이|노량진점|서울 동작구 노량진로14가길 14|02-836-2200
신전떡볶이|고흥점|전라남도 고흥군 고흥로1737|061-835-8171
신전떡볶이|호암점|충북 충주시 호암토성2로 3 선우프라자 105호|043-855-7742
신전떡볶이|표선점|제주 서귀포시 표선면 표선동서로 234|064-787-5354
신전떡볶이|현동점|창원시 마산합포구 현동373|055-223-8887
신전떡볶이|장성상무대점|전남 장성군 삼계면 사창로6|061-393-7909
신전떡볶이|남통점|경북 구미시 원남로 12-14|054-456-6322
신전떡볶이|삼평점|경기도 성남시 성남대로 997번지 51-6, 판교푸르지오월드마크 1층, 101호|031-703-8259
신전떡볶이|창원유니시티점|경남 창원시 의창구 중동788|055-298-3322
신전떡볶이|함평점|전남 함평군 함평읍 영수길 182|061-323-3331
신전떡볶이|웅상점|경남 양산시 대운로 145 302동 101호|055-366-6339
신전떡볶이|군포부곡송정점|경기 군포시 부곡동 1244-3 1층 108호|031-461-8287
신전떡볶이|수서역점|서울 강남구 수서동 712 한아름아파트 상가동 103호|02-451-4479
신전떡볶이|함안휴게소점|경남 함안군 군북면 현포로 205-1 함안휴게소 순천방향|
신전떡볶이|봉동점|전북 완주군 봉동읍 둔산3로 51|063-263-7757
신전떡볶이|의성점|경북 의성군 의성읍 군청길 43-1|054-833-3358
신전떡볶이|공주중학점|충남 공주시 웅진로 119-1|041-852-3614
신전떡볶이|시흥신천점|경기 시흥시 신천3길 37|031-313-6077
신전떡볶이|청주방서점|충청북도 청주시 상당구 단재로 312, 중흥s클래스 143동 108호|043-902-8287
신전떡볶이|평택지산점|경기도 평택시 지산로 78 1층|031-611-2501
신전떡볶이|센텀시티점|부산시 해운대구 센텀동로 35 SH빌딩 1층|051-731-1629
신전떡볶이|기장점|부산시 기장군 기장읍 차성로344번길 47|051-991-7554
신전떡볶이|예산점|충남 예산군 예산읍 주교로39|041-333-6870
신전떡볶이|송절점|충청북도 청주시 흥덕구 송화로150번길 7-15 104호|043-267-3681
신전떡볶이|한기대점|충남 천안시 동남구 병천면 가전6길6|041-552-5512
신전떡볶이|수원아주대점|경기도 수원시 영통구 아주로 28(원천동)|031-211-2356
신전떡볶이|구리휴게소점|경기도 구리시 서울외곽순환고속도로 32(사노동)|
신전떡볶이|영산휴게소점|경상남도 창녕군 영산면 장척호수길 56-110|
신전떡볶이|청통휴게소점|경상북도 영천시 청통면 청통로 334-42|
신전떡볶이|청주휴게소점|충청북도 청주시 흥덕구 옥산면 경부고속도로 318|
신전떡볶이|괴산휴게소점|충청북도 괴산군 장연면 중부내륙고속도로 204|
신전떡볶이|용인휴게소점|경기도 용인시 처인구 주북로 66-14(고림동)|
신전떡볶이|덕평휴게소점|경기도 이천시 마장면 덕이로154번길 287-76|
신전떡볶이|기흥휴게소점|경기도 용인시 기흥구 공세로 173(공세동)|
신전떡볶이|임실점|전라북도 임실군 임실읍 운수로 33-38|063-642-7000
신전떡볶이|성환점|충청남도 천안시 서북구 성환읍 성환11길 40|041-588-7245
신전떡볶이|덕소점|경기도 남양주시 와부읍 덕소로 196-14|031-577-0301
신전떡볶이|강동점|울산광역시 북구 화암7길 5(산하동, 블루마시티 효성해링턴 플레이스 1단지)|052-700-1000
신전떡볶이|남목점|울산광역시 동구 동해안로 3(서부동)|052-233-9510
신전떡볶이|새롬점|세종특별자치시 새롬중앙로 47(새롬동)|044-862-5802
신전떡볶이|마곡점|서울특별시 강서구 마곡중앙5로 6(마곡동)|02-3665-5552
신전떡볶이|운정산내점|경기도 파주시 청암로17번길 43(목동동)|031-945-3260
신전떡볶이|향남2호점|경기도 화성시 향남읍 상신하길로298번길 11|031-353-8049
신전떡볶이|괴산점|충청북도 괴산군 괴산읍 읍내로11길 8-5|043-832-8199
신전떡볶이|장유대청점|경상남도 김해시 번화1로80번길 9(대청동)|055-335-0118
신전떡볶이|장성점|전라남도 장성군 장성읍 영천로 160|061-392-0069
신전떡볶이|퇴계로점|서울특별시 중구 퇴계로 247(충무로5가)|02-2273-8167
신전떡볶이|제천신백점|충청북도 제천시 의병대로 247(신백동)|043-653-3353
신전떡볶이|서산한서대점|충청남도 서산시 해미면 한서1로 37|041-688-5982
신전떡볶이|수원세류점|경기도 수원시 권선구 세지로 91(세류동)|031-222-4482
신전떡볶이|효천점|광주광역시 남구 효천중앙로 64(임암동)|062-654-3477
신전떡볶이|군위점|경상북도 군위군 군위읍 중앙길 50|054-382-6339
신전떡볶이|양산중부점|경상남도 양산시 양산역로 69(중부동)|055-364-8080
