NAME|BRANCH|ADDR|TELL
청년다방|서귀포신시가지점|제주특별자치도 서귀포시 신서로52번길 24 |064-738-2020
청년다방|대전우송대점|대전 동구 동대전로 186 |042-623-8858
청년다방|이천하이닉스점|경기 이천시 부발읍 경충대로2092번길 23 |031-638-6960
청년다방|광주신현점|경기 광주시 오포읍 신현로 83 |031-718-8700
청년다방|판교운중점|경기 성남시 분당구 운중로138번길 28-5 |031-703-2539
청년다방|영천시청점|경북 영천시 중앙동1길 24 |054-337-6761
청년다방|고양향동점|경기 고양시 덕양구 향기로 100 |02-3158-1029
청년다방|영주가흥점|경북 영주시 대동로31번길 40 |
청년다방|전남도청점|전남 무안군 삼향읍 대죽동로 43 |061-284-1222
청년다방|신도림역점|서울 구로구 경인로67길 23 |02-6953-2939
청년다방|부산역점|부산 동구 초량중로 20-1 |051-468-8859
청년다방|철산역점|경기 광명시 오리로 870 |02-2066-9249
청년다방|천안성성점|충남 천안시 서북구 성성8로 2-44 |041-523-0612
청년다방|압구정점|서울 강남구 논현로176길 24 |02-546-0311
청년다방|평택고덕신도시점|경기 평택시 고덕면 고덕국제4길 98 |031-611-6777
청년다방|부천원종점|경기 부천시 소사로 758 |032-672-3370
청년다방|홍천점|강원 홍천군 홍천읍 꽃뫼로 75 |033-956-9833
청년다방|청주동남지구점|충북 청주시 상당구 중고개로141번길 13-12 |043-292-8686
청년다방|전북혁신도시점|전북 완주군 이서면 기지로 54 |063-236-8900
청년다방|천안차암점|충남 천안시 서북구 밤개울2길 1-3 |041-555-5212
청년다방|남양주진접점|경기 남양주시 진접읍 장현로 178 |031-529-7895
청년다방|경주황성점|경북 경주시 황성로 37 |054-774-1980
청년다방|화성남양점|경기 화성시 남양읍 시청로 11 |031-357-8511 
청년다방|여주점|경기 여주시 세종로 20 |031-886-2877
청년다방|수내역점|경기 성남시 분당구 백현로101번길 16 |031-716-0900
청년다방|군포당동점|경기 군포시 고산로 256 |031-393-3933
청년다방|광주태전점|경기 광주시 고불로 73-37 |031-767-0993
청년다방|창원시티세븐점|경남 창원시 의창구 원이대로 320 |055-600-5733
청년다방|광주경안점|경기 광주시 경안로 18 |031-763-6700
청년다방|부산양정점|부산 부산진구 양지로 8 |051-861-8787
