IDX|NAME|BRANCH|TELL|ADDR|TIME|YCORD|XCORD

915|토프레소|구리 토평점|031-556-0511|경기 구리시 이문안로 132|경기 구리시 토평동 964-5|37.591055113859|127.145994843325
914|토프레소|동탄영천점|031-372-1414|경기 화성시 지산2길 34-8|경기 화성시 영천동 707-5|37.2050862744277|127.115774723904
913|토프레소|여수 국동점|061-641-2525|전남 여수시 국동4길 24|전남 여수시 국동 705-1|34.7317700301642|127.716412836519
911|토프레소|충주 루프탑안림점|043-856-7788|충북 충주시 안림로 232|충북 충주시 안림동 98-7|36.9747649683301|127.970108503229
910|토프레소|평택 힐스테이트점|031-654-4156|경기 평택시 세교6로 19|경기 평택시 세교동|37.0097743344315|127.088850837384
909|토프레소|통영 죽림해안로점|055-648 -9275|경남 통영시 광도면 죽림해안로 142|경남 통영시 광도면 죽림리 1580-7|34.8784323121761|128.42201496807
908|토프레소|춘천 우두택지점|0332571205|강원 춘천시 우두4길 25|강원 춘천시 우두동 1102-2|37.908996497406|127.73893617283
907|토프레소|문경 점촌점|054-556-3999|경북 문경시 여중3길 12|경북 문경시 모전동 953|36.5970069291697|128.188426743172
906|토프레소|서산점|043-666-3008|충남 서산시 서령로 23|충남 서산시 동문동 764-1|36.7852091925582|126.453488985701
905|토프레소|정릉점|02-943-5108|서울 성북구 보국문로 83|서울 성북구 정릉동 302|37.6115047939015|127.00834169679
904|토프레소|면목점|02-433-0304|서울 중랑구 면목로 376|서울 중랑구 면목동 114-12|37.5855097326288|127.088543363345
903|토프레소|오산 원동 수자인점|031-377-1652|경기 오산시 부원로87번길 19|경기 오산시 원동 907|37.142061302414824|127.08801765632751
902|토프레소|광주 광천점|062-352-8877|광주 서구 무진대로 919|광주 서구 광천동 896|35.16237107568652|126.88052794128805
901|토프레소|순천 연향점|061-722 - 5061|전남 순천시 연향번영3길 8-4|전남 순천시 연향동 1364-12|34.94593103639223|127.51759518300982
900|토프레소|인천 간석점|032-421-7731|인천 남동구 백범로 333|인천 남동구 간석동 123-2|37.464194351126714|126.7131971716385
899|토프레소|망원 글로리하우스점|070-4255-2110|서울 마포구 희우정로 90|서울 마포구 망원동 397-2|37.55377763188169|126.90292207070243
898|토프레소|원주 무실점|033-743-0107|강원 원주시 시청로 72|강원 원주시 무실동 1641-4|37.337184111354844|127.92677666349822
897|토프레소|춘천 월곡점|033-241-2022|강원 춘천시 동면 금옥길 132|강원 춘천시 동면 월곡리 549|37.916809675670436|127.79569862066917
896|토프레소|성수 우림점|02-465-5796|서울 성동구 광나루로6길 35|서울 성동구 성수동2가 280-21|37.54679440085009|127.06331543424771
895|토프레소|청주 분평점|010-9328-2841|충북 청주시 서원구 1순환로 1059|충북 청주시 서원구 분평동 1425|36.6067316399375|127.48427880396935
894|토프레소|청주 오창호수공원점|043-211-3651|충북 청주시 청원구 오창읍 중심상업1로 8-34|충북 청주시 청원구 오창읍 양청리 792-2|36.71469659929012|127.42899208274503
893|토프레소|용인 성복역점|031-266-5787|경기 용인시 수지구 성복2로 92|경기 용인시 수지구 성복동 97-14|37.3155717402906|127.0759139465081
892|토프레소|목포 연산점|061-272-4865|전남 목포시 연산로 155|전남 목포시 산정동 1713-1|34.81050047709005|126.3800833676329
890|토프레소|부평 일신점|032-501-3397|인천 부평구 일신로8번길 4|인천 부평구 일신동 109-36|37.48443320381523|126.74564659995097
889|토프레소|광주 상무점|062-226-0321|광주 서구 상무연하로 48|광주 서구 치평동 1238-5|35.15249132703105|126.85052435590578
888|토프레소|천안 성성점|041-566-5004|충남 천안시 서북구 성성6로 7-32|충남 천안시 서북구 성성동 840|36.840604450747556|127.12201735435734
887|토프레소|마장역점|02-2291-8105|서울 성동구 마장로 305|서울 성동구 마장동 771-7|37.5666866528118|127.04328399291148
886|토프레소|동해쇄운점|033-522-0707|강원 동해시 청운1길 47-1|강원 동해시 쇄운동 1-8|37.48632385362512|129.10856706572923
885|토프레소|수원 인계빈센트점|031-239-9968|경기 수원시 팔달구 중부대로 80|경기 수원시 팔달구 인계동 740-12|37.275839738125214|127.02473810176532
884|토프레소|구산점|02-433-9500|서울 은평구 갈현로11길 22|서울 은평구 구산동 191-17|37.605257339064835|126.90809183071401
883|토프레소|석촌점|02-418-1528|서울 송파구 가락로 90|서울 송파구 석촌동 273-3|37.50056751533637|127.10611504080002
882|토프레소|안양 비산점|031-385-1125|경기 안양시 동안구 평촌대로 380|경기 안양시 동안구 비산동 1031-10|37.40449888837655|126.94994236435024
881|토프레소|강남 율현점|02-3412-8588|서울 강남구 밤고개로21길 8|서울 강남구 율현동 232-4|37.47355011777091|127.10786301777858
880|토프레소|화성 향남 로데오점|031-352-7657|경기 화성시 향남읍 대밭로 47|경기 화성시 향남읍 하길리 1467-1|37.11604683727877|126.91335365618608
879|토프레소|마산 365병원점|055-255-1113|경상남도 창원시 마산회원구 3·15대로 686|경상남도 창원시 마산회원구 석전동 232-5|35.2337603537|128.579472071
878|토프레소|상계역점|02-933-7050|서울특별시 노원구 한글비석로24길 57|서울특별시 노원구 상계동 156-130|37.6631172462|127.0732743885
877|토프레소|여수 무선점|061-686-8881|전남 여수시 화산로 42|전라남도 여수시 화장동 774-1|34.7722866329|127.6432132572
876|토프레소|도곡 렉슬점|02-573-1233|서울특별시 강남구 선릉로 225 B107호|서울특별시 강남구 도곡동 527-3 B107호|37.4953415653|127.0526512551
875|토프레소|제주 중문점|064-738-6225|중문상로 58-5|중문상로 58-5|33.2535051866|126.4267273194
874|토프레소|강원 영월점|033-375-3445|강원도 영월군 영월읍 하송로 103-7|강원도 영월군 영월읍 하송로 103-7|37.1790374651|128.4611628712
873|토프레소|임실 오수효진점|063-642-7733|전라북도 임실군 오수면 오수리 360-6|전라북도 임실군 오수면 오수7길 60-1|35.5389400976|127.3261372639
871|토프레소|여주 점봉점|010-2880-8524|경기도 여주시 점봉동 438-11|경기도 여주시 점봉동 438-11|37.2633309358|127.6396084486
868|토프레소|평택 용이점|031-653-0289|경기도 평택시 용이동 467-3|경기 평택시 용이동 467-3|36.993911498|127.1366722659
867|토프레소|전주 송천점|063-277-0389|전북 전주시 덕진구 송천로 40|전북 전주시 덕진구 송천동 1가 405-4|35.8569295553|127.1187649875
866|토프레소|안산 건건점|031-408-1334|경기도 안산시 창말2길 25 1층|경기도 안산시 상록구 건건동 644-7|37.305752998|126.9029034291
865|토프레소|안양아트센터점|031-466-8368|경기도 안양시 안양로 111번길 10|경기도 안양시 만안구 안양동 548-5|37.3847505452|126.9323586211
864|토프레소|천안 신불당점|041-554-8480|충청남도 천안시 서북구 불당19로 95|충청남도 천안시 불당동 1545|36.8162504052|127.1016885131
