NAME|BRANCH|ADDR|TELL|TIME|XCORD|YCORD
곱창고|청주사창동점(딜리버리)|충북 청주시 서원구 창신로25번길 15 |043-265-9295|15:00~02:00|127.463461985477|36.6331063696665
곱창고|정읍점|전북 정읍시 충정로 65 1층|063-531-0531|15:00~02:00|126.868874918147|35.5593143513617
곱창고|순천조례점|전남 순천시 남신월1길 12-4 1층|061-727-9494|15:00~02:00|127.518959961794|34.9554882931118
곱창고|아산모종점|충남 아산시 모종남로12번길 45-4 1층|041-546-0085|16:00 ~ 02:00|127.02343906003577|36.77799065688732
곱창고|경북도청점(임시 휴업중)|경북 안동시 풍천면 검무로 10-10 1층|054-841-8916|16:00 ~ 01:00|128.49388670228922|36.57604161235319
곱창고|수원인계점(본사직영점)|경기 수원시 팔달구 효원로265번길 54 태산w타워빌딩 1층|031-232-1301|16:00~02:00|127.03191339076844|37.264351547983615
곱창고|동탄역점|경기 화성시 동탄오산로 86-10 동탄역리코빌 1층 111호|031-372-5979|16:00~02:00|127.09711103096889|37.197570074822785
곱창고|통영 무전점|경남 통영시 무전8길 14-12 상가 104호|055-648-7858|17:00~01:00|128.4267474900284|34.85957463741244
곱창고|경주 성건동점|경북 경주시 한빛길6번길 50-1 1층|054-772-7545|16:00~02:00|129.2063193258847|35.85508134987517
곱창고|대전 우송대점|대전 동구 동대전로 128 1층|042-252-9292|15:00~02:00|127.44578252021587|36.33351116871017
곱창고|순천 신대지구점|전남 순천시 해룡면 신대2길 15 1층|061-722-5777|17:00~02:00|127.54736696585236|34.93479290525987
곱창고|동해시점|강원 동해시 한섬로 126-3 105호|070-7543-3088|16:00~02:00|129.11854922139776|37.52096104908098
곱창고|경주1호점|경북 경주시 양정로 249 1층|054-742-6833|16시 ~ 2시|129.2239548097|35.854986736
곱창고| 대전 봉명동점|대전 유성구 계룡로74번길 20 1층 107호(봉명동, 리베라아이누리)|042-825-5792|16시 ~ 02시(주문마감 01시)|127.3383666403|36.3537579309
곱창고|삼천포점|경남 사천시 벌리2길 83 |055-835-9253|17시 ~ 3시|128.084952037|34.9396540366
곱창고|원주단구롯데시네마점|강원 원주시 남원로534번길 14 1층(단구동)|033-761-6292|15:00~02:00|127.9481402905|37.3307654942
곱창고|인천구월아시아드점|인천 남동구 선수촌공원로23번길 10-21 1층 117호 (구월동, 누리자타운)|032-469-2258|15:00~02:00|126.708608144|37.4420002525
곱창고|전주 평화점|전북 전주시 완산구 평화18길 7 |063-228-8080|15:00~02:00|127.1356686542|35.7948040858
곱창고|부산정관도시점|부산 기장군 정관읍 정관로 581 성원프라자 111호|051)717-3499|15:00~02:00|129.1774833603|35.3212468913
곱창고|원광대점|전북 익산시 동서로5길 83 |063-857-3005|15:00~02:00|126.9568152615|35.9612367878
곱창고|전북익산 부송점|전북 익산시 하나로10길 67 |063ㅡ831ㅡ2907|15:00~02:00|126.9885197667|35.9617342827
곱창고|수원권선시장점(임시 휴업중)|경기 수원시 권선구 세권로 185 |031-221-8992|15:00~02:00|127.0245783408|37.2560997466
곱창고|복정점|경기 성남시 수정구 복정로 61 |070-7794-0470|15:00~02:00|127.1265313527|37.458383809
곱창고|충북혁신도시점|충북 음성군 맹동면 용두2나길 9 |043)882-8929|15:00~02:00|127.5439431434|36.9095239192
곱창고|영주신도시점|경북 영주시 대동로13번길 2-19  1층|054-637-7772|15:00~02:00|128.6040871981|36.8168125827
곱창고|광양점|전남 광양시 중마로 215 1층 곱창고|061)913-6888|16:00~02:00|127.6888721343|34.9440204862
곱창고|평택소사벌점|경기 평택시 비전5로 21 1층 101호 곱창고|031)652-7733|16:00~02:00|127.1135816862|37.0007372068
곱창고|여의도점|서울 영등포구 의사당대로 38 포스코 더샾 아일랜드 103동 111호|02)6081-0223|11:00~01:00|126.9186919998|37.526031543
곱창고|시흥목감동점|경기 시흥시 솔고개길 3-4 |031)405-9253|15:00~02:00|126.8610180142|37.3823671861
곱창고|완도점|전남 완도군 완도읍 개포로145번길 13 |061)555-2505 / 061)555-0525|15:00~02:00|126.7435286264|34.3202298807
곱창고|김천신음점|경북 김천시 신양4길 72 |054)437-0817|15:00~02:00|128.1167233513|36.1334033962
곱창고|춘천1호점|강원 춘천시 애막골길11번길 32 |033)261-9592|15:00~02:00|127.7530799501|37.8668003827
곱창고|충주연수점|충북 충주시 연수동산로4길 10-1 삼우빌딩|043)852-5592|15:00~02:00|127.9408365902|36.9829343168
곱창고|춘천2호 퇴계동점|강원 춘천시 공원4길 23 1층|033)261-1400|15:00~02:00|127.7238264757|37.8597151386
곱창고|대전관저동점|대전 서구 관저중로96번길 80 (관저동) 101호|042)545-1274|15:00~02:00|127.3392565474|36.3000054443
곱창고|대전대흥점|대전 중구 중앙로130번길 39 (대흥동) |042)223-9290|15:00~02:00|127.425268012|36.3264197683
곱창고|일산화정역점|경기 고양시 덕양구 화신로272번길 30 (화정동) |031)979-7531|15:00~02:00|126.8318147605|37.6322065011
곱창고|시화이마트점|경기 시흥시 중심상가3길 24 (정왕동, 흥성빌딩) |031)499-9792|15:00~02:00|126.7357422314|37.3441880409
곱창고|대전관평점|대전 유성구 관들2길 49 (관평동) |042)933-8892|15:00~02:00|127.3921372859|36.4248760179
곱창고|구미상모점|경북 구미시 상사서로 64 (상모동, 새연빌딩) |054)463-1447|15:00~02:00|128.3555599304|36.0881737727
곱창고|충북 오창점|충북 청주시 청원구 오창읍 주성1길 14-2 (주성리) |043-214-7792|15:00~02:00|127.4516232696|36.7329704315
곱창고|광주운암지구점|광주 북구 황계로55번길 20 (운암동) (운암동 삼호아파트 정문 앞)|062)531-7942|15:00~02:00|126.8750685233|35.1781176906
곱창고|김천혁신도시점|경북 김천시 혁신3로 15 (율곡동, 율곡스퀘어 Ⅵ) 1층 131호|054)435-9294|15:00~02:00|128.1829270696|36.1173183827
곱창고|대구시지광장점|대구 수성구 신매로19길 30 (신매동, 트윈빌딩) 1층|053)795-7792|15:00~02:00|128.7081757447|35.8391643688
곱창고|대구테크노폴리스점|대구 달성군 유가면 테크노상업로4길 14 (봉리) 서용프라자106호|053)615-2185|15:00~02:00|128.4605253024|35.6924277138
곱창고|대구다사죽곡점|대구 달성군 다사읍 대실역북로1길 19 (매곡리) |053)586-5592|15:00~02:00|128.4649727323|35.8593827276
곱창고|구미형곡점|경북 구미시 신시로7길 21-1 (형곡동) |054)455-5333|15:00~02:00|128.3372322558|36.1120293155
곱창고|경산하양점|경북 경산시 하양읍 하양역길 12 (금락리) 2층|053)851-6366|15:00~02:00|128.8171510734|35.9106094679
곱창고|일산탄현점|경기 고양시 일산서구 일현로 33 (탄현동) 1층|031)902-9790|15:00~02:00|126.7619561648|37.6903435743
곱창고|창원상남점|경남 창원시 성산구 마디미로31번길 8 (상남동, 유니빌딩) |055)263-9799|15:00~02:00|128.6843399039|35.2212179218
곱창고|동대구신세계점|대구 동구 동부로30길 50 (신천동) |053)752-0510|15:00~02:00|128.6286211798|35.8726921425
곱창고|김포구래역점|경기 김포시 김포한강9로76번길 87 (구래동) 골든타임 120호|031)987-7184|15:00~02:00|126.6262923644|37.645267266
곱창고|대구상인네거리점|대구 달서구 월곡로53길 10 (상인동) |053)633-9290|15:00~02:00|128.5380188752|35.8177086308
곱창고|아산배방점|충남 아산시 배방읍 모산로 125-5 (공수리) |041)549-1500|15:00~02:00|127.0560973173|36.7748546685
곱창고|대구죽전네거리점|대구 달서구 와룡로 169 (감삼동, 월드마크웨스트엔드) 106동 B106호|053)201-1016|15:00~02:00|128.5363908546|35.8487328275
곱창고|평택용이점|경기 평택시 현신2길 28 (용이동) |031)655-5592  |15:00~02:00|127.1386293444|36.9952536436
곱창고|인천주안역점|인천 남구 미추홀대로734번길 20 (주안동) 1층|032)438-9293|15:00~02:00|126.6814895432|37.4628877713
곱창고|이천터미널점|경기 이천시 애련정로87번길 37 (창전동) |031)638-3392|15:00~02:00|127.4481988192|37.27823398
곱창고|거제옥포점|경남 거제시 옥포로 163 (옥포동) |055)687-9288|15:00~02:00|128.6926412275|34.8898206034
곱창고|대구광장코아점|대구 달서구 달구벌대로344길 50 (두류동) 1층|053)622-9253|15:00~02:00|128.5521192913|35.8545251099
곱창고|광주금호지구점|광주 서구 금화로73번길 2-13 (금호동) |062)373-2253|15:00~02:00|126.857534398|35.1326842456
곱창고|부산덕천점|부산 북구 덕천1길 46 (덕천동) |051)333-3187|15:00~02:00|129.0080517566|35.2100256894
곱창고|평택포승공단점|경기 평택시 포승읍 여술3길 9-12 (도곡리) |031)683-9293|15:00~02:00|126.8465886961|36.9877024079
곱창고|신도림역점|서울 구로구 새말로 102 (구로동, 신도림포스빌) 123,124호|02)865-9048|15:00~02:00|126.8914075147|37.5057802821
곱창고|포항문덕점|경북 포항시 남구 오천읍 문덕로 24-1 (문덕리) |054)293-9253|15:00~02:00|129.4027194796|35.9604703397
곱창고|건대역점|서울 광진구 아차산로29길 23 (화양동) |02)465-0792|15:00~02:00|127.0684484719|37.5419405574
곱창고|구미옥계점|경북 구미시 산호대로29길 9 (옥계동) |054)472-2994|15:00~02:00|128.4196428214|36.1373038659
곱창고|화곡시장점|서울 강서구 화곡로 194-52 (화곡동)  1층|02)2065-9208|15:00~02:00|126.8432641923|37.5423861656
곱창고|강원삼척점|강원 삼척시 대학로 52  |033)572-8080|15:00~02:00|129.1634255104|37.4456512798
곱창고|화성시청점|경기 화성시 남양읍 역골로 28 (남양리) 102호|031)357-9222|15:00~02:00|126.8273977469|37.2024146921
곱창고|의정부민락점|경기 의정부시 오목로225번길 33-9 (민락동) 1층|031)852-3689|15:00~02:00|127.09790060332653|37.74621967823927
