NAME|BRANCH|ADDR|TELL
자연별곡|뉴코아평촌점|경기 안양시 동안구 동안로 119평촌뉴코아아울렛 10층|031-383-0540
자연별곡|잠실웰빙점|서울시 송파구 잠실동 40-1 롯데월드 웰빙센터 1층 자연별곡|02-6426-0052
자연별곡|의정부점|경기도 의정부시 시민로 80 센트럴타워 8층자연별곡|031-824-5404
자연별곡|인천청라점|인천광역시 서구 청라커낼로 252청라 롯데캐슬 롯데마트 1층|032-252-0540
자연별곡|홈플러스춘천점|강원도 춘천시 김유정로 1840 홈플러스 지하1층|033-911-5401
자연별곡|NC서면점|부산광역시 부산진구 동천로 92 NC백화점 서면점 5층|051-794-7330
자연별곡|NC광주역점|광주광역시 북구 경열로 249 NC 광주역점 9층|062-510-7540
자연별곡|뉴코아일산점|경기도 고양시 일산동구 중앙로 1206 뉴코아아울렛 9층|031-900-5954
자연별곡|NC이천점|경기 이천시 영창로 165 NC백화점 9층|031-8010-8654
자연별곡|NC송파점|서울특별시 송파구 충민로 66  NC백화점 7층|02-2157-5754
자연별곡|NC강서점|서울특별시 강서구 강서로56길 17 NC백화점 9층|02-2667-9779
자연별곡|동성로점|대구광역시 중구 동성로 36 후아유 건물 3층|053-421-0540
자연별곡|수원망포점|경기도 수원시 영통구 덕영대로 1566더 판타지움 2층 |031-202-0540
