NAME|BRANCH|ADDR|TELL|TIME
빽다방|영종운서역점|인천광역시 중구 운서동 2803-1|032-746-9274|07:30 ~ 22:00
빽다방|대전관저더샵점|대전광역시 서구 관저로 23, 1층 105호(관저동)|042-541-6478|09:00 ~ 21:00
빽다방|인천계양맛길점|인천광역시 계양구 도두리로 33, 102호|032-556-0602|09:00 ~ 22:00
빽다방|안양박달시장점|경기도 안양시 만안구 박달동 21-22|031-443-1040|08:30 ~ 22:00
빽다방|충북영동점|충청북도 영동군 영동읍 계산로 3|043-742-7890|10:00 ~ 21:00
빽다방|부평장제로점|인천광역시 부평구 장제로 99, 벨라루체 104|032-505-9156|08:00 ~ 23:00
빽다방|다산롯데캐슬점|경기도 남양주시 다산중앙로146번길 22 (다산동, 다산진건지구 상업2-6-1)|031) 564-0701|평일 08:30 ~ 21:00<br>주말 09:00 ~ 21:00<br>아이스크림 마감 20:00
빽다방|망우역사거리점|서울특별시 중랑구 망우동 479, 한일씨너스빌리젠시 1단지|02-433-8825|평일 07:30 ~ 22:30<br>주말 09:00 ~ 22:30  
빽다방|양주고읍점|경기도 양주시 고읍남로 7, 105호|031-846-4536|08:00 ~ 22:00
빽다방|세종대후문점|서울특별시 광진구 군자로 108 |02-463-6665 |08:00 ~ 21:00
빽다방|포항문덕점|경상북도 포항시 남구 오천읍 원동로 24, 1층|054-293-0333|08:00 ~ 23:00 
빽다방|서수원홈플러스점|경기도 수원시 권선구 금곡동 1124-1, 1층  S타워 105호|031-227-9777|09:00 ~ 22:00
빽다방|별내북부점|경기도 남양주시 별내3로 322, 1층 104호|031-527-2389|09:00 ~ 21:00
빽다방|김포풍무사거리점|경기도 김포시 풍무로 112|031-998-7545|평일 08:30 ~ 21:00<br>주말 09:00 ~ 21:00
빽다방|대전정부청사점|대전광역시 서구 둔산중로 134번길 29,  1층 청사프라자 160호(둔산동)|042-331-9795|평일 08:00 ~ 21:00<br>토요일 09:00 ~ 20:00<br>일요일 10:00 ~ 22:00
빽다방|산본학원가점|경기도 군포시 산본로 394|031-396-7322|평일 08:00 ~ 22:00<br>주말 09:00 ~ 22:00
빽다방|일산백마점|경기도 고양시 일산동구 일산로208, 한일파킹타운 103호|031-813-8423|평일 08:30 ~ 21:00<br>주말 09:30 ~ 21:00
빽다방|돈암아리랑점|서울특별시 성북구 아리랑로 75|02-924-3050|08:30 ~ 22:00
빽다방|대구만촌점|대구광역시 수성구 교학로 58, 1층 (만촌동)|053-742-6221|평일 08:30 ~ 22:00<br>주말 10:00 ~ 22:00<br>아이스크림 마감 20:30
빽다방|대구범어KBS점|대구광역시 수성구 범어로 73 (범어동, 범어에스케이뷰 아파트 2단지)|053) 752-3357|월~토 09:30 ~ 22:30<br>일요일 09:30 ~ 22:00
빽다방|인천학익점|인천광역시 미추홀구 매소홀로 355, 학익프라자 106호|032-876-6010|08:00 ~ 23:00
빽다방|구미확장단지점|경상북도 구미시 산동면 신당1로2길 13, 110호 (신당리 1433)|054-474-1198|09:00 ~ 21:00
빽다방|부천강남시장점|경기도 부천시 옥산로 155 (도당동 283-18)|032-676-3334|08:00 ~ 22:00
빽다방|대구서부정류장역점|대구광역시 달서구 구마로 264 (송현동)|053-623-8862|월 ~ 금 08:10 ~ 21:30<br>일요일 09:30 ~ 21:30
빽다방|파주야당역점|경기도 파주시 경의로 1074, 1층 111호(야당동, 삼융시네마)|031-949-3788|08:00 ~ 22:00
빽다방|세종대평점|세종특별자치시 한누리대로 2236, A 140호|044-272-3457|10:00 ~ 22:00
빽다방|암사역점|서울특별시 강동구 올림픽로 770|02-488-0079|08:00 ~ 22:00
빽다방|청주지웰시티점|충청북도 청주시 흥덕구 대농로 39(청주 솔밭초등학교 앞)|043-238-4002|08:00 ~ 22:00
빽다방|경남창녕점|경상남도 창녕군 창녕읍 군청길 23 (술정리), 1층|055-532-8090|09:00 ~ 21:00<br>아이스크림 마감 19:00
빽다방|천안성성점|충청남도 천안시 서북구 성성8로 2-34, 우리타워 101호|041-554-2020|08:00 ~ 22:00
빽다방|강변역점|서울특별시 광진구 강변역로4길 10|02-447-0423|08:30 ~ 22:00
빽다방|인천청라커낼점|인천광역시 서구 청라커낼로 260번길 15|032-567-3618|09:00 ~ 21:30
빽다방|부산재송점|부산광역시 해운대구 재반로 86|051-782-4654|09:00 ~ 21:00
빽다방|서원대점|충청북도 청주시 서원구 서원남로 50-5 (서원대 후문)|043-903-1199|10:00 ~ 22:00
빽다방|순천오천점|전라남도 순천시 오천6길 16, 104호|061-741-5987|평일 08:00 ~ 22:30<br>주말 09:00 ~ 22:30
빽다방|망월사역점|경기도 의정부시 호원동 459, 신일엘리시움 1층 108호|031-871-0410|09:00 ~ 20:00<br>아이스크림 마감 19:00
빽다방|다산중앙점|경기도 남양주시 다산중앙로123번길 9, 로데오프라자 102호|031-554-5545|08:00 ~ 23:00<br>아이스크림 마감 22:00
빽다방|김제터미널점|전라북도 김제시 동서로 232, 1층 101호(요촌동)|063-545-2922|10:00 ~ 22:00
빽다방|미사강변점|경기도 하남시 미사강변대로226번길 14, 에스프라자 미사 1층|031-791-7091|평일 08:30 ~ 21:00<br>주말 09:00 ~ 21:00
빽다방|대전죽동점|대전광역시 유성구 죽동로 295, 101호|042-822-7755|평일 08:00 ~ 20:30<br>주말 10:00 ~ 20:30
빽다방|시흥은행점|경기도 시흥시 은행로 155번길 5|031-315-2007|08:00 ~ 22:00
빽다방|전주하가점|전라북도 전주시 덕진구 가련사로 7, 102호 (덕진동2가)|063-274-8100|월 ~ 토 08:00 ~ 22:00<br>일요일/공휴일 10:00 ~ 22:00
빽다방|동대문역점|서울특별시 종로구 종로 289, 1층(창신동)|02-766-0950 |08:00 ~ 22:30
빽다방|사천정동점|경상남도 사천시 정동면 진삼로 1394-1  |055-854-6264|09:00 ~ 22:00
빽다방|산성역점|경기도 성남시 수정구 수정로 346 1층|031-627-1331|07:00 ~ 01:00(익일)
빽다방|시흥은계점|경기도 시흥시 은계남로 12, 호반써밋상가 148호|031-316-8808|07:00 ~ 23:00
빽다방|연신내사거리점|서울특별시 은평구 통일로 840|02-356-9548|08:00 ~ 23:00
빽다방|월곡래미안점|서울특별시 성북구 하월곡동 77-221(월곡1동주민센터 옆)|02-910-8800|평일 08:00 ~ 22:00<br>주말 09:00 ~ 22:00   
빽다방|수원SKV1점|경기도 수원시 권선구 평동로79번길 45, 112호 (평동, 수원SKV1 모터스 건물 1층)|031-227-0314|연중무휴
빽다방|백석역점|경기도 고양시 일산동구 일산로 46, 1층 107호 (백석동, 남정씨티프라자)|031-905-2888|07:30 ~ 23:00
빽다방|경주용황점|경상북도 경주시 용황로 74, 협성휴포레용황아파트 상가|054-748-3393|08:00 ~ 23:00
빽다방|답십리사거리점|서울특별시 동대문구 답십리동 243-2 (전농로 97-1)|02-2245-8993 |08:00 ~ 21:00
