NAME|BRANCH|ADDR|TELL|CORDX|CORDY
아티제|수원롯데몰점|경기 수원시 권선구 서둔동  296-3 롯데몰수원점 1층|03180661601|126.997711|37.264853
아티제|을지로입구역점|서울 중구 을지로29 부영을지빌딩 1층|023182155|126.981|37.5664476
아티제|제주메종글래드점|제주 제주시 노연로 80 메종글래드호텔제주점 1층|0647108243|126.488609|33.48533
아티제|서울스퀘어점|서울 중구 한강대로 416 서울스퀘어 1층 03-02호|0264568844|126.97368|37.5557888
아티제|포제센트로폴리스점|서울 종로구 공평동 64 센트로폴리스빌딩 1층|02-6370-5811|126.9837|37.5714173
아티제|여의도KBS별관점|서울 영등포구 의사당대로1길 34 인영빌딩 1층|027821411|126.93076|37.520036
아티제|서초점|서울 서초구 서초대로64길 76-21 삼성레포츠센타 1층|025825445|127.021521|37.491781
아티제|면세점|서울 중구 동호로 249 신라면세점 3층|0222303380|127.007634|37.55774
아티제|선릉대치타워점|서울 강남구 테헤란로 424 삼성생명대치타워 1층|025560108|127.053455|37.505454
아티제|여의도역점|서울 영등포구 여의나루로 50 한국교직원공제회관 지하1층|027852155|126.925826|37.521851
아티제|판교역점|경기 성남시 분당구 분당내곡로 117 크래프톤타워 1층|0316227595|127.1118203|37.3943233
아티제|부영태평빌딩점|서울 중구 세종대로 55 지하2층|027731707|126.974946|37.561604
아티제|미래와희망병원점|서울 강남구 언주로 707 |025452155|127.035019|37.516203
아티제|메세나폴리스점|서울 마포구 양화로 45 메세나폴리스 지하1층 121호|023220018|126.9140416|37.5514181
아티제|분당서현점|경기 성남시 분당구 분당로 55 퍼스트타워 1, 2층|0317020017|127.121481|37.382983
아티제|목동홈플러스점|서울 양천구 목동서로 170 홈플러스목동점 1층|0220622155|126.873231|37.530208
아티제|수원인계점|경기 수원시 팔달구 인계동 1038-5|0312252155|127.032487|37.264565
아티제|강남역점|서울 강남구 강남대로 378 준빌딩 1층|025582155|127.028932|37.496177
아티제|GFC점|서울 강남구 역삼1동 강남파이낸스센터 지하2층|025522155|127.036553|37.499927
아티제|여의도점|서울 영등포구 국제금융로2길 17 동여의도빌딩 1층|027860041|126.926024|37.524028
아티제|역삼역점|서울 강남구 테헤란로 203 SI타워|025572155|127.037966|37.501584
아티제|강남점|서울 서초구 서초대로77길 62 강남역 IPARK 1층|025360002|127.024042|37.50258
아티제|여의도공원점|서울 영등포구 은행로 30 중소기업중앙회관 신관 1층|027612274|126.922649|37.528154
아티제|여의도롯데캐슬점|서울 영등포구 의사당대로 127 롯데캐슬엠파이어 1층 1-101호|027822155|126.926365|37.520206
아티제|분당정자점|경기 성남시 분당구 정자일로 100 미켈란쉐르빌 D동 102, 202호|0317260023|127.106366|37.359454
아티제|동부이촌2점|서울 용산구 이촌로64길 6 1층|027930095|126.970031|37.520688
아티제|역삼신라스테이점|서울 강남구 역삼동 675-3 |025560181|127.041237|37.504695
아티제|청담제일점|서울 강남구 영동대로 726 경일빌딩|025412340|127.056198|37.522597
아티제|판교알파리움점|경기 성남시 분당구 대왕판교로606번길 10 알파리움1단지|03180162155|127.109214|37.395737
아티제|종로그랑서울2점|서울 종로구 종로 33 그랑서울 지하 1층|0221587571|126.9816528|37.571064
아티제|상일GEC점|서울 강동구 상일로6길 26 글로벌엔지니어링센터 지하1층|024810017|127.172461|37.553057
아티제|미아현대점|서울 성북구 동소문로 315 현대백화점미아점 8층|029891521|127.028763|37.608322
아티제|강남구청역점|서울 강남구 학동로 343 POBA타워 1층|025180012|127.040482|37.517419
아티제|일원점|서울 강남구 일원로 81 삼성서울병원 본관 지하1층|0234120017|127.087642|37.488943
아티제|고양스타필드점|경기 고양시 덕양구 고양대로 1955 스타필드고양점 1F|03151731472|126.894854|37.646874
아티제|상암드림타워점|서울 마포구 월드컵북로 56길 19 드림타워|0262264000|126.888559|37.582432
아티제|삼성타운점|서울 서초구 서초대로74길 11 지하1층|025980017|127.026902|37.496609
아티제|일원로비점|서울 강남구 일원로 81 삼성서울병원 본관 1층|0234113446|127.087642|37.488943
아티제|강남유니온센터점|서울 강남구 역삼동 837-11 유니온센터 1층|0234532155|127.0314788|37.4909831
아티제|외대점|서울 동대문구 이문로 107 한국외국어대학교 사이버대학|029592411|127.058219|37.597617
아티제|이대서울병원점|서울 강서구 공항대로 260 이대서울병원 지하1층|0269532155|126.836506|37.557827
아티제|삼성타운2점|서울 서초구 서초대로74길 11 지하1층|025982155|127.026902|37.496609
아티제|뱅뱅사거리점|서울 강남구 강남대로 298 푸르덴셜타워 1층|025672155|127.032129|37.489969
아티제|여의도신영증권점|서울 영등포구 국제금융로8길 16 신영증권빌딩 1층|027832155|126.928871|37.521257
아티제|잠실타워730점|서울 송파구 송파대로 570 tower730빌딩 지하1층|024152155|127.098957|37.515697
아티제|코엑스몰점|서울 강남구 삼성동 코엑스몰 지하1층 J101B|025513501|127.056521|37.513985
아티제|을지트윈타워점|서울 중구 을지로 170 을지트윈타워 1층 113, 114|0237067255|126.997585|37.56611
아티제|서소문빌딩점|서울 중구 서소문로 88 중앙일보 L2층|027780882|126.970985|37.561557
아티제|타워팰리스점|서울 강남구 언주로30길 26 반트스포츠센타 1층|025712155|127.052727|37.487393
아티제|잠실롯데월드몰점|서울 송파구 올림픽로 300 롯데월드몰 내 4층 |0232134481|127.1049152|37.5135423
아티제|건국대병원점|서울 광진구 능동로 120-1 건국대학교병원 1층|0220307951|127.072221|37.540825
아티제|신용산역점|서울 용산구 한강대로 95 래미안용산 1층 104호|027492156|126.967181|37.528797
아티제|아브뉴프랑광교점|경기 수원시 영통구 이의동 1332 C1BL|0312120073|127.050383|37.29058
아티제|서초역점|서울 서초구 반포대로27길 16 서초동 파크빌딩|0234732155|127.007445|37.49019
아티제|용산아이파크몰점|서울 용산구 한강대로23길 55 용산역민자역사 7층 998호|0220123801|126.966505|37.528447
아티제|센터원점|서울 중구 을지로5길 26 센터원빌딩 1층|0260308930|126.985136|37.567358
아티제|이대목동점|서울 양천구 안양천로 1071 이대목동병원 본관 1층|0226480024|126.886432|37.536379
아티제|대구삼성캠퍼스점|대구 북구 호암로 51 1층 아티제|0533532155|128.596137|35.883193
아티제|대신파이낸스센터점|서울 중구 삼일대로 343 대신파이낸스센터 1층|0237892155|126.987319|37.565253
아티제|송파아이파크점|서울 송파구 법원로 55 B촌 1층 103호|0234022155|127.121206|37.47982
아티제|도산로점|서울 강남구 도산대로45길 6 호림아트센타 1층|025461790|127.036421|37.522832
아티제|대치은마점|서울 강남구 도곡로 510 성창빌딩 1층|025522141|127.062167|37.498981
아티제|올림픽공원점|서울 송파구 방이동 45-2 금복빌딩 101호|024225131|127.114305|37.516416
아티제|사당파스텔시티점|서울 서초구 방배동 444-3 SK리더스뷰|0234722155|126.982223|37.477655
아티제|잠원파스텔점|서울 서초구 신반포로33길 23 파스텔골프클럽 1층|025920018|127.009766|37.50998
아티제|잠원2점|서울 서초구 잠원로 94 한신메디피아 1층|025323535|127.0066882|37.5125987
아티제|아브뉴프랑판교점|경기 성남시 분당구 동판교로177번길 25 아브뉴프랑 1, 2층|0317042155|127.113337|37.397877
아티제|신촌역점|서울 서대문구 신촌로 99 엘리트빌딩 1층, 지하1층|023932155|126.937169|37.5556357
아티제|수원영통점|경기 수원시 영통구 봉영로 1576 영통홈플러스 1층|0312052155|127.072623|37.251957
