NAME|BRANCH|ADDR|TELL
커피니|고성통일전망대점|강원 고성군 현내면 마차진리 188 통일전망대|오픈예정
커피니|별내점|경기 남양주시 별내동 1097 1층 108호|070-4231-2658
커피니|대전시청역점|대전 서구 둔산동 1408-1 지하1층|-
커피니|제주공항국내선점|제주 제주시 용담2동 제주국제공항 3층 일반대합실 내 위치|064-749-1325
커피니|제주공항국제선점|제주 제주시 용담2동 제주국제공항 국제선 내|064-749-1326
커피니|군산대원당점|전북 군산시 미룡동 800-9 (원당길 73-5)|063-466-8599
커피니|대전KDB산업은행점|대전 서구 둔산2동 946|042-482-1325
커피니|제물포역점|인천 남구 숭의동 450-39 역사 내 위치|-
커피니|대전용전점|대전 동구 용전동 136-5 (계족로446번길 54)|미정
커피니|부안격포점|전북 부안군 변산면 격포리 488-1 (격포항길 49)|미정
커피니|대전NJ타워점|대전 서구 둔산동 1279 (대덕대로 216)|042-484-1325
커피니|청주공항점|충북 청원군 내수읍 입상리 79-9 청주공항 1층|043-215-1325
커피니|선유도역점|서울 영등포구 양평동5가 39번지 우림라이온스빌딩 A동 102호|02-2633-0841
커피니|군수학교점|-|오픈
커피니|만성법조타운점|전북 전주시 덕진구 만성동 1372-3 1층 101호|063-244-0123
커피니|충주용산점|충북 충주시 용산동 1650-2 1층 (남산로 90)|043-910-7100
커피니|전주평화모악점|전북 전주시 완산구 평화동2가 325-17 1층|063-221-7854
커피니|구미봉곡점|경북 구미시 봉곡동 204-10 (봉곡로 166)|054-441-7007
커피니|안동CGV점|경북 안동시 용상동 1426-1 (경동로 841)|070-4924-1666
커피니|전주만성지구점|전북 전주시 덕진구 만성동 1355-22 (만성북3길 13)|063-213-8109
커피니|중계2호점|서울 노원구 중계동 157-5 데미안빌딩 1층|02-936-3656
커피니|남양주오남점|경기 남양주시 오남읍 오남리 525-2|031-575-3831
커피니|북경수도의과대학2호점|중국 북경시 수도의과대학|-
커피니|중국장춘점|중국 장춘|-
커피니|왜관역점|경북 칠곡군 왜관읍 왜관리 230-30 1층|054-921-2223
커피니|동대문역점|서울 종로구 창신동 492-1 동대문역 내 7번출구 방향|02-2268-1006
커피니|건대입구역점|서울 광진구 화양동 7-3 2호선 건대입구역 내 5번출구 방향|02-461-5925
커피니|논현그린타워점|서울 강남구 논현동 225-3 대현그린타워 1층|02-515-1325
커피니|전북사대부고네거리점|전북 전주시 덕진구 금암동 1587-7 |063-277-3587
커피니|중국 북경수도의과대학점|중국 북경시 수도의과대학|-
커피니|중국 산동성비취대관점|중국 산동성 제남시 비취대관|-
커피니|전북임실점|전북 임실군 임실읍 이도리 269-11|063-644-1009
커피니|성남성모윌병원점|경기 성남시 수정구 수진동 4624|031-698-2390
커피니|전주영화의거리점|전북 전주시 완산구 고사동 230-5|063-232-0888
커피니|망향휴게소점|충남 천안시 서북구 성거읍 요방리 121|-
커피니|전남도청점|전남 무안군 삼향읍 남악리 2006|061-283-1097
커피니|전북대점|전북 전주시 덕진구 덕진동1가 1265-10 |063-255-5333
커피니|수원국민연금공단점|경기 수원시 팔달구 인계동 1122-9 1층|031-222-6873
커피니|상주남성점|경북 상주시 남성동 120-1|054-533-7332
커피니|수원삼성전자R5점|경기 수원시 영통구 매탄동 416|-
커피니|전주서부시장점|전북 전주시 완산구 효자동1가 153-4|063-223-0546
커피니|익산영등점|전북 익산시 영등동 382|063-837-6633
커피니|대전어은점|대전 유성구 어은동 105|042-867-5328
커피니|전주역점|전북 전주시 덕진구 우아동3가 746-40|063-247-0246
커피니|양산제일병원점|경남 양산시 동면 석산리 1457-7|055-384-9924
커피니|대전반석점|대전 유성구 반석동 634-2|042-826-2961
커피니|순천만S호텔점|전남 순천시 연향동 1690-1, 순천만S호텔 1층|061-904-6700
커피니|논현한미점|서울 강남구 논현동 206-14번지|02-544-1325
