NAME|BRANCH|ADDR
테라로사|테라로사 커피공장|강릉시 구정면 현천길 7
테라로사|경포호수점|강릉시 난설헌로 145
테라로사|사천점|강릉시 사천면 순포안길 6
테라로사|임당점|강릉시 문화의 길 9 1층
테라로사|광화문점|서울시 종로구 종로1길 50(중학동) 더케이트윈타워 B동 1층
테라로사|포스코센터점|서울시 강남구 테헤란로 440 포스코센터 1층
테라로사|국립현대미술관(서울)점|서울시 종로구 삼청로 30, 국립현대미술관(서울) 1층
테라로사|코엑스점|서울시 강남구 영동대로 513 코엑스 1층 남2문 옆
테라로사|예술의전당점|서울시 서초구 남부순환로 2406 예술의전당 비타민 스테이션 1층
테라로사|한남점|서울시 용산구 이태원로36길 15 카프리빌딩
테라로사|동탄호수점|경기도 화성시 동탄대로181 레이크꼬모 B2층 (CGV 옆)
테라로사|판교점|경기도 성남시 분당구 운중로 267번길 3-5 1층
테라로사|서종점|경기도 양평군 서종면 북한강로 992
테라로사|수영점|부산시 수영구 구락로 123번길 20, F1963
테라로사|서귀포점|제주 서귀포시 칠십리로 658번길 27-16
