NAME|BRANCH|ADDR|TELL|XCORD|YCORD
드림디포|테헤란점|서울특별시 강남구 테헤란로 108 지하1 (역삼동,테헤란빌딩)|02-555-7737|127.02912205054507000|37.49796983576423000
드림디포|부천중동점|경기도 부천시 부흥로315번길 58 중동 1126-2 아이타운 101호|032-323-4021|126.77731287824746000|37.49703192401583000
드림디포|유성점|대전광역시 유성구 월드컵대로 316 (상대동) |042-477-9393|127.33508976101314000|36.34821591964001000
드림디포|상문고점|서울특별시 서초구 효령로 184-0 ,유신빌딩 (방배동)|02-584-8893|127.00418333815345000|37.48246881207398000
드림디포|신영통점|경기도 수원시 영통구 영통로154번길 60 106호,107호(망포동,망포센트럴프라자)|031-206-4366~7|127.06009029999995000|37.24435480000000000
드림디포|충북대점|충청북도 청주시 서원구 창직로 33 (사창동) 104호, 105호|043-273-8112|127.46558109717242000|36.63115473115067000
드림디포|대화역점|경기도 고양시 일산서구 중앙로 1564 (대화동) 그린월드 102호|031-915-5311|126.74827613897310000|37.67621309267746000
드림디포|대림점|서울특별시 영등포구 대림로 142 ,101(대림동)|02-849-2270|126.90092500000000000|37.49392230000000000
드림디포|화성시청점|경기도 화성시 남양읍 역골동로 112-19 |031-356-4118|126.83156345012800000|37.21107491161190000
드림디포|울산울주점|울산광역시 울주군 청량읍 상남길 15-7 |052-922-4545|129.30657128553170000|35.48349774214544500
드림디포|서충주신도시점|충청북도 충주시 중앙탑면 원앙길 8-13 203호|043-845-9640|127.82533244557600000|37.01661345387930000
드림디포|포스코점|서울특별시 강남구 테헤란로78길 8-0 (대치동)|02-552-2137|127.05522806311036000|37.50562266856134400
드림디포|가산디지털점|서울특별시 금천구 가산디지털2로 14 109호 (가산동,대륭테크노타운12차) (가산동)|02-2688-1996|126.88425919999997000|37.46940610000000000
드림디포|성수점|서울특별시 성동구 성수일로4길 25-0 (성수동2가)|02-2115-8545|127.05186516984686000|37.54250402112691600
드림디포|장안점|서울특별시 동대문구 장한로 27 (장안동)|02-2212-9281|127.06591966176832000|37.56396238412951000
드림디포|암사점|서울특별시 강동구 상암로 41-0 ,동양 덱스빌상가 1층 128호 (암사동, 암사동 덱스빌)|02-481-7001|127.12819373076390000|37.55017999877403000
드림디포|금왕점|충청북도 음성군 금왕읍 무극로 202-0 |043-877-8433|127.58426304276180000|36.99072133866832000
드림디포|간성점|강원도 고성군 간성읍 간성로 34-0 |033-681-4417|128.47134792010570000|38.37914352698406000
드림디포|감곡점|충청북도 음성군 감곡면 장감로 167 |043-881-5896|127.64091471938289000|37.11871808931895000
드림디포|부평점|인천광역시 부평구 동수로 173-2  (부개동)|032-518-3036|126.73783013888978000|37.48611361296348000
드림디포|정관점|부산광역시 기장군 정관읍 구연로 30 1층|051-727-5378|129.18250134619885000|35.32140869027044000
드림디포|오포점|경기도 광주시 오포읍 수렁개들길32번길 8-9 |031-767-2549|127.20408937238500000|37.33707953580370000
드림디포|동송점|강원도 철원군 동송읍 금학로 61|033-455-5656|127.22536323391279000|38.19533621302156000
드림디포|마산내서2호점|경상남도 창원시 마산회원구 내서읍 중리공단로1길 21 중리공단내|055-232-7888|128.50821930000006000|35.24157010000000000
드림디포|성북점|서울특별시 성북구 화랑로 87 ,메디프랜드월곡센타빌딩 지하1층 (하월곡동)|02-912-9027|127.04177376558661000|37.60267646563709000
드림디포|장림점|부산광역시 사하구 장평로 171 (장림동)|051-263-7020|128.97236241574940000|35.08150228559873000
드림디포|용산점|서울특별시 용산구 한강대로62나길 17 [용산동3가 1-17 신흥빌딩 1층]|02-790-1533|126.97462456179832000|37.53455505076508600
드림디포|군포점|경기도 군포시 고산로 166 SK벤티움 101동 212호 (당정동)|031-436-1083|126.95369933990565000|37.34875581067388600
드림디포|오금점|서울특별시 송파구 마천로5길 4 (오금동) 상대양 빌딩 지층|02-449-7774|127.12673842069505000|37.50872110558524500
드림디포|광주광산점|광주광역시 광산구 왕버들로 265 신창동 1128-5 (신창동)|062-952-2121|126.81120325509606000|35.17569145853735000
드림디포|청원점|충청북도 청주시 흥덕구 강내면 가로수로 536|043-231-2388|127.35986183608980000|36.62351167819442600
드림디포|문래점|서울특별시 영등포구 선유로 70 (문래동3가) 우리벤쳐타운2차 1층 107호|02-2633-7770|126.89014250000002000|37.52012100000000000
드림디포|신설점|서울특별시 동대문구 왕산로 9-1 (신설동)|02-923-1436|127.02461075812329000|37.57633267043628000
드림디포|쌍용테크노파크3차점|경기도 부천시 석천로 397 쌍용테크노파크3차 401-209 (삼정동)|032-624-0990|126.76551640846384000|37.52288949817289000
드림디포|오산대점|경기도 오산시 청학로 63 (청학동) 연홍빌 101호|031-377-3397|127.06404933950506000|37.15427702491512500
드림디포|일산동구청점|경기도 고양시 일산동구 정발산로 47 (장항동) 웅신아트 108호|031-901-2125/2124|126.77369790000000000|37.65770600000000000
드림디포|양천향교역점|서울특별시 강서구 강서로 466 (등촌동) 우리벤처타운 1층 101|02-3661-0091|126.84149236590716000|37.56689091554305500
드림디포|군포IT밸리점|경기도 군포시 고산로148번길 17 (당정동) 군포 IT밸리상가 107~110호|031-8068-1238|126.95351823135266000|37.34961351934719000
드림디포|광명점|경기도 광명시 오리로 959  (광명동) 2층|02-2688-4994|126.85451902369081000|37.48031420959304000
드림디포|군자역점|서울특별시 광진구 천호대로 589-1 2층(중곡동,신화빌딩)|02-456-7894|127.08358132704190000|37.55593593511344600
드림디포|성석점|경기도 고양시 일산동구 운정로 192 (성석동)|031-975-8307~8|126.78523203078983000|37.71806255567058000
드림디포|주엽점|경기도 고양시 일산서구 중앙로 1406 (주엽동) 한솔코아 지하1층|031-919-5157|126.76387297937909000|37.66936908769802000
드림디포|칠성점|대구광역시 북구 칠성남로 184 (칠성동2가)|053-422-1767|128.60014606280018000|35.87651005608308500
드림디포|상암점|서울특별시 마포구 매봉산로 45 KBS미디어센터지하1층 (상암동)|02-6939-8311|126.89099243552212000|37.57651195740411000
드림디포|송도점|인천광역시 연수구 해돋이로 106 지하 전체 및 1층 105호(송도동)|032-715-5070|126.65070047196785000|37.39162796868971000
드림디포|시화점|경기도 시흥시 정왕천로 197 (정왕동) 동우디지털파크 B-108|031-434-0033|126.73683569638638000|37.32966229477939000
드림디포|영주점|경상북도 영주시 가흥로 367 (가흥동)|054-633-6533|128.61188087397804000|36.82956275134209500
드림디포|화순점|전남 화순군 화순읍 중앙로 93-12, 101호|061-374-4270|126.99192282157603000|35.06135765186346000
드림디포|괴산점|충청북도 괴산군 괴산읍 읍내로2길 48 한영드림디포|043-832-3241|127.79273264796944000|36.80856944189304000
드림디포|분당정자점|경기도 성남시 분당구 정자로 82 (정자동) 평림빌딩 지하1층|031-716-7991|127.11406247039280000|37.36318399121969000
드림디포|천안청당점|충청남도 천안시 동남구 청수14로 60 (청당동) 201,202호 (청당동,서미법조타워)|041-415-2280|127.15298658234790000|36.78410507942507500
드림디포|목천점|충청남도 천안시 동남구 목천읍 충절로 875 1동 2호,3호|041-523-2320|127.21034790000000000|36.77420010000000000
드림디포|안성점|경기도 안성시 중앙로356번길 11 (석정동)|031-672-0000|127.26639582469020000|37.00760392767348600
드림디포|청주내수점|충청북도 청주시 청원구 내수읍 내수로 707-4 |043-218-0891|127.53440032166573000|36.72568176307704000
드림디포|양재본점|서울특별시 서초구 논현로 65 (양재동)|02-578-0096|127.04595393629381000|37.47595466285444000
드림디포|범내골점|부산광역시 부산진구 중앙대로 623 (범천동, 1층)|051-633-6004|129.05889826152134000|35.14840799958232500
드림디포|서현1호점|경기도 성남시 분당구 중앙공원로40번길 42 (서현동) 우성상가 2호 지하1층|031-707-6263|127.13238053264404000|37.37818319728963000
드림디포|원주혁신도시점|강원도 원주시 입춘로 110 (반곡동) 원주파라다이스플라자 2층 203,204호|033-733-2225|127.98167283999092000|37.32341377414921000
드림디포|민락점|경기도 의정부시 오목로225번길 161 (민락동) 마운틴 프라자 2층 202,203호|031-853-6387|127.11751170000002000|37.75433810000000000
드림디포|부산시청점|부산광역시 연제구 중앙대로 1035 (연산동)|051-862-0945|129.07732625531918000|35.18101444186408000
드림디포|해운대점|부산광역시 해운대구 양운로 40 (좌동) 봉황빌딩 1층  (천일 대연영업소!!)|051-637-2275|129.17777524813937000|35.16723527836569500
드림디포|신마산점|경상남도 창원시 마산합포구 월영동로 8 (해운동, 대동씨코아) 지하1층 104호|055-242-8140|128.56247470089895000|35.17975884604200600
드림디포|파주법원점|경기도 파주시 법원읍 화합로 95 |031-958-6745|126.87707096235123000|37.84669654247902000
드림디포|마천점|서울특별시 송파구 마천로41길 9 (마천동) 승준빌딩 지하1층|02-401-7021|127.14876610033463000|37.49722021929217400
드림디포|등촌점|서울특별시 강서구 화곡로68길 47-0 ,103호 (등촌동)|02-3662-7626|126.85679307083000000|37.55881952472341000
드림디포|청주성화점|충청북도 청주시 서원구 장전로 77  (성화동) 월드빌딩 2층|043-237-6534|127.45675741341472000|36.61752052876517600
드림디포|안산한가람|경기도 안산시 단원구 선부광장1로 56 (선부동)|031-405-0771|126.81072429678117000|37.33659372872038000
드림디포|고양식사점|경기도 고양시 일산동구 견달산로 206-4 103(식사동)|031-966-0913|126.82090007630453000|37.68425631590366000
드림디포|김해삼계점|경상남도 김해시 해반천로144번길 14 (삼계동) |055-339-4020|128.86880001942393000|35.26099931144849000
드림디포|서산점|충청남도 서산시 고운로 156  (동문동)|041-666-1600|126.45195868586471000|36.78388536957838500
드림디포|서진주점|경상남도 진주시 창렬로 51 (인사동)|055-743-8489|128.06975038613730000|35.19301643851428500
드림디포|대소점|충청북도 음성군 대소면 오태로 91-1 |043-882-6375|127.48550628887630000|36.96795460102773000
드림디포|미사센텀비즈점|경기도 하남시 조정대로 45 R1층 129,130호 (풍산동)|031-5175-3075|127.18447433601851000|37.55068572602526000
드림디포|가경점|충청북도 청주시 흥덕구 서현동로 15 (강서동)|043-234-8494|127.42915265237974000|36.62353097133143000
드림디포|풍세점|충청남도 천안시 동남구 풍세면 풍세로 151 |041-577-8775|127.11973853034254000|36.72780523734928000
드림디포|공도점|경기도 안성시 공도읍 승두1길 23 |031-656-4559|127.16738691594807000|36.99689979665230000
드림디포|울산범서점|울산광역시 울주군 범서읍 점촌3길 10-17 |052-244-9944|129.24003163668644000|35.57471198246500400
드림디포|팔탄점|경기도 화성시 팔탄면 마당바위로 57-3 |031-354-3172|126.90364818544150000|37.16029585983997000
드림디포|하남점|경기도 하남시 조정대로 150 (덕풍동) 아이테코 1층 R118호|031-790-4566|127.19467119335026000|37.55352731686680600
드림디포|마포용강점|서울특별시 마포구 토정로 271-0 ,대현빌딩 1층 (용강동)|02-714-1761|126.94028800000000000|37.54244700000000000
드림디포|한양대점|서울시 성동구 마조로 45 (행당동,1층)|02-2299-4227|127.04139774761181000|37.56170301805719400
드림디포|인덕원점|경기도 안양시 동안구 벌말로 123 202(관양동,평촌스마트베이)|031-421-7733|126.96836759999996000|37.39937210000000000
드림디포|원흥역점|경기도 고양시 덕양구 삼송로 8 ,2층 205호(원흥동,한일골드타워) (원흥동)|031-962-9955|126.87496470587800000|37.64979020309790000
드림디포|김해중앙점|경상남도 김해시 가락로 81 (서상동) 아이조이빌딩|055-335-5517|128.88126045109075000|35.23383915908670000
드림디포|김해진영점|경상남도 김해시 진영읍 여래로20번길 52 |055-342-7780|128.72899738351390000|35.30515017587589500
드림디포|진해녹산점|경상남도 창원시 진해구 용원동로 304 (용원동)|055-552-6027|128.82177870011185000|35.09971653430555000
드림디포|화성기산점|경기도 화성시 효행로 1165 (기산동)|031-233-5272|127.05302834927006000|37.21530545936229000
드림디포|순천모던점|전라남도 순천시 연향3로 12 (연향동)|061-723-8970|127.51722523194533000|34.95047195395781600
드림디포|여주점|경기도 여주시 청심로 150  (홍문동)|031-884-5522,5519|127.63662360000001000|37.29770410000000000
드림디포|도계점|강원도 삼척시 도계읍 도계느티로 10|033-541-5584|129.04725382950605000|37.23282994893033000
드림디포|검단점|인천광역시 서구 완정로 144 (마전동) 프라임타워 109~110호|032-569-6445|126.66020911263529000|37.60122165266438500
드림디포|사상점|부산광역시 사상구 광장로38번길 25 (괘법동)|051-317-0659|128.98047723296173000|35.16113899951388000
드림디포|충정로점|서울특별시 중구 서소문로 38 대우디오센터빌딩 103호 (중림동)|02-2128-0183|126.96621777849133000|37.56040440339969400
드림디포|곤지암점|경기도 광주시 곤지암읍 대석동길 15 |031-761-8008|127.33804020274908000|37.35375652281274000
드림디포|내외동점|경상남도 김해시 우암로 19 (외동) 1층|055-327-2929|128.86014857242964000|35.23243887731733500
드림디포|인제서화점|강원도 인제군 서화면 서화길 9-19|033-463-4747|128.20875332636848000|38.25151754825041000
드림디포|발산역점|서울특별시 강서구 강서로 360 (내발산동) 솔레드림빌딩 지하 1층 2호|02-2658-4111~2|126.83839270339953000|37.55769295342738400
드림디포|서산해미점|충청남도 서산시 고북면 신성로 330 공군부대 승리관내|041-689-4396|126.50566179660937000|36.70051189764934000
드림디포|목포호남노트점|전라남도 목포시 영산로59번길 10-2 (무안동)|061-244-0318|126.38441364965783000|34.78900796622105000
드림디포|한마음점|전라북도 군산시 대학로 158 (문화동)|063-462-0028|126.70408052151876000|35.97751651651428500
드림디포|용인시청점|경기도 용인시 처인구 중부대로 1200 (삼가동) 1층|031-336-7411|127.17826411671547000|37.23800489885204000
드림디포|파주광탄점|경기도 파주시 광탄면 큰여울길 10-0 |031-947-3008|126.84904119774225000|37.77887951307389000
드림디포|복정점|경기도 성남시 수정구 복정로 85 (복정동)|031-722-0896|127.12655778447218000|37.46065433028926600
드림디포|서교점|서울특별시 마포구 월드컵로 64 (서교동)1층 드림디포|02-325-2353|126.91137214694905000|37.55506008946420000
드림디포|논산점|충청남도 논산시 시민로 416-1 (취암동) |041-735-1363|127.08678831408815000|36.20150398364937000
드림디포|홍천점|강원도 홍천군 홍천읍 신장대로 42 |033-432-0037|127.88089813680656000|37.68999291995207000
드림디포|고양신원점|경기도 고양시 덕양구 신원로 40 2층 203호 (신원동,삼송시티프라자)|02-371-3373|126.88850269496540000|37.66397747821064000
드림디포|교대본점|서울특별시 서초구 서초대로 324-0 ,서원빌딩 B1 (서초동)|02-598-5367|127.01707977939901000|37.49439339198235000
드림디포|부산법원점|부산광역시 연제구 월드컵대로 225 (거제동)|051-506-4512~3|129.07217270846200000|35.18900049073932000
드림디포|분당수내점|경기도 성남시 분당구 내정로173번길 11 (수내동, 양지마을한양아파트) 양지마을한양아파트 603동 B05호|070-7769-3582|127.11846531935933000|37.37491101718994500
드림디포|김천점|경상북도 김천시 김천로 85 (평화동) |054-432-1662|128.11213722359474000|36.12487782094759600
드림디포|배방점|충청남도 아산시 배방읍 북수로 147-2|041-532-6080|127.07728580793925000|36.77451478416788400
드림디포|남구주안점|인천광역시 남구 염전로 330, 1층 113호 (주안동, 주안 제이타워 지식산업센터) 아트사인 직송은 천일로~~|032-863-8587~8|126.67673680610442000|37.47042891220102000
