NAME|BRANCH|ADDR|TELL|TIME
박가부대&치즈닭갈비|롯데피트인산본점|경기 군포시 번영로 485 롯데피트인 산본점 내 7층|031-8033-1408|11:00-21:00
박가부대&치즈닭갈비|박가부대 역삼배달점|서울 강남구 도곡로 175 (창림빌딩)|02-539-8288|10:00~22:30
박가부대&치즈닭갈비|강릉교동점|강원 강릉시 율곡초교길43번길 7|033-645-4864|11:00-23:00 연중무휴
박가부대&치즈닭갈비|강서홈플러스점|서울 강서구 화곡로 398|02-3664-0955|11:00-22:00 매월 2,4주(일) 휴무
박가부대&치즈닭갈비|강원동해점|강원 동해시 효자남길 28|033-522-5352|11:30-23:00 연중무휴
박가부대&치즈닭갈비|강원랜드점|강원 정선군 사북읍 사북중앙로 77|033-592-5355|11:30-22:50 연중무휴
박가부대&치즈닭갈비|개봉점|서울 구로구 개봉로 14|02-2060-7988|11:30-23:00 연중무휴
박가부대&치즈닭갈비|거여역점|서울 송파구 오금로 483|02-443-5353|11:00-23:00 연중무휴
박가부대&치즈닭갈비|거제디큐브점|경남 거제시 장평로 12  디큐브백화점 6층|055-680-0655|11:00-21:00 연중무휴(백화점 휴무 시 제외)
박가부대&치즈닭갈비|거제문동점|경남 거제시 문동4길 21|055-635-2979|11:00-21:00 매주 (화) 휴무
박가부대&치즈닭갈비|경기광주점|경기 광주시 중앙로 79|031-797-0885|11:30-23:30 연중무휴
박가부대&치즈닭갈비|고대구로병원점|서울 구로구 구로동로 148|02-861-1651|07:30-21:00 연중무휴
박가부대&치즈닭갈비|고양행신점|경기 고양시 덕양구 중앙로 452 메디스타워 202호|031-973-5757|10:00-22:00 매월 첫째주(수) 휴무
박가부대&치즈닭갈비|광주동림점|광주 서구 하남대로680번길 1  2층|062-511-5338|11:00-23:00 연중무휴
박가부대&치즈닭갈비|광주매곡점|광주 북구 설죽로 342|062-573-5656|11:00-23:30 연중무휴
박가부대&치즈닭갈비|광주수완점|광주 광산구 임방울대로 330 2층|062-955-1182|11:00-24:00
박가부대&치즈닭갈비|광주양산점|광주 북구 양산택지로37번길 2|062-574-9700|11:00-24:00 연중무휴
박가부대&치즈닭갈비|광주진월점|광주 남구 금당로 1 천운빌딩|062-653-5354|11:00-23:00 연중무휴
박가부대&치즈닭갈비|광주첨단점|광주 광산구 첨단중앙로 182번길 24|062-973-7371|11:15-23:50 연중무휴
박가부대&치즈닭갈비|광주하남점|광주 광산구 하남대로 153|062-946-5353|11:30-23:40 연중무휴
박가부대&치즈닭갈비|구미산동점|경북 구미시 산동면 신당1로4길 14 2F|054-476-1636|11:00-22:00 연중무휴
박가부대&치즈닭갈비|구미인동점|경북 구미시 인동북길 101|054-472-6688|11:00-24:00 연중무휴
박가부대&치즈닭갈비|구미형곡점|경북 구미시 경은로 68 씨에이치새로빌 1F 103호|054-457-5382|11:00-24:00 연중무휴
박가부대&치즈닭갈비|군산수송점|전북 군산시 월명로 241 2F|063-453-5354|11:00-23:30 연중무휴
박가부대&치즈닭갈비|김천혁신도시점|경북 김천시 혁신3로 20|054-436-6969|11:00-22:30 매주(금) 휴무
박가부대&치즈닭갈비|김포고촌점|경기 김포시 고촌읍 장차로 11|031-986-4680|10:00-22:00 연중무휴
박가부대&치즈닭갈비|김포사우점|경기 김포시 돌문로 60|031-982-4666|11:30-23:30 매주 (월) 휴무
박가부대&치즈닭갈비|김해내외점|경남 김해시 경원로55번길 26|055-314-5327|11:00-23:00 연중무휴
