NAME|BRANCH|ADDR|TELL
써브웨이|노량진역점|서울 동작구 노량진로 152-1|02-815-1014
써브웨이|상일동점|서울특별시 강동구 상일로6길 21|070-8800-0217
써브웨이|광주봉선점|광주광역시 남구 봉선로 176|062-673-0007
써브웨이|울산덕신점|울산광역시 울주군 온산읍 덕신로 261|052-239-0093
써브웨이|동탄하나로클럽점|경기도 화성시 동탄순환대로27길 30 1층|031-376-1418
써브웨이|의왕포일점|경기도 의왕시 안양판교로 101 1층|031-422-7175
써브웨이|양주옥정점|경기도 양주시 옥정로 214|031-858-2270
써브웨이|화성봉담점|경기도 화성시 봉담읍 동화길 51|031-5183-3960
써브웨이|부천옥길점|경기도 부천시 양지로 205 근생 113,1145호|032-345-4907
써브웨이|울산진장점|울산광역시 북구 진장17길 10 1층|052-916-0186
써브웨이|창원대동백화점점|경상남도 창원시 성산구 원이대로 730 1층|055-212-8899
써브웨이|구로NC점|서울특별시 구로구 구로중앙로 152|02-6923-2155
써브웨이|묵동점|서울특별시 중랑구 동일로 952 101-1호|02-978-3434
써브웨이|용인김량장점|경기도 용인시 처인구 금령로 71번길 3|031-328-2929
써브웨이|경산하양점|경상북도 경산시 하양읍 하양로 34|053-857-5761
써브웨이|광주오치점|광주광역시 북구 설죽로 334|062-464-8848
써브웨이|등촌역점|서울특별시 양천구 공항대로 552 101호|02-6053-2543
써브웨이|울산구영점|울산광역시 울주군 범서읍 구영로 108|052-248-8236
써브웨이|의정부역점|경기도 의정부시 신흥로 257번길 6|031-878-7811
써브웨이|경남양산증산점|경상남도 양산시 물금읍 야리1길 17|055-781-2236
써브웨이|광주금호점|광주광역시 서구 금화로 58 1층|062-681-1121
써브웨이|통영무전점|경상남도 통영시 원문로 27|055-648-0772
써브웨이|수서역점|서울특별시 강남구 밤고개로 1길 10 B1|02-445-1636
써브웨이|대전송촌점|대전광역시 대덕구 계족산로81번길 70|042-623-6800
써브웨이|길동역점|서울특별시 강동구 길동 389-2 길동 1층 103,110호|02-470-6032
써브웨이|분당수내점|경기도 성남시 분당구 백현로101번길 21|031-715-0889
써브웨이|김해이마트점|경상남도 김해시 김해대로 2232 이마트 1층|055-339-2413
써브웨이|시흥은계점|경기도 시흥시 은계번영길 21|031-312-1587
써브웨이|부산역점|부산광역시 동구 중앙대로 206|070-4090-3721
써브웨이|석촌역점|서울특별시 송파구 송파대로 438 106호, 107호|02-420-4320
써브웨이|화성남양점|경기도 화성시 남양읍 시청로 6|031-357-4637
써브웨이|전주전북도청점|전라북도 전주시 완산구 홍산중앙로 22|063-903-1191
써브웨이|광주주월점|광주광역시 남구 서문대로 749|062-456-1181
써브웨이|광주하남점|광주광역시 광산구 무진대로279|062-446-0072
써브웨이|광주운암점|광주광역시 북구 북문대로117|062-462-1125
써브웨이|거제고현점|경상남도 거제시 거제중앙로 1894 104호,105호|055-634-0979
써브웨이|경산영남대점|경상북도 경산시 대학로 281-1|053-818-7771
써브웨이|목포남악점|전라남도 무안군 삼향읍 남악3로 79|061-980-3310
써브웨이|대구반월당점|대구광역시 중구 달구벌대로 2076|070-4122-0077
써브웨이|대구교대점|대구광역시 남구 중앙대로 243|053-622-6348
써브웨이|성남위례점|경기도 성남시 수정구 위례광장로 104|031-602-6126
써브웨이|수원아주대점|경기도 수원시 팔달구 아주로 49-1|031-211-0369
써브웨이|부산사상점|부산광역시 사상구 사상로 211|051-900-5226
써브웨이|당진읍내점|충청남도 당진시 당진중앙2로 127 금화빌딩 1층 101호|041-356-2731
써브웨이|쌍문역점|서울특별시 도봉구 도봉로 468 1층 102호, 102-1호|02-999-5906
써브웨이|명지대점|서울특별시 서대문구 거북골로 23|02-374-7300
써브웨이|삼양솔샘점|서울특별시 강북구 삼양로 162|02-6952-3399
써브웨이|목포상동점|전라남도 목포시 백년대로 342|061-980-1191
써브웨이|대구동촌DT점|대구 동구 동촌로161-5|070-8851-0101
써브웨이|진주혁신점|경상남도 진주시 충의로 20-4 101-102호|055-758-0250
써브웨이|대구광장점|대구광역시 서구 달구벌대로 1689|053-573-3030
써브웨이|낙성대역점|서울특별시 관악구 남부순환로 1904|02-877-6687
써브웨이|부산홈플러스아시아드점|부산광역시 연제구 종합운동장로 7|051-506-0122
써브웨이|천안청수점|충청남도 천안시 동남구 청수11로 16|041-414-1421
써브웨이|봉은사역점|서울특별시 강남구 봉은사로 627|02-545-5729
써브웨이|대구침산점|대구광역시 북구 침산남로 157|070-4138-0154
써브웨이|대구시지점|대구광역시 수성구 달구벌대로 3201|070-4146-0154
써브웨이|석촌호수점|서울특별시 송파구 석촌호수로 298|02-424-0020
써브웨이|광주수완점|광주광역시 광산구 장신로 133 1층|062-419-1131
